the_geom,cartodb_id,the_geom_webmercator,objectid,verror,mapsource,sourcedate,editdate,mapmethod,quadname,unitname,herror,county,state,x_coord,y_coord,lat,lon,watershed,streamname,elevation,year,notes,coord_units,coord_system,datum,utm_zone,managementzone,parkdistrict,editby,createby,createdate,unitcode,restriction,veg_class,landform,loc_name,loc_id,trail,road,valid_result,genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,dateretrieved,kingdom,subkingdom,phylum,subphylum,class,subclass,superdivision,division,subdivision,superorder,ordername,series,suborder,infraorder,superfamily,family,subfamily,tribe,collectionmethod,specimentype,dateprecision,identificationprecision,project
0101000020E6100000BAEDF99CC6FA54C0840CFF51AABC4140,143012,0101000020110F0000C42C6FCF66D161C177CB802F5F215041,142647,>1m <=5m,ATBI DATABASE,,1446899384000,DERV,TAPOCO,Great Smoky Mountains National Park,>1m <=5m,Blount,Tennessee,235201,3929519,35.473941,-83.918368,Chilhowee Lake,Cooper Camp Branch,2123.134766,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446899384000,GRSM,UNR,,10,,,Twentymile Trail,Parson Branch Road (closed Winter),Valid,Coreopsis_major_variety,Coreopsis  major variety,10072,Greater Tickseed,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1118016000000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Asterales, , , , ,Asteraceae, ,~,observed, ,day,cert,TVA Powerline Plants
0101000020E6100000F307A0A4E2FA54C08175CBF7D4BC4140,143010,0101000020110F00001F10B79D7ED161C16D5D8DA98B215041,142645,>1m <=5m,ATBI DATABASE,,1446899383000,DERV,TAPOCO,Great Smoky Mountains National Park,>1m <=5m,Blount,Tennessee,235050,3929668,35.475242,-83.920079,Chilhowee Lake,Cooper Camp Branch,1960.478027,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446899383000,GRSM,UNR,,8,,,Wolf Ridge Trail,Parson Branch Road (closed Winter),Valid,Coreopsis_major_variety,Coreopsis  major variety,10072,Greater Tickseed,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1118016000000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Asterales, , , , ,Asteraceae, ,~,observed, ,day,cert,TVA Powerline Plants
0101000020E61000000D58F6E072F554C087BA7EB73CBA4140,143053,0101000020110F00007D071897E0CC61C1C9610201D71E5041,142685,>1m <=5m,ATBI DATABASE,,1446899403000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,242695,3927194,35.454971,-83.835133,Lake Cheoah-Little Tennessee River,,1757.798828,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446899403000,GRSM,UNR,,10,,,Fairfax/Old Payne (Palmer) Access,Payne Cemetery Access Road,Valid,Coreopsis_major_variety,Coreopsis  major variety,10072,Greater Tickseed,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1118016000000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Asterales, , , , ,Asteraceae, ,~,observed, ,day,cert,TVA Powerline Plants
0101000020E61000005974E3C4F4F454C01AF3D5B62ABA4140,143057,0101000020110F00002448387C75CC61C1B510E13BC41E5041,142689,>1m <=5m,ATBI DATABASE,,1446899405000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,243392,3927113,35.454422,-83.827435,Lake Cheoah-Little Tennessee River,,1842.969482,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446899405000,GRSM,UNR,,7,,,Fairfax/Old Payne (Palmer) Access,Payne Cemetery Access Road,Valid,Coreopsis_major_variety,Coreopsis  major variety,10072,Greater Tickseed,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1118016000000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Asterales, , , , ,Asteraceae, ,~,observed, ,day,cert,TVA Powerline Plants
0101000020E610000017271C4C73F654C0D79316C14EBA4140,143044,0101000020110F0000F9FED65DBACD61C134B17CCFE91E5041,142676,>1m <=5m,ATBI DATABASE,,1446899399000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,241276,3927296,35.455522,-83.850783,Lake Cheoah-Little Tennessee River,Fox Branch,1747.835327,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446899399000,GRSM,UNR,,8,,,Twentymile Trail,Twenty Mile Trailhead Parking,Valid,Coreopsis_major_variety,Coreopsis  major variety,10072,Greater Tickseed,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1118016000000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Asterales, , , , ,Asteraceae, ,~,observed, ,day,cert,TVA Powerline Plants
0101000020E6100000FD4A3352F9F654C0B3DCA80E2CBA4140,143040,0101000020110F0000B30E69312CCE61C13A015CA2C51E5041,142672,>1m <=5m,ATBI DATABASE,,1446899397000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,240530,3927200,35.454463,-83.858963,Lake Cheoah-Little Tennessee River,,1900.487915,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446899397000,GRSM,UNR,,7,,,Twentymile Trail,Twenty Mile Trailhead Parking,Valid,Coreopsis_major_variety,Coreopsis  major variety,10072,Greater Tickseed,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1118016000000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Asterales, , , , ,Asteraceae, ,~,observed, ,day,cert,TVA Powerline Plants
0101000020E610000031250789E0EC54C08EF75B292EBD4140,143077,0101000020110F000066DCFFEE98C561C185EF03AFE8215041,142708,>1m <=5m,ATBI DATABASE,,1446899416000,DERV,TUSKEEGEE,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,254923,3929404,35.477964,-83.7012,Hazel Creek,Hazel Creek,1987.438599,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446899416000,GRSM,UNR,,6,,,Hazel Creek Trail,Lakeview Drive West,Valid,Coreopsis_major_variety,Coreopsis  major variety,10072,Greater Tickseed,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1096848000000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Asterales, , , , ,Asteraceae, ,~,by hand, , ,cert,INHS plant survey
0101000020E6100000AA5B9126EBED54C005F91FC156BD4140,143075,0101000020110F00004D99C05E7BC661C1AB48020513225041,142706,>1m <=5m,ATBI DATABASE,,1446899415000,DERV,TUSKEEGEE,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,253450,3929582,35.479203,-83.717473,Hazel Creek,,2082.106689,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446899415000,GRSM,UNR,,6,,,Hazel Creek Trail,Lakeview Drive West,Valid,Coreopsis_major_variety,Coreopsis  major variety,10072,Greater Tickseed,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1089244800000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Asterales, , , , ,Asteraceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E610000041BF9E2BE1ED54C0BC90FE0649BD4140,143076,0101000020110F0000DE9ED5E472C661C1B80BF6B304225041,142707,>1m <=5m,ATBI DATABASE,,1446899416000,DERV,TUSKEEGEE,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,253504,3929534,35.478784,-83.716864,Hazel Creek,Hazel Creek,2018.631592,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446899416000,GRSM,UNR,,7,,,Hazel Creek Trail,Lakeview Drive West,Valid,Coreopsis_major_variety,Coreopsis  major variety,10072,Greater Tickseed,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1089244800000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Asterales, , , , ,Asteraceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E610000029B7BDD5A1EA54C0DB5908332CB84140,143080,0101000020110F00003C4D25D7B0C361C157C93B02B01C5041,142711,>1m <=5m,ATBI DATABASE,,1446899418000,DERV,TUSKEEGEE,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,257989,3924977,35.438842,-83.666124,Lower Fontana Lake-Little Tennessee River,,1711.106567,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446899418000,GRSM,UNR,,6,,,Lakeshore Trail,Lakeview Drive East Parking #4,Valid,Coreopsis_major_variety,Coreopsis  major variety,10072,Greater Tickseed,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1056067200000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Asterales, , , , ,Asteraceae, ,~,by hand, , ,cert,INHS plant survey
0101000020E6100000DD202AF2A3E054C05CBF386F5EBA4140,143093,0101000020110F0000D76FAC6C34BB61C1AB39CD28FA1E5041,142722,>1m <=5m,ATBI DATABASE,,1446899423000,DERV,NOLAND CREEK,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,272212,3926509,35.456,-83.510002,Fontana Lake-Tuckasegee River,,2264.643555,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446899423000,GRSM,UNR,,6,,,Conner @ Hickory Flats Cemetery Access,Lakeview Drive East,Valid,Coreopsis_major_variety,Coreopsis  major variety,10072,Greater Tickseed,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1091577600000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Asterales, , , , ,Asteraceae, ,~,reared, ,day,cert,ATBI Tephritidae
