the_geom,cartodb_id,the_geom_webmercator,objectid,verror,mapsource,sourcedate,editdate,mapmethod,quadname,unitname,herror,county,state,x_coord,y_coord,lat,lon,watershed,streamname,elevation,year,notes,coord_units,coord_system,datum,utm_zone,managementzone,parkdistrict,editby,createby,createdate,unitcode,restriction,veg_class,landform,loc_name,loc_id,trail,road,valid_result,genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,dateretrieved,kingdom,subkingdom,phylum,subphylum,class,subclass,superdivision,division,subdivision,superorder,ordername,series,suborder,infraorder,superfamily,family,subfamily,tribe,collectionmethod,specimentype,dateprecision,identificationprecision,project
0101000020E6100000793E332304CE54C0CC4F14625AE44140,140360,0101000020110F000033C08F1F63AB61C184E32A73D74A5041,139951,>1m <=5m,ATBI DATABASE,,1446897863000,DERV,HARTFORD,Great Smoky Mountains National Park,>1m <=5m,Cocke,Tennessee,299447,3962263,35.784001,-83.218999,Cosby Creek,Cosby Creek,1650.478271,,,dd,GCS,NAD83,17,,,TPCOLSON,TPCOLSON,1446897863000,GRSM,UNR,,8,,,Tritt Cemetery Access Trail,Cosby Entrance Road,Valid,Clepsis_virescana,Clepsis  virescana,9057,Light Brown Apple Moth,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,993340800000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Tortricoidea,Tortricidae,Tortricinae,~,UV light, , ,cert,ATBI Lepidoptera TWiG
0101000020E6100000E54530528BCC54C06E3B0E3F5CDF4140,140362,0101000020110F00008EFECB1723AA61C198A88AA79D455041,139953,>1m <=5m,ATBI DATABASE,,1446897864000,DERV,LUFTEE KNOB,Great Smoky Mountains National Park,>1m <=5m,Cocke,Tennessee,301429,3957889,35.744996,-83.196,Cosby Creek,Cosby Creek,2929.737305,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446897864000,GRSM,UNR,,6,,,Low Gap Trail,Cosby Campground Road B,Valid,Clepsis_virescana,Clepsis  virescana,9057,Light Brown Apple Moth,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,964224000000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Tortricoidea,Tortricidae,Tortricinae,~,unspecified, , ,cert,ATBI Lepidoptera TWiG
0101000020E6100000D116F6052BC754C0D16D032321D04140,140369,0101000020110F000012EDEC3392A561C1776BCD97B0355041,139960,>1m <=5m,ATBI DATABASE,,1446897868000,DERV,COVE CREEK GAP,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,308742,3944522,35.626004,-83.111997,Upper Cataloochee Creek,Palmer Creek,2738.823242,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446897868000,GRSM,UNR,,6,,,Cataloochee Horse Trail,Cataloochee Entrance Road,Valid,Clepsis_virescana,Clepsis  virescana,9057,Light Brown Apple Moth,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1023580800000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Tortricoidea,Tortricidae,Tortricinae,~,UV light, , ,cert,ATBI Lepidoptera TWiG
0101000020E6100000DD789872B5C454C0EBB862D221CB4140,140373,0101000020110F000076B108817BA361C1ACA2C83678305041,139964,>1m <=5m,ATBI DATABASE,,1446897870000,DERV,DELLWOOD,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,312131,3940117,35.586963,-83.073571,Lower Johnathans Creek,Cove Creek,4914.272461,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446897870000,GRSM,UNR,,7,,,Science Center Trail,The Purchase Road (closed Winter),Valid,Clepsis_virescana,Clepsis  virescana,9057,Light Brown Apple Moth,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,934934400000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Tortricoidea,Tortricidae,Tortricinae,~,unspecified, , ,cert,ATBI Lepidoptera TWiG
0101000020E61000003517DB4BAAC454C03FCAADF537CA4140,140374,0101000020110F00009DA8800872A361C18805AAFD832F5041,139965,>1m <=5m,ATBI DATABASE,,1446897871000,DERV,DELLWOOD,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,312176,3939324,35.579826,-83.07289,Lower Johnathans Creek,,4557.775391,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446897871000,GRSM,UNR,,4,,,Ferguson Cabin Trail,The Purchase Road (closed Winter),Valid,Clepsis_virescana,Clepsis  virescana,9057,Light Brown Apple Moth,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1023667200000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Tortricoidea,Tortricidae,Tortricinae,~,UV light, , ,cert,ATBI Lepidoptera TWiG
0101000020E610000097C30A91B5C454C03CD49CE7C8CA4140,140372,0101000020110F00004463E49A7BA361C1844FE05A1B305041,139963,>1m <=5m,ATBI DATABASE,,1446897870000,DERV,DELLWOOD,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,312124,3939816,35.584249,-83.073578,Lower Johnathans Creek,,4800.433594,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446897870000,GRSM,UNR,,6,,,Ferguson Cabin Horse Trail,The Purchase Road (closed Winter),Valid,Clepsis_virescana,Clepsis  virescana,9057,Light Brown Apple Moth,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,926726400000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Tortricoidea,Tortricidae,Tortricinae,~,UV light, , ,cert,ATBI Lepidoptera TWiG
0101000020E6100000B5EF24FEB5C454C04C7A66E9CDCA4140,140370,0101000020110F0000ED7D8DF77BA361C1A4B2779520305041,139961,>1m <=5m,ATBI DATABASE,,1446897869000,DERV,DELLWOOD,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,312122,3939833,35.584402,-83.073604,Lower Johnathans Creek,,4819.37207,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446897869000,GRSM,UNR,,6,,,Ferguson Cabin Horse Trail,The Purchase Road (closed Winter),Valid,Clepsis_virescana,Clepsis  virescana,9057,Light Brown Apple Moth,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,990403200000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Tortricoidea,Tortricidae,Tortricinae,~,UV light, , ,cert,ATBI Lepidoptera TWiG
0101000020E6100000AA6B108D5EC454C0B39E78D38FC94140,140376,0101000020110F0000A9A8E5B331A361C1AEE9F66BD42E5041,139967,>1m <=5m,ATBI DATABASE,,1446897872000,DERV,DELLWOOD,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,312583,3938746,35.574695,-83.068267,Lower Johnathans Creek,,4414.567871,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446897872000,GRSM,UNR,,7,,,Ferguson Cabin Trail,The Purchase Road (closed Winter),Valid,Clepsis_virescana,Clepsis  virescana,9057,Light Brown Apple Moth,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1023667200000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Tortricoidea,Tortricidae,Tortricinae,~,UV light, , ,cert,ATBI Lepidoptera TWiG
0101000020E6100000B95B8DDD5FC454C03C47AEECD9C94140,140375,0101000020110F0000302FADD132A361C1E7EDB5CB212F5041,139966,>1m <=5m,ATBI DATABASE,,1446897871000,DERV,DELLWOOD,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,312581,3938997,35.576956,-83.068347,Lower Johnathans Creek,,4450.203125,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446897871000,GRSM,UNR,,6,,,Ferguson Cabin Trail,The Purchase Road (closed Winter),Valid,Clepsis_virescana,Clepsis  virescana,9057,Light Brown Apple Moth,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,990316800000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Tortricoidea,Tortricidae,Tortricinae,~,UV light, , ,cert,ATBI Lepidoptera TWiG
0101000020E6100000C96A95212DCA54C09C0368C1EFC74140,140367,0101000020110F00000590764120A861C12F41D0FF212D5041,139958,>1m <=5m,ATBI DATABASE,,1446897867000,DERV,BUNCHES BALD,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,304329,3937514,35.561997,-83.159001,Upper Cataloochee Creek,,5091.078125,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446897867000,GRSM,UNR,,6,,,Hemphill Bald Trail,Heintooga Ridge Road,Valid,Clepsis_virescana,Clepsis  virescana,9057,Light Brown Apple Moth,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1090281600000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Tortricoidea,Tortricidae,Tortricinae,~,UV light, , ,cert,ATBI Lepidoptera TWiG
0101000020E610000037DAE6D026CB54C064A278FD98C64140,140364,0101000020110F0000C1FB2850F4A861C10E3FC22ABC2B5041,139955,>1m <=5m,ATBI DATABASE,,1446897865000,DERV,BUNCHES BALD,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,302922,3936384,35.551537,-83.17424,Lower Raven Fork,Flat Creek,4881.120117,,,dd,GCS,NAD83,17,,Oconaluftee District,TPCOLSON,TPCOLSON,1446897865000,GRSM,UNR,,6,,,Flat Creek Trail,Heintooga Ridge Road,Valid,Clepsis_virescana,Clepsis  virescana,9057,Light Brown Apple Moth,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,990230400000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Tortricoidea,Tortricidae,Tortricinae,~,UV light, , ,cert,ATBI Lepidoptera TWiG
