the_geom,cartodb_id,the_geom_webmercator,objectid,verror,mapsource,sourcedate,editdate,mapmethod,quadname,unitname,herror,county,state,x_coord,y_coord,lat,lon,watershed,streamname,elevation,year,notes,coord_units,coord_system,datum,utm_zone,managementzone,parkdistrict,editby,createby,createdate,unitcode,restriction,veg_class,landform,loc_name,loc_id,trail,road,valid_result,genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,dateretrieved,kingdom,subkingdom,phylum,subphylum,class,subclass,superdivision,division,subdivision,superorder,ordername,series,suborder,infraorder,superfamily,family,subfamily,tribe,collectionmethod,specimentype,dateprecision,identificationprecision,project
0101000020E61000007B71BEE565F154C0B1C237917CC34140,138247,0101000020110F00004FAEB3E16FC961C155A889EA7C285041,137866,>1m <=5m,ATBI DATABASE,,1446896680000,DERV,CADES COVE,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,248666,3935048,35.527232,-83.77184,Eagle Creek,,3578.219727,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446896680000,GRSM,UNR,,10,,,Eagle Creek Trail,Cades Cove Loop Road,Valid,Chimaphila_maculata,Chimaphila  maculata,8078,Striped Pipsissewa,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,902275200000,Plantae,Tracheobionta, , ,Magnoliopsida,Dilleniidae,Spermatophyta,Magnoliophyta, , ,Ericales, , , , ,Pyrolaceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E61000002A49A1A3AAF054C087014F8A71C14140,138272,0101000020110F00000AC0D8D7D0C861C1A61065275B265041,137888,>1m <=5m,ATBI DATABASE,,1446896692000,DERV,CADES COVE,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,249653,3933248,35.511271,-83.760411,Eagle Creek,Eagle Creek,2054.057617,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446896692000,GRSM,UNR,,8,,,Eagle Creek Trail,Lakeview Drive West,Valid,Chimaphila_maculata,Chimaphila  maculata,8078,Striped Pipsissewa,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,902361600000,Plantae,Tracheobionta, , ,Magnoliopsida,Dilleniidae,Spermatophyta,Magnoliophyta, , ,Ericales, , , , ,Pyrolaceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E6100000A241D5AB52F054C0350CD75E1CC14140,138275,0101000020110F000032A9C62186C861C13FD1C94A02265041,137891,>1m <=5m,ATBI DATABASE,,1446896694000,DERV,CADES COVE,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,250132,3932946,35.508671,-83.755042,Eagle Creek,Lane Branch,2666.96167,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446896694000,GRSM,UNR,,9,,,Eagle Creek Trail,Lakeview Drive West,Valid,Chimaphila_maculata,Chimaphila  maculata,8078,Striped Pipsissewa,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,902361600000,Plantae,Tracheobionta, , ,Magnoliopsida,Dilleniidae,Spermatophyta,Magnoliophyta, , ,Ericales, , , , ,Pyrolaceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E6100000D5622F9570F054C0EE6A301CEEC04140,138274,0101000020110F0000C6E32A899FC861C144181707D2255041,137890,>1m <=5m,ATBI DATABASE,,1446896693000,DERV,CADES COVE,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,249962,3932794,35.50726,-83.756867,Eagle Creek,Eagle Creek,2275.019531,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446896693000,GRSM,UNR,,10,,,Eagle Creek Trail,Lakeview Drive West,Valid,Chimaphila_maculata,Chimaphila  maculata,8078,Striped Pipsissewa,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,902361600000,Plantae,Tracheobionta, , ,Magnoliopsida,Dilleniidae,Spermatophyta,Magnoliophyta, , ,Ericales, , , , ,Pyrolaceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E61000003107145927F554C0BA15E8310FC34140,138185,0101000020110F000074181F71A0CC61C1F707D6C70A285041,137807,>1m <=5m,ATBI DATABASE,,1446896647000,DERV,CADES COVE,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,243333,3934829,35.523894,-83.830522,Lake Cheoah-Little Tennessee River,,4291.560059,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446896647000,GRSM,UNR,,6,,,Gregory Bald Trail,Parson Branch Road (closed Winter),Valid,Chimaphila_maculata,Chimaphila  maculata,8078,Striped Pipsissewa,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,873331200000,Plantae,Tracheobionta, , ,Magnoliopsida,Dilleniidae,Spermatophyta,Magnoliophyta, , ,Ericales, , , , ,Pyrolaceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E6100000493F0DB77AF754C0E47FC161EEC34140,138125,0101000020110F000008695B169ACE61C15D9F48B1F3285041,137747,>1m <=5m,ATBI DATABASE,,1446896615000,DERV,CADES COVE,Great Smoky Mountains National Park,>1m <=5m,Blount,Tennessee,240059,3935680,35.530706,-83.866861,Abrams Creek Upper,Panther Creek,4185.010254,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446896615000,GRSM,UNR,,7,,,Gregory Bald Trail,Parson Branch Road (closed Winter),Valid,Chimaphila_maculata,Chimaphila  maculata,8078,Striped Pipsissewa,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,997315200000,Plantae,Tracheobionta, , ,Magnoliopsida,Dilleniidae,Spermatophyta,Magnoliophyta, , ,Ericales, , , , ,Pyrolaceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E6100000365E15039FF754C09CA98C5620C44140,138124,0101000020110F0000E42015EAB8CE61C1834905D427295041,137746,>1m <=5m,ATBI DATABASE,,1446896614000,DERV,CADES COVE,Great Smoky Mountains National Park,>1m <=5m,Blount,Tennessee,239863,3935855,35.53223,-83.869076,Abrams Creek Lower,,4332.996582,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446896614000,GRSM,UNR,,6,,,Gregory Bald Trail,Parson Branch Road (closed Winter),Valid,Chimaphila_maculata,Chimaphila  maculata,8078,Striped Pipsissewa,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,978307200000,Plantae,Tracheobionta, , ,Magnoliopsida,Dilleniidae,Spermatophyta,Magnoliophyta, , ,Ericales, , , , ,Pyrolaceae, ,~,observed, ,year,cert,Fridley Veg Plots
0101000020E61000003E63E03207F654C0CB90195EBFC44140,138157,0101000020110F00007236F48E5ECD61C1406867CDCD295041,137779,>1m <=5m,ATBI DATABASE,,1446896632000,DERV,CADES COVE,Great Smoky Mountains National Park,>1m <=5m,Blount,Tennessee,242136,3936328,35.537083,-83.844185,Abrams Creek Upper,Bower Creek,3357.450684,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446896632000,GRSM,UNR,,6,,,Gregory Ridge Trail,Parson Branch Road (closed Winter),Valid,Chimaphila_maculata,Chimaphila  maculata,8078,Striped Pipsissewa,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,252460800000,Plantae,Tracheobionta, , ,Magnoliopsida,Dilleniidae,Spermatophyta,Magnoliophyta, , ,Ericales, , , , ,Pyrolaceae, ,~,observed, ,year,cert,Fridley Veg Plots
0101000020E6100000C599C7431AF654C076B4B00217C44140,138153,0101000020110F0000847A4EC06ECD61C1423FF7171E295041,137775,>1m <=5m,ATBI DATABASE,,1446896630000,DERV,CADES COVE,Great Smoky Mountains National Park,>1m <=5m,Blount,Tennessee,242014,3935761,35.531945,-83.845349,Abrams Creek Upper,Forge Creek,3823.076172,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446896630000,GRSM,UNR,,6,,,Gregory Ridge Trail,Parson Branch Road (closed Winter),Valid,Chimaphila_maculata,Chimaphila  maculata,8078,Striped Pipsissewa,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,378691200000,Plantae,Tracheobionta, , ,Magnoliopsida,Dilleniidae,Spermatophyta,Magnoliophyta, , ,Ericales, , , , ,Pyrolaceae, ,~,observed, ,year,cert,Fridley Veg Plots
0101000020E610000011FFB3F019F654C03D9EDC1719C44140,138155,0101000020110F000043E5BF796ECD61C15BDE664420295041,137777,>1m <=5m,ATBI DATABASE,,1446896631000,DERV,CADES COVE,Great Smoky Mountains National Park,>1m <=5m,Blount,Tennessee,242016,3935768,35.532009,-83.845329,Abrams Creek Upper,Forge Creek,3823.076172,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446896631000,GRSM,UNR,,6,,,Gregory Ridge Trail,Parson Branch Road (closed Winter),Valid,Chimaphila_maculata,Chimaphila  maculata,8078,Striped Pipsissewa,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,252460800000,Plantae,Tracheobionta, , ,Magnoliopsida,Dilleniidae,Spermatophyta,Magnoliophyta, , ,Ericales, , , , ,Pyrolaceae, ,~,observed, ,year,cert,Fridley Veg Plots
