the_geom,cartodb_id,the_geom_webmercator,objectid,verror,mapsource,sourcedate,editdate,mapmethod,quadname,unitname,herror,county,state,x_coord,y_coord,lat,lon,watershed,streamname,elevation,year,notes,coord_units,coord_system,datum,utm_zone,managementzone,parkdistrict,editby,createby,createdate,unitcode,restriction,veg_class,landform,loc_name,loc_id,trail,road,valid_result,genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,dateretrieved,kingdom,subkingdom,phylum,subphylum,class,subclass,superdivision,division,subdivision,superorder,ordername,series,suborder,infraorder,superfamily,family,subfamily,tribe,collectionmethod,specimentype,dateprecision,identificationprecision,project
0101000020E6100000B9593DD9ADE154C075DD9ACF54BA4140,32486,0101000020110F00000584754116BC61C1F23D1F20F01E5041,31645,>1m <=5m,ATBI DATABASE,,1446841057000,DERV,NOLAND CREEK,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,270738,3926514,35.455706,-83.526232,Noland Creek,Noland Creek,1970.967041,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446841057000,GRSM,UNR,,10,,,Noland Creek Trail,Lakeview Drive East,Valid,Scoparia_cinereomedia,Scoparia  cinereomedia,35982,Unspecified,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1090195200000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Pyraloidea,Crambidae,Scopariinae,~,UV light, ,day,cert,ATBI Lepidoptera TWIG
0101000020E6100000A1C1FCCE1CDA54C036952DE876BE4140,32497,0101000020110F0000229D8120A9B561C17DAF75903F235041,31656,>1m <=5m,ATBI DATABASE,,1446841064000,DERV,BRYSON CITY,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,281557,3929828,35.487997,-83.408004,Deep Creek,Indian Creek,2285.814453,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446841064000,GRSM,UNR,,7,,,Indian Creek Trail,Galbraith Creek Rd,Valid,Scoparia_cinereomedia,Scoparia  cinereomedia,35982,Unspecified,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1023580800000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Pyraloidea,Crambidae,Scopariinae,~,UV light, , ,cert,ATBI Lepidoptera TWiG
0101000020E6100000329504FC68D054C03BF524979CE24140,32512,0101000020110F00009BA2489D6BAD61C198CA54C604495041,31671,>1m <=5m,ATBI DATABASE,,1446841074000,DERV,JONES COVE,Great Smoky Mountains National Park,>1m <=5m,Cocke,Tennessee,296031,3960831,35.770397,-83.256404,Cosby Creek,Cricket Branch,2054.198975,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446841074000,GRSM,UNR,,7,,,Maddron Bald Trail,Cosby Entrance Road,Valid,Scoparia_cinereomedia,Scoparia  cinereomedia,35982,Unspecified,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,993427200000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Pyraloidea,Crambidae,Scopariinae,~,UV light, ,week,cert,ATBI Lepidoptera TWIG
0101000020E61000003E690E34B2CD54C03C4546BB95E34140,32514,0101000020110F000042805D891DAB61C127EC9D93094A5041,31673,>1m <=5m,ATBI DATABASE,,1446841075000,DERV,HARTFORD,Great Smoky Mountains National Park,>1m <=5m,Cocke,Tennessee,299884,3961587,35.778,-83.213998,Cosby Creek,Cosby Creek,1742.802612,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446841075000,GRSM,UNR,,6,,,Tritt Cemetery Access Trail,Cosby Government Quarters / Ranger Station Access Road,Valid,Scoparia_cinereomedia,Scoparia  cinereomedia,35982,Unspecified,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,964224000000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Pyraloidea,Crambidae,Scopariinae,~,UV light, ,day,cert,ATBI Lepidoptera TWIG
0101000020E610000036EB29C570CD54C0AD2C247C89E14140,32516,0101000020110F0000DDB1D3F6E5AA61C1A9027DD2E4475041,31675,>1m <=5m,ATBI DATABASE,,1446841075000,DERV,HARTFORD,Great Smoky Mountains National Park,>1m <=5m,Cocke,Tennessee,300205,3959804,35.762001,-83.210004,Cosby Creek,Cosby Creek,2040.874756,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446841075000,GRSM,UNR,,5,,,Gabes Mountain Trail,Cosby Entrance Road,Valid,Scoparia_cinereomedia,Scoparia  cinereomedia,35982,Unspecified,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,964483200000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Pyraloidea,Crambidae,Scopariinae,~,UV light, ,day,cert,ATBI Lepidoptera TWIG
0101000020E6100000217D47AB3FCD54C03EF9D9A727E04140,32520,0101000020110F00005C573843BCAA61C1AF4FAA8372465041,31678,>1m <=5m,ATBI DATABASE,,1446841077000,DERV,HARTFORD,Great Smoky Mountains National Park,>1m <=5m,Cocke,Tennessee,300449,3958600,35.751203,-83.207007,Cosby Creek,,2392.250244,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446841077000,GRSM,UNR,,6,,,Cosby Horse Trail,Cosby Campground Road B,Valid,Scoparia_cinereomedia,Scoparia  cinereomedia,35982,Unspecified,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,993168000000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Pyraloidea,Crambidae,Scopariinae,~,UV light, ,day,cert,ATBI Lepidoptera TWIG
0101000020E6100000793E332304CE54C0CC4F14625AE44140,32513,0101000020110F000033C08F1F63AB61C184E32A73D74A5041,31672,>1m <=5m,ATBI DATABASE,,1446841074000,DERV,HARTFORD,Great Smoky Mountains National Park,>1m <=5m,Cocke,Tennessee,299447,3962263,35.784001,-83.218999,Cosby Creek,Cosby Creek,1650.478271,,,dd,GCS,NAD83,17,,,TPCOLSON,TPCOLSON,1446841074000,GRSM,UNR,,8,,,Tritt Cemetery Access Trail,Cosby Entrance Road,Valid,Scoparia_cinereomedia,Scoparia  cinereomedia,35982,Unspecified,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,993340800000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Pyraloidea,Crambidae,Scopariinae,~,UV light, , ,cert,ATBI Lepidoptera TWiG
0101000020E61000003C2859C8C8C654C049ABF4EF47E14140,32528,0101000020110F0000CFEB59C43EA561C13201D737A0475041,31685,>1m <=5m,ATBI DATABASE,,1446841081000,DERV,WATERVILLE,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,309604,3959375,35.760001,-83.106001,Big Creek,Chestnut Branch,1627.269409,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446841081000,GRSM,UNR,,3,,,Chestnut Branch Trail,Big Creek Ranger Station Parking,Valid,Scoparia_cinereomedia,Scoparia  cinereomedia,35982,Unspecified,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1023580800000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Pyraloidea,Crambidae,Scopariinae,~,UV light, ,day,cert,ATBI Lepidoptera TWIG
0101000020E6100000B9556BBC0FCD54C0C33528AEEBDF4140,32521,0101000020110F00004929938D93AA61C1905930C033465041,31679,>1m <=5m,ATBI DATABASE,,1446841078000,DERV,LUFTEE KNOB,Great Smoky Mountains National Park,>1m <=5m,Cocke,Tennessee,300709,3958391,35.749373,-83.204081,Cosby Creek,Cosby Creek,2450.387451,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446841078000,GRSM,UNR,,3,,,Low Gap Trail Access,Cosby Campground Road B,Valid,Scoparia_cinereomedia,Scoparia  cinereomedia,35982,Unspecified,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,993168000000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Pyraloidea,Crambidae,Scopariinae,~,UV light, , ,cert,ATBI Lepidoptera TWiG
0101000020E6100000D116F6052BC754C0D16D032321D04140,32527,0101000020110F000012EDEC3392A561C1776BCD97B0355041,31684,>1m <=5m,ATBI DATABASE,,1446841080000,DERV,COVE CREEK GAP,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,308742,3944522,35.626004,-83.111997,Upper Cataloochee Creek,Palmer Creek,2738.823242,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446841080000,GRSM,UNR,,6,,,Cataloochee Horse Trail,Cataloochee Entrance Road,Valid,Scoparia_cinereomedia,Scoparia  cinereomedia,35982,Unspecified,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1023408000000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Pyraloidea,Crambidae,Scopariinae,~,at light, , ,cert,ATBI Lepidoptera TWiG
0101000020E61000008D94442EACC454C037E70A3D02CB4140,32538,0101000020110F00008A1D37A273A361C1C551E73A57305041,31695,>1m <=5m,ATBI DATABASE,,1446841085000,DERV,DELLWOOD,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,312180,3940009,35.585999,-83.073005,Lower Johnathans Creek,,4917.642578,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446841085000,GRSM,UNR,,7,,,Science Center Trail,The Purchase Road (closed Winter),Valid,Scoparia_cinereomedia,Scoparia  cinereomedia,35982,Unspecified,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,964396800000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Pyraloidea,Crambidae,Scopariinae,~,at light, ,day,cert,ATBI Lepidoptera TWIG
