the_geom,cartodb_id,the_geom_webmercator,objectid,verror,mapsource,sourcedate,editdate,mapmethod,quadname,unitname,herror,county,state,x_coord,y_coord,lat,lon,watershed,streamname,elevation,year,notes,coord_units,coord_system,datum,utm_zone,managementzone,parkdistrict,editby,createby,createdate,unitcode,restriction,veg_class,landform,loc_name,loc_id,trail,road,valid_result,genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,dateretrieved,kingdom,subkingdom,phylum,subphylum,class,subclass,superdivision,division,subdivision,superorder,ordername,series,suborder,infraorder,superfamily,family,subfamily,tribe,collectionmethod,specimentype,dateprecision,identificationprecision,project
0101000020E61000001D32C7ED35F654C0636ACC9D39BD4140,73988,0101000020110F000061CF0C3F86CD61C1FDB25BA1F4215041,73364,>1m <=5m,ATBI DATABASE,,1446864612000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,241689,3929815,35.478314,-83.847037,Lake Cheoah-Little Tennessee River,Twentymile Creek,2037.833496,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446864612000,GRSM,UNR,,2,,,Twentymile Trail,Twenty Mile Trailhead Parking,Valid,Viola_rotundifolia,Viola  rotundifolia,42340,Round-leaf Violet,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1020297600000,Plantae,Tracheobionta, , ,Magnoliopsida,Dilleniidae,Spermatophyta,Magnoliophyta, , ,Violales, , , , ,Violaceae, ,~,observed, , ,cert,INHS plant survey
0101000020E61000003E590123E7F154C08A9D77034FBE4140,74024,0101000020110F00005F5506A5DDC961C1FFFB0AF415235041,73399,>1m <=5m,ATBI DATABASE,,1446864631000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,247824,3930580,35.486779,-83.779728,Eagle Creek,Lost Cove Creek,1805.893677,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446864631000,GRSM,UNR,,5,,,Lakeshore Trail,Lakeview Drive West,Valid,Viola_rotundifolia,Viola  rotundifolia,42340,Round-leaf Violet,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1082851200000,Plantae,Tracheobionta, , ,Magnoliopsida,Dilleniidae,Spermatophyta,Magnoliophyta, , ,Violales, , , , ,Violaceae, ,~,observed, , ,cert,INHS plant survey
0101000020E61000005FFA31C288EC54C0C43CCBF6D8BD4140,74045,0101000020110F000052A283624EC561C1B7A12BD39A225041,73420,>1m <=5m,ATBI DATABASE,,1446864643000,DERV,TUSKEEGEE,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,255425,3929969,35.483177,-83.695843,Hazel Creek,Hazel Creek,2037.49939,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446864643000,GRSM,UNR,,4,,,Hazel Creek Trail,Lakeview Drive West,Valid,Viola_rotundifolia,Viola  rotundifolia,42340,Round-leaf Violet,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1096848000000,Plantae,Tracheobionta, , ,Magnoliopsida,Dilleniidae,Spermatophyta,Magnoliophyta, , ,Violales, , , , ,Violaceae, ,~,observed, , ,cert,INHS plant survey
0101000020E6100000E1629654C5ED54C0540D4E86DBBC4140,74043,0101000020110F00009AE7D73F5BC661C1CB5F118092215041,73418,>1m <=5m,ATBI DATABASE,,1446864642000,DERV,TUSKEEGEE,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,253648,3929159,35.475443,-83.715165,Hazel Creek,Hazel Creek,1798.43335,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446864642000,GRSM,UNR,,4,,,Hazel Creek Trail,Lakeview Drive West,Valid,Viola_rotundifolia,Viola  rotundifolia,42340,Round-leaf Violet,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1051574400000,Plantae,Tracheobionta, , ,Magnoliopsida,Dilleniidae,Spermatophyta,Magnoliophyta, , ,Violales, , , , ,Violaceae, ,~,observed, , ,cert,INHS plant survey
0101000020E6100000293CA020FCED54C03BED00BA35BC4140,74041,0101000020110F00005A61DCC989C661C1A6EC4E98E5205041,73416,>1m <=5m,ATBI DATABASE,,1446864641000,DERV,TUSKEEGEE,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,253329,3928606,35.470383,-83.71851,Hazel Creek,Hazel Creek,1753.051636,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446864641000,GRSM,UNR,,1,,,Lakeshore Trail,Lakeview Drive West,Valid,Viola_rotundifolia,Viola  rotundifolia,42340,Round-leaf Violet,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1051660800000,Plantae,Tracheobionta, , ,Magnoliopsida,Dilleniidae,Spermatophyta,Magnoliophyta, , ,Violales, , , , ,Violaceae, ,~,observed, , ,cert,INHS plant survey
0101000020E610000029543D1A60E854C0333CF3FB09BD4140,74074,0101000020110F0000DE760D2CC6C161C1D3A50EF4C2215041,73445,>1m <=5m,ATBI DATABASE,,1446864657000,DERV,TUSKEEGEE,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,261303,3929109,35.47686,-83.630862,Lower Fontana Lake-Little Tennessee River,West Fork Chambers Creek,3396.994141,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446864657000,GRSM,UNR,,6,,,Cold Spring Gap Trail,Lakeview Drive East Parking #4,Valid,Viola_rotundifolia,Viola  rotundifolia,42340,Round-leaf Violet,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1083024000000,Plantae,Tracheobionta, , ,Magnoliopsida,Dilleniidae,Spermatophyta,Magnoliophyta, , ,Violales, , , , ,Violaceae, ,~,observed, , ,cert,INHS plant survey
0101000020E6100000C7B93E8DAAE554C0E3BEC1564ABE4140,74081,0101000020110F000029BFA22379BF61C118A6D11311235041,73451,>1m <=5m,ATBI DATABASE,,1446864660000,DERV,NOLAND CREEK,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,265173,3930092,35.486637,-83.588531,Forney Creek,,3038.146973,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446864660000,GRSM,UNR,,6,,,Bear Creek Trail,Lakeview Drive East Parking #4,Valid,Viola_rotundifolia,Viola  rotundifolia,42340,Round-leaf Violet,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1149638400000,Plantae,Tracheobionta, , ,Magnoliopsida,Dilleniidae,Spermatophyta,Magnoliophyta, , ,Violales, , , , ,Violaceae, ,~,observed,No,day,cert,ATBI
0101000020E6100000163AACF97CE254C07B7CC1F588BA4140,74082,0101000020110F0000C872202BC6BC61C1CA84B67F261F5041,73452,>1m <=5m,ATBI DATABASE,,1446864661000,DERV,NOLAND CREEK,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,269595,3926720,35.457298,-83.538874,Noland Creek,Laurel Branch,2137.520996,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446864661000,GRSM,UNR,,1,,,Tunnel Bypass Trail NC,Lakeview Drive East,Valid,Viola_rotundifolia,Viola  rotundifolia,42340,Round-leaf Violet,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1087603200000,Plantae,Tracheobionta, , ,Magnoliopsida,Dilleniidae,Spermatophyta,Magnoliophyta, , ,Violales, , , , ,Violaceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E6100000F6BDBE1D7BDF54C02BFFBF89DFBF4140,74086,0101000020110F00009B5EAF5338BA61C146B23DC0B7245041,73456,>1m <=5m,ATBI DATABASE,,1446864663000,DERV,BRYSON CITY,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,273977,3931238,35.499003,-83.491885,Noland Creek,Noland Creek,2738.967041,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446864663000,GRSM,UNR,,1,,,Noland Creek Trail,Lakeview Drive East,Valid,Viola_rotundifolia,Viola  rotundifolia,42340,Round-leaf Violet,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1087257600000,Plantae,Tracheobionta, , ,Magnoliopsida,Dilleniidae,Spermatophyta,Magnoliophyta, , ,Violales, , , , ,Violaceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E6100000BFCEA65319DB54C0043876B6EBBD4140,74101,0101000020110F00003F6F3D977FB661C106123E61AE225041,73471,>1m <=5m,ATBI DATABASE,,1446864671000,DERV,BRYSON CITY,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,280147,3929391,35.483749,-83.423417,Deep Creek,Deep Creek,1939.737793,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446864671000,GRSM,UNR,,6,,,Deep Creek Trail,Tom Branch Road,Valid,Viola_rotundifolia,Viola  rotundifolia,42340,Round-leaf Violet,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1027382400000,Plantae,Tracheobionta, , ,Magnoliopsida,Dilleniidae,Spermatophyta,Magnoliophyta, , ,Violales, , , , ,Violaceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E6100000F718B4A9BDCC54C0EB981B55CBE04140,74114,0101000020110F0000E1D62AD94DAA61C17AC2C2CE1D475041,73485,>1m <=5m,ATBI DATABASE,,1446864680000,DERV,HARTFORD,Great Smoky Mountains National Park,>1m <=5m,Cocke,Tennessee,301179,3959138,35.756198,-83.199072,Cosby Creek,,2434.036133,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446864680000,GRSM,UNR,,2,,,Lower Mount Cammerer Trail,Cosby Campground Road B,Valid,Viola_rotundifolia,Viola  rotundifolia,42340,Round-leaf Violet,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,925516800000,Plantae,Tracheobionta, , ,Magnoliopsida,Dilleniidae,Spermatophyta,Magnoliophyta, , ,Violales, , , , ,Violaceae, ,~,observed, , ,cert,INHS plant survey
0101000020E6100000FD7FB617E9C654C04C2CD778BCDC4140,74132,0101000020110F0000A84C39355AA561C1288C80C9DE425041,73501,>1m <=5m,ATBI DATABASE,,1446864688000,DERV,COVE CREEK GAP,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,309341,3955440,35.724495,-83.107973,Big Creek,Baxter Creek,4026.688721,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446864688000,GRSM,UNR,,7,,,Baxter Creek Trail,Old Cataloochee Turnpike,Valid,Viola_rotundifolia,Viola  rotundifolia,42340,Round-leaf Violet,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,961632000000,Plantae,Tracheobionta, , ,Magnoliopsida,Dilleniidae,Spermatophyta,Magnoliophyta, , ,Violales, , , , ,Violaceae, ,~,by hand, , ,cert,INHS plant survey
0101000020E61000004195385D1CCE54C03374897617DF4140,74112,0101000020110F0000F595F0B277AB61C1734AE2AD55455041,73483,>1m <=5m,ATBI DATABASE,,1446864678000,DERV,LUFTEE KNOB,Great Smoky Mountains National Park,>1m <=5m,Cocke,Tennessee,299210,3957706,35.742897,-83.220477,Cosby Creek,Inadu Creek,3092.985596,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446864678000,GRSM,UNR,,5,,,Snake Den Ridge Trail,Cosby Campground Road B,Valid,Viola_rotundifolia,Viola  rotundifolia,42340,Round-leaf Violet,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,925430400000,Plantae,Tracheobionta, , ,Magnoliopsida,Dilleniidae,Spermatophyta,Magnoliophyta, , ,Violales, , , , ,Violaceae, ,~,observed, , ,cert,INHS plant survey
0101000020E610000009C7EA5E40CE54C06E395E5B21DF4140,74111,0101000020110F00007A2E884796AB61C16334390860455041,73481,>1m <=5m,ATBI DATABASE,,1446864677000,DERV,LUFTEE KNOB,Great Smoky Mountains National Park,>1m <=5m,Cocke,Tennessee,299012,3957744,35.743199,-83.222675,Cosby Creek,Inadu Creek,3195.136475,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446864677000,GRSM,UNR,,4,,,Snake Den Ridge Trail,Cosby Campground Road B,Valid,Viola_rotundifolia,Viola  rotundifolia,42340,Round-leaf Violet,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,925430400000,Plantae,Tracheobionta, , ,Magnoliopsida,Dilleniidae,Spermatophyta,Magnoliophyta, , ,Violales, , , , ,Violaceae, ,~,observed, , ,cert,INHS plant survey
0101000020E6100000B7CF4B412ECE54C073BCC56D3BDF4140,74055,0101000020110F0000868CCCE486AB61C1342C54507B455041,73482,>1m <=5m,ATBI DATABASE,,1446864678000,DERV,LUFTEE KNOB,Great Smoky Mountains National Park,>1m <=5m,Cocke,Tennessee,299114,3957830,35.743994,-83.221569,Cosby Creek,Inadu Creek,3066.615479,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446864678000,GRSM,UNR,,2,,,Snake Den Ridge Trail,Cosby Campground Road B,Valid,Viola_rotundifolia,Viola  rotundifolia,42340,Round-leaf Violet,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,925430400000,Plantae,Tracheobionta, , ,Magnoliopsida,Dilleniidae,Spermatophyta,Magnoliophyta, , ,Violales, , , , ,Violaceae, ,~,observed, , ,cert,INHS plant survey
0101000020E6100000F295346A71CE54C0722DFFC603DF4140,74110,0101000020110F00006205BEEEBFAB61C17FA1911441455041,73480,>1m <=5m,ATBI DATABASE,,1446864677000,DERV,LUFTEE KNOB,Great Smoky Mountains National Park,>1m <=5m,Cocke,Tennessee,298739,3957650,35.742296,-83.225668,Cosby Creek,Inadu Creek,3410.700684,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446864677000,GRSM,UNR,,4,,,Snake Den Ridge Trail,Cosby Campground Road B,Valid,Viola_rotundifolia,Viola  rotundifolia,42340,Round-leaf Violet,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,933033600000,Plantae,Tracheobionta, , ,Magnoliopsida,Dilleniidae,Spermatophyta,Magnoliophyta, , ,Violales, , , , ,Violaceae, ,~,observed, , ,cert,INHS plant survey
0101000020E6100000E2BC8B3980CE54C0EAAF31910DDF4140,74109,0101000020110F0000DE98BA82CCAB61C19CE004534B455041,73479,>1m <=5m,ATBI DATABASE,,1446864677000,DERV,LUFTEE KNOB,Great Smoky Mountains National Park,>1m <=5m,Cocke,Tennessee,298658,3957685,35.742595,-83.226572,Cosby Creek,Inadu Creek,3450.662842,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446864677000,GRSM,UNR,,7,,,Snake Den Ridge Trail,Cosby Campground Road B,Valid,Viola_rotundifolia,Viola  rotundifolia,42340,Round-leaf Violet,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,925430400000,Plantae,Tracheobionta, , ,Magnoliopsida,Dilleniidae,Spermatophyta,Magnoliophyta, , ,Violales, , , , ,Violaceae, ,~,observed, , ,cert,INHS plant survey
0101000020E61000002A520B6C88CE54C08426C1CF03DF4140,74108,0101000020110F0000F2F5FB78D3AB61C18D98BB1D41455041,73478,>1m <=5m,ATBI DATABASE,,1446864676000,DERV,LUFTEE KNOB,Great Smoky Mountains National Park,>1m <=5m,Cocke,Tennessee,298612,3957653,35.742297,-83.227073,Cosby Creek,Inadu Creek,3466.187744,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446864676000,GRSM,UNR,,6,,,Snake Den Ridge Trail,Cosby Campground Road B,Valid,Viola_rotundifolia,Viola  rotundifolia,42340,Round-leaf Violet,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,933033600000,Plantae,Tracheobionta, , ,Magnoliopsida,Dilleniidae,Spermatophyta,Magnoliophyta, , ,Violales, , , , ,Violaceae, ,~,observed, , ,cert,INHS plant survey
0101000020E61000009D8AE25556CA54C066CFA96148D14140,74117,0101000020110F0000E682234043A861C192078C19E5365041,73488,>1m <=5m,ATBI DATABASE,,1446864681000,DERV,LUFTEE KNOB,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,304279,3945619,35.635015,-83.161516,Upper Cataloochee Creek,Beech Creek,3969.5354,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446864681000,GRSM,UNR,,6,,,Palmer Creek Trail,Balsam Mountain Road (closed Winter),Valid,Viola_rotundifolia,Viola  rotundifolia,42340,Round-leaf Violet,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,899251200000,Plantae,Tracheobionta, , ,Magnoliopsida,Dilleniidae,Spermatophyta,Magnoliophyta, , ,Violales, , , , ,Violaceae, ,~,observed, ,day,cert,Fridley Veg Plots
