the_geom,cartodb_id,the_geom_webmercator,objectid,verror,mapsource,sourcedate,editdate,mapmethod,quadname,unitname,herror,county,state,x_coord,y_coord,lat,lon,watershed,streamname,elevation,year,notes,coord_units,coord_system,datum,utm_zone,managementzone,parkdistrict,editby,createby,createdate,unitcode,restriction,veg_class,landform,loc_name,loc_id,trail,road,valid_result,genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,dateretrieved,kingdom,subkingdom,phylum,subphylum,class,subclass,superdivision,division,subdivision,superorder,ordername,series,suborder,infraorder,superfamily,family,subfamily,tribe,collectionmethod,specimentype,dateprecision,identificationprecision,project
0101000020E6100000095675ECA6E754C0A5FFD29A0DB94140,31751,0101000020110F0000C1C54EE628C161C1E52EB4FC9A1D5041,30914,>1m <=5m,ATBI DATABASE,,1446840662000,DERV,NOLAND CREEK,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,262237,3925627,35.445721,-83.619559,Lower Fontana Lake-Little Tennessee River,,1718.332153,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446840662000,GRSM,UNR,,10,,,Lakeshore Trail,Lakeview Drive East Parking #4,Valid,Schizachyrium_scoparium_v_scoparium,Schizachyrium  scoparium v. scoparium,35757,Little False Bluestem,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1065398400000,Plantae,Tracheobionta, , ,Liliopsida,Commelinidae,Spermatophyta,Magnoliophyta, , ,Cyperales, , , , ,Poaceae, ,~,observed, , ,cert,INHS plant survey
0101000020E6100000C780E73C15E654C056F218C24ABA4140,31755,0101000020110F000069C16FBFD3BF61C1AC12E0A4E51E5041,30918,>1m <=5m,ATBI DATABASE,,1446840664000,DERV,NOLAND CREEK,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,264491,3926642,35.4554,-83.595042,Fontana Lake-Tuckasegee River,,1916.026611,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446840664000,GRSM,UNR,,6,,,Lakeshore Trail,Lakeview Drive East Parking #4,Valid,Schizachyrium_scoparium_v_scoparium,Schizachyrium  scoparium v. scoparium,35757,Little False Bluestem,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1065484800000,Plantae,Tracheobionta, , ,Liliopsida,Commelinidae,Spermatophyta,Magnoliophyta, , ,Cyperales, , , , ,Poaceae, ,~,observed, , ,cert,INHS plant survey
0101000020E6100000EDB22DD01CE654C09306ECA755BA4140,31754,0101000020110F0000C975762EDABF61C1D6E8A901F11E5041,30917,>1m <=5m,ATBI DATABASE,,1446840664000,DERV,NOLAND CREEK,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,264450,3926680,35.455732,-83.595505,Fontana Lake-Tuckasegee River,,1896.024414,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446840664000,GRSM,UNR,,7,,,Lakeshore Trail,Lakeview Drive East Parking #4,Valid,Schizachyrium_scoparium_v_scoparium,Schizachyrium  scoparium v. scoparium,35757,Little False Bluestem,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1065484800000,Plantae,Tracheobionta, , ,Liliopsida,Commelinidae,Spermatophyta,Magnoliophyta, , ,Cyperales, , , , ,Poaceae, ,~,observed, , ,cert,INHS plant survey
0101000020E610000087764BFB11E154C0ACC4940686BC4140,31759,0101000020110F00008F87B9E091BB61C1EE6BBC5539215041,30922,>1m <=5m,ATBI DATABASE,,1446840666000,DERV,NOLAND CREEK,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,271650,3928392,35.472833,-83.516718,Noland Creek,Noland Creek,2163.851562,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446840666000,GRSM,UNR,,3,,,Noland Creek Trail,Lakeview Drive East,Valid,Schizachyrium_scoparium_v_scoparium,Schizachyrium  scoparium v. scoparium,35757,Little False Bluestem,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1065744000000,Plantae,Tracheobionta, , ,Liliopsida,Commelinidae,Spermatophyta,Magnoliophyta, , ,Cyperales, , , , ,Poaceae, ,~,by hand, , ,cert,INHS plant survey
0101000020E6100000F1BD7BB741E354C07D6CD15D2DBA4140,31756,0101000020110F0000CA55D3426DBD61C16413CEFFC61E5041,30919,>1m <=5m,ATBI DATABASE,,1446840664000,DERV,NOLAND CREEK,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,268497,3926438,35.454503,-83.550882,Fontana Lake-Tuckasegee River,Goldmine Branch,1861.640625,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446840664000,GRSM,UNR,,7,,,Goldmine Loop Trail,Lakeview Drive East Parking #4,Valid,Schizachyrium_scoparium_v_scoparium,Schizachyrium  scoparium v. scoparium,35757,Little False Bluestem,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1027641600000,Plantae,Tracheobionta, , ,Liliopsida,Commelinidae,Spermatophyta,Magnoliophyta, , ,Cyperales, , , , ,Poaceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E610000065F35CD2FDE254C0CB82C6A2E2BA4140,31757,0101000020110F000067DC089933BD61C1A2019700841F5041,30920,>1m <=5m,ATBI DATABASE,,1446840665000,DERV,NOLAND CREEK,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,268889,3927042,35.460035,-83.546738,Fontana Lake-Tuckasegee River,,2131.724121,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446840665000,GRSM,UNR,,7,,,Lakeshore Trail,Lakeview Drive East Parking #4,Valid,Schizachyrium_scoparium_v_scoparium,Schizachyrium  scoparium v. scoparium,35757,Little False Bluestem,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1027641600000,Plantae,Tracheobionta, , ,Liliopsida,Commelinidae,Spermatophyta,Magnoliophyta, , ,Cyperales, , , , ,Poaceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E61000005E3DC6935FDD54C0CA2E7B862EBE4140,31760,0101000020110F000016E3A6186EB861C17B0F1711F4225041,30923,>1m <=5m,ATBI DATABASE,,1446840666000,DERV,BRYSON CITY,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,276928,3929697,35.485788,-83.458955,Deep Creek,Long Branch,4034.660156,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446840666000,GRSM,UNR,,10,,,Noland Divide Trail,Deep Creek Falls And Trail Parking,Valid,Schizachyrium_scoparium_v_scoparium,Schizachyrium  scoparium v. scoparium,35757,Little False Bluestem,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1372032000000,Plantae,Tracheobionta, , ,Liliopsida,Commelinidae,Spermatophyta,Magnoliophyta, , ,Cyperales, , , , ,Poaceae, ,~,observed,No,day,cert,ATBI
0101000020E6100000EAC712154BCC54C082C8BF22C1E14140,31762,0101000020110F00004E91F488ECA961C150B8C3111F485041,30925,>1m <=5m,ATBI DATABASE,,1446840667000,DERV,HARTFORD,Great Smoky Mountains National Park,>1m <=5m,Cocke,Tennessee,301830,3959956,35.7637,-83.192079,Cosby Creek,Riding Fork,2471.793945,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446840667000,GRSM,UNR,,3,,,Lower Mount Cammerer Trail,Cosby Picnic Area Parking C,Valid,Schizachyrium_scoparium_v_scoparium,Schizachyrium  scoparium v. scoparium,35757,Little False Bluestem,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,970185600000,Plantae,Tracheobionta, , ,Liliopsida,Commelinidae,Spermatophyta,Magnoliophyta, , ,Cyperales, , , , ,Poaceae, ,~,by hand, , ,cert,INHS plant survey
0101000020E61000006F319AF0E6C754C0F4FDC9294BE14140,31763,0101000020110F0000C12CE9CC31A661C1F6EB2B98A3475041,30926,>1m <=5m,ATBI DATABASE,,1446840668000,DERV,WATERVILLE,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,308025,3959420,35.760099,-83.123467,Big Creek,,2212.136719,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446840668000,GRSM,UNR,,6,,,Chestnut Branch Trail,Big Creek Entrance Road,Valid,Schizachyrium_scoparium_v_scoparium,Schizachyrium  scoparium v. scoparium,35757,Little False Bluestem,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,970099200000,Plantae,Tracheobionta, , ,Liliopsida,Commelinidae,Spermatophyta,Magnoliophyta, , ,Cyperales, , , , ,Poaceae, ,~,by hand, , ,cert,INHS plant survey
0101000020E61000001949399A8EC554C09419E180E5DC4140,31764,0101000020110F0000007005EF33A461C1816464B609435041,30927,>1m <=5m,ATBI DATABASE,,1446840668000,DERV,COVE CREEK GAP,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,311257,3955538,35.725747,-83.086825,Big Creek,Laurel Creek,2796.38623,,,dd,GCS,NAD83,17,,,TPCOLSON,TPCOLSON,1446840668000,GRSM,UNR,,5,,,Baxter Creek Trail,Old Cataloochee Turnpike,Valid,Schizachyrium_scoparium_v_scoparium,Schizachyrium  scoparium v. scoparium,35757,Little False Bluestem,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1123977600000,Plantae,Tracheobionta, , ,Liliopsida,Commelinidae,Spermatophyta,Magnoliophyta, , ,Cyperales, , , , ,Poaceae, ,~,observed,No,day,cert,ATBI
0101000020E6100000AD81138899C454C05BFDB43800CB4140,31765,0101000020110F00005C277ECB63A361C1EFCDAC1F55305041,30928,>1m <=5m,ATBI DATABASE,,1446840669000,DERV,DELLWOOD,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,312283,3940000,35.585937,-83.071867,Lower Johnathans Creek,Cove Creek,4866.006836,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446840669000,GRSM,UNR,,6,,,Science Center Trail,The Purchase Road (closed Winter),Valid,Schizachyrium_scoparium_v_scoparium,Schizachyrium  scoparium v. scoparium,35757,Little False Bluestem,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1188777600000,Plantae,Tracheobionta, , ,Liliopsida,Commelinidae,Spermatophyta,Magnoliophyta, , ,Cyperales, , , , ,Poaceae, ,~,observed,No,day,cert,General
