the_geom,cartodb_id,the_geom_webmercator,objectid,verror,mapsource,sourcedate,editdate,mapmethod,quadname,unitname,herror,county,state,x_coord,y_coord,lat,lon,watershed,streamname,elevation,year,notes,coord_units,coord_system,datum,utm_zone,managementzone,parkdistrict,editby,createby,createdate,unitcode,restriction,veg_class,landform,loc_name,loc_id,trail,road,valid_result,genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,dateretrieved,kingdom,subkingdom,phylum,subphylum,class,subclass,superdivision,division,subdivision,superorder,ordername,series,suborder,infraorder,superfamily,family,subfamily,tribe,collectionmethod,specimentype,dateprecision,identificationprecision,project
0101000020E6100000E88F7D51E1EE54C0CBD744EAE6BC4140,168536,0101000020110F00006740BE704CC761C107F721619E215041,168226,>1m <=5m,ATBI DATABASE,,1446913815000,DERV,TUSKEEGEE,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,252076,3929241,35.47579,-83.732498,Hazel Creek,Shehan Branch,1760.306274,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446913815000,GRSM,UNR,,6,,,Lakeshore Trail,Lakeview Drive West,Valid,Eupatorium_fistulosum,Eupatorium  fistulosum,15686,Trumpetweed,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1096761600000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Asterales, , , , ,Asteraceae, ,~,by hand, , ,cert,INHS plant survey
0101000020E61000003EEA84D7BBED54C0410929FB8BBD4140,168539,0101000020110F00006CBFD53053C661C1231468884A225041,168229,>1m <=5m,ATBI DATABASE,,1446913817000,DERV,TUSKEEGEE,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,253717,3929755,35.480828,-83.714586,Hazel Creek,Hazel Creek,1828.611206,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446913817000,GRSM,UNR,,4,,,Hazel Creek Trail,Lakeview Drive West,Valid,Eupatorium_fistulosum,Eupatorium  fistulosum,15686,Trumpetweed,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1096848000000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Asterales, , , , ,Asteraceae, ,~,observed, , ,cert,INHS plant survey
0101000020E6100000314FECD62FE354C053E28EC5E3BA4140,168542,0101000020110F00009C91F3135EBD61C1C9FFC92F851F5041,168233,>1m <=5m,ATBI DATABASE,,1446913820000,DERV,NOLAND CREEK,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,268612,3927053,35.460069,-83.549791,Fontana Lake-Tuckasegee River,,1922.019287,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446913820000,GRSM,UNR,,4,,,Goldmine Loop Trail,Lakeview Drive East Parking #4,Valid,Eupatorium_fistulosum,Eupatorium  fistulosum,15686,Trumpetweed,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1027641600000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Asterales, , , , ,Asteraceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E6100000516E57BF84DA54C043B49518BDBD4140,168547,0101000020110F00003169FD6601B661C1C1933AC27D225041,168238,>1m <=5m,ATBI DATABASE,,1446913822000,DERV,BRYSON CITY,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,280966,3929213,35.482326,-83.414348,Deep Creek,Indian Creek,2230.031494,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446913822000,GRSM,UNR,,4,,,Indian Creek Trail,Indian Camp Creek Road,Valid,Eupatorium_fistulosum,Eupatorium  fistulosum,15686,Trumpetweed,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,969408000000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Asterales, , , , ,Asteraceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E6100000BFCEA65319DB54C0043876B6EBBD4140,168545,0101000020110F00003F6F3D977FB661C106123E61AE225041,168236,>1m <=5m,ATBI DATABASE,,1446913821000,DERV,BRYSON CITY,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,280147,3929391,35.483749,-83.423417,Deep Creek,Deep Creek,1939.737793,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446913821000,GRSM,UNR,,6,,,Deep Creek Trail,Tom Branch Road,Valid,Eupatorium_fistulosum,Eupatorium  fistulosum,15686,Trumpetweed,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1027382400000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Asterales, , , , ,Asteraceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E610000006359F1A3FDB54C0A55FF93882BD4140,168544,0101000020110F00007A50CCAC9FB661C10C09E15A40225041,168235,>1m <=5m,ATBI DATABASE,,1446913821000,DERV,BRYSON CITY,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,279929,3929039,35.48053,-83.425723,Deep Creek,Deep Creek,1926.151367,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446913821000,GRSM,UNR,,6,,,Deep Creek Trail,Tom Branch Road,Valid,Eupatorium_fistulosum,Eupatorium  fistulosum,15686,Trumpetweed,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1027382400000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Asterales, , , , ,Asteraceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E61000009920A96C15D354C03A6DD2DC66C14140,168556,0101000020110F0000715FD5E8B0AF61C1985F600350265041,168246,>1m <=5m,ATBI DATABASE,,1446913826000,DERV,SMOKEMONT,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,291581,3932136,35.510945,-83.298179,Lower Oconaluftee River,,2021.835327,,,dd,GCS,NAD83,17,,,TPCOLSON,TPCOLSON,1446913826000,GRSM,UNR,,6,,,Oconaluftee River Trail,Access Road To Big Cove Road,Valid,Eupatorium_fistulosum,Eupatorium  fistulosum,15686,Trumpetweed,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,969408000000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Asterales, , , , ,Asteraceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E6100000B6E7EBF260D354C09B06E1EB9AC14140,168555,0101000020110F0000D3636D0DF1AF61C16A0D715486265041,168245,>1m <=5m,ATBI DATABASE,,1446913826000,DERV,SMOKEMONT,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,291167,3932322,35.512533,-83.302788,Lower Oconaluftee River,Oconaluftee River,2018.367676,,,dd,GCS,NAD83,17,,Oconaluftee District,TPCOLSON,TPCOLSON,1446913826000,GRSM,UNR,,6,,,Oconaluftee River Trail,Oconaluftee Maintenance Area,Valid,Eupatorium_fistulosum,Eupatorium  fistulosum,15686,Trumpetweed,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,969408000000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Asterales, , , , ,Asteraceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E610000066FCDF37FCDA54C02BAFFFB4FDCE4140,168546,0101000020110F0000509871DE66B661C12E644A1B80345041,168237,>1m <=5m,ATBI DATABASE,,1446913822000,DERV,CLINGMANS DOME,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,280672,3944182,35.617111,-83.42164,West Prong Little Pigeon River Upper,Walker Camp Prong,4838.005371,,,dd,GCS,NAD83,17,,Little River District,TPCOLSON,TPCOLSON,1446913822000,GRSM,UNR,,10,,,Appalachian Trail,Newfound Gap Road North,Valid,Eupatorium_fistulosum,Eupatorium  fistulosum,15686,Trumpetweed,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1126396800000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Asterales, , , , ,Asteraceae, ,~,observed,No,day,cert,ATBI
0101000020E6100000DD0E17FD24DC54C05366D1DBE2D44140,168543,0101000020110F000029EB84EA62B761C187D2E33CA93A5041,168234,>1m <=5m,ATBI DATABASE,,1446913820000,DERV,MOUNT LE CONTE,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,279158,3949332,35.663166,-83.439754,Roaring Fork,,5189.88916,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446913820000,GRSM,UNR,,1,,,Trillium Gap Trail,Roaring Fork Motor Nature Trail,Valid,Eupatorium_fistulosum,Eupatorium  fistulosum,15686,Trumpetweed,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,903052800000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Asterales, , , , ,Asteraceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E61000006EFE7359CBD754C07D3B4E808ADF4140,168554,0101000020110F0000BB321A1AB1B361C14792910ECE455041,168244,>1m <=5m,ATBI DATABASE,,1446913825000,DERV,MOUNT GUYOT,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,285535,3958416,35.746407,-83.371782,Webb Creek,,1412.422852,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446913825000,GRSM,UNR,,6,,,Old Settlers Trail,Greenbrier Unpaved Road,Valid,Eupatorium_fistulosum,Eupatorium  fistulosum,15686,Trumpetweed,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1249257600000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Asterales, , , , ,Asteraceae, ,~,observed,No,day,prob.,General
