the_geom,cartodb_id,the_geom_webmercator,objectid,verror,mapsource,sourcedate,editdate,mapmethod,quadname,unitname,herror,county,state,x_coord,y_coord,lat,lon,watershed,streamname,elevation,year,notes,coord_units,coord_system,datum,utm_zone,managementzone,parkdistrict,editby,createby,createdate,unitcode,restriction,veg_class,landform,loc_name,loc_id,trail,road,valid_result,genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,dateretrieved,kingdom,subkingdom,phylum,subphylum,class,subclass,superdivision,division,subdivision,superorder,ordername,series,suborder,infraorder,superfamily,family,subfamily,tribe,collectionmethod,specimentype,dateprecision,identificationprecision,project
0101000020E61000005ACC84C9CEF654C0DCAD8C1D7FBC4140,184926,0101000020110F00000950A61108CE61C1C32AE02032215041,184529,>1m <=5m,ATBI DATABASE,,1446923154000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,240824,3929208,35.472622,-83.856367,Lake Cheoah-Little Tennessee River,Twentymile Creek,1807.704224,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446923154000,GRSM,UNR,,2,,,Twentymile Trail,Twenty Mile Trailhead Parking,Valid,Houstonia_serpyllifolia,Houstonia  serpyllifolia,19363,Thyme-leaf Bluet,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1020297600000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Rubiales, , , , ,Rubiaceae, ,~,by hand, , ,cert,INHS plant survey
0101000020E6100000825619F3FEED54C064EEFBF351BC4140,184963,0101000020110F0000D51B752F8CC661C1810FD90703215041,184568,>1m <=5m,ATBI DATABASE,,1446923175000,DERV,TUSKEEGEE,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,253316,3928702,35.471244,-83.718682,Hazel Creek,Hazel Creek,1738.276611,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446923175000,GRSM,UNR,,6,,,Hazel Creek Trail,Lakeview Drive West,Valid,Houstonia_serpyllifolia,Houstonia  serpyllifolia,19363,Thyme-leaf Bluet,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1051574400000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Rubiales, , , , ,Rubiaceae, ,~,by hand, , ,cert,INHS plant survey
0101000020E6100000B3EB888A2BE754C0EC4EE35DFCBA4140,184975,0101000020110F0000C3795F1CC0C061C1276801D59E1F5041,184579,>1m <=5m,ATBI DATABASE,,1446923182000,DERV,NOLAND CREEK,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,262965,3927284,35.46082,-83.612028,Lower Fontana Lake-Little Tennessee River,West Fork Chambers Creek,2100.880615,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446923182000,GRSM,UNR,,7,,,Campsite 98 access,Lakeview Drive East Parking #4,Valid,Houstonia_serpyllifolia,Houstonia  serpyllifolia,19363,Thyme-leaf Bluet,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1083024000000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Rubiales, , , , ,Rubiaceae, ,~,observed, , ,cert,INHS plant survey
0101000020E61000006D81DF4734E454C0A3011E53A2BD4140,184976,0101000020110F0000A20E4F453BBE61C1AA5A2CD661225041,184580,>1m <=5m,ATBI DATABASE,,1446923183000,DERV,NOLAND CREEK,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,267231,3929469,35.481509,-83.565687,Forney Creek,Forney Creek,1935.71106,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446923183000,GRSM,UNR,,4,,,Forney Creek Trail,Lakeview Drive East Parking #4,Valid,Houstonia_serpyllifolia,Houstonia  serpyllifolia,19363,Thyme-leaf Bluet,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1083196800000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Rubiales, , , , ,Rubiaceae, ,~,by hand, , ,cert,INHS plant survey
0101000020E6100000ED1A34C11EE054C05432F6E1BDBF4140,184983,0101000020110F000037261D4EC3BA61C1829A42A494245041,184587,>1m <=5m,ATBI DATABASE,,1446923187000,DERV,NOLAND CREEK,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,273068,3931147,35.497975,-83.501873,Noland Creek,Noland Creek,2548.439453,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446923187000,GRSM,UNR,,6,,,Springhouse Branch Trail,Lakeview Drive East,Valid,Houstonia_serpyllifolia,Houstonia  serpyllifolia,19363,Thyme-leaf Bluet,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1083283200000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Rubiales, , , , ,Rubiaceae, ,~,by hand, , ,cert,INHS plant survey
0101000020E6100000BFCEA65319DB54C0043876B6EBBD4140,184998,0101000020110F00003F6F3D977FB661C106123E61AE225041,184601,>1m <=5m,ATBI DATABASE,,1446923195000,DERV,BRYSON CITY,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,280147,3929391,35.483749,-83.423417,Deep Creek,Deep Creek,1939.737793,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446923195000,GRSM,UNR,,6,,,Deep Creek Trail,Tom Branch Road,Valid,Houstonia_serpyllifolia,Houstonia  serpyllifolia,19363,Thyme-leaf Bluet,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1027382400000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Rubiales, , , , ,Rubiaceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E6100000039C55D43DC854C085AA7ED073DE4140,185010,0101000020110F0000D5FD84987BA661C1610EAA71AA445041,184611,>1m <=5m,ATBI DATABASE,,1446923201000,DERV,LUFTEE KNOB,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,307492,3956968,35.737902,-83.12877,Big Creek,,2183.268066,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446923201000,GRSM,UNR,,5,,,Big Creek Trail,Big Creek Campground Loop Road,Valid,Houstonia_serpyllifolia,Houstonia  serpyllifolia,19363,Thyme-leaf Bluet,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,957139200000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Rubiales, , , , ,Rubiaceae, ,~,by hand, , ,cert,INHS plant survey
0101000020E6100000CDE4035103CF54C0166AF15CB1DF4140,185005,0101000020110F00000AF9CBD83BAC61C152E847B9F6455041,184608,>1m <=5m,ATBI DATABASE,,1446923199000,DERV,LUFTEE KNOB,Great Smoky Mountains National Park,>1m <=5m,Cocke,Tennessee,297947,3958256,35.747593,-83.234573,Cosby Creek,,3626.257324,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446923199000,GRSM,UNR,,4,,,Snake Den Ridge Trail,Cosby Campground Road B,Valid,Houstonia_serpyllifolia,Houstonia  serpyllifolia,19363,Thyme-leaf Bluet,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,957052800000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Rubiales, , , , ,Rubiaceae, ,~,by hand, , ,cert,INHS plant survey
0101000020E6100000B100FA9ECDCD54C0AC2036F30CD14140,185008,0101000020110F0000FB5389D234AB61C10346F6FEA6365041,184609,>1m <=5m,ATBI DATABASE,,1446923200000,DERV,LUFTEE KNOB,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,299370,3945527,35.633201,-83.215671,Straight Fork Raven Fork,Straight Fork Raven Fork,3282.849609,,,dd,GCS,NAD83,17,,Oconaluftee District,TPCOLSON,TPCOLSON,1446923200000,GRSM,UNR,,6,,,Beech Gap Trail,Beech Gap Trailhead Parking #2,Valid,Houstonia_serpyllifolia,Houstonia  serpyllifolia,19363,Thyme-leaf Bluet,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,957398400000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Rubiales, , , , ,Rubiaceae, ,~,by hand, , ,cert,INHS plant survey
0101000020E61000000E0C536D0DCB54C0E2DA6A8592C64140,185009,0101000020110F0000752611C0DEA861C1F067066AB52B5041,184610,>1m <=5m,ATBI DATABASE,,1446923201000,DERV,BUNCHES BALD,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,303062,3936359,35.55134,-83.172691,Lower Raven Fork,Flat Creek,4892.463867,,,dd,GCS,NAD83,17,,Oconaluftee District,TPCOLSON,TPCOLSON,1446923201000,GRSM,UNR,,6,,,Flat Creek Trail,Heintooga Ridge Road,Valid,Houstonia_serpyllifolia,Houstonia  serpyllifolia,19363,Thyme-leaf Bluet,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1020988800000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Rubiales, , , , ,Rubiaceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E6100000E3C158D74FD054C065DDBDB821CE4140,185003,0101000020110F0000CCEA9D4256AD61C1B9C8B1499A335041,184606,>1m <=5m,ATBI DATABASE,,1446923198000,DERV,SMOKEMONT,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,295762,3943078,35.610397,-83.254869,Upper Raven Fork,Raven Fork,3674.557617,,,dd,GCS,NAD83,17,,Oconaluftee District,TPCOLSON,TPCOLSON,1446923198000,GRSM,UNR,,7,,,Enloe Creek Trail,Straight Fork Road,Valid,Houstonia_serpyllifolia,Houstonia  serpyllifolia,19363,Thyme-leaf Bluet,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,924998400000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Rubiales, , , , ,Rubiaceae, ,~,by hand, , ,cert,INHS plant survey
