the_geom,cartodb_id,the_geom_webmercator,objectid,verror,mapsource,sourcedate,editdate,mapmethod,quadname,unitname,herror,county,state,x_coord,y_coord,lat,lon,watershed,streamname,elevation,year,notes,coord_units,coord_system,datum,utm_zone,managementzone,parkdistrict,editby,createby,createdate,unitcode,restriction,veg_class,landform,loc_name,loc_id,trail,road,valid_result,genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,dateretrieved,kingdom,subkingdom,phylum,subphylum,class,subclass,superdivision,division,subdivision,superorder,ordername,series,suborder,infraorder,superfamily,family,subfamily,tribe,collectionmethod,specimentype,dateprecision,identificationprecision,project
0101000020E61000007DD4EAA1B9D354C0D38558FD11C74140,155745,0101000020110F0000D1B9165F3CB061C1E975DE7A3A2C5041,155249,>1m <=5m,ATBI DATABASE,,1446906498000,DERV,SMOKEMONT,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,290787,3937070,35.55523,-83.308201,Lower Oconaluftee River,,2412.339844,,,dd,GCS,NAD83,17,,Oconaluftee District,TPCOLSON,TPCOLSON,1446906498000,GRSM,UNR,,8,,,Tow String Horse Trail,Smokemont Road,Valid,Dircaea_liturata,Dircaea  liturata,12500,Light-blothced False Darkling Beetle,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1117756800000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Coleoptera,Cucujiformia,Polyphaga, ,Tenebrionoidea,Melandryidae, ,~,by hand, , ,cert,ATBI Coleoptera Survey
0101000020E6100000B9584C5DD3D354C0E5132DDEE7C24140,155744,0101000020110F0000E1E2C03952B061C12B12F2BDE1275041,155248,>1m <=5m,ATBI DATABASE,,1446906498000,DERV,SMOKEMONT,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,290560,3933464,35.522694,-83.309772,Lower Oconaluftee River,,2154.105469,,,dd,GCS,NAD83,17,,Oconaluftee District,TPCOLSON,TPCOLSON,1446906498000,GRSM,UNR,,5,,,Floyd Cemetery Access Trail,Newfound Gap Road South,Valid,Dircaea_liturata,Dircaea  liturata,12500,Light-blothced False Darkling Beetle,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1117497600000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Coleoptera,Cucujiformia,Polyphaga, ,Tenebrionoidea,Melandryidae, ,~,UV light, , ,cert,ATBI Coleoptera Survey
0101000020E610000057AEFEA2A0DF54C0D2F5689DBDC44140,155713,0101000020110F0000D03A6D3158BA61C14C311BF9CB295041,155217,>1m <=5m,ATBI DATABASE,,1446906478000,DERV,CLINGMANS DOME,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,273876,3935462,35.53703,-83.494175,Noland Creek,,5328.973633,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446906478000,GRSM,UNR,,7,,,Forney Ridge Trail,Clingmans Dome Road Parking #3,Valid,Dircaea_liturata,Dircaea  liturata,12500,Light-blothced False Darkling Beetle,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,995328000000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Coleoptera,Cucujiformia,Polyphaga, ,Tenebrionoidea,Melandryidae, ,~,Malaise trap (Townes), , ,cert,ATBI Pilot Study
0101000020E61000007983DA95B4DF54C004E770D37DC74140,155711,0101000020110F0000FEF2AE2269BA61C1909A7A0EAB2C5041,155215,>1m <=5m,ATBI DATABASE,,1446906477000,DERV,CLINGMANS DOME,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,273826,3937849,35.558521,-83.495393,Forney Creek,,6406.759766,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446906477000,GRSM,UNR,,6,,,Clingmans Dome Trail,Clingmans Dome Access Road,Valid,Dircaea_liturata,Dircaea  liturata,12500,Light-blothced False Darkling Beetle,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,997920000000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Coleoptera,Cucujiformia,Polyphaga, ,Tenebrionoidea,Melandryidae, ,~,Malaise trap (Townes), , ,cert,ATBI Pilot Study
0101000020E61000004A195C669DDC54C0D34F12F452CE4140,155718,0101000020110F0000E9316E2EC9B761C1B0FFF6B7CD335041,155222,>1m <=5m,ATBI DATABASE,,1446906481000,DERV,CLINGMANS DOME,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,278351,3943661,35.6119,-83.447103,West Prong Little Pigeon River Upper,Road Prong,5479.879395,,,dd,GCS,NAD83,17,,Little River District,TPCOLSON,TPCOLSON,1446906481000,GRSM,UNR,,5,,,Appalachian Trail,Clingmans Dome Access Road,Valid,Dircaea_liturata,Dircaea  liturata,12500,Light-blothced False Darkling Beetle,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,993686400000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Coleoptera,Cucujiformia,Polyphaga, ,Tenebrionoidea,Melandryidae, ,~,Berlese sampling, , ,cert,ATBI Coleoptera Survey
0101000020E610000069DBB44266DC54C09442E132F5CD4140,155724,0101000020110F0000CB6D005A9AB761C14BD8F2C66B335041,155228,>1m <=5m,ATBI DATABASE,,1446906486000,DERV,CLINGMANS DOME,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,278648,3943336,35.609039,-83.443737,Deep Creek,Deep Creek,5156.595215,,,dd,GCS,NAD83,17,,Oconaluftee District,TPCOLSON,TPCOLSON,1446906486000,GRSM,UNR,,4,,,Appalachian Trail,Clingmans Dome Road Parking #4,Valid,Dircaea_liturata,Dircaea  liturata,12500,Light-blothced False Darkling Beetle,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,999475200000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Coleoptera,Cucujiformia,Polyphaga, ,Tenebrionoidea,Melandryidae, ,~,Malaise trap (Townes), , ,cert,ATBI Pilot Study
0101000020E6100000AE3C50C0B9DF54C0D6D7A8CB85D14140,155717,0101000020110F0000F255D9856DBA61C155A9E04625375041,155221,>1m <=5m,ATBI DATABASE,,1446906480000,DERV,MOUNT LE CONTE,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,274018,3946544,35.636889,-83.495708,West Prong Little Pigeon River Upper,West Prong Little Pigeon River,2743.937012,,,dd,GCS,NAD83,17,,Little River District,TPCOLSON,TPCOLSON,1446906480000,GRSM,UNR,,6,,,Cove Hardwood Nature Trail,Newfound Gap Road North,Valid,Dircaea_liturata,Dircaea  liturata,12500,Light-blothced False Darkling Beetle,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,993686400000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Coleoptera,Cucujiformia,Polyphaga, ,Tenebrionoidea,Melandryidae, ,~,by hand, , ,cert,ATBI Coleoptera Survey
0101000020E610000072892D81F7DF54C08599949491D74140,155707,0101000020110F0000639052F8A1BA61C172DEAB31773D5041,155211,>1m <=5m,ATBI DATABASE,,1446906475000,DERV,MOUNT LE CONTE,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,273810,3951793,35.684123,-83.499477,Le Conte Creek,Le Conte Creek,2134.150146,,,dd,GCS,NAD83,17,,Little River District,TPCOLSON,TPCOLSON,1446906475000,GRSM,UNR,,7,,,Twin Creeks Trail,Natural Resources Center Parking #4,Valid,Dircaea_liturata,Dircaea  liturata,12500,Light-blothced False Darkling Beetle,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1020643200000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Coleoptera,Cucujiformia,Polyphaga, ,Tenebrionoidea,Melandryidae, ,~,Malaise trap (Townes), , ,cert,ATBI Pilot Study
0101000020E6100000A463376192DB54C0A9EBFD045FD64140,155739,0101000020110F000068E4AF66E6B661C1948599AA363C5041,155243,>1m <=5m,ATBI DATABASE,,1446906495000,DERV,MOUNT LE CONTE,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,280000,3950599,35.674768,-83.430805,Porters Creek,Trillium Branch,4571.896484,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446906495000,GRSM,UNR,,4,,,Brushy Mountain Trail,Roaring Fork Motor Nature Trail,Valid,Dircaea_liturata,Dircaea  liturata,12500,Light-blothced False Darkling Beetle,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1029542400000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Coleoptera,Cucujiformia,Polyphaga, ,Tenebrionoidea,Melandryidae, ,~,Malaise trap (Townes), , ,cert,ATBI Pilot Study
0101000020E61000005FF3FB156AD954C0F42A9DD563D74140,155741,0101000020110F0000D462775611B561C1ABAB8C5C473D5041,155245,>1m <=5m,ATBI DATABASE,,1446906496000,DERV,MOUNT LE CONTE,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,283073,3951407,35.682727,-83.397096,Porters Creek,Porters Creek,2341.542969,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446906496000,GRSM,UNR,,7,,,Porters Creek Trail,Porters Creek Trailhead Parking,Valid,Dircaea_liturata,Dircaea  liturata,12500,Light-blothced False Darkling Beetle,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,993859200000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Coleoptera,Cucujiformia,Polyphaga, ,Tenebrionoidea,Melandryidae, ,~,unspecified, , ,cert,ATBI Coleoptera Survey
