the_geom,cartodb_id,the_geom_webmercator,objectid,verror,mapsource,sourcedate,editdate,mapmethod,quadname,unitname,herror,county,state,x_coord,y_coord,lat,lon,watershed,streamname,elevation,year,notes,coord_units,coord_system,datum,utm_zone,managementzone,parkdistrict,editby,createby,createdate,unitcode,restriction,veg_class,landform,loc_name,loc_id,trail,road,valid_result,genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,dateretrieved,kingdom,subkingdom,phylum,subphylum,class,subclass,superdivision,division,subdivision,superorder,ordername,series,suborder,infraorder,superfamily,family,subfamily,tribe,collectionmethod,specimentype,dateprecision,identificationprecision,project
0101000020E6100000AA89612EF9E954C074A6147183D64140,24776,0101000020110F000060804C9A21C361C1311DFCBE5C3C5041,24031,>1m <=5m,ATBI DATABASE,,1446836892000,DERV,WEAR COVE,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,259633,3951250,35.675879,-83.65583,Little River-Goshen Prong,Little River,1626.60022,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446836892000,GRSM,UNR,,5,,,Curry Mountain Trail,Little River Gorge Road,Valid,Rhagovelia_obesa,Rhagovelia  obesa,34856,Broad Shoulder Water Bug,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1217808000000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Hemiptera, ,Gerromorpha, ,Gerroidea,Veliidae,Rhagoveliinae,~,dip net, , ,cert,ATBI Aquatic Hemiptera
0101000020E61000008AC33434E7E854C0263B3ADEBFD54140,24778,0101000020110F0000F5C2ECE938C261C13E916947903B5041,24033,>1m <=5m,ATBI DATABASE,,1446836893000,DERV,WEAR COVE,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,261129,3950547,35.669911,-83.639107,Little River-Goshen Prong,,1913.619873,,,dd,GCS,NAD83,17,,Little River District,TPCOLSON,TPCOLSON,1446836893000,GRSM,UNR,,10,,,Curry Mountain Trail,Little River Gorge Road,Valid,Rhagovelia_obesa,Rhagovelia  obesa,34856,Broad Shoulder Water Bug,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,993945600000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Hemiptera, ,Gerromorpha, ,Gerroidea,Veliidae,Rhagoveliinae,~,by hand, , ,cert,Inventory & Monitoring
0101000020E6100000ADB58B57C3ED54C06C5BF7035CD24140,24771,0101000020110F0000E29B838F59C661C1F1CD782505385041,24026,>1m <=5m,ATBI DATABASE,,1446836889000,DERV,WEAR COVE,Great Smoky Mountains National Park,>1m <=5m,Blount,Tennessee,254173,3947796,35.643426,-83.715044,Little River-Crooked Creek,West Prong Little River,1367.565186,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446836889000,GRSM,UNR,,5,,,Chestnut Top Trail,Laurel Creek Road,Valid,Rhagovelia_obesa,Rhagovelia  obesa,34856,Broad Shoulder Water Bug,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,993945600000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Hemiptera, ,Gerromorpha, ,Gerroidea,Veliidae,Rhagoveliinae,~,by hand, , ,cert,Inventory & Monitoring
0101000020E6100000C14C0EB197E354C0B1935A25A1D64140,24780,0101000020110F0000F6F68F47B6BD61C12DD964CD7B3C5041,24035,>1m <=5m,ATBI DATABASE,,1446836895000,DERV,GATLINBURG,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,268661,3951111,35.676786,-83.556129,West Prong Little Pigeon River Upper,Fighting Creek,1822.0896,,,dd,GCS,NAD83,17,,Little River District,TPCOLSON,TPCOLSON,1446836895000,GRSM,UNR,,7,,,Hickory Flats Quiet Walkway,Fighting Creek Gap Road,Valid,Rhagovelia_obesa,Rhagovelia  obesa,34856,Broad Shoulder Water Bug,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,993945600000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Hemiptera, ,Gerromorpha, ,Gerroidea,Veliidae,Rhagoveliinae,~,by hand, , ,cert,Inventory & Monitoring
0101000020E61000001507D0823FE254C066A59993FCD74140,24781,0101000020110F0000CD4C81F791BC61C1ACE8DF12E73D5041,24036,>1m <=5m,ATBI DATABASE,,1446836895000,DERV,GATLINBURG,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,270593,3952238,35.687389,-83.535122,West Prong Little Pigeon River Upper,West Prong Little Pigeon River,1451.517334,,,dd,GCS,NAD83,17,,Little River District,TPCOLSON,TPCOLSON,1446836895000,GRSM,UNR,,5,,,Old Sugarlands Trail,Newfound Gap Road North,Valid,Rhagovelia_obesa,Rhagovelia  obesa,34856,Broad Shoulder Water Bug,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1217721600000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Hemiptera, ,Gerromorpha, ,Gerroidea,Veliidae,Rhagoveliinae,~,dip net, , ,cert,ATBI Aquatic Hemiptera
0101000020E6100000AD536E0008E054C0E436D7C69ED74140,24783,0101000020110F0000E4F721FBAFBA61C101200FFE843D5041,24038,>1m <=5m,ATBI DATABASE,,1446836897000,DERV,GATLINBURG,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,273720,3951840,35.684526,-83.500484,Le Conte Creek,Le Conte Creek,2093.03125,,,dd,GCS,NAD83,17,,Little River District,TPCOLSON,TPCOLSON,1446836897000,GRSM,UNR,,4,,,Twin Creeks Trail,Natural Resources Center Parking #4,Valid,Rhagovelia_obesa,Rhagovelia  obesa,34856,Broad Shoulder Water Bug,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,871516800000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Hemiptera, ,Gerromorpha, ,Gerroidea,Veliidae,Rhagoveliinae,~,by hand, , ,cert,Inventory & Monitoring
0101000020E6100000B145B9D1B3E754C0854C043AABC34140,24779,0101000020110F00000CCC12DA33C161C14747E99BAD285041,24034,>1m <=5m,ATBI DATABASE,,1446836894000,DERV,SILERS BALD,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,262410,3934830,35.528656,-83.620346,Hazel Creek,Hazel Creek,3141.619629,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446836894000,GRSM,UNR,,4,,,Hazel Creek Trail,Lakeview Drive East Parking #4,Valid,Rhagovelia_obesa,Rhagovelia  obesa,34856,Broad Shoulder Water Bug,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,965088000000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Hemiptera, ,Gerromorpha, ,Gerroidea,Veliidae,Rhagoveliinae,~,by hand, , ,cert,Inventory & Monitoring
0101000020E610000017619C5545EA54C0148876CC3BC04140,24773,0101000020110F0000418A9A4762C361C13181D8FF17255041,24028,>1m <=5m,ATBI DATABASE,,1446836890000,DERV,THUNDERHEAD MOUNTAIN,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,258690,3931950,35.501818,-83.660478,Hazel Creek,Cold Spring Branch,2605.751953,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446836890000,GRSM,UNR,,6,,,Cold Spring Gap Trail,Lakeview Drive East Parking #4,Valid,Rhagovelia_obesa,Rhagovelia  obesa,34856,Broad Shoulder Water Bug,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,965088000000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Hemiptera, ,Gerromorpha, ,Gerroidea,Veliidae,Rhagoveliinae,~,by hand, , ,cert,Inventory & Monitoring
0101000020E6100000B59EE77069ED54C05BDF5549C3C04140,24772,0101000020110F0000CB1A2C350DC661C18F597F59A5255041,24027,>1m <=5m,ATBI DATABASE,,1446836890000,DERV,THUNDERHEAD MOUNTAIN,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,254250,3932530,35.505953,-83.709557,Hazel Creek,Little Fork,2790.630859,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446836890000,GRSM,UNR,,5,,,Jenkins Ridge Trail,Lakeview Drive West,Valid,Rhagovelia_obesa,Rhagovelia  obesa,34856,Broad Shoulder Water Bug,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,809222400000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Hemiptera, ,Gerromorpha, ,Gerroidea,Veliidae,Rhagoveliinae,~,by hand, , ,cert,Inventory & Monitoring
0101000020E6100000C267E16E6DEF54C095A3F249C3C94140,24765,0101000020110F0000069CA070C3C761C1F1EAC2280A2F5041,24021,>1m <=5m,ATBI DATABASE,,1446836886000,DERV,THUNDERHEAD MOUNTAIN,Great Smoky Mountains National Park,>1m <=5m,Blount,Tennessee,251610,3940410,35.576265,-83.74105,Abrams Creek Upper,,3581.402588,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446836886000,GRSM,UNR,,6,,,Anthony Creek Trail,Laurel Creek Road,Valid,Rhagovelia_obesa,Rhagovelia  obesa,34856,Broad Shoulder Water Bug,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,811123200000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Hemiptera, ,Gerromorpha, ,Gerroidea,Veliidae,Rhagoveliinae,~,by hand,No,month,cert,General
