the_geom,cartodb_id,the_geom_webmercator,objectid,verror,mapsource,sourcedate,editdate,mapmethod,quadname,unitname,herror,county,state,x_coord,y_coord,lat,lon,watershed,streamname,elevation,year,notes,coord_units,coord_system,datum,utm_zone,managementzone,parkdistrict,editby,createby,createdate,unitcode,restriction,veg_class,landform,loc_name,loc_id,trail,road,valid_result,genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,dateretrieved,kingdom,subkingdom,phylum,subphylum,class,subclass,superdivision,division,subdivision,superorder,ordername,series,suborder,infraorder,superfamily,family,subfamily,tribe,collectionmethod,specimentype,dateprecision,identificationprecision,project
0101000020E610000045AEC4D16FE854C035A4C869EEB84140,165510,0101000020110F0000F29E3C85D3C161C1CD803B787A1D5041,165187,>1m <=5m,ATBI DATABASE,,1446912083000,DERV,TUSKEEGEE,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,261121,3925551,35.444769,-83.631821,Lower Fontana Lake-Little Tennessee River,,1752.540771,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446912083000,GRSM,UNR,,7,,,Lakeshore Trail,Lakeview Drive East Parking #4,Valid,Epigaea_repens,Epigaea  repens,14106,Trailing-arbutus,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1083110400000,Plantae,Tracheobionta, , ,Magnoliopsida,Dilleniidae,Spermatophyta,Magnoliophyta, , ,Ericales, , , , ,Ericaceae, ,~,by hand, , ,cert,INHS plant survey
0101000020E61000005D142EC5A4E654C0343697C213B94140,165515,0101000020110F000012875CA64DC061C183157767A11D5041,165194,>1m <=5m,ATBI DATABASE,,1446912087000,DERV,NOLAND CREEK,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,263668,3925610,35.445909,-83.603803,Lower Fontana Lake-Little Tennessee River,,2008.253906,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446912087000,GRSM,UNR,,7,,,Lakeshore Trail,Lakeview Drive East Parking #4,Valid,Epigaea_repens,Epigaea  repens,14106,Trailing-arbutus,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1065484800000,Plantae,Tracheobionta, , ,Magnoliopsida,Dilleniidae,Spermatophyta,Magnoliophyta, , ,Ericales, , , , ,Ericaceae, ,~,observed, , ,cert,INHS plant survey
0101000020E6100000964D7E602EE654C0D375758F78B94140,165516,0101000020110F00001C322F19E9BF61C174EAFD7D0A1E5041,165195,>1m <=5m,ATBI DATABASE,,1446912087000,DERV,NOLAND CREEK,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,264333,3925934,35.448985,-83.596577,Lower Fontana Lake-Little Tennessee River,Welch Branch,1914.601196,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446912087000,GRSM,UNR,,4,,,Lakeshore Trail,Lakeview Drive East Parking #4,Valid,Epigaea_repens,Epigaea  repens,14106,Trailing-arbutus,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1082937600000,Plantae,Tracheobionta, , ,Magnoliopsida,Dilleniidae,Spermatophyta,Magnoliophyta, , ,Ericales, , , , ,Ericaceae, ,~,by hand, , ,cert,INHS plant survey
0101000020E6100000C780E73C15E654C056F218C24ABA4140,165518,0101000020110F000069C16FBFD3BF61C1AC12E0A4E51E5041,165197,>1m <=5m,ATBI DATABASE,,1446912088000,DERV,NOLAND CREEK,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,264491,3926642,35.4554,-83.595042,Fontana Lake-Tuckasegee River,,1916.026611,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446912088000,GRSM,UNR,,6,,,Lakeshore Trail,Lakeview Drive East Parking #4,Valid,Epigaea_repens,Epigaea  repens,14106,Trailing-arbutus,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1065484800000,Plantae,Tracheobionta, , ,Magnoliopsida,Dilleniidae,Spermatophyta,Magnoliophyta, , ,Ericales, , , , ,Ericaceae, ,~,observed, , ,cert,INHS plant survey
0101000020E6100000EDB22DD01CE654C09306ECA755BA4140,165517,0101000020110F0000C975762EDABF61C1D6E8A901F11E5041,165196,>1m <=5m,ATBI DATABASE,,1446912088000,DERV,NOLAND CREEK,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,264450,3926680,35.455732,-83.595505,Fontana Lake-Tuckasegee River,,1896.024414,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446912088000,GRSM,UNR,,7,,,Lakeshore Trail,Lakeview Drive East Parking #4,Valid,Epigaea_repens,Epigaea  repens,14106,Trailing-arbutus,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1065484800000,Plantae,Tracheobionta, , ,Magnoliopsida,Dilleniidae,Spermatophyta,Magnoliophyta, , ,Ericales, , , , ,Ericaceae, ,~,observed, , ,cert,INHS plant survey
0101000020E610000061AA3E8F45E154C0CD11C15EBFBA4140,165525,0101000020110F000058F7D7AEBDBB61C12B9C223B5F1F5041,165203,>1m <=5m,ATBI DATABASE,,1446912091000,DERV,NOLAND CREEK,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,271325,3926860,35.458958,-83.519867,Fontana Lake-Tuckasegee River,Noland Creek,2420.622559,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446912091000,GRSM,UNR,,4,,,Stiles Cemetery Access,Lakeview Drive East,Valid,Epigaea_repens,Epigaea  repens,14106,Trailing-arbutus,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1087344000000,Plantae,Tracheobionta, , ,Magnoliopsida,Dilleniidae,Spermatophyta,Magnoliophyta, , ,Ericales, , , , ,Ericaceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E610000047B5E3E118E354C0BF3D185026BB4140,165522,0101000020110F0000D4BF95944ABD61C16993EE91CA1F5041,165201,>1m <=5m,ATBI DATABASE,,1446912090000,DERV,NOLAND CREEK,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,268745,3927275,35.4621,-83.54839,Fontana Lake-Tuckasegee River,,2083.087891,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446912090000,GRSM,UNR,,4,,,Lakeshore Trail,Lakeview Drive East Parking #4,Valid,Epigaea_repens,Epigaea  repens,14106,Trailing-arbutus,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1083196800000,Plantae,Tracheobionta, , ,Magnoliopsida,Dilleniidae,Spermatophyta,Magnoliophyta, , ,Ericales, , , , ,Ericaceae, ,~,observed, , ,cert,INHS plant survey
0101000020E6100000F1BD7BB741E354C07D6CD15D2DBA4140,165521,0101000020110F0000CA55D3426DBD61C16413CEFFC61E5041,165200,>1m <=5m,ATBI DATABASE,,1446912090000,DERV,NOLAND CREEK,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,268497,3926438,35.454503,-83.550882,Fontana Lake-Tuckasegee River,Goldmine Branch,1861.640625,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446912090000,GRSM,UNR,,7,,,Goldmine Loop Trail,Lakeview Drive East Parking #4,Valid,Epigaea_repens,Epigaea  repens,14106,Trailing-arbutus,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1027641600000,Plantae,Tracheobionta, , ,Magnoliopsida,Dilleniidae,Spermatophyta,Magnoliophyta, , ,Ericales, , , , ,Ericaceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E61000005E7905ACD9E254C03A9E5F2CBDBA4140,165523,0101000020110F00003FBD51E514BD61C15FBCBFF05C1F5041,165202,>1m <=5m,ATBI DATABASE,,1446912091000,DERV,NOLAND CREEK,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,269086,3926910,35.458891,-83.544532,Fontana Lake-Tuckasegee River,Hyatt Branch,2048.336182,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446912091000,GRSM,UNR,,6,,,Tunnel Bypass Trail NC,Lakeview Drive East Parking #4,Valid,Epigaea_repens,Epigaea  repens,14106,Trailing-arbutus,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1051833600000,Plantae,Tracheobionta, , ,Magnoliopsida,Dilleniidae,Spermatophyta,Magnoliophyta, , ,Ericales, , , , ,Ericaceae, ,~,by hand, , ,cert,INHS plant survey
0101000020E61000000F802FBA79DD54C054AD1D7673BE4140,165539,0101000020110F00009AA8374E84B861C1660A6AF83B235041,165217,>1m <=5m,ATBI DATABASE,,1446912099000,DERV,BRYSON CITY,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,276789,3929934,35.487892,-83.460551,Fontana Lake-Tuckasegee River,,4115.807129,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446912099000,GRSM,UNR,,6,,,Noland Divide Trail,Deep Creek Falls And Trail Parking,Valid,Epigaea_repens,Epigaea  repens,14106,Trailing-arbutus,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1372032000000,Plantae,Tracheobionta, , ,Magnoliopsida,Dilleniidae,Spermatophyta,Magnoliophyta, , ,Ericales, , , , ,Ericaceae, ,~,observed,No,day,cert,ATBI
0101000020E6100000690093DA9FDD54C0D304F35F79BF4140,165538,0101000020110F00005AF5B7AFA4B861C11CE1FA2C4D245041,165216,>1m <=5m,ATBI DATABASE,,1446912098000,DERV,BRYSON CITY,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,276600,3930826,35.495885,-83.462878,Fontana Lake-Tuckasegee River,,4354.226562,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446912098000,GRSM,UNR,,7,,,Noland Divide Trail,Deep Creek Falls And Trail Parking,Valid,Epigaea_repens,Epigaea  repens,14106,Trailing-arbutus,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1372032000000,Plantae,Tracheobionta, , ,Magnoliopsida,Dilleniidae,Spermatophyta,Magnoliophyta, , ,Ericales, , , , ,Ericaceae, ,~,observed,No,day,cert,ATBI
