the_geom,cartodb_id,the_geom_webmercator,objectid,verror,mapsource,sourcedate,editdate,mapmethod,quadname,unitname,herror,county,state,x_coord,y_coord,lat,lon,watershed,streamname,elevation,year,notes,coord_units,coord_system,datum,utm_zone,managementzone,parkdistrict,editby,createby,createdate,unitcode,restriction,veg_class,landform,loc_name,loc_id,trail,road,valid_result,genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,dateretrieved,kingdom,subkingdom,phylum,subphylum,class,subclass,superdivision,division,subdivision,superorder,ordername,series,suborder,infraorder,superfamily,family,subfamily,tribe,collectionmethod,specimentype,dateprecision,identificationprecision,project
0101000020E6100000A13CAA9C41F854C004CC3AEBACBB4140,770,0101000020110F000037B6B30243CF61C1ABC44FEE56205041,174,>1m <=5m,ATBI DATABASE,,1446823557000,DERV,TAPOCO,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,238749,3928556,35.466208,-83.879,Lake Cheoah-Little Tennessee River,Twentymile Creek,1364.268677,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446823557000,GRSM,UNR,,7,,,Twentymile Trail,Twenty Mile Ranger Station Road,Valid,Poanes_zabulon,Poanes  zabulon,31877,Zabulon Skipper,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-391824000000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Hesperioidea,Hesperiidae,Hesperiinae,~,unspecified, , ,cert,ATBI Lepidoptera TWiG
0101000020E6100000F9EB5FA316F154C04CD8A11BD3BD4140,778,0101000020110F000043BD15912CC961C176DD8BB794225041,182,>1m <=5m,ATBI DATABASE,,1446823562000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,248967,3930128,35.482998,-83.767003,Eagle Creek,,2170.726807,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446823562000,GRSM,UNR,,4,,,Lakeshore Trail,Lakeview Drive West,Valid,Poanes_zabulon,Poanes  zabulon,31877,Zabulon Skipper,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1086134400000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Hesperioidea,Hesperiidae,Hesperiinae,~,by hand,No,day,cert,Northshore Road EIS
0101000020E61000002F9706DEC6F354C0E4D3EC4C64BB4140,777,0101000020110F0000FD88761475CB61C15909FB340B205041,181,>1m <=5m,ATBI DATABASE,,1446823561000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,245095,3928127,35.463992,-83.809009,Lower Fontana Lake-Little Tennessee River,,2048.250488,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446823561000,GRSM,UNR,,1,,,Lakeshore Trail,Lakeview Drive West,Valid,Poanes_zabulon,Poanes  zabulon,31877,Zabulon Skipper,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1086048000000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Hesperioidea,Hesperiidae,Hesperiinae,~,by hand,No,day,cert,Northshore Road EIS
0101000020E61000001E9B4D75B8DE54C04CE7DB73BAB94140,797,0101000020110F0000D9F7F90093B961C180177A304F1E5041,201,>1m <=5m,ATBI DATABASE,,1446823572000,DERV,BRYSON CITY,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,274921,3925885,35.450996,-83.480004,Fontana Lake-Tuckasegee River,,2104.770508,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446823572000,GRSM,UNR,,1,,,Conner @ Hickory Flats Cemetery Access,Lakeview Drive East,Valid,Poanes_zabulon,Poanes  zabulon,31877,Zabulon Skipper,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,613180800000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Hesperioidea,Hesperiidae,Hesperiinae,~,unspecified, ,day,cert,ATBI Lepidoptera TWIG
0101000020E6100000A319BE9718CC54C0148D1F7E0CD24140,810,0101000020110F0000AFC477A7C1A961C110790F0AB2375041,214,>1m <=5m,ATBI DATABASE,,1446823581000,DERV,LUFTEE KNOB,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,301805,3946338,35.640999,-83.188997,Straight Fork Raven Fork,,4723.737793,,,dd,GCS,NAD83,17,,Oconaluftee District,TPCOLSON,TPCOLSON,1446823581000,GRSM,UNR,,5,,,Balsam Mountain Trail,Balsam Mountain Road (closed Winter),Valid,Poanes_zabulon,Poanes  zabulon,31877,Zabulon Skipper,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1116720000000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Hesperioidea,Hesperiidae,Hesperiinae,~,unspecified, , ,cert,ATBI Lepidoptera TWiG
0101000020E61000000AA4103D33C354C082303142AAD14140,821,0101000020110F0000454D1C7F33A261C1DFDB8D614B375041,224,>1m <=5m,ATBI DATABASE,,1446823586000,DERV,COVE CREEK GAP,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,314385,3945734,35.638002,-83.049998,Lower Cataloochee Creek,Winding Stair Branch,3749.368652,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446823586000,GRSM,UNR,,9,,,Cataloochee Divide Trail,Old Cataloochee Turnpike,Valid,Poanes_zabulon,Poanes  zabulon,31877,Zabulon Skipper,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1210377600000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Hesperioidea,Hesperiidae,Hesperiinae,~,unspecified, , ,cert,ATBI Lepidoptera TWiG
0101000020E6100000966BF5C8ABC454C0E29CF297FFCA4140,818,0101000020110F000036602C4C73A361C182C5C97754305041,221,>1m <=5m,ATBI DATABASE,,1446823585000,DERV,DELLWOOD,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,312182,3940000,35.585918,-83.072981,Lower Johnathans Creek,,4917.642578,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446823585000,GRSM,UNR,,7,,,Science Center Trail,The Purchase Road (closed Winter),Valid,Poanes_zabulon,Poanes  zabulon,31877,Zabulon Skipper,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1095120000000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Hesperioidea,Hesperiidae,Hesperiinae,~,observed,No,day,cert,Birds & Bird Parasites
0101000020E61000000D5D00E27AC454C0110D2FE1C0CA4140,819,0101000020110F0000E0AAD1C349A361C167A168F912305041,222,>1m <=5m,ATBI DATABASE,,1446823585000,DERV,DELLWOOD,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,312448,3939782,35.584004,-83.069996,Lower Johnathans Creek,Beantown Creek,4682.922852,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446823585000,GRSM,UNR,,4,,,Ferguson Cabin Horse Trail,The Purchase Road (closed Winter),Valid,Poanes_zabulon,Poanes  zabulon,31877,Zabulon Skipper,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,998179200000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Hesperioidea,Hesperiidae,Hesperiinae,~,unspecified, , ,cert,ATBI Lepidoptera TWiG
0101000020E6100000A913CED6B0C454C08CF425D2B8CA4140,817,0101000020110F0000AA94099777A361C1BDAFF58E0A305041,220,>1m <=5m,ATBI DATABASE,,1446823584000,DERV,DELLWOOD,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,312149,3939761,35.583758,-83.073289,Lower Johnathans Creek,,4764.077148,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446823584000,GRSM,UNR,,6,,,Ferguson Cabin Horse Trail,The Purchase Road (closed Winter),Valid,Poanes_zabulon,Poanes  zabulon,31877,Zabulon Skipper,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1155513600000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Hesperioidea,Hesperiidae,Hesperiinae,~,unspecified, , ,cert,ATBI Lepidoptera TWiG
0101000020E6100000B5EF24FEB5C454C04C7A66E9CDCA4140,815,0101000020110F0000ED7D8DF77BA361C1A4B2779520305041,218,>1m <=5m,ATBI DATABASE,,1446823583000,DERV,DELLWOOD,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,312122,3939833,35.584402,-83.073604,Lower Johnathans Creek,,4819.37207,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446823583000,GRSM,UNR,,6,,,Ferguson Cabin Horse Trail,The Purchase Road (closed Winter),Valid,Poanes_zabulon,Poanes  zabulon,31877,Zabulon Skipper,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1116547200000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Hesperioidea,Hesperiidae,Hesperiinae,~,unspecified, , ,cert,ATBI Lepidoptera TWiG
0101000020E61000003D8EBE009DCA54C006E7F52FE2C64140,812,0101000020110F0000CC18B6447FA861C129B9ED93082C5041,216,>1m <=5m,ATBI DATABASE,,1446823582000,DERV,BUNCHES BALD,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,303690,3936615,35.553771,-83.165829,Lower Raven Fork,,4771.516113,,,dd,GCS,NAD83,17,,Oconaluftee District,TPCOLSON,TPCOLSON,1446823582000,GRSM,UNR,,2,,,Flat Creek Trail,Heintooga Ridge Road,Valid,Poanes_zabulon,Poanes  zabulon,31877,Zabulon Skipper,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,990403200000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Hesperioidea,Hesperiidae,Hesperiinae,~,unspecified, , ,cert,ATBI Lepidoptera TWiG
