the_geom,cartodb_id,the_geom_webmercator,objectid,verror,mapsource,sourcedate,editdate,mapmethod,quadname,unitname,herror,county,state,x_coord,y_coord,lat,lon,watershed,streamname,elevation,year,notes,coord_units,coord_system,datum,utm_zone,managementzone,parkdistrict,editby,createby,createdate,unitcode,restriction,veg_class,landform,loc_name,loc_id,trail,road,valid_result,genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,dateretrieved,kingdom,subkingdom,phylum,subphylum,class,subclass,superdivision,division,subdivision,superorder,ordername,series,suborder,infraorder,superfamily,family,subfamily,tribe,collectionmethod,specimentype,dateprecision,identificationprecision,project
0101000020E61000004D6BB515A8D654C061EE3733AAE14140,104910,0101000020110F0000CC3B17BBB9B261C16510431007485041,104383,>1m <=5m,ATBI DATABASE,,1446882215000,DERV,JONES COVE,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,287187,3960218,35.763,-83.354005,Webb Creek,Warden Branch,1528.995361,,,dd,GCS,NAD83,17,,,TPCOLSON,TPCOLSON,1446882215000,GRSM,UNR,,4,,,Old Settlers Trail,Greenbrier Unpaved Road,Valid,Aquarius_remigis,Aquarius  remigis,3130,Common Waterstrider,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,771638400000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Hemiptera, ,Gerromorpha, ,Gerroidea,Gerridae,Gerrinae,Gerrini,by hand,No,year,cert,Foothills Parkway Sec 8B
0101000020E610000079970099E9D354C029F8B25C92E14140,104913,0101000020110F0000FB32B81B65B061C11CC10C1DEE475041,104386,>1m <=5m,ATBI DATABASE,,1446882217000,DERV,JONES COVE,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,291062,3960045,35.762272,-83.311129,Webb Creek,,1784.520752,,,dd,GCS,NAD83,17,,,TPCOLSON,TPCOLSON,1446882217000,GRSM,UNR,,2,,,Old Settlers Trail,Foothills Parkway Section 8a,Valid,Aquarius_remigis,Aquarius  remigis,3130,Common Waterstrider,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1218067200000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Hemiptera, ,Gerromorpha, ,Gerroidea,Gerridae,Gerrinae,Gerrini,dip net, , ,cert,ATBI Aquatic Hemiptera
0101000020E6100000CE0B0891F2CD54C01C61ED0941E44140,104915,0101000020110F000046F1433354AB61C13F608AEABC4A5041,104388,>1m <=5m,ATBI DATABASE,,1446882218000,DERV,HARTFORD,Great Smoky Mountains National Park,>1m <=5m,Cocke,Tennessee,299542,3962175,35.783228,-83.217926,Cosby Creek,Cosby Creek,1658.722168,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446882218000,GRSM,UNR,,5,,,Tritt Cemetery Access Trail,Cosby Entrance Road,Valid,Aquarius_remigis,Aquarius  remigis,3130,Common Waterstrider,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1218067200000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Hemiptera, ,Gerromorpha, ,Gerroidea,Gerridae,Gerrinae,Gerrini,dip net, , ,cert,ATBI Aquatic Hemiptera
0101000020E6100000469FB241D6CD54C0B58B26AD3EDF4140,104916,0101000020110F000070451A283CAB61C1A3F349B67E455041,104389,>1m <=5m,ATBI DATABASE,,1446882219000,DERV,LUFTEE KNOB,Great Smoky Mountains National Park,>1m <=5m,Cocke,Tennessee,299600,3957830,35.744093,-83.216198,Cosby Creek,Rock Creek,2857.007568,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446882219000,GRSM,UNR,,1,,,Snake Den Ridge Trail,Cosby Campground Road B,Valid,Aquarius_remigis,Aquarius  remigis,3130,Common Waterstrider,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,929577600000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Hemiptera, ,Gerromorpha, ,Gerroidea,Gerridae,Gerrinae,Gerrini,by hand, , ,cert,Inventory & Monitoring
0101000020E610000000B6C1BE1ACB54C055A976D931D34140,104917,0101000020110F000026EBB20FEAA861C12D867BA1E4385041,104390,>1m <=5m,ATBI DATABASE,,1446882219000,DERV,LUFTEE KNOB,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,303230,3947300,35.649952,-83.173503,Upper Cataloochee Creek,Lost Bottom Creek,4567.367188,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446882219000,GRSM,UNR,,4,,,Balsam Mountain Trail,Balsam Mountain Road (closed Winter),Valid,Aquarius_remigis,Aquarius  remigis,3130,Common Waterstrider,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,966297600000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Hemiptera, ,Gerromorpha, ,Gerroidea,Gerridae,Gerrinae,Gerrini,by hand, , ,cert,Inventory & Monitoring
0101000020E61000007A605329CEC454C04B18931F6DD34140,104919,0101000020110F0000D5EB537E90A361C1CD983C9522395041,104392,>1m <=5m,ATBI DATABASE,,1446882220000,DERV,COVE CREEK GAP,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,312146,3947308,35.651761,-83.075079,Lower Cataloochee Creek,Hall Branch,2547.931885,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446882220000,GRSM,UNR,,4,,,Lawson Jenkins-Kerr Cemetery Access,Cataloochee Group Camp Road,Valid,Aquarius_remigis,Aquarius  remigis,3130,Common Waterstrider,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1218153600000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Hemiptera, ,Gerromorpha, ,Gerroidea,Gerridae,Gerrinae,Gerrini,dip net, , ,cert,ATBI Aquatic Hemiptera
0101000020E61000006F4C38BCACC454C05A64D3FB5AD54140,104920,0101000020110F00001673C61A74A361C14F2B1FD0263B5041,104393,>1m <=5m,ATBI DATABASE,,1446882221000,DERV,COVE CREEK GAP,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,312366,3948976,35.666832,-83.073039,Lower Cataloochee Creek,Cataloochee Creek,2467.511475,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446882221000,GRSM,UNR,,6,,,Lawson Jenkins-Kerr Cemetery Access,Old Cataloochee Turnpike,Valid,Aquarius_remigis,Aquarius  remigis,3130,Common Waterstrider,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1218153600000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Hemiptera, ,Gerromorpha, ,Gerroidea,Gerridae,Gerrinae,Gerrini,dip net, , ,cert,ATBI Aquatic Hemiptera
0101000020E610000099743DCC3CC754C04D6BD7B4EDCF4140,104918,0101000020110F0000288B7A4CA1A561C1894321DB7A355041,104391,>1m <=5m,ATBI DATABASE,,1446882220000,DERV,DELLWOOD,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,308640,3944350,35.624435,-83.113082,Upper Cataloochee Creek,Rough Fork,2759.154297,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446882220000,GRSM,UNR,,3,,,Cataloochee Horse Trail,Cataloochee Entrance Road,Valid,Aquarius_remigis,Aquarius  remigis,3130,Common Waterstrider,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,935539200000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Hemiptera, ,Gerromorpha, ,Gerroidea,Gerridae,Gerrinae,Gerrini,by hand, , ,cert,Inventory & Monitoring
0101000020E610000099E2DA7E69D554C03E403825B4C84140,104911,0101000020110F0000E2762127ABB161C161B2FA0AEF2D5041,104384,>1m <=5m,ATBI DATABASE,,1446882215000,DERV,SMOKEMONT,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,288431,3938542,35.567991,-83.33456,Upper Oconaluftee River,Oconaluftee River,2384.666016,,,dd,GCS,NAD83,17,,Oconaluftee District,TPCOLSON,TPCOLSON,1446882215000,GRSM,UNR,,5,,,Smokemont Loop Trail,Newfound Gap Road South,Valid,Aquarius_remigis,Aquarius  remigis,3130,Common Waterstrider,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1217635200000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Hemiptera, ,Gerromorpha, ,Gerroidea,Gerridae,Gerrinae,Gerrini,dip net, , ,cert,ATBI Aquatic Hemiptera
0101000020E6100000C96CC33A4BD354C0523236FDA4C54140,104914,0101000020110F00002FEA2E9BDEAF61C133390D78BD2A5041,104387,>1m <=5m,ATBI DATABASE,,1446882217000,DERV,SMOKEMONT,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,291369,3935820,35.544091,-83.301463,Lower Oconaluftee River,Oconaluftee River,2141.222412,,,dd,GCS,NAD83,17,,Oconaluftee District,TPCOLSON,TPCOLSON,1446882217000,GRSM,UNR,,6,,,Smokemont Stables Trail to Towstring Horse Trail,Newfound Gap Road South,Valid,Aquarius_remigis,Aquarius  remigis,3130,Common Waterstrider,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1217635200000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Hemiptera, ,Gerromorpha, ,Gerroidea,Gerridae,Gerrinae,Gerrini,dip net, , ,cert,ATBI Aquatic Hemiptera
0101000020E610000022AE3CDECAD454C09CCBB4CDB2C74140,104912,0101000020110F0000C3FC376E24B161C188BE595DE22C5041,104385,>1m <=5m,ATBI DATABASE,,1446882216000,DERV,SMOKEMONT,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,289288,3937650,35.560137,-83.324878,Upper Oconaluftee River,,2280.127197,,,dd,GCS,NAD83,17,,Oconaluftee District,TPCOLSON,TPCOLSON,1446882216000,GRSM,UNR,,6,,,Smokemont Loop Trail,Newfound Gap Road South,Valid,Aquarius_remigis,Aquarius  remigis,3130,Common Waterstrider,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1217635200000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Hemiptera, ,Gerromorpha, ,Gerroidea,Gerridae,Gerrinae,Gerrini,dip net, , ,cert,ATBI Aquatic Hemiptera
