the_geom,cartodb_id,the_geom_webmercator,objectid,verror,mapsource,sourcedate,editdate,mapmethod,quadname,unitname,herror,county,state,x_coord,y_coord,lat,lon,watershed,streamname,elevation,year,notes,coord_units,coord_system,datum,utm_zone,managementzone,parkdistrict,editby,createby,createdate,unitcode,restriction,veg_class,landform,loc_name,loc_id,trail,road,valid_result,genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,dateretrieved,kingdom,subkingdom,phylum,subphylum,class,subclass,superdivision,division,subdivision,superorder,ordername,series,suborder,infraorder,superfamily,family,subfamily,tribe,collectionmethod,specimentype,dateprecision,identificationprecision,project
0101000020E6100000310E1ACCCFFB54C0FD8DDA2AECBF4140,173722,0101000020110F00008CC5FD0748D261C131790AEDC4245041,173379,>1m <=5m,ATBI DATABASE,,1446916789000,DERV,TAPOCO,Great Smoky Mountains National Park,>1m <=5m,Blount,Tennessee,233816,3932386,35.499388,-83.934554,Chilhowee Lake,Parson Branch,1353.338135,,,dd,GCS,NAD83,17,,,TPCOLSON,TPCOLSON,1446916789000,GRSM,UNR,,3,,,Wolf Ridge Trail,Parson Branch Road (closed Winter),Valid,Formica_subsericea,Formica  subsericea,16780,Ant,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1316908800000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Hymenoptera,Aculeata,Apocrita, ,Vespoidea,Formicidae,Formicinae,Formicini,"baiting, hand collecting", , ,cert,ATBI Ants
0101000020E6100000AD56B9F207F454C0CBF8267602BB4140,173727,0101000020110F0000D936665AACCB61C1592CE92FA51F5041,173384,>1m <=5m,ATBI DATABASE,,1446916791000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,244725,3927806,35.461006,-83.812981,Lake Cheoah-Little Tennessee River,,1913.606812,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446916791000,GRSM,UNR,,7,,,Appalachian Trail,Payne Cemetery Access Road,Valid,Formica_subsericea,Formica  subsericea,16780,Ant,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1121990400000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Hymenoptera,Aculeata,Apocrita, ,Vespoidea,Formicidae,Formicinae,Formicini,Winkler extraction, ,day,cert,ATBI Ants
0101000020E6100000573E9601D1F754C0822858161EBC4140,173725,0101000020110F0000B302DB5FE3CE61C171AC75F1CC205041,173382,>1m <=5m,ATBI DATABASE,,1446916790000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,239384,3928921,35.469661,-83.872128,Lake Cheoah-Little Tennessee River,Twentymile Creek,1484.013794,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446916790000,GRSM,UNR,,8,,,Twentymile Trail,Twenty Mile Trailhead Parking,Valid,Formica_subsericea,Formica  subsericea,16780,Ant,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1312070400000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Hymenoptera,Aculeata,Apocrita, ,Vespoidea,Formicidae,Formicinae,Formicini,"baiting, hand collecting", , ,cert,ATBI Ants
0101000020E61000003B419864CFF754C0B97C30985BBC4140,173726,0101000020110F000026E51901E2CE61C18517CF150D215041,173383,>1m <=5m,ATBI DATABASE,,1446916791000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,239399,3929129,35.471538,-83.872029,Lake Cheoah-Little Tennessee River,Moore Springs Branch,1544.624756,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446916791000,GRSM,UNR,,4,,,Twentymile Trail,Twenty Mile Trailhead Parking,Valid,Formica_subsericea,Formica  subsericea,16780,Ant,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1122249600000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Hymenoptera,Aculeata,Apocrita, ,Vespoidea,Formicidae,Formicinae,Formicini,Winkler extraction, ,day,cert,ATBI Ants
0101000020E6100000C2D6790FE8E254C06AEC99C54EBB4140,173732,0101000020110F0000AEABAD1D21BD61C17F6710C2F41F5041,173389,>1m <=5m,ATBI DATABASE,,1446916794000,DERV,NOLAND CREEK,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,269019,3927405,35.463335,-83.54541,Fontana Lake-Tuckasegee River,,2395.842529,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446916794000,GRSM,UNR,,6,,,Lakeshore Trail,Lakeview Drive East Parking #4,Valid,Formica_subsericea,Formica  subsericea,16780,Ant,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1119139200000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Hymenoptera,Aculeata,Apocrita, ,Vespoidea,Formicidae,Formicinae,Formicini,Winkler extraction, ,day,cert,ATBI Ants
0101000020E61000009E0B076839D454C0174B6F9191E04140,173750,0101000020110F000059B0CBE3A8B061C13346A45AE1465041,173407,>1m <=5m,ATBI DATABASE,,1446916805000,DERV,JONES COVE,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,290601,3959186,35.754435,-83.316,Webb Creek,Texas Creek,2073.445801,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446916805000,GRSM,UNR,,6,,,Old Settlers Trail,Ramsey Cascades Trailhead Parking,Valid,Formica_subsericea,Formica  subsericea,16780,Ant,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1249689600000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Hymenoptera,Aculeata,Apocrita, ,Vespoidea,Formicidae,Formicinae,Formicini,baiting, , ,cert,ATBI Ants
0101000020E6100000BE2F03D56CD054C0598DC28112E24140,173753,0101000020110F00003C04D7E16EAD61C1CB73353D74485041,173410,>1m <=5m,ATBI DATABASE,,1446916807000,DERV,JONES COVE,Great Smoky Mountains National Park,>1m <=5m,Cocke,Tennessee,295999,3960364,35.766183,-83.256639,Cosby Creek,Cricket Branch,2208.603516,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446916807000,GRSM,UNR,,6,,,Maddron Bald Trail,Cosby Entrance Road,Valid,Formica_subsericea,Formica  subsericea,16780,Ant,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1248307200000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Hymenoptera,Aculeata,Apocrita, ,Vespoidea,Formicidae,Formicinae,Formicini,baiting, , ,cert,ATBI Ants
0101000020E610000039EDFC4A03D254C0B1C75DE7D3E14140,173752,0101000020110F0000B7FEE916C8AE61C1CE499CB632485041,173409,>1m <=5m,ATBI DATABASE,,1446916806000,DERV,JONES COVE,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,293751,3960204,35.764272,-83.281447,East Fork Dunn Creek,Ogle Spring Branch,2055.864746,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446916806000,GRSM,UNR,,5,,,Old Settlers Trail,Foothills Parkway Section 8a,Valid,Formica_subsericea,Formica  subsericea,16780,Ant,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1247097600000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Hymenoptera,Aculeata,Apocrita, ,Vespoidea,Formicidae,Formicinae,Formicini,baiting, , ,cert,ATBI Ants
0101000020E6100000C1BCA21C0BD254C03BDD49A963E14140,173751,0101000020110F0000F5FFE9BACEAE61C17E8F113CBD475041,173408,>1m <=5m,ATBI DATABASE,,1446916805000,DERV,JONES COVE,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,293699,3959825,35.760847,-83.281924,East Fork Dunn Creek,Dunn Creek,2163.474121,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446916805000,GRSM,UNR,,6,,,Old Settlers Trail,Foothills Parkway Section 8a,Valid,Formica_subsericea,Formica  subsericea,16780,Ant,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1246492800000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Hymenoptera,Aculeata,Apocrita, ,Vespoidea,Formicidae,Formicinae,Formicini,baiting, , ,cert,ATBI Ants
0101000020E6100000BA38F745CCCD54C046CE1F334DE24140,173754,0101000020110F000027C384AD33AB61C128EB68ACB1485041,173411,>1m <=5m,ATBI DATABASE,,1446916807000,DERV,HARTFORD,Great Smoky Mountains National Park,>1m <=5m,Cocke,Tennessee,299715,3960478,35.767974,-83.215589,Cosby Creek,Crying Creek,1907.997803,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446916807000,GRSM,UNR,,6,,,Tritt Cemetery Access Trail,Cosby Entrance Road,Valid,Formica_subsericea,Formica  subsericea,16780,Ant,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1248134400000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Hymenoptera,Aculeata,Apocrita, ,Vespoidea,Formicidae,Formicinae,Formicini,baiting, , ,cert,ATBI Ants
0101000020E610000025375805D8DE54C0D56A9A4763C84140,173741,0101000020110F000060B15BCFADB961C12213B19C9A2D5041,173398,>1m <=5m,ATBI DATABASE,,1446916800000,DERV,CLINGMANS DOME,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,275066,3938595,35.565523,-83.481931,Noland Creek,Noland Creek,5756.129395,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446916800000,GRSM,UNR,,6,,,Noland Divide Trail,Clingmans Dome Access Road,Valid,Formica_subsericea,Formica  subsericea,16780,Ant,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1312156800000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Hymenoptera,Aculeata,Apocrita, ,Vespoidea,Formicidae,Formicinae,Formicini,"baiting, hand collecting", , ,cert,ATBI Ants
