the_geom,cartodb_id,the_geom_webmercator,objectid,verror,mapsource,sourcedate,editdate,mapmethod,quadname,unitname,herror,county,state,x_coord,y_coord,lat,lon,watershed,streamname,elevation,year,notes,coord_units,coord_system,datum,utm_zone,managementzone,parkdistrict,editby,createby,createdate,unitcode,restriction,veg_class,landform,loc_name,loc_id,trail,road,valid_result,genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,dateretrieved,kingdom,subkingdom,phylum,subphylum,class,subclass,superdivision,division,subdivision,superorder,ordername,series,suborder,infraorder,superfamily,family,subfamily,tribe,collectionmethod,specimentype,dateprecision,identificationprecision,project
0101000020E6100000310E1ACCCFFB54C0FD8DDA2AECBF4140,173722,0101000020110F00008CC5FD0748D261C131790AEDC4245041,173379,>1m <=5m,ATBI DATABASE,,1446916789000,DERV,TAPOCO,Great Smoky Mountains National Park,>1m <=5m,Blount,Tennessee,233816,3932386,35.499388,-83.934554,Chilhowee Lake,Parson Branch,1353.338135,,,dd,GCS,NAD83,17,,,TPCOLSON,TPCOLSON,1446916789000,GRSM,UNR,,3,,,Wolf Ridge Trail,Parson Branch Road (closed Winter),Valid,Formica_subsericea,Formica  subsericea,16780,Ant,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1316908800000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Hymenoptera,Aculeata,Apocrita, ,Vespoidea,Formicidae,Formicinae,Formicini,"baiting, hand collecting", , ,cert,ATBI Ants
0101000020E6100000C587E13CFFDA54C05E987E2946CE4140,173745,0101000020110F00004B3FF56E69B661C1D40B1A5BC0335041,173402,>1m <=5m,ATBI DATABASE,,1446916802000,DERV,CLINGMANS DOME,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,280640,3943561,35.611509,-83.421824,West Prong Little Pigeon River Upper,Mine Branch,5197.571289,,,dd,GCS,NAD83,17,,Little River District,TPCOLSON,TPCOLSON,1446916802000,GRSM,UNR,,6,,,Appalachian Trail,Newfound Gap Road North,Valid,Formica_subsericea,Formica  subsericea,16780,Ant,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1313366400000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Hymenoptera,Aculeata,Apocrita, ,Vespoidea,Formicidae,Formicinae,Formicini,"baiting, hand collecting", , ,cert,ATBI Ants
0101000020E6100000817E14B2E9DA54C0B5CF85C650CE4140,173746,0101000020110F000007603C2357B661C148DE8171CB335041,173403,>1m <=5m,ATBI DATABASE,,1446916803000,DERV,CLINGMANS DOME,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,280760,3943594,35.611833,-83.42051,Upper Oconaluftee River,Minnie Ball Branch,5244.37793,,,dd,GCS,NAD83,17,,Little River District,TPCOLSON,TPCOLSON,1446916803000,GRSM,UNR,,9,,,Appalachian Trail,Newfound Gap Road North,Valid,Formica_subsericea,Formica  subsericea,16780,Ant,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1311033600000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Hymenoptera,Aculeata,Apocrita, ,Vespoidea,Formicidae,Formicinae,Formicini,"baiting, hand collecting", , ,cert,ATBI Ants
0101000020E61000009F84677CDEDC54C0260F9B3A22CE4140,173743,0101000020110F00007F9A827500B861C101965BD19A335041,173400,>1m <=5m,ATBI DATABASE,,1446916801000,DERV,CLINGMANS DOME,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,277987,3943505,35.610413,-83.451075,West Prong Little Pigeon River Upper,Road Prong,5067.036621,,,dd,GCS,NAD83,17,,Little River District,TPCOLSON,TPCOLSON,1446916801000,GRSM,UNR,,9,,,Road Prong Trail,Indian Gap Road Parking,Valid,Formica_subsericea,Formica  subsericea,16780,Ant,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1312329600000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Hymenoptera,Aculeata,Apocrita, ,Vespoidea,Formicidae,Formicinae,Formicini,"baiting, hand collecting", , ,cert,ATBI Ants
0101000020E61000004930FEDECFDF54C0EC6E6BF92BD14140,173738,0101000020110F000017192A4F80BA61C1A92C416AC7365041,173395,>1m <=5m,ATBI DATABASE,,1446916798000,DERV,MOUNT LE CONTE,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,273888,3946243,35.634148,-83.497058,West Prong Little Pigeon River Upper,,3055.054443,,,dd,GCS,NAD83,17,,Little River District,TPCOLSON,TPCOLSON,1446916798000,GRSM,UNR,,5,,,Cove Hardwood Nature Trail,Newfound Gap Road North,Valid,Formica_subsericea,Formica  subsericea,16780,Ant,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1317859200000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Hymenoptera,Aculeata,Apocrita, ,Vespoidea,Formicidae,Formicinae,Formicini,"baiting, hand collecting", , ,cert,ATBI Ants
0101000020E61000005F641B1BCEDF54C0DEA79AC8E8D14140,173739,0101000020110F00009DA960CF7EBA61C1A19FB9B88C375041,173396,>1m <=5m,ATBI DATABASE,,1446916799000,DERV,MOUNT LE CONTE,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,273914,3946882,35.63991,-83.496951,West Prong Little Pigeon River Upper,West Prong Little Pigeon River,2678.322266,,,dd,GCS,NAD83,17,,Little River District,TPCOLSON,TPCOLSON,1446916799000,GRSM,UNR,,6,,,Cove Hardwood Nature Trail,Nfg Pullout Parking At Mp 6.49,Valid,Formica_subsericea,Formica  subsericea,16780,Ant,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1318204800000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Hymenoptera,Aculeata,Apocrita, ,Vespoidea,Formicidae,Formicinae,Formicini,"baiting, hand collecting", , ,cert,ATBI Ants
0101000020E6100000CECFE98661DF54C0B5F5B9058BD64140,173740,0101000020110F0000C4C20F9822BA61C1781DF5AB643C5041,173397,>1m <=5m,ATBI DATABASE,,1446916799000,DERV,MOUNT LE CONTE,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,274616,3950883,35.676111,-83.490324,Le Conte Creek,Le Conte Creek,2467.044434,,,dd,GCS,NAD83,17,,Little River District,TPCOLSON,TPCOLSON,1446916799000,GRSM,UNR,,6,,,Old Sugarlands Trail,Cherokee Orchard Road,Valid,Formica_subsericea,Formica  subsericea,16780,Ant,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1312243200000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Hymenoptera,Aculeata,Apocrita, ,Vespoidea,Formicidae,Formicinae,Formicini,"baiting, hand collecting", , ,cert,ATBI Ants
0101000020E6100000BDA7DD08FBDF54C08BDD7A31BAD74140,173737,0101000020110F00004932D3F7A4BA61C1AA16F8A8A13D5041,173394,>1m <=5m,ATBI DATABASE,,1446916797000,DERV,MOUNT LE CONTE,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,273794,3951931,35.685363,-83.499693,Le Conte Creek,Le Conte Creek,2013.117554,,,dd,GCS,NAD83,17,,Little River District,TPCOLSON,TPCOLSON,1446916797000,GRSM,UNR,,6,,,Twin Creeks Trail,Natural Resources Center Parking #4,Valid,Formica_subsericea,Formica  subsericea,16780,Ant,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1321833600000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Hymenoptera,Aculeata,Apocrita, ,Vespoidea,Formicidae,Formicinae,Formicini,"baiting, hand collecting", , ,cert,ATBI Ants
0101000020E6100000E957381EB3DD54C01B5681F2E8D64140,173742,0101000020110F0000A9BE2A0CB5B861C1C7549ADFC63C5041,173399,>1m <=5m,ATBI DATABASE,,1446916800000,DERV,MOUNT LE CONTE,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,277002,3951141,35.678977,-83.464053,Roaring Fork,Rocky Spur Branch,3245.374023,,,dd,GCS,NAD83,17,,Little River District,TPCOLSON,TPCOLSON,1446916800000,GRSM,UNR,,6,,,Trillium Gap Trail,Roaring Fork Motor Nature Trail,Valid,Formica_subsericea,Formica  subsericea,16780,Ant,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1312502400000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Hymenoptera,Aculeata,Apocrita, ,Vespoidea,Formicidae,Formicinae,Formicini,"baiting, hand collecting", , ,cert,ATBI Ants
0101000020E610000025E95BF8D7DB54C0FB50DDF458D64140,173744,0101000020110F00002FE5178121B761C112F8DA53303C5041,173401,>1m <=5m,ATBI DATABASE,,1446916802000,DERV,MOUNT LE CONTE,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,279615,3950588,35.674583,-83.435053,Roaring Fork,Surry Fork,4464.688477,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446916802000,GRSM,UNR,,5,,,Trillium Gap Trail,Roaring Fork Motor Nature Trail,Valid,Formica_subsericea,Formica  subsericea,16780,Ant,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1310515200000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Hymenoptera,Aculeata,Apocrita, ,Vespoidea,Formicidae,Formicinae,Formicini,"baiting, hand collecting", , ,cert,ATBI Ants
0101000020E61000005A0B6289AFD554C016334FA9F0D94140,173749,0101000020110F000046A488A3E6B161C1B9A14F0BF23F5041,173406,>1m <=5m,ATBI DATABASE,,1446916804000,DERV,MOUNT GUYOT,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,288399,3953490,35.70265,-83.338835,Little Pigeon River Upper,Middle Prong Little Pigeon River,2608.213867,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446916804000,GRSM,UNR,,5,,,Ramsey Cascades Trail,Ramsey Cascades Trailhead Parking,Valid,Formica_subsericea,Formica  subsericea,16780,Ant,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1318809600000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Hymenoptera,Aculeata,Apocrita, ,Vespoidea,Formicidae,Formicinae,Formicini,"baiting, hand collecting", , ,cert,ATBI Ants
0101000020E6100000A595FC94B2D954C0AB7B1D9EC9DC4140,173747,0101000020110F0000770BA2E84EB561C1241D188AEC425041,173404,>1m <=5m,ATBI DATABASE,,1446916803000,DERV,MOUNT LE CONTE,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,282787,3956095,35.724896,-83.401521,Little Pigeon River Middle,Little Pigeon River,1474.872925,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446916803000,GRSM,UNR,,7,,,Grapeyard Ridge Trail,Greenbrier Unpaved Road,Valid,Formica_subsericea,Formica  subsericea,16780,Ant,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1310947200000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Hymenoptera,Aculeata,Apocrita, ,Vespoidea,Formicidae,Formicinae,Formicini,"baiting, hand collecting", , ,cert,ATBI Ants
0101000020E610000055075FE9D3D854C0322CA2CD41D94140,173748,0101000020110F0000ADC871CB91B461C18D782D2C3B3F5041,173405,>1m <=5m,ATBI DATABASE,,1446916804000,DERV,MOUNT LE CONTE,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,283942,3953005,35.697314,-83.38793,Porters Creek,Porters Creek,1874.529053,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446916804000,GRSM,UNR,,3,,,Porters Creek Trail,Porters Creek Scenic Loop,Valid,Formica_subsericea,Formica  subsericea,16780,Ant,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1311033600000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Hymenoptera,Aculeata,Apocrita, ,Vespoidea,Formicidae,Formicinae,Formicini,"baiting, hand collecting", , ,cert,ATBI Ants
0101000020E6100000B1B8BEF689EC54C0AD9753C005D34140,173729,0101000020110F000078CC90684FC561C1B9697A8AB6385041,173386,>1m <=5m,ATBI DATABASE,,1446916792000,DERV,WEAR COVE,Great Smoky Mountains National Park,>1m <=5m,Blount,Tennessee,255921,3948323,35.648606,-83.695917,Little River-Crooked Creek,Middle Prong Little River,1510.96167,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446916792000,GRSM,UNR,,6,,,Lumber Ridge Trail,Tremont Road,Valid,Formica_subsericea,Formica  subsericea,16780,Ant,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1318377600000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Hymenoptera,Aculeata,Apocrita, ,Vespoidea,Formicidae,Formicinae,Formicini,"baiting, hand collecting", , ,cert,ATBI Ants
0101000020E610000022345CC688EC54C01D0741FBDCD14140,173728,0101000020110F0000092E0D664EC561C13B7B4B6380375041,173385,>1m <=5m,ATBI DATABASE,,1446916792000,DERV,WEAR COVE,Great Smoky Mountains National Park,>1m <=5m,Blount,Tennessee,255900,3947318,35.639549,-83.695844,Little River-Crooked Creek,Loan Branch,1709.847534,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446916792000,GRSM,UNR,,4,,,West Prong Trail,Tremont Road,Valid,Formica_subsericea,Formica  subsericea,16780,Ant,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1297900800000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Hymenoptera,Aculeata,Apocrita, ,Vespoidea,Formicidae,Formicinae,Formicini,"baiting, hand collecting", , ,cert,ATBI Ants
0101000020E61000002D8319CF57EB54C05E21FE3152D14140,173730,0101000020110F00001BFB1A644BC461C15667E15AEF365041,173387,>1m <=5m,ATBI DATABASE,,1446916793000,DERV,WEAR COVE,Great Smoky Mountains National Park,>1m <=5m,Blount,Tennessee,257573,3946802,35.635314,-83.67723,Little River-Crooked Creek,Spruce Flats Branch,1895.413574,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446916793000,GRSM,UNR,,10,,,Lumber Ridge Trail,Upper Tremont Road,Valid,Formica_subsericea,Formica  subsericea,16780,Ant,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1301443200000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Hymenoptera,Aculeata,Apocrita, ,Vespoidea,Formicidae,Formicinae,Formicini,"baiting, hand collecting", , ,cert,ATBI Ants
0101000020E6100000CB12A21E70E554C059A9AFCD57D24140,173731,0101000020110F00000A2C488347BF61C1564D93BE00385041,173388,>1m <=5m,ATBI DATABASE,,1446916794000,DERV,GATLINBURG,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,265953,3947464,35.643298,-83.584964,Little River-Goshen Prong,Jakes Creek,2411.047363,,,dd,GCS,NAD83,17,,Little River District,TPCOLSON,TPCOLSON,1446916794000,GRSM,UNR,,7,,,Meigs Mountain Trail,Elkmont Cemetery Road,Valid,Formica_subsericea,Formica  subsericea,16780,Ant,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1245369600000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Hymenoptera,Aculeata,Apocrita, ,Vespoidea,Formicidae,Formicinae,Formicini,baiting, , ,cert,ATBI Ants
0101000020E61000003B58852160E154C07B6C685678D54140,173734,0101000020110F0000A5D20440D4BB61C181C3DD7F453B5041,173391,>1m <=5m,ATBI DATABASE,,1446916795000,DERV,GATLINBURG,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,271771,3950025,35.667728,-83.521488,West Prong Little Pigeon River Upper,West Prong Little Pigeon River,1697.239136,,,dd,GCS,NAD83,17,,Little River District,TPCOLSON,TPCOLSON,1446916795000,GRSM,UNR,,7,,,Bullhead View Quiet Walkway,Newfound Gap Road North,Valid,Formica_subsericea,Formica  subsericea,16780,Ant,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1246320000000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Hymenoptera,Aculeata,Apocrita, ,Vespoidea,Formicidae,Formicinae,Formicini,baiting, , ,cert,ATBI Ants
