the_geom,cartodb_id,the_geom_webmercator,objectid,verror,mapsource,sourcedate,editdate,mapmethod,quadname,unitname,herror,county,state,x_coord,y_coord,lat,lon,watershed,streamname,elevation,year,notes,coord_units,coord_system,datum,utm_zone,managementzone,parkdistrict,editby,createby,createdate,unitcode,restriction,veg_class,landform,loc_name,loc_id,trail,road,valid_result,genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,dateretrieved,kingdom,subkingdom,phylum,subphylum,class,subclass,superdivision,division,subdivision,superorder,ordername,series,suborder,infraorder,superfamily,family,subfamily,tribe,collectionmethod,specimentype,dateprecision,identificationprecision,project
0101000020E6100000B9CA97D3C2F754C0942DF0E724BB4140,70105,0101000020110F00008F87E654D7CE61C1E720631AC91F5041,69627,>1m <=5m,ATBI DATABASE,,1446862492000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,239438,3928075,35.462057,-83.871262,Lake Cheoah-Little Tennessee River,,1686.404419,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446862492000,GRSM,UNR,,7,,,Twentymile Trail,Twenty Mile Trailhead Parking,Valid,Ulmus_alata,Ulmus  alata,41634,Winged Elm,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1118016000000,Plantae,Tracheobionta, , ,Magnoliopsida,Hamamelidae,Spermatophyta,Magnoliophyta, , ,Urticales, , , , ,Ulmaceae, ,~,observed, ,day,cert,TVA Powerline Plants
0101000020E6100000A0E2610260EE54C0DEF746B963BC4140,70110,0101000020110F00000257439EDEC661C11BAC129015215041,69633,>1m <=5m,ATBI DATABASE,,1446862495000,DERV,TUSKEEGEE,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,252780,3928777,35.471787,-83.724606,Hazel Creek,Hazel Creek,1750.039429,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446862495000,GRSM,UNR,,4,,,Hazel Creek Trail,Lakeview Drive West,Valid,Ulmus_alata,Ulmus  alata,41634,Winged Elm,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1051747200000,Plantae,Tracheobionta, , ,Magnoliopsida,Hamamelidae,Spermatophyta,Magnoliophyta, , ,Urticales, , , , ,Ulmaceae, ,~,by hand, , ,cert,INHS plant survey
0101000020E6100000E9B21AA359EE54C0DCFDB4D555BC4140,70077,0101000020110F0000DB6CD134D9C661C18DDE251407215041,69635,>1m <=5m,ATBI DATABASE,,1446862496000,DERV,TUSKEEGEE,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,252814,3928729,35.471363,-83.724217,Hazel Creek,Hazel Creek,1733.713135,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446862496000,GRSM,UNR,,9,,,Hazel Creek Trail,Lakeview Drive West,Valid,Ulmus_alata,Ulmus  alata,41634,Winged Elm,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1096934400000,Plantae,Tracheobionta, , ,Magnoliopsida,Hamamelidae,Spermatophyta,Magnoliophyta, , ,Urticales, , , , ,Ulmaceae, ,~,observed, , ,cert,INHS plant survey
0101000020E6100000F631A89469EE54C0E13AD33F59BC4140,70109,0101000020110F0000123648BFE6C661C14248B8A30A215041,69632,>1m <=5m,ATBI DATABASE,,1446862494000,DERV,TUSKEEGEE,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,252726,3928743,35.471467,-83.72519,Hazel Creek,Hazel Creek,1689.648804,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446862494000,GRSM,UNR,,4,,,Hazel Creek Trail,Lakeview Drive West,Valid,Ulmus_alata,Ulmus  alata,41634,Winged Elm,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1096934400000,Plantae,Tracheobionta, , ,Magnoliopsida,Hamamelidae,Spermatophyta,Magnoliophyta, , ,Urticales, , , , ,Ulmaceae, ,~,observed, , ,cert,INHS plant survey
0101000020E61000006AEF304674EE54C0F67E3F1651BC4140,69863,0101000020110F00005D4B45D4EFC661C1618B9C2002215041,69630,>1m <=5m,ATBI DATABASE,,1446862493000,DERV,TUSKEEGEE,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,252666,3928717,35.471218,-83.725843,Hazel Creek,Hazel Creek,1698.943359,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446862493000,GRSM,UNR,,4,,,Hazel Creek Trail,Lakeview Drive West,Valid,Ulmus_alata,Ulmus  alata,41634,Winged Elm,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1096934400000,Plantae,Tracheobionta, , ,Magnoliopsida,Hamamelidae,Spermatophyta,Magnoliophyta, , ,Urticales, , , , ,Ulmaceae, ,~,observed, , ,cert,INHS plant survey
0101000020E6100000EDEE71A170EE54C09C0E15D159BC4140,70108,0101000020110F0000D9D016BCECC661C1AE75333B0B215041,69631,>1m <=5m,ATBI DATABASE,,1446862494000,DERV,TUSKEEGEE,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,252687,3928746,35.471484,-83.72562,Hazel Creek,Hazel Creek,1704.128174,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446862494000,GRSM,UNR,,4,,,Hazel Creek Trail,Lakeview Drive West,Valid,Ulmus_alata,Ulmus  alata,41634,Winged Elm,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1096934400000,Plantae,Tracheobionta, , ,Magnoliopsida,Hamamelidae,Spermatophyta,Magnoliophyta, , ,Urticales, , , , ,Ulmaceae, ,~,observed, , ,cert,INHS plant survey
0101000020E61000004477C03D5BE954C0342EA5F9A6B84140,70114,0101000020110F00001CAADA769BC261C1A5ED10FF2F1D5041,69639,>1m <=5m,ATBI DATABASE,,1446862498000,DERV,TUSKEEGEE,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,259810,3925344,35.442589,-83.64619,Lower Fontana Lake-Little Tennessee River,Little Tennessee River,1703.068237,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446862498000,GRSM,UNR,,1,,,Lakeshore Trail,Lakeview Drive East Parking #4,Valid,Ulmus_alata,Ulmus  alata,41634,Winged Elm,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1056067200000,Plantae,Tracheobionta, , ,Magnoliopsida,Hamamelidae,Spermatophyta,Magnoliophyta, , ,Urticales, , , , ,Ulmaceae, ,~,observed, , ,cert,INHS plant survey
0101000020E6100000CF5135E499E854C0A68E48FA05B94140,70118,0101000020110F0000E62A9340F7C161C1CE972709931D5041,69643,>1m <=5m,ATBI DATABASE,,1446862500000,DERV,TUSKEEGEE,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,260890,3925637,35.445488,-83.634389,Lower Fontana Lake-Little Tennessee River,Kirkland Branch,1773.599976,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446862500000,GRSM,UNR,,3,,,Lakeshore Trail,Lakeview Drive East Parking #4,Valid,Ulmus_alata,Ulmus  alata,41634,Winged Elm,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1065398400000,Plantae,Tracheobionta, , ,Magnoliopsida,Hamamelidae,Spermatophyta,Magnoliophyta, , ,Urticales, , , , ,Ulmaceae, ,~,observed, , ,cert,INHS plant survey
0101000020E6100000B558E59D9EE854C0CC79E13629B94140,70115,0101000020110F00000483F643FBC161C1CA434BC5B71D5041,69640,>1m <=5m,ATBI DATABASE,,1446862498000,DERV,TUSKEEGEE,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,260867,3925757,35.446563,-83.634677,Lower Fontana Lake-Little Tennessee River,Kirkland Branch,1765.014038,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446862498000,GRSM,UNR,,5,,,Lakeshore Trail,Lakeview Drive East Parking #4,Valid,Ulmus_alata,Ulmus  alata,41634,Winged Elm,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1065398400000,Plantae,Tracheobionta, , ,Magnoliopsida,Hamamelidae,Spermatophyta,Magnoliophyta, , ,Urticales, , , , ,Ulmaceae, ,~,by hand, , ,cert,INHS plant survey
0101000020E6100000C40E17D79DE854C0D4A679ED30B94140,70117,0101000020110F0000EEF91D9BFAC161C1FCA7DCCFBF1D5041,69642,>1m <=5m,ATBI DATABASE,,1446862499000,DERV,TUSKEEGEE,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,260872,3925783,35.446799,-83.63463,Lower Fontana Lake-Little Tennessee River,Kirkland Branch,1774.911499,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446862499000,GRSM,UNR,,4,,,Lakeshore Trail,Lakeview Drive East Parking #4,Valid,Ulmus_alata,Ulmus  alata,41634,Winged Elm,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1065398400000,Plantae,Tracheobionta, , ,Magnoliopsida,Hamamelidae,Spermatophyta,Magnoliophyta, , ,Urticales, , , , ,Ulmaceae, ,~,observed, , ,cert,INHS plant survey
0101000020E6100000F9C657688BCB54C01CA77E644EE44140,70121,0101000020110F0000AEFBDDBE49A961C1899686E5CA4A5041,69646,>1m <=5m,ATBI DATABASE,,1446862501000,DERV,HARTFORD,Great Smoky Mountains National Park,>1m <=5m,Cocke,Tennessee,302937,3962144,35.783635,-83.18038,Pigeon River-Cripple Creek,Groundhog Creek,2253.071045,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446862501000,GRSM,UNR,,9,,,Lower Mount Cammerer Trail,Cosby Entrance Road,Valid,Ulmus_alata,Ulmus  alata,41634,Winged Elm,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1146355200000,Plantae,Tracheobionta, , ,Magnoliopsida,Hamamelidae,Spermatophyta,Magnoliophyta, , ,Urticales, , , , ,Ulmaceae, ,~,observed,No,day,cert,ATBI
