the_geom,cartodb_id,the_geom_webmercator,objectid,verror,mapsource,sourcedate,editdate,mapmethod,quadname,unitname,herror,county,state,x_coord,y_coord,lat,lon,watershed,streamname,elevation,year,notes,coord_units,coord_system,datum,utm_zone,managementzone,parkdistrict,editby,createby,createdate,unitcode,restriction,veg_class,landform,loc_name,loc_id,trail,road,valid_result,genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,dateretrieved,kingdom,subkingdom,phylum,subphylum,class,subclass,superdivision,division,subdivision,superorder,ordername,series,suborder,infraorder,superfamily,family,subfamily,tribe,collectionmethod,specimentype,dateprecision,identificationprecision,project
0101000020E6100000B3E63C6D11FB54C03CA28D264EBD4140,207627,0101000020110F0000D5C17459A6D161C1E2FFD70B0A225041,207472,>1m <=5m,ATBI DATABASE,,1446936349000,DERV,TAPOCO,Great Smoky Mountains National Park,>1m <=5m,Blount,Tennessee,234803,3930086,35.478941,-83.922934,Chilhowee Lake,,2026.297974,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446936349000,GRSM,UNR,,7,,,Wolf Ridge Trail,Parson Branch Road (closed Winter),Valid,Lyonia_ligustrina_v_ligustrina,Lyonia  ligustrina v. ligustrina,23566,He-huckleberry,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1118016000000,Plantae,Tracheobionta, , ,Magnoliopsida,Dilleniidae,Spermatophyta,Magnoliophyta, , ,Ericales, , , , ,Ericaceae, ,~,observed, ,day,cert,TVA Powerline Plants
0101000020E6100000F1BD7BB741E354C07D6CD15D2DBA4140,207678,0101000020110F0000CA55D3426DBD61C16413CEFFC61E5041,207521,>1m <=5m,ATBI DATABASE,,1446936376000,DERV,NOLAND CREEK,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,268497,3926438,35.454503,-83.550882,Fontana Lake-Tuckasegee River,Goldmine Branch,1861.640625,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446936376000,GRSM,UNR,,7,,,Goldmine Loop Trail,Lakeview Drive East Parking #4,Valid,Lyonia_ligustrina_v_ligustrina,Lyonia  ligustrina v. ligustrina,23566,He-huckleberry,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1027641600000,Plantae,Tracheobionta, , ,Magnoliopsida,Dilleniidae,Spermatophyta,Magnoliophyta, , ,Ericales, , , , ,Ericaceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E610000037A42BBAD0E254C0B721C846C2BA4140,207680,0101000020110F0000AC568C4C0DBD61C18E3CEC42621F5041,207523,>1m <=5m,ATBI DATABASE,,1446936377000,DERV,NOLAND CREEK,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,269136,3926926,35.459047,-83.543986,Fontana Lake-Tuckasegee River,Hyatt Branch,2071.775879,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446936377000,GRSM,UNR,,2,,,Tunnel Bypass Trail NC,Lakeview Drive East Parking #4,Valid,Lyonia_ligustrina_v_ligustrina,Lyonia  ligustrina v. ligustrina,23566,He-huckleberry,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1051833600000,Plantae,Tracheobionta, , ,Magnoliopsida,Dilleniidae,Spermatophyta,Magnoliophyta, , ,Ericales, , , , ,Ericaceae, ,~,by hand, , ,cert,INHS plant survey
0101000020E6100000516E57BF84DA54C043B49518BDBD4140,207690,0101000020110F00003169FD6601B661C1C1933AC27D225041,207533,>1m <=5m,ATBI DATABASE,,1446936382000,DERV,BRYSON CITY,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,280966,3929213,35.482326,-83.414348,Deep Creek,Indian Creek,2230.031494,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446936382000,GRSM,UNR,,4,,,Indian Creek Trail,Indian Camp Creek Road,Valid,Lyonia_ligustrina_v_ligustrina,Lyonia  ligustrina v. ligustrina,23566,He-huckleberry,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,969408000000,Plantae,Tracheobionta, , ,Magnoliopsida,Dilleniidae,Spermatophyta,Magnoliophyta, , ,Ericales, , , , ,Ericaceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E6100000BA203C8911DA54C0C5C0F0DA7DBE4140,207691,0101000020110F000034C6A28D9FB561C1D9A3D2CF46235041,207534,>1m <=5m,ATBI DATABASE,,1446936382000,DERV,BRYSON CITY,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,281620,3929850,35.488209,-83.407316,Deep Creek,,2234.152344,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446936382000,GRSM,UNR,,6,,,Indian Creek Trail,Galbraith Creek Rd,Valid,Lyonia_ligustrina_v_ligustrina,Lyonia  ligustrina v. ligustrina,23566,He-huckleberry,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1056412800000,Plantae,Tracheobionta, , ,Magnoliopsida,Dilleniidae,Spermatophyta,Magnoliophyta, , ,Ericales, , , , ,Ericaceae, ,~,by hand, , ,cert,INHS plant survey
0101000020E6100000651A0B1234CC54C01C70C8CCA6E14140,207696,0101000020110F0000DBA3B3FDD8A961C18E31378103485041,207538,>1m <=5m,ATBI DATABASE,,1446936385000,DERV,HARTFORD,Great Smoky Mountains National Park,>1m <=5m,Cocke,Tennessee,301955,3959864,35.762896,-83.190674,Cosby Creek,Riding Fork,2694.978027,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446936385000,GRSM,UNR,,6,,,Lower Mount Cammerer Trail,Cosby Picnic Area Parking C,Valid,Lyonia_ligustrina_v_ligustrina,Lyonia  ligustrina v. ligustrina,23566,He-huckleberry,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,932947200000,Plantae,Tracheobionta, , ,Magnoliopsida,Dilleniidae,Spermatophyta,Magnoliophyta, , ,Ericales, , , , ,Ericaceae, ,~,by hand, , ,cert,INHS plant survey
0101000020E610000077FCC30874C654C0D4D3F69850D04140,207697,0101000020110F00008A3A49CAF6A461C1EC7FEA2EE2355041,207539,>1m <=5m,ATBI DATABASE,,1446936385000,DERV,COVE CREEK GAP,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,309757,3944661,35.627453,-83.100828,Upper Cataloochee Creek,Palmer Creek,2687.843262,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446936385000,GRSM,UNR,,1,,,Cataloochee Horse Trail,Cataloochee Entrance Road,Valid,Lyonia_ligustrina_v_ligustrina,Lyonia  ligustrina v. ligustrina,23566,He-huckleberry,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1042243200000,Plantae,Tracheobionta, , ,Magnoliopsida,Dilleniidae,Spermatophyta,Magnoliophyta, , ,Ericales, , , , ,Ericaceae, ,~,observed, , ,cert,Keith Tree Survey
0101000020E6100000FE2105681ED554C0BCD6B44BCEC74140,207694,0101000020110F0000A5C22B616BB161C14DF01011FF2C5041,207537,>1m <=5m,ATBI DATABASE,,1446936384000,DERV,SMOKEMONT,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,288828,3937754,35.560976,-83.329977,Upper Oconaluftee River,,2586.251953,,,dd,GCS,NAD83,17,,Oconaluftee District,TPCOLSON,TPCOLSON,1446936384000,GRSM,UNR,,9,,,Newton Bald Trail,Newfound Gap Road South,Valid,Lyonia_ligustrina_v_ligustrina,Lyonia  ligustrina v. ligustrina,23566,He-huckleberry,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1013904000000,Plantae,Tracheobionta, , ,Magnoliopsida,Dilleniidae,Spermatophyta,Magnoliophyta, , ,Ericales, , , , ,Ericaceae, ,~,observed, , ,cert,Keith Tree Survey
0101000020E6100000E27065D79DDF54C08CBFCB1EFEC44140,207687,0101000020110F00004327ABD155BA61C1DD28564C0F2A5041,207530,>1m <=5m,ATBI DATABASE,,1446936380000,DERV,CLINGMANS DOME,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,273897,3935680,35.538998,-83.494005,Noland Creek,Keeyuga Creek,5757.082031,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446936380000,GRSM,UNR,,6,,,Forney Ridge Trail,Clingmans Dome Road Parking #3,Valid,Lyonia_ligustrina_v_ligustrina,Lyonia  ligustrina v. ligustrina,23566,He-huckleberry,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-631152000000,Plantae,Tracheobionta, , ,Magnoliopsida,Dilleniidae,Spermatophyta,Magnoliophyta, , ,Ericales, , , , ,Ericaceae, ,~,unspecified,No,decade,cert,GRSMNP Grassy Balds
0101000020E6100000AF564653B8DF54C03597A8D9E1C44140,207685,0101000020110F0000C14ED24F6CBA61C1FEDDCACAF1295041,207528,>1m <=5m,ATBI DATABASE,,1446936379000,DERV,CLINGMANS DOME,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,273748,3935588,35.538136,-83.495621,Noland Creek,,5638.143555,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446936379000,GRSM,UNR,,8,,,Forney Ridge Trail,Clingmans Dome Road Parking #3,Valid,Lyonia_ligustrina_v_ligustrina,Lyonia  ligustrina v. ligustrina,23566,He-huckleberry,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1065657600000,Plantae,Tracheobionta, , ,Magnoliopsida,Dilleniidae,Spermatophyta,Magnoliophyta, , ,Ericales, , , , ,Ericaceae, ,~,by hand, , ,cert,INHS plant survey
0101000020E6100000567B578BCFD754C076113B678CDF4140,207693,0101000020110F0000290228AAB4B361C1201D1B0CD0455041,207536,>1m <=5m,ATBI DATABASE,,1446936384000,DERV,MOUNT GUYOT,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,285512,3958423,35.746465,-83.372038,Webb Creek,,1411.638062,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446936384000,GRSM,UNR,,6,,,Old Settlers Trail,Greenbrier Unpaved Road,Valid,Lyonia_ligustrina_v_ligustrina,Lyonia  ligustrina v. ligustrina,23566,He-huckleberry,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1179360000000,Plantae,Tracheobionta, , ,Magnoliopsida,Dilleniidae,Spermatophyta,Magnoliophyta, , ,Ericales, , , , ,Ericaceae, ,~,observed,No,day,cert,ATBI
0101000020E610000085F2EDD9EAE954C0C20D0AE06CD84140,207675,0101000020110F00007E8AAE6E15C361C14EB7B6805C3E5041,207518,>1m <=5m,ATBI DATABASE,,1446936374000,DERV,WEAR COVE,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,259757,3952905,35.690816,-83.654955,Little River-Goshen Prong,Indian Camp Branch,2047.935425,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446936374000,GRSM,UNR,,7,,,Roundtop Trail,Wear Cove Gap Road,Valid,Lyonia_ligustrina_v_ligustrina,Lyonia  ligustrina v. ligustrina,23566,He-huckleberry,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1149292800000,Plantae,Tracheobionta, , ,Magnoliopsida,Dilleniidae,Spermatophyta,Magnoliophyta, , ,Ericales, , , , ,Ericaceae, ,~,observed,No,day,cert,ATBI
0101000020E61000005C85073F84EC54C06A64CC67FDD64140,207669,0101000020110F000056756E8D4AC561C134457E43DC3C5041,207512,>1m <=5m,ATBI DATABASE,,1446936370000,DERV,WEAR COVE,Great Smoky Mountains National Park,>1m <=5m,Blount,Tennessee,256047,3951761,35.679601,-83.695568,Little River-Goshen Prong,Crawfish Branch,1594.434814,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446936370000,GRSM,UNR,,6,,,Roundtop Trail,Little River Gorge Road,Valid,Lyonia_ligustrina_v_ligustrina,Lyonia  ligustrina v. ligustrina,23566,He-huckleberry,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1149292800000,Plantae,Tracheobionta, , ,Magnoliopsida,Dilleniidae,Spermatophyta,Magnoliophyta, , ,Ericales, , , , ,Ericaceae, ,~,observed,No,day,cert,ATBI
0101000020E6100000B1902317A8EE54C0ADB1D62031C84140,207667,0101000020110F000021EB31D61BC761C1AC5A3D40662D5041,207510,>1m <=5m,ATBI DATABASE,,1446936369000,DERV,THUNDERHEAD MOUNTAIN,Great Smoky Mountains National Park,>1m <=5m,Blount,Tennessee,252664,3939018,35.563992,-83.729005,Eagle Creek,Anthony Creek,4935.576172,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446936369000,GRSM,UNR,,7,,,Appalachian Trail,Laurel Creek Road,Valid,Lyonia_ligustrina_v_ligustrina,Lyonia  ligustrina v. ligustrina,23566,He-huckleberry,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-315619200000,Plantae,Tracheobionta, , ,Magnoliopsida,Dilleniidae,Spermatophyta,Magnoliophyta, , ,Ericales, , , , ,Ericaceae, ,~,unspecified,No,decade,cert,GRSMNP Grassy Balds
0101000020E6100000D7C1847B4CF754C0DC0650B4B4CF4140,207649,0101000020110F00007B5E6FD272CE61C1E9B1714C3F355041,207494,>1m <=5m,ATBI DATABASE,,1446936360000,DERV,CADES COVE,Great Smoky Mountains National Park,>1m <=5m,Blount,Tennessee,240612,3945879,35.622695,-83.864039,Abrams Creek Lower,,1927.650024,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446936360000,GRSM,UNR,,7,,,Cooper Road Trail,Cades Cove Loop Road,Valid,Lyonia_ligustrina_v_ligustrina,Lyonia  ligustrina v. ligustrina,23566,He-huckleberry,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,252460800000,Plantae,Tracheobionta, , ,Magnoliopsida,Dilleniidae,Spermatophyta,Magnoliophyta, , ,Ericales, , , , ,Ericaceae, ,~,observed, ,year,cert,Fridley Veg Plots
0101000020E61000002673155355F654C027316AF9ECCE4140,207652,0101000020110F000031E322E9A0CD61C184860EA06E345041,207497,>1m <=5m,ATBI DATABASE,,1446936362000,DERV,CADES COVE,Great Smoky Mountains National Park,>1m <=5m,Blount,Tennessee,241959,3945163,35.6166,-83.848954,Abrams Creek Lower,,2249.898926,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446936362000,GRSM,UNR,,4,,,Cooper Road Trail,Cades Cove Loop Road,Valid,Lyonia_ligustrina_v_ligustrina,Lyonia  ligustrina v. ligustrina,23566,He-huckleberry,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,252460800000,Plantae,Tracheobionta, , ,Magnoliopsida,Dilleniidae,Spermatophyta,Magnoliophyta, , ,Ericales, , , , ,Ericaceae, ,~,observed, ,year,cert,Fridley Veg Plots
0101000020E610000047C1146472F554C0E7639E6C35CA4140,207661,0101000020110F0000503F082DE0CC61C1B7F0E057812F5041,207504,>1m <=5m,ATBI DATABASE,,1446936366000,DERV,CADES COVE,Great Smoky Mountains National Park,>1m <=5m,Blount,Tennessee,243096,3941038,35.579749,-83.835103,Abrams Creek Upper,Wildcat Branch,1810.74231,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446936366000,GRSM,UNR,,6,,,Lawson Cemetery Access,Forge Creek Road,Valid,Lyonia_ligustrina_v_ligustrina,Lyonia  ligustrina v. ligustrina,23566,He-huckleberry,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,252460800000,Plantae,Tracheobionta, , ,Magnoliopsida,Dilleniidae,Spermatophyta,Magnoliophyta, , ,Ericales, , , , ,Ericaceae, ,~,observed, ,year,cert,Fridley Veg Plots
0101000020E610000031EDC9C6BAF654C0EE6FA200CBCA4140,207651,0101000020110F00004DDAE912F7CD61C1FD4AB28B1D305041,207496,>1m <=5m,ATBI DATABASE,,1446936361000,DERV,CADES COVE,Great Smoky Mountains National Park,>1m <=5m,Blount,Tennessee,241294,3941597,35.584313,-83.855146,Abrams Creek Lower,,2222.507812,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446936361000,GRSM,UNR,,4,,,Rabbit Creek Trail,Abrams Falls Parking Lot,Valid,Lyonia_ligustrina_v_ligustrina,Lyonia  ligustrina v. ligustrina,23566,He-huckleberry,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,252460800000,Plantae,Tracheobionta, , ,Magnoliopsida,Dilleniidae,Spermatophyta,Magnoliophyta, , ,Ericales, , , , ,Ericaceae, ,~,observed, ,year,cert,Fridley Veg Plots
