the_geom,cartodb_id,the_geom_webmercator,objectid,verror,mapsource,sourcedate,editdate,mapmethod,quadname,unitname,herror,county,state,x_coord,y_coord,lat,lon,watershed,streamname,elevation,year,notes,coord_units,coord_system,datum,utm_zone,managementzone,parkdistrict,editby,createby,createdate,unitcode,restriction,veg_class,landform,loc_name,loc_id,trail,road,valid_result,genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,dateretrieved,kingdom,subkingdom,phylum,subphylum,class,subclass,superdivision,division,subdivision,superorder,ordername,series,suborder,infraorder,superfamily,family,subfamily,tribe,collectionmethod,specimentype,dateprecision,identificationprecision,project
0101000020E6100000B3E63C6D11FB54C03CA28D264EBD4140,207627,0101000020110F0000D5C17459A6D161C1E2FFD70B0A225041,207472,>1m <=5m,ATBI DATABASE,,1446936349000,DERV,TAPOCO,Great Smoky Mountains National Park,>1m <=5m,Blount,Tennessee,234803,3930086,35.478941,-83.922934,Chilhowee Lake,,2026.297974,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446936349000,GRSM,UNR,,7,,,Wolf Ridge Trail,Parson Branch Road (closed Winter),Valid,Lyonia_ligustrina_v_ligustrina,Lyonia  ligustrina v. ligustrina,23566,He-huckleberry,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1118016000000,Plantae,Tracheobionta, , ,Magnoliopsida,Dilleniidae,Spermatophyta,Magnoliophyta, , ,Ericales, , , , ,Ericaceae, ,~,observed, ,day,cert,TVA Powerline Plants
0101000020E6100000A97E48CCA7F354C05495117239BB4140,207665,0101000020110F00000ED358B15ACB61C1C3F23285DE1F5041,207508,>1m <=5m,ATBI DATABASE,,1446936368000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,245263,3927977,35.462684,-83.807112,Lower Fontana Lake-Little Tennessee River,,1921.142578,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446936368000,GRSM,UNR,,5,,,Lakeshore Trail,Lakeview Drive West,Valid,Lyonia_ligustrina_v_ligustrina,Lyonia  ligustrina v. ligustrina,23566,He-huckleberry,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1051488000000,Plantae,Tracheobionta, , ,Magnoliopsida,Dilleniidae,Spermatophyta,Magnoliophyta, , ,Ericales, , , , ,Ericaceae, ,~,observed, , ,cert,INHS plant survey
0101000020E6100000AAFBB6165CED54C04E42FA1132BD4140,207668,0101000020110F00005B3A1ADE01C661C18DF097C2EC215041,207511,>1m <=5m,ATBI DATABASE,,1446936370000,DERV,TUSKEEGEE,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,254239,3929436,35.478084,-83.708742,Hazel Creek,Hazel Creek,1893.903564,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446936370000,GRSM,UNR,,3,,,Hazel Creek Trail,Lakeview Drive West,Valid,Lyonia_ligustrina_v_ligustrina,Lyonia  ligustrina v. ligustrina,23566,He-huckleberry,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1051574400000,Plantae,Tracheobionta, , ,Magnoliopsida,Dilleniidae,Spermatophyta,Magnoliophyta, , ,Ericales, , , , ,Ericaceae, ,~,by hand, , ,cert,INHS plant survey
0101000020E610000007B9E1309EEA54C0B0D84ADB04B94140,207673,0101000020110F00008433DEBEADC361C12397F6DD911D5041,207516,>1m <=5m,ATBI DATABASE,,1446936373000,DERV,TUSKEEGEE,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,258029,3925710,35.445454,-83.665901,Lower Fontana Lake-Little Tennessee River,Pilkey Creek,1736.112061,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446936373000,GRSM,UNR,,4,,,Lakeshore Trail,Lakeview Drive East Parking #4,Valid,Lyonia_ligustrina_v_ligustrina,Lyonia  ligustrina v. ligustrina,23566,He-huckleberry,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1056153600000,Plantae,Tracheobionta, , ,Magnoliopsida,Dilleniidae,Spermatophyta,Magnoliophyta, , ,Ericales, , , , ,Ericaceae, ,~,observed, , ,cert,INHS plant survey
0101000020E6100000D162B93DB2EA54C0FD5CB5BECAB94140,207671,0101000020110F0000955231C6BEC361C1884CF22C601E5041,207514,>1m <=5m,ATBI DATABASE,,1446936371000,DERV,TUSKEEGEE,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,257936,3926383,35.451493,-83.667125,Lower Fontana Lake-Little Tennessee River,,1982.919678,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446936371000,GRSM,UNR,,3,,,Pilkey Cemetery Access,Lakeview Drive East Parking #4,Valid,Lyonia_ligustrina_v_ligustrina,Lyonia  ligustrina v. ligustrina,23566,He-huckleberry,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1055980800000,Plantae,Tracheobionta, , ,Magnoliopsida,Dilleniidae,Spermatophyta,Magnoliophyta, , ,Ericales, , , , ,Ericaceae, ,~,observed, , ,cert,INHS plant survey
0101000020E6100000E52C4A6E8CEA54C0F2669D891AB84140,207674,0101000020110F0000612B72A99EC361C1DE2702999D1C5041,207517,>1m <=5m,ATBI DATABASE,,1446936373000,DERV,TUSKEEGEE,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,258106,3924914,35.438303,-83.664817,Lower Fontana Lake-Little Tennessee River,,1753.717651,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446936373000,GRSM,UNR,,6,,,Lakeshore Trail,Lakeview Drive East Parking #4,Valid,Lyonia_ligustrina_v_ligustrina,Lyonia  ligustrina v. ligustrina,23566,He-huckleberry,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1088640000000,Plantae,Tracheobionta, , ,Magnoliopsida,Dilleniidae,Spermatophyta,Magnoliophyta, , ,Ericales, , , , ,Ericaceae, ,~,by hand,No,day,cert,Northshore Road EIS
0101000020E610000045F18D9516E554C095840B533DBC4140,207676,0101000020110F0000EA126778FBBE61C1E9B2AA84ED205041,207519,>1m <=5m,ATBI DATABASE,,1446936375000,DERV,NOLAND CREEK,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,265946,3928293,35.470615,-83.579499,Forney Creek,Bear Creek,2245.346191,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446936375000,GRSM,UNR,,2,,,Bear Creek Trail,Lakeview Drive East Parking #4,Valid,Lyonia_ligustrina_v_ligustrina,Lyonia  ligustrina v. ligustrina,23566,He-huckleberry,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1149638400000,Plantae,Tracheobionta, , ,Magnoliopsida,Dilleniidae,Spermatophyta,Magnoliophyta, , ,Ericales, , , , ,Ericaceae, ,~,observed,No,day,cert,ATBI
0101000020E6100000193D312A0AE154C064FD27FE76BC4140,207683,0101000020110F00004D13303D8BBB61C1D9315BA829215041,207526,>1m <=5m,ATBI DATABASE,,1446936378000,DERV,NOLAND CREEK,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,271692,3928340,35.472375,-83.516241,Noland Creek,Noland Creek,2040.750488,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446936378000,GRSM,UNR,,6,,,Noland Creek Trail,Lakeview Drive East,Valid,Lyonia_ligustrina_v_ligustrina,Lyonia  ligustrina v. ligustrina,23566,He-huckleberry,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1083283200000,Plantae,Tracheobionta, , ,Magnoliopsida,Dilleniidae,Spermatophyta,Magnoliophyta, , ,Ericales, , , , ,Ericaceae, ,~,by hand, , ,cert,INHS plant survey
0101000020E610000059AD89EEA1E254C0838EFC1F32BB4140,207682,0101000020110F0000230E3E8EE5BC61C1442E08E3D61F5041,207525,>1m <=5m,ATBI DATABASE,,1446936377000,DERV,NOLAND CREEK,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,269405,3927298,35.46246,-83.541129,Noland Creek,,2369.100586,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446936377000,GRSM,UNR,,2,,,Lakeshore Trail,Lakeview Drive East Parking #4,Valid,Lyonia_ligustrina_v_ligustrina,Lyonia  ligustrina v. ligustrina,23566,He-huckleberry,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1088294400000,Plantae,Tracheobionta, , ,Magnoliopsida,Dilleniidae,Spermatophyta,Magnoliophyta, , ,Ericales, , , , ,Ericaceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E6100000B1BD581051E354C0BA68E986BDBB4140,207677,0101000020110F0000823F9C4B7ABD61C19A08E53F68205041,207520,>1m <=5m,ATBI DATABASE,,1446936375000,DERV,NOLAND CREEK,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,268447,3927795,35.466715,-83.551819,Fontana Lake-Tuckasegee River,Goldmine Branch,2411.345215,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446936375000,GRSM,UNR,,7,,,Lakeshore Trail,Lakeview Drive East Parking #4,Valid,Lyonia_ligustrina_v_ligustrina,Lyonia  ligustrina v. ligustrina,23566,He-huckleberry,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1056240000000,Plantae,Tracheobionta, , ,Magnoliopsida,Dilleniidae,Spermatophyta,Magnoliophyta, , ,Ericales, , , , ,Ericaceae, ,~,by hand, , ,cert,INHS plant survey
0101000020E6100000314FECD62FE354C053E28EC5E3BA4140,207679,0101000020110F00009C91F3135EBD61C1C9FFC92F851F5041,207522,>1m <=5m,ATBI DATABASE,,1446936376000,DERV,NOLAND CREEK,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,268612,3927053,35.460069,-83.549791,Fontana Lake-Tuckasegee River,,1922.019287,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446936376000,GRSM,UNR,,4,,,Goldmine Loop Trail,Lakeview Drive East Parking #4,Valid,Lyonia_ligustrina_v_ligustrina,Lyonia  ligustrina v. ligustrina,23566,He-huckleberry,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1027641600000,Plantae,Tracheobionta, , ,Magnoliopsida,Dilleniidae,Spermatophyta,Magnoliophyta, , ,Ericales, , , , ,Ericaceae, ,~,observed, ,day,cert,Fridley Veg Plots
