the_geom,cartodb_id,the_geom_webmercator,objectid,verror,mapsource,sourcedate,editdate,mapmethod,quadname,unitname,herror,county,state,x_coord,y_coord,lat,lon,watershed,streamname,elevation,year,notes,coord_units,coord_system,datum,utm_zone,managementzone,parkdistrict,editby,createby,createdate,unitcode,restriction,veg_class,landform,loc_name,loc_id,trail,road,valid_result,genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,dateretrieved,kingdom,subkingdom,phylum,subphylum,class,subclass,superdivision,division,subdivision,superorder,ordername,series,suborder,infraorder,superfamily,family,subfamily,tribe,collectionmethod,specimentype,dateprecision,identificationprecision,project
0101000020E61000000193E451DBF154C0E287014D2FBD4140,165952,0101000020110F000066BBCB9BD3C961C158EC2EDFE9215041,165633,>1m <=5m,ATBI DATABASE,,1446912335000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,247862,3929604,35.477999,-83.779007,Eagle Creek,Eagle Creek,1715.650391,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446912335000,GRSM,UNR,,2,,,Lake Shore Trail low water access,Lakeview Drive West,Valid,Erynnis_icelus,Erynnis  icelus,14520,Dreamy Duskywing,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1087257600000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Hesperioidea,Hesperiidae,Pyrginae,~,by hand,No,day,cert,Northshore Road EIS
0101000020E61000002F9706DEC6F354C0E4D3EC4C64BB4140,165950,0101000020110F0000FD88761475CB61C15909FB340B205041,165631,>1m <=5m,ATBI DATABASE,,1446912334000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,245095,3928127,35.463992,-83.809009,Lower Fontana Lake-Little Tennessee River,,2048.250488,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446912334000,GRSM,UNR,,1,,,Lakeshore Trail,Lakeview Drive West,Valid,Erynnis_icelus,Erynnis  icelus,14520,Dreamy Duskywing,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1086048000000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Hesperioidea,Hesperiidae,Pyrginae,~,by hand,No,day,cert,Northshore Road EIS
0101000020E61000003E690E34B2CD54C03C4546BB95E34140,165971,0101000020110F000042805D891DAB61C127EC9D93094A5041,165652,>1m <=5m,ATBI DATABASE,,1446912346000,DERV,HARTFORD,Great Smoky Mountains National Park,>1m <=5m,Cocke,Tennessee,299884,3961587,35.778,-83.213998,Cosby Creek,Cosby Creek,1742.802612,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446912346000,GRSM,UNR,,6,,,Tritt Cemetery Access Trail,Cosby Government Quarters / Ranger Station Access Road,Valid,Erynnis_icelus,Erynnis  icelus,14520,Dreamy Duskywing,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,957916800000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Hesperioidea,Hesperiidae,Pyrginae,~,unspecified, ,day,cert,ATBI Lepidoptera TWIG
0101000020E6100000453AAE6C3DCA54C03D7E693D7BE44140,165974,0101000020110F00006220FA172EA861C1520453D9F94A5041,165655,>1m <=5m,ATBI DATABASE,,1446912348000,DERV,HARTFORD,Great Smoky Mountains National Park,>1m <=5m,Cocke,Tennessee,304783,3962255,35.785004,-83.159995,Pigeon River-Cripple Creek,,2422.003906,,,dd,GCS,NAD83,17,,,TPCOLSON,TPCOLSON,1446912348000,GRSM,UNR,,5,,,Lower Mount Cammerer Trail,Cosby Entrance Road,Valid,Erynnis_icelus,Erynnis  icelus,14520,Dreamy Duskywing,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,958003200000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Hesperioidea,Hesperiidae,Pyrginae,~,unspecified, ,day,cert,ATBI Lepidoptera TWIG
0101000020E6100000C973BF3B60C554C006DEB12E27D14140,165975,0101000020110F00000C1D6C8D0CA461C1EE8C5E68C2365041,165656,>1m <=5m,ATBI DATABASE,,1446912349000,DERV,COVE CREEK GAP,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,311297,3945355,35.634001,-83.083995,Lower Cataloochee Creek,Lower Double Branch,2622.016602,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446912349000,GRSM,UNR,,7,,,Cataloochee Horse Trail,Cataloochee Entrance Road,Valid,Erynnis_icelus,Erynnis  icelus,14520,Dreamy Duskywing,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,958003200000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Hesperioidea,Hesperiidae,Pyrginae,~,unspecified, ,day,cert,ATBI Lepidoptera TWIG
0101000020E6100000290246DECCC454C0AAABD533D1D24140,165977,0101000020110F000088412A658FA361C1FBFBAB9E7F385041,165658,>1m <=5m,ATBI DATABASE,,1446912349000,DERV,COVE CREEK GAP,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,312142,3946780,35.647002,-83.075,Lower Cataloochee Creek,Cataloochee Creek,2545.575195,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446912349000,GRSM,UNR,,4,,,Cataloochee Horse Trail,Cataloochee Group Camp Road,Valid,Erynnis_icelus,Erynnis  icelus,14520,Dreamy Duskywing,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,958003200000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Hesperioidea,Hesperiidae,Pyrginae,~,unspecified, ,day,cert,ATBI Lepidoptera TWIG
0101000020E6100000A5EAFE14FBC254C0744F7F3F7AD14140,165987,0101000020110F0000D6AB82CD03A261C10118B03519375041,165668,>1m <=5m,ATBI DATABASE,,1446912354000,DERV,COVE CREEK GAP,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,314692,3945565,35.636536,-83.046571,Lower Cataloochee Creek,,3820.921631,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446912354000,GRSM,UNR,,5,,,Cataloochee Divide Trail,Old Cataloochee Turnpike,Valid,Erynnis_icelus,Erynnis  icelus,14520,Dreamy Duskywing,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,958003200000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Hesperioidea,Hesperiidae,Pyrginae,~,unspecified, , ,cert,ATBI Lepidoptera TWiG
0101000020E61000000AA4103D33C354C082303142AAD14140,165986,0101000020110F0000454D1C7F33A261C1DFDB8D614B375041,165667,>1m <=5m,ATBI DATABASE,,1446912354000,DERV,COVE CREEK GAP,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,314385,3945734,35.638002,-83.049998,Lower Cataloochee Creek,Winding Stair Branch,3749.368652,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446912354000,GRSM,UNR,,9,,,Cataloochee Divide Trail,Old Cataloochee Turnpike,Valid,Erynnis_icelus,Erynnis  icelus,14520,Dreamy Duskywing,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1210377600000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Hesperioidea,Hesperiidae,Pyrginae,~,unspecified, , ,cert,ATBI Lepidoptera TWiG
0101000020E61000008D94442EACC454C037E70A3D02CB4140,165978,0101000020110F00008A1D37A273A361C1C551E73A57305041,165659,>1m <=5m,ATBI DATABASE,,1446912350000,DERV,DELLWOOD,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,312180,3940009,35.585999,-83.073005,Lower Johnathans Creek,,4917.642578,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446912350000,GRSM,UNR,,7,,,Science Center Trail,The Purchase Road (closed Winter),Valid,Erynnis_icelus,Erynnis  icelus,14520,Dreamy Duskywing,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1021593600000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Hesperioidea,Hesperiidae,Pyrginae,~,Malaise trap (Townes), , ,cert,ATBI Lepidoptera TWiG
0101000020E61000008D5279A3A5C454C065312BC029CB4140,165982,0101000020110F000041EFCF136EA361C11276977E80305041,165663,>1m <=5m,ATBI DATABASE,,1446912352000,DERV,DELLWOOD,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,312219,3940142,35.587205,-83.072606,Lower Johnathans Creek,Cove Creek,4830.932129,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446912352000,GRSM,UNR,,6,,,Science Center Trail,The Purchase Road (closed Winter),Valid,Erynnis_icelus,Erynnis  icelus,14520,Dreamy Duskywing,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1210377600000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Hesperioidea,Hesperiidae,Pyrginae,~,observed,No,day,cert,Lepidoptera Survey
0101000020E61000000D5D00E27AC454C0110D2FE1C0CA4140,165983,0101000020110F0000E0AAD1C349A361C167A168F912305041,165664,>1m <=5m,ATBI DATABASE,,1446912352000,DERV,DELLWOOD,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,312448,3939782,35.584004,-83.069996,Lower Johnathans Creek,Beantown Creek,4682.922852,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446912352000,GRSM,UNR,,4,,,Ferguson Cabin Horse Trail,The Purchase Road (closed Winter),Valid,Erynnis_icelus,Erynnis  icelus,14520,Dreamy Duskywing,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1116720000000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Hesperioidea,Hesperiidae,Pyrginae,~,unspecified, , ,cert,ATBI Lepidoptera TWiG
