the_geom,cartodb_id,the_geom_webmercator,objectid,verror,mapsource,sourcedate,editdate,mapmethod,quadname,unitname,herror,county,state,x_coord,y_coord,lat,lon,watershed,streamname,elevation,year,notes,coord_units,coord_system,datum,utm_zone,managementzone,parkdistrict,editby,createby,createdate,unitcode,restriction,veg_class,landform,loc_name,loc_id,trail,road,valid_result,genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,dateretrieved,kingdom,subkingdom,phylum,subphylum,class,subclass,superdivision,division,subdivision,superorder,ordername,series,suborder,infraorder,superfamily,family,subfamily,tribe,collectionmethod,specimentype,dateprecision,identificationprecision,project
0101000020E6100000A13CAA9C41F854C004CC3AEBACBB4140,72302,0101000020110F000037B6B30243CF61C1ABC44FEE56205041,71724,>1m <=5m,ATBI DATABASE,,1446863668000,DERV,TAPOCO,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,238749,3928556,35.466208,-83.879,Lake Cheoah-Little Tennessee River,Twentymile Creek,1364.268677,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446863668000,GRSM,UNR,,7,,,Twentymile Trail,Twenty Mile Ranger Station Road,Valid,Vanessa_atalanta,Vanessa  atalanta,42065,Red Admiral,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-990403200000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Papilionoidea,Nymphalidae,Nymphalinae,~,unspecified, , ,cert,ATBI Lepidoptera TWiG
0101000020E6100000D133A2B970F554C07BD89E683DBA4140,72305,0101000020110F0000A6A9D9C2DECC61C107B9AFB9D71E5041,71726,>1m <=5m,ATBI DATABASE,,1446863669000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,242707,3927196,35.454992,-83.835001,Lake Cheoah-Little Tennessee River,,1753.150391,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446863669000,GRSM,UNR,,10,,,Fairfax/Old Payne (Palmer) Access,Payne Cemetery Access Road,Valid,Vanessa_atalanta,Vanessa  atalanta,42065,Red Admiral,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1089072000000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Papilionoidea,Nymphalidae,Nymphalinae,~,by hand,No,day,cert,Northshore Road EIS
0101000020E6100000AEAB34EFF9F654C0ADD247340FBC4140,72304,0101000020110F0000454EC1B62CCE61C1ECEA3D6CBD205041,71725,>1m <=5m,ATBI DATABASE,,1446863669000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,240574,3928836,35.469207,-83.859001,Lake Cheoah-Little Tennessee River,,2031.489502,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446863669000,GRSM,UNR,,6,,,Twentymile Trail,Twenty Mile Trailhead Parking,Valid,Vanessa_atalanta,Vanessa  atalanta,42065,Red Admiral,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-1024704000000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Papilionoidea,Nymphalidae,Nymphalinae,~,unspecified, , ,cert,ATBI Lepidoptera TWiG
0101000020E6100000F9EB5FA316F154C04CD8A11BD3BD4140,72314,0101000020110F000043BD15912CC961C176DD8BB794225041,71735,>1m <=5m,ATBI DATABASE,,1446863674000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,248967,3930128,35.482998,-83.767003,Eagle Creek,,2170.726807,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446863674000,GRSM,UNR,,4,,,Lakeshore Trail,Lakeview Drive West,Valid,Vanessa_atalanta,Vanessa  atalanta,42065,Red Admiral,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1086134400000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Papilionoidea,Nymphalidae,Nymphalinae,~,by hand,No,day,cert,Northshore Road EIS
0101000020E6100000B76E85DB1AEF54C0319B7C8A0EBD4140,72315,0101000020110F00004681F64E7DC761C1F315A9B4C7215041,71736,>1m <=5m,ATBI DATABASE,,1446863675000,DERV,TUSKEEGEE,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,251761,3929384,35.476999,-83.73601,Hazel Creek,Shehan Branch,1865.761719,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446863675000,GRSM,UNR,,7,,,Lakeshore Trail,Lakeview Drive West,Valid,Vanessa_atalanta,Vanessa  atalanta,42065,Red Admiral,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1089244800000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Papilionoidea,Nymphalidae,Nymphalinae,~,by hand,No,day,cert,Northshore Road EIS
0101000020E6100000C907DF2954DF54C0D240AD1B4FBA4140,72331,0101000020110F0000AEC5913E17BA61C13141F02DEA1E5041,71751,>1m <=5m,ATBI DATABASE,,1446863683000,DERV,BRYSON CITY,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,274071,3926410,35.455532,-83.489508,Fontana Lake-Tuckasegee River,Middle Peachtree Creek,2166.862793,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446863683000,GRSM,UNR,,8,,,Conner @ Hickory Flats Cemetery Access,Lakeview Drive East,Valid,Vanessa_atalanta,Vanessa  atalanta,42065,Red Admiral,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-676944000000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Papilionoidea,Nymphalidae,Nymphalinae,~,unspecified, , ,cert,ATBI Lepidoptera TWiG
0101000020E610000012C51447E6DA54C05D98B6D364BB4140,72334,0101000020110F0000BD56193C54B661C131F987C10B205041,71754,>1m <=5m,ATBI DATABASE,,1446863685000,DERV,BRYSON CITY,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,280376,3927194,35.464008,-83.420301,Deep Creek,Tom Branch,2129.915283,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446863685000,GRSM,UNR,,3,,,Thomas Divide Trail,Tom Branch Road,Valid,Vanessa_atalanta,Vanessa  atalanta,42065,Red Admiral,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,557798400000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Papilionoidea,Nymphalidae,Nymphalinae,~,unspecified, , ,cert,ATBI Lepidoptera TWiG
0101000020E6100000329504FC68D054C03BF524979CE24140,72338,0101000020110F00009BA2489D6BAD61C198CA54C604495041,71758,>1m <=5m,ATBI DATABASE,,1446863687000,DERV,JONES COVE,Great Smoky Mountains National Park,>1m <=5m,Cocke,Tennessee,296031,3960831,35.770397,-83.256404,Cosby Creek,Cricket Branch,2054.198975,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446863687000,GRSM,UNR,,7,,,Maddron Bald Trail,Cosby Entrance Road,Valid,Vanessa_atalanta,Vanessa  atalanta,42065,Red Admiral,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-1089849600000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Papilionoidea,Nymphalidae,Nymphalinae,~,unspecified, , ,cert,ATBI Lepidoptera TWiG
0101000020E61000003E690E34B2CD54C03C4546BB95E34140,72340,0101000020110F000042805D891DAB61C127EC9D93094A5041,71760,>1m <=5m,ATBI DATABASE,,1446863688000,DERV,HARTFORD,Great Smoky Mountains National Park,>1m <=5m,Cocke,Tennessee,299884,3961587,35.778,-83.213998,Cosby Creek,Cosby Creek,1742.802612,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446863688000,GRSM,UNR,,6,,,Tritt Cemetery Access Trail,Cosby Government Quarters / Ranger Station Access Road,Valid,Vanessa_atalanta,Vanessa  atalanta,42065,Red Admiral,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,958003200000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Papilionoidea,Nymphalidae,Nymphalinae,~,unspecified, ,day,cert,ATBI Lepidoptera TWIG
0101000020E61000007BA01AD14BCF54C0715BBBEACAD14140,72339,0101000020110F000042D2E26B79AC61C1099883826D375041,71759,>1m <=5m,ATBI DATABASE,,1446863688000,DERV,LUFTEE KNOB,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,297272,3946218,35.638998,-83.238999,Upper Raven Fork,,5042.652344,,,dd,GCS,NAD83,17,,Oconaluftee District,TPCOLSON,TPCOLSON,1446863688000,GRSM,UNR,,7,,,Hyatt Ridge Trail,Beech Gap Trailhead Parking #2,Valid,Vanessa_atalanta,Vanessa  atalanta,42065,Red Admiral,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-1089849600000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Papilionoidea,Nymphalidae,Nymphalinae,~,unspecified, ,day,cert,ATBI Lepidoptera TWIG
0101000020E61000002A6B3902FEC454C01B1123C3EBD14140,72342,0101000020110F0000543D5221B9A361C1B1B39AD58F375041,71762,>1m <=5m,ATBI DATABASE,,1446863689000,DERV,COVE CREEK GAP,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,311854,3946009,35.640001,-83.078,Lower Cataloochee Creek,Cataloochee Creek,2626.595459,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446863689000,GRSM,UNR,,6,,,Cataloochee Horse Trail,Cataloochee Entrance Road,Valid,Vanessa_atalanta,Vanessa  atalanta,42065,Red Admiral,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,590803200000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Papilionoidea,Nymphalidae,Nymphalinae,~,unspecified, ,day,cert,ATBI Lepidoptera TWIG
