the_geom,cartodb_id,the_geom_webmercator,objectid,verror,mapsource,sourcedate,editdate,mapmethod,quadname,unitname,herror,county,state,x_coord,y_coord,lat,lon,watershed,streamname,elevation,year,notes,coord_units,coord_system,datum,utm_zone,managementzone,parkdistrict,editby,createby,createdate,unitcode,restriction,veg_class,landform,loc_name,loc_id,trail,road,valid_result,genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,dateretrieved,kingdom,subkingdom,phylum,subphylum,class,subclass,superdivision,division,subdivision,superorder,ordername,series,suborder,infraorder,superfamily,family,subfamily,tribe,collectionmethod,specimentype,dateprecision,identificationprecision,project
0101000020E61000001F614BA1E9E654C064C7C59F88B84140,181971,0101000020110F000051B1EC2188C061C13B0B395B101D5041,181463,>1m <=5m,ATBI DATABASE,,1446921397000,DERV,NOLAND CREEK,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,263274,3925149,35.441663,-83.608006,Lower Fontana Lake-Little Tennessee River,Poplar Pole Branch,1961.320557,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446921397000,GRSM,UNR,,4,,,Lakeshore Trail,Lakeview Drive East Parking #4,Valid,Heliomata_cycladata,Heliomata  cycladata,18574,Common Spring Moth,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1087257600000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Geometroidea,Geometridae,Ennominae,~,black light trap,No,day,cert,Northshore Road EIS
0101000020E6100000C26E758C8DE054C03507B10845BD4140,181973,0101000020110F00007510096721BB61C1D116C28900225041,181465,>1m <=5m,ATBI DATABASE,,1446921398000,DERV,NOLAND CREEK,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,272400,3929020,35.478662,-83.508635,Noland Creek,,2158.931152,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446921398000,GRSM,UNR,,6,,,Noland Creek Trail,Lakeview Drive East,Valid,Heliomata_cycladata,Heliomata  cycladata,18574,Common Spring Moth,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,609465600000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Geometroidea,Geometridae,Ennominae,~,black light trap,No, ,cert,Lepidoptera Survey
0101000020E61000003E690E34B2CD54C03C4546BB95E34140,181992,0101000020110F000042805D891DAB61C127EC9D93094A5041,181484,>1m <=5m,ATBI DATABASE,,1446921410000,DERV,HARTFORD,Great Smoky Mountains National Park,>1m <=5m,Cocke,Tennessee,299884,3961587,35.778,-83.213998,Cosby Creek,Cosby Creek,1742.802612,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446921410000,GRSM,UNR,,6,,,Tritt Cemetery Access Trail,Cosby Government Quarters / Ranger Station Access Road,Valid,Heliomata_cycladata,Heliomata  cycladata,18574,Common Spring Moth,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,957916800000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Geometroidea,Geometridae,Ennominae,~,UV light, ,day,cert,ATBI Lepidoptera TWIG
0101000020E610000036EB29C570CD54C0AD2C247C89E14140,181993,0101000020110F0000DDB1D3F6E5AA61C1A9027DD2E4475041,181485,>1m <=5m,ATBI DATABASE,,1446921411000,DERV,HARTFORD,Great Smoky Mountains National Park,>1m <=5m,Cocke,Tennessee,300205,3959804,35.762001,-83.210004,Cosby Creek,Cosby Creek,2040.874756,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446921411000,GRSM,UNR,,5,,,Gabes Mountain Trail,Cosby Entrance Road,Valid,Heliomata_cycladata,Heliomata  cycladata,18574,Common Spring Moth,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,990230400000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Geometroidea,Geometridae,Ennominae,~,unspecified, ,day,cert,ATBI Lepidoptera TWIG
0101000020E6100000453AAE6C3DCA54C03D7E693D7BE44140,181995,0101000020110F00006220FA172EA861C1520453D9F94A5041,181487,>1m <=5m,ATBI DATABASE,,1446921412000,DERV,HARTFORD,Great Smoky Mountains National Park,>1m <=5m,Cocke,Tennessee,304783,3962255,35.785004,-83.159995,Pigeon River-Cripple Creek,,2422.003906,,,dd,GCS,NAD83,17,,,TPCOLSON,TPCOLSON,1446921412000,GRSM,UNR,,5,,,Lower Mount Cammerer Trail,Cosby Entrance Road,Valid,Heliomata_cycladata,Heliomata  cycladata,18574,Common Spring Moth,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,958003200000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Geometroidea,Geometridae,Ennominae,~,unspecified, ,day,cert,ATBI Lepidoptera TWIG
0101000020E6100000FDAEC674E9C654C029EBFAAFBAD94140,181997,0101000020110F0000A12F43845AA561C1ED1B6B98B93F5041,181489,>1m <=5m,ATBI DATABASE,,1446921413000,DERV,COVE CREEK GAP,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,309283,3952834,35.701003,-83.107995,Cold Springs Creek-Pigeon River,Gilliland Creek,4465.300781,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446921413000,GRSM,UNR,,6,,,Mount Sterling Trail,Old Cataloochee Turnpike,Valid,Heliomata_cycladata,Heliomata  cycladata,18574,Common Spring Moth,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,583372800000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Geometroidea,Geometridae,Ennominae,~,unspecified, ,day,cert,ATBI Lepidoptera TWIG
0101000020E6100000D116F6052BC754C0D16D032321D04140,181996,0101000020110F000012EDEC3392A561C1776BCD97B0355041,181488,>1m <=5m,ATBI DATABASE,,1446921412000,DERV,COVE CREEK GAP,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,308742,3944522,35.626004,-83.111997,Upper Cataloochee Creek,Palmer Creek,2738.823242,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446921412000,GRSM,UNR,,6,,,Cataloochee Horse Trail,Cataloochee Entrance Road,Valid,Heliomata_cycladata,Heliomata  cycladata,18574,Common Spring Moth,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,990403200000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Geometroidea,Geometridae,Ennominae,~,unspecified, , ,cert,ATBI Lepidoptera TWiG
0101000020E61000000AA4103D33C354C082303142AAD14140,182018,0101000020110F0000454D1C7F33A261C1DFDB8D614B375041,181510,>1m <=5m,ATBI DATABASE,,1446921423000,DERV,COVE CREEK GAP,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,314385,3945734,35.638002,-83.049998,Lower Cataloochee Creek,Winding Stair Branch,3749.368652,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446921423000,GRSM,UNR,,9,,,Cataloochee Divide Trail,Old Cataloochee Turnpike,Valid,Heliomata_cycladata,Heliomata  cycladata,18574,Common Spring Moth,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1023580800000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Geometroidea,Geometridae,Ennominae,~,UV light, ,day,cert,ATBI Lepidoptera TWIG
0101000020E61000008D94442EACC454C037E70A3D02CB4140,182014,0101000020110F00008A1D37A273A361C1C551E73A57305041,181506,>1m <=5m,ATBI DATABASE,,1446921421000,DERV,DELLWOOD,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,312180,3940009,35.585999,-83.073005,Lower Johnathans Creek,,4917.642578,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446921421000,GRSM,UNR,,7,,,Science Center Trail,The Purchase Road (closed Winter),Valid,Heliomata_cycladata,Heliomata  cycladata,18574,Common Spring Moth,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1022112000000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Geometroidea,Geometridae,Ennominae,~,Malaise trap (Townes), , ,cert,ATBI Lepidoptera TWiG
0101000020E61000000D5D00E27AC454C0110D2FE1C0CA4140,182015,0101000020110F0000E0AAD1C349A361C167A168F912305041,181507,>1m <=5m,ATBI DATABASE,,1446921421000,DERV,DELLWOOD,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,312448,3939782,35.584004,-83.069996,Lower Johnathans Creek,Beantown Creek,4682.922852,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446921421000,GRSM,UNR,,4,,,Ferguson Cabin Horse Trail,The Purchase Road (closed Winter),Valid,Heliomata_cycladata,Heliomata  cycladata,18574,Common Spring Moth,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1023667200000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Geometroidea,Geometridae,Ennominae,~,UV light, , ,cert,ATBI Lepidoptera TWiG
0101000020E6100000850B3FECB0C454C08E3A0E51BFCA4140,182007,0101000020110F0000F75C3FA977A361C1F9DB8C5711305041,181499,>1m <=5m,ATBI DATABASE,,1446921418000,DERV,DELLWOOD,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,312149,3939783,35.583957,-83.073295,Lower Johnathans Creek,,4764.077148,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446921418000,GRSM,UNR,,6,,,Ferguson Cabin Horse Trail,The Purchase Road (closed Winter),Valid,Heliomata_cycladata,Heliomata  cycladata,18574,Common Spring Moth,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1022112000000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Geometroidea,Geometridae,Ennominae,~,black light trap,No, ,cert,PKnob moths monitoring
