the_geom,cartodb_id,the_geom_webmercator,objectid,verror,mapsource,sourcedate,editdate,mapmethod,quadname,unitname,herror,county,state,x_coord,y_coord,lat,lon,watershed,streamname,elevation,year,notes,coord_units,coord_system,datum,utm_zone,managementzone,parkdistrict,editby,createby,createdate,unitcode,restriction,veg_class,landform,loc_name,loc_id,trail,road,valid_result,genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,dateretrieved,kingdom,subkingdom,phylum,subphylum,class,subclass,superdivision,division,subdivision,superorder,ordername,series,suborder,infraorder,superfamily,family,subfamily,tribe,collectionmethod,specimentype,dateprecision,identificationprecision,project
0101000020E6100000E3CBE69F90F754C0550852D335BC4140,169654,0101000020110F0000F678F4B1ACCE61C1A4A4B5B2E5205041,169335,>1m <=5m,ATBI DATABASE,,1446914444000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,239743,3928991,35.470386,-83.868198,Lake Cheoah-Little Tennessee River,Twentymile Creek,1552.283447,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446914444000,GRSM,UNR,,6,,,Twentymile Trail,Twenty Mile Trailhead Parking,Valid,Eurybia_divaricata,Eurybia  divaricata,14725,White Wood-aster,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1000944000000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Asterales, , , , ,Asteraceae, ,~,by hand, , ,cert,INHS plant survey
0101000020E6100000C9717A86ACF754C0ADA084015ABC4140,169653,0101000020110F000059CC2564C4CE61C13955B66D0B215041,169334,>1m <=5m,ATBI DATABASE,,1446914444000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,239592,3929118,35.47149,-83.869901,Lake Cheoah-Little Tennessee River,Twentymile Creek,1512.143066,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446914444000,GRSM,UNR,,4,,,Twentymile Trail,Twenty Mile Trailhead Parking,Valid,Eurybia_divaricata,Eurybia  divaricata,14725,White Wood-aster,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1000944000000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Asterales, , , , ,Asteraceae, ,~,observed, , ,cert,INHS plant survey
0101000020E6100000F10EE97D24F754C00B2B44B03FBC4140,169675,0101000020110F0000AF94A1DB50CE61C1B177D0FBEF205041,169356,>1m <=5m,ATBI DATABASE,,1446914455000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,240343,3929007,35.470687,-83.861598,Lake Cheoah-Little Tennessee River,Twentymile Creek,1704.007812,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446914455000,GRSM,UNR,,2,,,Twentymile Trail,Twenty Mile Trailhead Parking,Valid,Eurybia_divaricata,Eurybia  divaricata,14725,White Wood-aster,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1000944000000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Asterales, , , , ,Asteraceae, ,~,observed, , ,cert,INHS plant survey
0101000020E6100000DA06D7A467F754C01D4B84BF3FBC4140,169660,0101000020110F0000599FE4E389CE61C190D6B70BF0205041,169341,>1m <=5m,ATBI DATABASE,,1446914447000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,239971,3929018,35.470689,-83.865697,Lake Cheoah-Little Tennessee River,Twentymile Creek,1602.398926,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446914447000,GRSM,UNR,,4,,,Twentymile Trail,Twenty Mile Trailhead Parking,Valid,Eurybia_divaricata,Eurybia  divaricata,14725,White Wood-aster,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1000944000000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Asterales, , , , ,Asteraceae, ,~,observed, , ,cert,INHS plant survey
0101000020E6100000656E33B297F654C07A1C0BAC91BC4140,169682,0101000020110F0000D187B247D9CD61C13622027B45215041,169363,>1m <=5m,ATBI DATABASE,,1446914458000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,241131,3929262,35.473189,-83.853005,Lake Cheoah-Little Tennessee River,Twentymile Creek,1862.303467,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446914458000,GRSM,UNR,,4,,,Twentymile Trail,Twenty Mile Trailhead Parking,Valid,Eurybia_divaricata,Eurybia  divaricata,14725,White Wood-aster,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1000944000000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Asterales, , , , ,Asteraceae, ,~,observed, , ,cert,INHS plant survey
0101000020E61000005D596FC227F054C0E1F86F98C7BD4140,169833,0101000020110F00003DBDDFAF61C861C1F7A5A2B588225041,169517,>1m <=5m,ATBI DATABASE,,1446914543000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,250289,3930052,35.482647,-83.752423,Hazel Creek,,2308.983398,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446914543000,GRSM,UNR,,4,,,Lakeshore Trail,Lakeview Drive West,Valid,Eurybia_divaricata,Eurybia  divaricata,14725,White Wood-aster,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1088640000000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Asterales, , , , ,Asteraceae, ,~,by hand,No,day,cert,Northshore Road EIS
0101000020E6100000D1076D678FF154C0BB3BF3F157BC4140,169796,0101000020110F000010D0182293C961C14AFC894709215041,169479,>1m <=5m,ATBI DATABASE,,1446914522000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,248262,3928863,35.471427,-83.774374,Eagle Creek,Eagle Creek,1786.793701,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446914522000,GRSM,UNR,,6,,,Lake Shore Trail low water access,Lakeview Drive West,Valid,Eurybia_divaricata,Eurybia  divaricata,14725,White Wood-aster,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1030406400000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Asterales, , , , ,Asteraceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E6100000063F118ED0ED54C0F46FBDC41DBD4140,169849,0101000020110F000072704AC864C661C1A3083D96D7215041,169533,>1m <=5m,ATBI DATABASE,,1446914552000,DERV,TUSKEEGEE,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,253592,3929385,35.477464,-83.71585,Hazel Creek,Hazel Creek,1806.893311,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446914552000,GRSM,UNR,,3,,,Hazel Creek Trail,Lakeview Drive West,Valid,Eurybia_divaricata,Eurybia  divaricata,14725,White Wood-aster,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1096848000000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Asterales, , , , ,Asteraceae, ,~,by hand, , ,cert,INHS plant survey
0101000020E610000063658FABECE654C05A6F182850B94140,169902,0101000020110F00007AE7E7B68AC061C158D6875EE01D5041,169583,>1m <=5m,ATBI DATABASE,,1446914582000,DERV,NOLAND CREEK,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,263275,3925825,35.447752,-83.608191,Lower Fontana Lake-Little Tennessee River,Chambers Creek,1763.954712,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446914582000,GRSM,UNR,,5,,,Lakeshore Trail,Lakeview Drive East Parking #4,Valid,Eurybia_divaricata,Eurybia  divaricata,14725,White Wood-aster,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1065484800000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Asterales, , , , ,Asteraceae, ,~,by hand, , ,cert,INHS plant survey
0101000020E6100000F5D1908EBEE754C00EAF20E4F4BF4140,169901,0101000020110F00000471AAF83CC161C19EDBD106CE245041,169582,>1m <=5m,ATBI DATABASE,,1446914581000,DERV,NOLAND CREEK,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,262265,3931614,35.499654,-83.621002,Hazel Creek,,5175.285645,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446914581000,GRSM,UNR,,10,,,High Rocks Trail,Lakeview Drive East Parking #4,Valid,Eurybia_divaricata,Eurybia  divaricata,14725,White Wood-aster,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1091059200000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Asterales, , , , ,Asteraceae, ,~,by hand, , ,cert,INHS plant survey
0101000020E61000001F3CD83737E054C0CEF25AE84EBE4140,169912,0101000020110F00001B19FA14D8BA61C1258BC3D715235041,169592,>1m <=5m,ATBI DATABASE,,1446914587000,DERV,NOLAND CREEK,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,272901,3929908,35.486776,-83.503366,Noland Creek,Noland Creek,2376.458984,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446914587000,GRSM,UNR,,5,,,Noland Creek Trail,Lakeview Drive East,Valid,Eurybia_divaricata,Eurybia  divaricata,14725,White Wood-aster,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1087084800000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Asterales, , , , ,Asteraceae, ,~,observed, ,day,cert,Fridley Veg Plots
