the_geom,cartodb_id,the_geom_webmercator,objectid,verror,mapsource,sourcedate,editdate,mapmethod,quadname,unitname,herror,county,state,x_coord,y_coord,lat,lon,watershed,streamname,elevation,year,notes,coord_units,coord_system,datum,utm_zone,managementzone,parkdistrict,editby,createby,createdate,unitcode,restriction,veg_class,landform,loc_name,loc_id,trail,road,valid_result,genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,dateretrieved,kingdom,subkingdom,phylum,subphylum,class,subclass,superdivision,division,subdivision,superorder,ordername,series,suborder,infraorder,superfamily,family,subfamily,tribe,collectionmethod,specimentype,dateprecision,identificationprecision,project
0101000020E61000005150C401B8F754C0CC4A2F4B6ABC4140,129209,0101000020110F0000CA807C24CECE61C1656C0E6A1C215041,128782,>1m <=5m,ATBI DATABASE,,1446891386000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,239530,3929175,35.471987,-83.870602,Lake Cheoah-Little Tennessee River,Moore Springs Branch,1487.986572,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446891386000,GRSM,UNR,,2,,,Twentymile Trail,Twenty Mile Trailhead Parking,Valid,Cardamine_diphylla,Cardamine  diphylla,6523,Toothwort,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1020384000000,Plantae,Tracheobionta, , ,Magnoliopsida,Dilleniidae,Spermatophyta,Magnoliophyta, , ,Capparales, , , , ,Brassicaceae, ,~,observed, , ,cert,INHS plant survey
0101000020E6100000593BF7A226F654C09C9581CB6FBD4140,129221,0101000020110F000032DC324279CD61C11219BD222D225041,128794,>1m <=5m,ATBI DATABASE,,1446891392000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,241779,3929996,35.479967,-83.846104,Lake Cheoah-Little Tennessee River,Twentymile Creek,2079.277832,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446891392000,GRSM,UNR,,3,,,Twentymile Trail,Twenty Mile Trailhead Parking,Valid,Cardamine_diphylla,Cardamine  diphylla,6523,Toothwort,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1020297600000,Plantae,Tracheobionta, , ,Magnoliopsida,Dilleniidae,Spermatophyta,Magnoliophyta, , ,Capparales, , , , ,Brassicaceae, ,~,by hand, , ,cert,INHS plant survey
0101000020E6100000D9628CE291F254C0BDA65A2708BD4140,129238,0101000020110F0000108640A96ECA61C1649E590BC1215041,128811,>1m <=5m,ATBI DATABASE,,1446891401000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,246847,3929500,35.476805,-83.79015,Eagle Creek,Birchfield Branch,2127.21167,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446891401000,GRSM,UNR,,6,,,Lakeshore Trail,Lakeview Drive West,Valid,Cardamine_diphylla,Cardamine  diphylla,6523,Toothwort,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1082851200000,Plantae,Tracheobionta, , ,Magnoliopsida,Dilleniidae,Spermatophyta,Magnoliophyta, , ,Capparales, , , , ,Brassicaceae, ,~,observed, , ,cert,INHS plant survey
0101000020E610000065124714D6ED54C0AB6CCBCC81BB4140,129246,0101000020110F00004247617969C661C1B10DBFF729205041,128819,>1m <=5m,ATBI DATABASE,,1446891405000,DERV,TUSKEEGEE,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,253523,3927991,35.464892,-83.716187,Hazel Creek,Laurel Branch,1907.869019,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446891405000,GRSM,UNR,,6,,,Lakeshore Trail,Lakeview Drive West,Valid,Cardamine_diphylla,Cardamine  diphylla,6523,Toothwort,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1051660800000,Plantae,Tracheobionta, , ,Magnoliopsida,Dilleniidae,Spermatophyta,Magnoliophyta, , ,Capparales, , , , ,Brassicaceae, ,~,by hand, , ,cert,INHS plant survey
0101000020E6100000163B38DD74E854C0E96AD7F609BD4140,129265,0101000020110F00003F1D11CED7C161C178B3BAEEC2215041,128835,>1m <=5m,ATBI DATABASE,,1446891414000,DERV,TUSKEEGEE,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,261188,3929112,35.47686,-83.632129,Lower Fontana Lake-Little Tennessee River,West Fork Chambers Creek,3535.269531,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446891414000,GRSM,UNR,,8,,,Cold Spring Gap Trail,Lakeview Drive East Parking #4,Valid,Cardamine_diphylla,Cardamine  diphylla,6523,Toothwort,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1083024000000,Plantae,Tracheobionta, , ,Magnoliopsida,Dilleniidae,Spermatophyta,Magnoliophyta, , ,Capparales, , , , ,Brassicaceae, ,~,observed, , ,cert,INHS plant survey
0101000020E6100000AFCC7C8346E854C0069CB66ACABC4140,129266,0101000020110F0000A62E7F70B0C161C1328D9BA880215041,128836,>1m <=5m,ATBI DATABASE,,1446891414000,DERV,TUSKEEGEE,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,261439,3928890,35.47492,-83.6293,Lower Fontana Lake-Little Tennessee River,West Fork Chambers Creek,3240.07959,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446891414000,GRSM,UNR,,6,,,Cold Spring Gap Trail,Lakeview Drive East Parking #4,Valid,Cardamine_diphylla,Cardamine  diphylla,6523,Toothwort,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1083024000000,Plantae,Tracheobionta, , ,Magnoliopsida,Dilleniidae,Spermatophyta,Magnoliophyta, , ,Capparales, , , , ,Brassicaceae, ,~,by hand, , ,cert,INHS plant survey
0101000020E6100000E755E4AA8EEA54C019BF1E833DBB4140,129248,0101000020110F000063D7C18FA0C361C16A6ABDC2E21F5041,128821,>1m <=5m,ATBI DATABASE,,1446891406000,DERV,TUSKEEGEE,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,258167,3927633,35.462808,-83.664954,Lower Fontana Lake-Little Tennessee River,Pilkey Creek,2320.989014,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446891406000,GRSM,UNR,,8,,,Pilkey Cemetery Access,Lakeview Drive East Parking #4,Valid,Cardamine_diphylla,Cardamine  diphylla,6523,Toothwort,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1056153600000,Plantae,Tracheobionta, , ,Magnoliopsida,Dilleniidae,Spermatophyta,Magnoliophyta, , ,Capparales, , , , ,Brassicaceae, ,~,by hand, , ,cert,INHS plant survey
0101000020E61000007F7D14787EE054C045F63B0061BF4140,129278,0101000020110F0000EB216A9814BB61C1830FF5BF33245041,128848,>1m <=5m,ATBI DATABASE,,1446891421000,DERV,NOLAND CREEK,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,272530,3930846,35.495141,-83.507715,Noland Creek,Drinklog Branch,2573.8396,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446891421000,GRSM,UNR,,1,,,Noland Creek Trail,Lakeview Drive East,Valid,Cardamine_diphylla,Cardamine  diphylla,6523,Toothwort,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1087257600000,Plantae,Tracheobionta, , ,Magnoliopsida,Dilleniidae,Spermatophyta,Magnoliophyta, , ,Capparales, , , , ,Brassicaceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E6100000BE1B1FEEA9E054C0250F5CD6DEBC4140,129273,0101000020110F0000CEDDC38139BB61C1BD2681F495215041,128843,>1m <=5m,ATBI DATABASE,,1446891418000,DERV,NOLAND CREEK,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,272234,3928678,35.475544,-83.510368,Noland Creek,Noland Creek,2271.351074,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446891418000,GRSM,UNR,,7,,,Noland Creek Trail,Lakeview Drive East,Valid,Cardamine_diphylla,Cardamine  diphylla,6523,Toothwort,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1085097600000,Plantae,Tracheobionta, , ,Magnoliopsida,Dilleniidae,Spermatophyta,Magnoliophyta, , ,Capparales, , , , ,Brassicaceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E61000001625B94045D954C0F55D35C2E7BE4140,129259,0101000020110F0000822A310EF2B461C1B0CB3747B5235041,128851,>1m <=5m,ATBI DATABASE,,1446891422000,DERV,BRYSON CITY,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,282760,3930181,35.491441,-83.394848,Deep Creek,,3153.596924,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446891422000,GRSM,UNR,,5,,,Indian Creek Motor Trail,Galbraith Creek Rd,Valid,Cardamine_diphylla,Cardamine  diphylla,6523,Toothwort,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1056412800000,Plantae,Tracheobionta, , ,Magnoliopsida,Dilleniidae,Spermatophyta,Magnoliophyta, , ,Capparales, , , , ,Brassicaceae, ,~,by hand, , ,cert,INHS plant survey
0101000020E61000008A368BA05CD154C0FC756F91B0E14140,129254,0101000020110F0000EA214A8A3AAE61C1EA868ABA0D485041,128858,>1m <=5m,ATBI DATABASE,,1446891426000,DERV,JONES COVE,Great Smoky Mountains National Park,>1m <=5m,Cocke,Tennessee,294668,3960063,35.763194,-83.271275,Cosby Creek,Cole Creek,2091.817383,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446891426000,GRSM,UNR,,5,,,Maddron Bald Trail,Cosby Entrance Road,Valid,Cardamine_diphylla,Cardamine  diphylla,6523,Toothwort,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,956448000000,Plantae,Tracheobionta, , ,Magnoliopsida,Dilleniidae,Spermatophyta,Magnoliophyta, , ,Capparales, , , , ,Brassicaceae, ,~,observed, , ,cert,INHS plant survey
