the_geom,cartodb_id,the_geom_webmercator,objectid,verror,mapsource,sourcedate,editdate,mapmethod,quadname,unitname,herror,county,state,x_coord,y_coord,lat,lon,watershed,streamname,elevation,year,notes,coord_units,coord_system,datum,utm_zone,managementzone,parkdistrict,editby,createby,createdate,unitcode,restriction,veg_class,landform,loc_name,loc_id,trail,road,valid_result,genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,dateretrieved,kingdom,subkingdom,phylum,subphylum,class,subclass,superdivision,division,subdivision,superorder,ordername,series,suborder,infraorder,superfamily,family,subfamily,tribe,collectionmethod,specimentype,dateprecision,identificationprecision,project
0101000020E610000045E4DF5AD2F754C05C79B2632FBB4140,56989,0101000020110F000083C31B85E4CE61C1938ED108D41F5041,56457,>1m <=5m,ATBI DATABASE,,1446854924000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,239353,3928113,35.462377,-83.87221,Lake Cheoah-Little Tennessee River,Little Tennessee River,1676.127441,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446854924000,GRSM,UNR,,8,,,Twentymile Trail,Twenty Mile Trailhead Parking,Valid,Symphyotrichum_cordifolium_variety,Symphyotrichum  cordifolium variety,39072,Heart-leaf Aster,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1118016000000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Asterales, , , , ,Asteraceae, ,~,observed, ,day,cert,TVA Powerline Plants
0101000020E6100000B393700AF3ED54C02A377259DCBB4140,57025,0101000020110F0000B4EF3A1282C661C1A611166488205041,56493,>1m <=5m,ATBI DATABASE,,1446854943000,DERV,TUSKEEGEE,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,253371,3928302,35.467655,-83.717955,Hazel Creek,Laurel Branch,1955.692139,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446854943000,GRSM,UNR,,5,,,Lakeshore Trail,Lakeview Drive West,Valid,Symphyotrichum_cordifolium_variety,Symphyotrichum  cordifolium variety,39072,Heart-leaf Aster,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1096934400000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Asterales, , , , ,Asteraceae, ,~,by hand, , ,cert,INHS plant survey
0101000020E6100000E9B21AA359EE54C0DCFDB4D555BC4140,57023,0101000020110F0000DB6CD134D9C661C18DDE251407215041,56491,>1m <=5m,ATBI DATABASE,,1446854942000,DERV,TUSKEEGEE,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,252814,3928729,35.471363,-83.724217,Hazel Creek,Hazel Creek,1733.713135,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446854942000,GRSM,UNR,,9,,,Hazel Creek Trail,Lakeview Drive West,Valid,Symphyotrichum_cordifolium_variety,Symphyotrichum  cordifolium variety,39072,Heart-leaf Aster,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1096934400000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Asterales, , , , ,Asteraceae, ,~,by hand, , ,cert,INHS plant survey
0101000020E61000000D597F79D8EE54C04D824D63DCBC4140,57021,0101000020110F000014E5EEED44C761C150EA8B6693215041,56489,>1m <=5m,ATBI DATABASE,,1446854941000,DERV,TUSKEEGEE,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,252124,3929204,35.475469,-83.731958,Hazel Creek,Shehan Branch,1751.74585,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446854941000,GRSM,UNR,,6,,,Lakeshore Trail,Lakeview Drive West,Valid,Symphyotrichum_cordifolium_variety,Symphyotrichum  cordifolium variety,39072,Heart-leaf Aster,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1096761600000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Asterales, , , , ,Asteraceae, ,~,by hand, , ,cert,INHS plant survey
0101000020E610000036ABC02198EC54C0AC82C4C205BE4140,57030,0101000020110F000069FCFB705BC561C151C35E8CC9225041,56498,>1m <=5m,ATBI DATABASE,,1446854946000,DERV,TUSKEEGEE,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,255344,3930123,35.484544,-83.696781,Hazel Creek,Hazel Creek,2070.091797,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446854946000,GRSM,UNR,,6,,,Hazel Creek Trail,Lakeview Drive West,Valid,Symphyotrichum_cordifolium_variety,Symphyotrichum  cordifolium variety,39072,Heart-leaf Aster,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1096848000000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Asterales, , , , ,Asteraceae, ,~,by hand, , ,cert,INHS plant survey
0101000020E610000089305A549FEC54C074AB5CB2EEBD4140,57028,0101000020110F000010A2E78D61C561C15720FF7DB1225041,56496,>1m <=5m,ATBI DATABASE,,1446854945000,DERV,TUSKEEGEE,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,255302,3930046,35.48384,-83.697221,Hazel Creek,Hazel Creek,2124.719238,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446854945000,GRSM,UNR,,7,,,Hazel Creek Trail,Lakeview Drive West,Valid,Symphyotrichum_cordifolium_variety,Symphyotrichum  cordifolium variety,39072,Heart-leaf Aster,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1096848000000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Asterales, , , , ,Asteraceae, ,~,by hand, , ,cert,INHS plant survey
0101000020E6100000E61BA10415E754C0916213A8A4B94140,57033,0101000020110F0000D83863FBACC061C1EA551D77381E5041,56501,>1m <=5m,ATBI DATABASE,,1446854948000,DERV,NOLAND CREEK,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,263059,3926117,35.450331,-83.610654,Lower Fontana Lake-Little Tennessee River,Anthony Branch,1855.263306,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446854948000,GRSM,UNR,,7,,,Campsite 98 access,Lakeview Drive East Parking #4,Valid,Symphyotrichum_cordifolium_variety,Symphyotrichum  cordifolium variety,39072,Heart-leaf Aster,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1065571200000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Asterales, , , , ,Asteraceae, ,~,by hand, , ,cert,INHS plant survey
0101000020E61000000E9EFFDA5EE654C0C1419E0406BA4140,57035,0101000020110F00001F266E4512C061C1FBB847F99D1E5041,56503,>1m <=5m,ATBI DATABASE,,1446854949000,DERV,NOLAND CREEK,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,264077,3926420,35.453302,-83.599535,Fontana Lake-Tuckasegee River,,1975.234741,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446854949000,GRSM,UNR,,6,,,Lakeshore Trail,Lakeview Drive East Parking #4,Valid,Symphyotrichum_cordifolium_variety,Symphyotrichum  cordifolium variety,39072,Heart-leaf Aster,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1065484800000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Asterales, , , , ,Asteraceae, ,~,observed, , ,cert,INHS plant survey
0101000020E61000007AB9C49B59E054C004BC52C499BF4140,57041,0101000020110F0000A0F5264AF5BA61C10C1C59F76E245041,56509,>1m <=5m,ATBI DATABASE,,1446854952000,DERV,NOLAND CREEK,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,272739,3931033,35.496873,-83.505465,Noland Creek,,2514.258545,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446854952000,GRSM,UNR,,3,,,Noland Creek Trail,Lakeview Drive East,Valid,Symphyotrichum_cordifolium_variety,Symphyotrichum  cordifolium variety,39072,Heart-leaf Aster,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1065744000000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Asterales, , , , ,Asteraceae, ,~,by hand, , ,cert,INHS plant survey
0101000020E6100000C5DB345D3FE054C05A2FFD80C4BF4140,57043,0101000020110F0000924C1300DFBA61C1426F808C9B245041,56511,>1m <=5m,ATBI DATABASE,,1446854953000,DERV,NOLAND CREEK,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,272888,3931174,35.498177,-83.503863,Noland Creek,Holder Cove Branch,2626.955322,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446854953000,GRSM,UNR,,8,,,Noland Creek Trail,Lakeview Drive East,Valid,Symphyotrichum_cordifolium_variety,Symphyotrichum  cordifolium variety,39072,Heart-leaf Aster,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1087257600000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Asterales, , , , ,Asteraceae, ,~,observed, ,day,cert,Fridley Veg Plots
