the_geom,cartodb_id,the_geom_webmercator,objectid,verror,mapsource,sourcedate,editdate,mapmethod,quadname,unitname,herror,county,state,x_coord,y_coord,lat,lon,watershed,streamname,elevation,year,notes,coord_units,coord_system,datum,utm_zone,managementzone,parkdistrict,editby,createby,createdate,unitcode,restriction,veg_class,landform,loc_name,loc_id,trail,road,valid_result,genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,dateretrieved,kingdom,subkingdom,phylum,subphylum,class,subclass,superdivision,division,subdivision,superorder,ordername,series,suborder,infraorder,superfamily,family,subfamily,tribe,collectionmethod,specimentype,dateprecision,identificationprecision,project
0101000020E6100000C361E85F72D054C05583D9D917DE4140,148161,0101000020110F0000127BE89673AD61C11A4ACE384A445041,147827,>1m <=5m,ATBI DATABASE,,1446902285000,DERV,MOUNT GUYOT,Great Smoky Mountains National Park,>1m <=5m,Cocke,Tennessee,295889,3956916,35.735096,-83.256977,Cosby Creek,,4934.602539,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446902285000,GRSM,UNR,,7,,,Maddron Bald Trail,Cosby Campground Road B,Valid,Cuscuta_rostrata,Cuscuta  rostrata,10914,Beaked Dodder,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,969926400000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Solanales, , , , ,Cuscutaceae, ,~,by hand, , ,cert,INHS plant survey
0101000020E6100000F651485D2BDC54C0E5DAA5549CD84140,148159,0101000020110F000043A2BD5468B761C1FE3CBB208E3E5041,147824,>1m <=5m,ATBI DATABASE,,1446902283000,DERV,MOUNT LE CONTE,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,279203,3952561,35.692264,-83.440143,Dudley Creek,Dudley Creek,3445.969482,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446902283000,GRSM,UNR,,4,,,Grapeyard Ridge Trail,Roaring Fork Motor Nature Trail,Valid,Cuscuta_rostrata,Cuscuta  rostrata,10914,Beaked Dodder,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,902966400000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Solanales, , , , ,Cuscutaceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E61000008BBE99D018E454C00A9835BB72C84140,148149,0101000020110F00003199A5F123BE61C1CC12A3BEAA2D5041,147815,>1m <=5m,ATBI DATABASE,,1446902277000,DERV,SILERS BALD,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,267627,3938838,35.565994,-83.564011,Little River-Goshen Prong,Jonas Creek,5422.496582,,,dd,GCS,NAD83,17,,Little River District,TPCOLSON,TPCOLSON,1446902277000,GRSM,UNR,,4,,,Appalachian Trail,Clingmans Dome Road Parking #3,Valid,Cuscuta_rostrata,Cuscuta  rostrata,10914,Beaked Dodder,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,0,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Solanales, , , , ,Cuscutaceae, ,~,unspecified,No,decade,cert,GRSMNP Grassy Balds
0101000020E6100000B1902317A8EE54C0ADB1D62031C84140,148141,0101000020110F000021EB31D61BC761C1AC5A3D40662D5041,147807,>1m <=5m,ATBI DATABASE,,1446902273000,DERV,THUNDERHEAD MOUNTAIN,Great Smoky Mountains National Park,>1m <=5m,Blount,Tennessee,252664,3939018,35.563992,-83.729005,Eagle Creek,Anthony Creek,4935.576172,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446902273000,GRSM,UNR,,7,,,Appalachian Trail,Laurel Creek Road,Valid,Cuscuta_rostrata,Cuscuta  rostrata,10914,Beaked Dodder,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,0,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Solanales, , , , ,Cuscutaceae, ,~,unspecified,No,decade,cert,GRSMNP Grassy Balds
0101000020E610000043A647161AEE54C0CCA60CBE1EC84140,148143,0101000020110F0000324CB33BA3C661C1E313210E532D5041,147809,>1m <=5m,ATBI DATABASE,,1446902274000,DERV,THUNDERHEAD MOUNTAIN,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,253448,3938934,35.563431,-83.720338,Eagle Creek,,5011.52832,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446902274000,GRSM,UNR,,10,,,Appalachian Trail,Laurel Creek Road,Valid,Cuscuta_rostrata,Cuscuta  rostrata,10914,Beaked Dodder,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1090800000000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Solanales, , , , ,Cuscutaceae, ,~,observed, , ,cert,INHS plant survey
0101000020E61000000B59BF943FED54C00AF4D011D5C84140,148144,0101000020110F00001FBFEFA7E9C561C1A8885B6B112E5041,147810,>1m <=5m,ATBI DATABASE,,1446902275000,DERV,THUNDERHEAD MOUNTAIN,Great Smoky Mountains National Park,>1m <=5m,Blount,Tennessee,254674,3939518,35.568996,-83.707002,Little River-Crooked Creek,Bee Cove Creek,5395.933594,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446902275000,GRSM,UNR,,3,,,Appalachian Trail,Laurel Creek Road,Valid,Cuscuta_rostrata,Cuscuta  rostrata,10914,Beaked Dodder,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,0,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Solanales, , , , ,Cuscutaceae, ,~,unspecified,No,decade,cert,GRSMNP Grassy Balds
0101000020E610000010ED08DF4FE854C0AD6FD6A31AC94140,148148,0101000020110F00004C330963B8C161C10D99550F5A2E5041,147814,>1m <=5m,ATBI DATABASE,,1446902277000,DERV,THUNDERHEAD MOUNTAIN,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,261672,3939564,35.571119,-83.629871,Little River-Crooked Creek,Indian Flats Prong,4462.538574,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446902277000,GRSM,UNR,,2,,,Appalachian Trail,Upper Tremont Road,Valid,Cuscuta_rostrata,Cuscuta  rostrata,10914,Beaked Dodder,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1000080000000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Solanales, , , , ,Cuscutaceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E6100000D758573F15E954C00E550280E8CA4140,148146,0101000020110F0000100DBE0460C261C112BAC2593C305041,147812,>1m <=5m,ATBI DATABASE,,1446902276000,DERV,THUNDERHEAD MOUNTAIN,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,260622,3941157,35.585213,-83.641918,Little River-Crooked Creek,Double Trestle Branch,4399.612305,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446902276000,GRSM,UNR,,3,,,Greenbrier Ridge Trail,Upper Tremont Road,Valid,Cuscuta_rostrata,Cuscuta  rostrata,10914,Beaked Dodder,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,962928000000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Solanales, , , , ,Cuscutaceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E6100000A2AA02E8E9E854C00C61B15D0CCB4140,148147,0101000020110F0000947679353BC261C139F282CE61305041,147813,>1m <=5m,ATBI DATABASE,,1446902276000,DERV,THUNDERHEAD MOUNTAIN,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,260865,3941272,35.586308,-83.639272,Little River-Crooked Creek,,4009.875244,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446902276000,GRSM,UNR,,8,,,Greenbrier Ridge Trail,Upper Tremont Road,Valid,Cuscuta_rostrata,Cuscuta  rostrata,10914,Beaked Dodder,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,962841600000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Solanales, , , , ,Cuscutaceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E610000081D6ADB257E954C03AB4A768D5CB4140,148145,0101000020110F0000ED1A7A7498C261C13716ACC533315041,147811,>1m <=5m,ATBI DATABASE,,1446902275000,DERV,THUNDERHEAD MOUNTAIN,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,260276,3941969,35.592443,-83.645974,Little River-Crooked Creek,,3985.86377,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446902275000,GRSM,UNR,,10,,,Greenbrier Ridge Trail,Upper Tremont Road,Valid,Cuscuta_rostrata,Cuscuta  rostrata,10914,Beaked Dodder,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,965779200000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Solanales, , , , ,Cuscutaceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E610000067C8393047F054C03C45F57356C54140,148140,0101000020110F000047A62A617CC861C1D2C3AA7E6B2A5041,147806,>1m <=5m,ATBI DATABASE,,1446902273000,DERV,CADES COVE,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,250298,3936608,35.541694,-83.754341,Eagle Creek,Tub-Mill Creek,3415.927002,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446902273000,GRSM,UNR,,4,,,Eagle Creek Trail,Cades Cove Loop Road,Valid,Cuscuta_rostrata,Cuscuta  rostrata,10914,Beaked Dodder,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,902188800000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Solanales, , , , ,Cuscutaceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E61000003FB702D049F554C074F597A821C34140,148139,0101000020110F000009D270B6BDCC61C17DD9490C1E285041,147805,>1m <=5m,ATBI DATABASE,,1446902272000,DERV,CADES COVE,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,243144,3934897,35.524458,-83.832626,Lake Cheoah-Little Tennessee River,,4396.772461,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446902272000,GRSM,UNR,,8,,,Gregory Bald Trail,Parson Branch Road (closed Winter),Valid,Cuscuta_rostrata,Cuscuta  rostrata,10914,Beaked Dodder,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,964483200000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Solanales, , , , ,Cuscutaceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E6100000E18EB40A91F554C05BC125B6F1C24140,147997,0101000020110F00003B322C35FACC61C1CC119303EC275041,147804,>1m <=5m,ATBI DATABASE,,1446902272000,DERV,CADES COVE,Great Smoky Mountains National Park,>1m <=5m,Blount,Tennessee,242745,3934746,35.522995,-83.836974,Abrams Creek Upper,Twentymile Creek,4209.05127,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446902272000,GRSM,UNR,,6,,,Gregory Bald Trail,Parson Branch Road (closed Winter),Valid,Cuscuta_rostrata,Cuscuta  rostrata,10914,Beaked Dodder,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,989366400000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Solanales, , , , ,Cuscutaceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E61000002147E093D7F554C0EECB6D90C3C24140,148138,0101000020110F0000712A221D36CD61C1DCD1DCDBBB275041,147803,>1m <=5m,ATBI DATABASE,,1446902271000,DERV,CADES COVE,Great Smoky Mountains National Park,>1m <=5m,Blount,North Carolina,242350,3934601,35.521586,-83.841279,Lake Cheoah-Little Tennessee River,,4443.414062,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446902271000,GRSM,UNR,,9,,,Gregory Bald Trail,Parson Branch Road (closed Winter),Valid,Cuscuta_rostrata,Cuscuta  rostrata,10914,Beaked Dodder,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,964483200000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Solanales, , , , ,Cuscutaceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E6100000FA9F50708DF754C01310974CB0C24140,148134,0101000020110F000009EA46FDA9CE61C15D3183C1A7275041,147799,>1m <=5m,ATBI DATABASE,,1446902269000,DERV,CADES COVE,Great Smoky Mountains National Park,>1m <=5m,Blount,Tennessee,239924,3934606,35.520998,-83.868004,Abrams Creek Lower,,4786.604492,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446902269000,GRSM,UNR,,6,,,Gregory Bald Trail,Parson Branch Road (closed Winter),Valid,Cuscuta_rostrata,Cuscuta  rostrata,10914,Beaked Dodder,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,0,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Solanales, , , , ,Cuscutaceae, ,~,observed,No,decade,cert,GRSMNP Grassy Balds
0101000020E6100000661E5EAF67F754C084DC84FCA5C24140,148135,0101000020110F00009E90D5EC89CE61C10D5FA0FE9C275041,147800,>1m <=5m,ATBI DATABASE,,1446902270000,DERV,CADES COVE,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,240132,3934565,35.520684,-83.865699,Abrams Creek Upper,,4946.424805,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446902270000,GRSM,UNR,,7,,,Gregory Bald Trail,Parson Branch Road (closed Winter),Valid,Cuscuta_rostrata,Cuscuta  rostrata,10914,Beaked Dodder,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1000684800000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Solanales, , , , ,Cuscutaceae, ,~,by hand, , ,cert,INHS plant survey
0101000020E610000095FCB37251F754C0F487F36B49C24140,148136,0101000020110F00008D6B0D0A77CE61C13197FE673C275041,147801,>1m <=5m,ATBI DATABASE,,1446902270000,DERV,CADES COVE,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,240246,3934248,35.517859,-83.864342,Lake Cheoah-Little Tennessee River,,4598.779297,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446902270000,GRSM,UNR,,3,,,Gregory Bald Trail,Parson Branch Road (closed Winter),Valid,Cuscuta_rostrata,Cuscuta  rostrata,10914,Beaked Dodder,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,989366400000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Solanales, , , , ,Cuscutaceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E6100000CD89BF7EACF654C05CF557D44FC34140,148137,0101000020110F0000824AD6F1EACD61C1684FBC3A4E285041,147802,>1m <=5m,ATBI DATABASE,,1446902271000,DERV,CADES COVE,Great Smoky Mountains National Park,>1m <=5m,Blount,Tennessee,241185,3935110,35.525867,-83.854274,Abrams Creek Upper,Moore Springs Branch,4313.464844,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446902271000,GRSM,UNR,,5,,,Gregory Ridge Trail,Parson Branch Road (closed Winter),Valid,Cuscuta_rostrata,Cuscuta  rostrata,10914,Beaked Dodder,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,964656000000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Solanales, , , , ,Cuscutaceae, ,~,observed, ,day,cert,Fridley Veg Plots
