the_geom,cartodb_id,the_geom_webmercator,objectid,verror,mapsource,sourcedate,editdate,mapmethod,quadname,unitname,herror,county,state,x_coord,y_coord,lat,lon,watershed,streamname,elevation,year,notes,coord_units,coord_system,datum,utm_zone,managementzone,parkdistrict,editby,createby,createdate,unitcode,restriction,veg_class,landform,loc_name,loc_id,trail,road,valid_result,genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,dateretrieved,kingdom,subkingdom,phylum,subphylum,class,subclass,superdivision,division,subdivision,superorder,ordername,series,suborder,infraorder,superfamily,family,subfamily,tribe,collectionmethod,specimentype,dateprecision,identificationprecision,project
0101000020E6100000859309FF8FCD54C05189FFFCFDCF4140,114186,0101000020110F00009FBE067C00AB61C144D432DE8B355041,113736,>1m <=5m,ATBI DATABASE,,1446823429000,DERV,BUNCHES BALD,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,299690,3944602,35.624932,-83.21191,Straight Fork Raven Fork,Straight Fork Raven Fork,3163.099121,,,dd,GCS,NAD83,17,,Oconaluftee District,TPCOLSON,TPCOLSON,1446823429000,GRSM,UNR,,6,,,Beech Gap Trail,Beech Gap Trailhead Parking #2,Valid,Platynus_Platynus_tenuicollis,Platynus Platynus tenuicollis,30573,Little-neck Ground Beetle,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1118361600000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Coleoptera, ,Adephaga, , ,Carabidae,Harpalinae,Platynini,UV & MV lights, , ,cert,ATBI Coleoptera Survey
0101000020E6100000E6F6443738D354C086EAEABE3EC04140,114182,0101000020110F000030163875CEAF61C1E8CDEC121B255041,113732,>1m <=5m,ATBI DATABASE,,1446823427000,DERV,SMOKEMONT,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,291365,3931138,35.501908,-83.300302,Lower Oconaluftee River,Oconaluftee River,2159.962891,,,dd,GCS,NAD83,17,,Oconaluftee District,TPCOLSON,TPCOLSON,1446823427000,GRSM,UNR,,7,,,Oconaluftee River Trail,Newfound Gap Road South,Valid,Platynus_Platynus_tenuicollis,Platynus Platynus tenuicollis,30573,Little-neck Ground Beetle,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1117756800000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Coleoptera, ,Adephaga, , ,Carabidae,Harpalinae,Platynini,black light trap, , ,cert,ATBI Coleoptera Survey
0101000020E61000008C4936ECF1D354C07B721F49E1C14140,114180,0101000020110F0000F8B2C12D6CB061C1402660BFCF265041,113730,>1m <=5m,ATBI DATABASE,,1446823426000,DERV,SMOKEMONT,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,290370,3932579,35.514681,-83.311637,Lower Oconaluftee River,,2455.421143,,,dd,GCS,NAD83,17,,Oconaluftee District,TPCOLSON,TPCOLSON,1446823426000,GRSM,UNR,,6,,,Enloe-Mingus Cemetery Access,Newfound Gap Road South,Valid,Platynus_Platynus_tenuicollis,Platynus Platynus tenuicollis,30573,Little-neck Ground Beetle,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1117670400000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Coleoptera, ,Adephaga, , ,Carabidae,Harpalinae,Platynini,black light trap, , ,cert,ATBI Coleoptera Survey
0101000020E6100000B9584C5DD3D354C0E5132DDEE7C24140,114181,0101000020110F0000E1E2C03952B061C12B12F2BDE1275041,113731,>1m <=5m,ATBI DATABASE,,1446823427000,DERV,SMOKEMONT,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,290560,3933464,35.522694,-83.309772,Lower Oconaluftee River,,2154.105469,,,dd,GCS,NAD83,17,,Oconaluftee District,TPCOLSON,TPCOLSON,1446823427000,GRSM,UNR,,5,,,Floyd Cemetery Access Trail,Newfound Gap Road South,Valid,Platynus_Platynus_tenuicollis,Platynus Platynus tenuicollis,30573,Little-neck Ground Beetle,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1117497600000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Coleoptera, ,Adephaga, , ,Carabidae,Harpalinae,Platynini,UV light, , ,cert,ATBI Coleoptera Survey
0101000020E61000001E1E015DCDDF54C0B5E8015973C74140,114162,0101000020110F00006061EC2D7EBA61C1D315141EA02C5041,113712,>1m <=5m,ATBI DATABASE,,1446823415000,DERV,CLINGMANS DOME,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,273688,3937817,35.558201,-83.496905,Forney Creek,,6271.172852,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446823415000,GRSM,UNR,,5,,,Clingmans Dome Trail,Clingmans Dome Road Parking #3,Valid,Platynus_Platynus_tenuicollis,Platynus Platynus tenuicollis,30573,Little-neck Ground Beetle,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,993859200000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Coleoptera, ,Adephaga, , ,Carabidae,Harpalinae,Platynini,Berlese sampling,No, ,cert,ATBI Coleoptera Survey
0101000020E610000045B3BAEEF0DA54C0F24F13F744CE4140,114172,0101000020110F00002E01B1485DB661C1E7A9FE1ABF335041,113722,>1m <=5m,ATBI DATABASE,,1446823422000,DERV,CLINGMANS DOME,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,280719,3943555,35.611473,-83.420951,Upper Oconaluftee River,Mine Branch,5284.617188,,,dd,GCS,NAD83,17,,Little River District,TPCOLSON,TPCOLSON,1446823422000,GRSM,UNR,,7,,,Appalachian Trail,Newfound Gap Road North,Valid,Platynus_Platynus_tenuicollis,Platynus Platynus tenuicollis,30573,Little-neck Ground Beetle,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1117929600000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Coleoptera, ,Adephaga, , ,Carabidae,Harpalinae,Platynini,unspecified, , ,cert,ATBI Coleoptera Survey
0101000020E6100000A67266FD9EDC54C01F84E2C9D9CD4140,114171,0101000020110F000063482188CAB761C1FD93C3244F335041,113721,>1m <=5m,ATBI DATABASE,,1446823421000,DERV,CLINGMANS DOME,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,278332,3943251,35.608202,-83.4472,Deep Creek,Road Prong,5371.299805,,,dd,GCS,NAD83,17,,Oconaluftee District,TPCOLSON,TPCOLSON,1446823421000,GRSM,UNR,,8,,,Appalachian Trail,Clingmans Dome Access Road,Valid,Platynus_Platynus_tenuicollis,Platynus Platynus tenuicollis,30573,Little-neck Ground Beetle,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,993686400000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Coleoptera, ,Adephaga, , ,Carabidae,Harpalinae,Platynini,Berlese sampling,No, ,cert,ATBI Coleoptera Survey
0101000020E610000097E1F34EBBDF54C0C40493ED0CD14140,114168,0101000020110F000047D469D86EBA61C16B4A12F9A6365041,113718,>1m <=5m,ATBI DATABASE,,1446823419000,DERV,MOUNT LE CONTE,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,273999,3946135,35.6332,-83.495803,West Prong Little Pigeon River Upper,,3085.489502,,,dd,GCS,NAD83,17,,Little River District,TPCOLSON,TPCOLSON,1446823419000,GRSM,UNR,,6,,,Cove Hardwood Nature Trail,Newfound Gap Road North,Valid,Platynus_Platynus_tenuicollis,Platynus Platynus tenuicollis,30573,Little-neck Ground Beetle,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,993686400000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Coleoptera, ,Adephaga, , ,Carabidae,Harpalinae,Platynini,Berlese sampling,No, ,cert,ATBI Coleoptera Survey
0101000020E6100000D76AE9B37EDF54C07C7D777C52D14140,114169,0101000020110F000062FB7B5F3BBA61C1BD5BB4A8EF365041,113719,>1m <=5m,ATBI DATABASE,,1446823420000,DERV,MOUNT LE CONTE,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,274340,3946362,35.635323,-83.492104,West Prong Little Pigeon River Upper,,2956.385254,,,dd,GCS,NAD83,17,,Little River District,TPCOLSON,TPCOLSON,1446823420000,GRSM,UNR,,10,,,Cove Hardwood Nature Trail,Chimney Picnic Area #1,Valid,Platynus_Platynus_tenuicollis,Platynus Platynus tenuicollis,30573,Little-neck Ground Beetle,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1058313600000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Coleoptera, ,Adephaga, , ,Carabidae,Harpalinae,Platynini,beating, , ,cert,ATBI Coleoptera Survey
0101000020E61000005570CE41BDDE54C08AF7231273D24140,114170,0101000020110F0000273A581497B961C1392ACA3D1D385041,113720,>1m <=5m,ATBI DATABASE,,1446823420000,DERV,MOUNT LE CONTE,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,275434,3947312,35.64413,-83.480297,West Prong Little Pigeon River Upper,West Prong Little Pigeon River,4001.877686,,,dd,GCS,NAD83,17,,Little River District,TPCOLSON,TPCOLSON,1446823420000,GRSM,UNR,,7,,,Bullhead Trail,Newfound Gap Road North,Valid,Platynus_Platynus_tenuicollis,Platynus Platynus tenuicollis,30573,Little-neck Ground Beetle,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1175472000000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Coleoptera, ,Adephaga, , ,Carabidae,Harpalinae,Platynini,by hand, , ,cert,ATBI Coleoptera Survey
