the_geom,cartodb_id,the_geom_webmercator,objectid,verror,mapsource,sourcedate,editdate,mapmethod,quadname,unitname,herror,county,state,x_coord,y_coord,lat,lon,watershed,streamname,elevation,year,notes,coord_units,coord_system,datum,utm_zone,managementzone,parkdistrict,editby,createby,createdate,unitcode,restriction,veg_class,landform,loc_name,loc_id,trail,road,valid_result,genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,dateretrieved,kingdom,subkingdom,phylum,subphylum,class,subclass,superdivision,division,subdivision,superorder,ordername,series,suborder,infraorder,superfamily,family,subfamily,tribe,collectionmethod,specimentype,dateprecision,identificationprecision,project
0101000020E610000021EB958414DE54C0D58785CC68D14140,184072,0101000020110F00008E73EEC407B961C1CF4CB9F906375041,183691,>1m <=5m,ATBI DATABASE,,1446922678000,DERV,MOUNT LE CONTE,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,276344,3946387,35.636004,-83.469998,West Prong Little Pigeon River Upper,West Prong Little Pigeon River,3442.888672,,,dd,GCS,NAD83,17,,Little River District,TPCOLSON,TPCOLSON,1446922678000,GRSM,UNR,,6,,,Chimney Tops Trail,Newfound Gap Road North,Valid,Heterophleps_refusaria,Heterophleps  refusaria,17701,Three-patched Bigwig Moth,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,995241600000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Geometroidea,Geometridae,Larentiinae,~,unspecified, ,day,cert,ATBI Lepidoptera TWIG
0101000020E61000009E501B77F8DD54C0D1CA5024FED04140,184073,0101000020110F00004AFBB2F1EFB861C1BF2EA98597365041,183692,>1m <=5m,ATBI DATABASE,,1446922678000,DERV,MOUNT LE CONTE,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,276490,3946022,35.632749,-83.468286,West Prong Little Pigeon River Upper,Road Prong,3485.030518,,,dd,GCS,NAD83,17,,Little River District,TPCOLSON,TPCOLSON,1446922678000,GRSM,UNR,,6,,,Chimney Tops Trail,Chimney Tops Trailhead Overflow Pullout Parkng,Valid,Heterophleps_refusaria,Heterophleps  refusaria,17701,Three-patched Bigwig Moth,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,964310400000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Geometroidea,Geometridae,Larentiinae,~,UV light, ,day,cert,ATBI Lepidoptera TWIG
0101000020E6100000252BBF9FE9DE54C0A3ADDD850CD24140,184071,0101000020110F00004B9EA5C2BCB961C135E82612B2375041,183690,>1m <=5m,ATBI DATABASE,,1446922677000,DERV,MOUNT LE CONTE,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,275180,3946971,35.641,-83.483005,West Prong Little Pigeon River Upper,West Prong Little Pigeon River,3139.299316,,,dd,GCS,NAD83,17,,Little River District,TPCOLSON,TPCOLSON,1446922677000,GRSM,UNR,,4,,,Bullhead Trail,Newfound Gap Road North,Valid,Heterophleps_refusaria,Heterophleps  refusaria,17701,Three-patched Bigwig Moth,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,993340800000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Geometroidea,Geometridae,Larentiinae,~,unspecified, ,day,cert,ATBI Lepidoptera TWIG
0101000020E610000091252AE9FBD954C09380F8D070DD4140,184080,0101000020110F00003982D92F8DB561C11BB5F9759B435041,183699,>1m <=5m,ATBI DATABASE,,1446922683000,DERV,MOUNT LE CONTE,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,282396,3956671,35.729998,-83.405996,Little Pigeon River Middle,Injun Creek,1430.831787,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446922683000,GRSM,UNR,,7,,,Old Settlers Trail,Greenbrier Road,Valid,Heterophleps_refusaria,Heterophleps  refusaria,17701,Three-patched Bigwig Moth,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1182038400000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Geometroidea,Geometridae,Larentiinae,~,at light, , ,cert,ATBI Lepidoptera TWiG
0101000020E61000003145C6F1A3E054C032C2E8AD12C34140,184070,0101000020110F00009BA0576C34BB61C12BD5AA6A0E285041,183689,>1m <=5m,ATBI DATABASE,,1446922676000,DERV,SILERS BALD,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,272404,3934053,35.524001,-83.510002,Forney Creek,Buckhorn Branch,4841.129395,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446922676000,GRSM,UNR,,7,,,Forney Ridge Trail,Clingmans Dome Road Parking #3,Valid,Heterophleps_refusaria,Heterophleps  refusaria,17701,Three-patched Bigwig Moth,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,990057600000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Geometroidea,Geometridae,Larentiinae,~,UV light, , ,cert,ATBI Lepidoptera TWiG
0101000020E6100000D540F684E9EE54C0878F1F6931C84140,184069,0101000020110F0000C22ED36753C761C1DD60B58B662D5041,183688,>1m <=5m,ATBI DATABASE,,1446922676000,DERV,THUNDERHEAD MOUNTAIN,Great Smoky Mountains National Park,>1m <=5m,Blount,Tennessee,252302,3939029,35.564001,-83.732999,Abrams Creek Upper,Spence Cabin Branch,4944.263672,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446922676000,GRSM,UNR,,10,,,Appalachian Trail,Laurel Creek Road,Valid,Heterophleps_refusaria,Heterophleps  refusaria,17701,Three-patched Bigwig Moth,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1116547200000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Geometroidea,Geometridae,Larentiinae,~,UV light, , ,cert,ATBI Lepidoptera TWiG
0101000020E61000007E5E981C7CF554C08B9BF29F70CA4140,184068,0101000020110F0000842D876EE8CC61C12DCE1A2ABF2F5041,183687,>1m <=5m,ATBI DATABASE,,1446922675000,DERV,CADES COVE,Great Smoky Mountains National Park,>1m <=5m,Blount,Tennessee,243048,3941240,35.581555,-83.835696,Abrams Creek Upper,Wildcat Branch,1813.617676,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446922675000,GRSM,UNR,,6,,,Lawson Cemetery Access,Forge Creek Road,Valid,Heterophleps_refusaria,Heterophleps  refusaria,17701,Three-patched Bigwig Moth,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1084579200000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Geometroidea,Geometridae,Larentiinae,~,UV light, , ,cert,ATBI Lepidoptera TWiG
0101000020E61000000E83F92B04F654C0AAB5E47CE7CB4140,184067,0101000020110F00004D5ED4FC5BCD61C113AA85A746315041,183686,>1m <=5m,ATBI DATABASE,,1446922675000,DERV,CADES COVE,Great Smoky Mountains National Park,>1m <=5m,Blount,Tennessee,242332,3942531,35.592995,-83.844,Abrams Creek Upper,Abrams Creek,1709.448364,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446922675000,GRSM,UNR,,6,,,Wet Bottom Trail,Cades Cove Loop Road,Valid,Heterophleps_refusaria,Heterophleps  refusaria,17701,Three-patched Bigwig Moth,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,994291200000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Geometroidea,Geometridae,Larentiinae,~,UV light, , ,cert,ATBI Lepidoptera TWiG
0101000020E6100000DAEF86BD3BF654C08CD3AF05E1CB4140,184066,0101000020110F00005181982E8BCD61C11246C7E63F315041,183685,>1m <=5m,ATBI DATABASE,,1446922674000,DERV,CADES COVE,Great Smoky Mountains National Park,>1m <=5m,Blount,Tennessee,242024,3942518,35.592798,-83.847392,Abrams Creek Upper,Abrams Creek,1707.362671,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446922674000,GRSM,UNR,,6,,,Wet Bottom Trail,Abrams Falls Road,Valid,Heterophleps_refusaria,Heterophleps  refusaria,17701,Three-patched Bigwig Moth,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,583372800000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Geometroidea,Geometridae,Larentiinae,~,unspecified, , ,cert,ATBI Lepidoptera TWiG
0101000020E6100000D56680C41CFA54C06C5D1D194ED24140,184065,0101000020110F00006D14748FD6D061C13929FD99F6375041,183684,>1m <=5m,ATBI DATABASE,,1446922674000,DERV,BLOCKHOUSE,Great Smoky Mountains National Park,>1m <=5m,Blount,Tennessee,236696,3948249,35.643002,-83.908002,Little River-Hesse Creek,,1976.11438,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446922674000,GRSM,UNR,,7,,,Gold Mine Trail,Foothills Parkway Section 8g,Valid,Heterophleps_refusaria,Heterophleps  refusaria,17701,Three-patched Bigwig Moth,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1090368000000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Geometroidea,Geometridae,Larentiinae,~,at light, , ,cert,ATBI Lepidoptera TWiG
