the_geom,cartodb_id,the_geom_webmercator,objectid,verror,mapsource,sourcedate,editdate,mapmethod,quadname,unitname,herror,county,state,x_coord,y_coord,lat,lon,watershed,streamname,elevation,year,notes,coord_units,coord_system,datum,utm_zone,managementzone,parkdistrict,editby,createby,createdate,unitcode,restriction,veg_class,landform,loc_name,loc_id,trail,road,valid_result,genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,dateretrieved,kingdom,subkingdom,phylum,subphylum,class,subclass,superdivision,division,subdivision,superorder,ordername,series,suborder,infraorder,superfamily,family,subfamily,tribe,collectionmethod,specimentype,dateprecision,identificationprecision,project
0101000020E61000004D016992E7F754C09336925AE1BB4140,95449,0101000020110F000014041D8AF6CE61C1B2050B9C8D205041,94927,>1m <=5m,ATBI DATABASE,,1446876882000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,239253,3928719,35.467808,-83.873505,Lake Cheoah-Little Tennessee River,Twentymile Creek,1584.466675,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446876882000,GRSM,UNR,,7,,,Twentymile Trail,Twenty Mile Trailhead Parking,Valid,Acronicta_fragilis,Acronicta  fragilis,718,Fragile Dagger Moth,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1054512000000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Noctuoidea,Noctuidae,Acronictinae,~,unspecified, ,day,cert,ATBI Lepidoptera TWIG
0101000020E610000051F392550AEF54C0E666B9259FB94140,95453,0101000020110F000056A977466FC761C18551B8B8321E5041,94931,>1m <=5m,ATBI DATABASE,,1446876884000,DERV,TUSKEEGEE,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,251770,3926404,35.450162,-83.735002,Lower Fontana Lake-Little Tennessee River,,1737.359253,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446876884000,GRSM,UNR,,7,,,Lakeshore Trail,Lakeview Drive West,Valid,Acronicta_fragilis,Acronicta  fragilis,718,Fragile Dagger Moth,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1087171200000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Noctuoidea,Noctuidae,Acronictinae,~,black light trap,No,day,cert,Northshore Road EIS
0101000020E61000001F614BA1E9E654C064C7C59F88B84140,95456,0101000020110F000051B1EC2188C061C13B0B395B101D5041,94934,>1m <=5m,ATBI DATABASE,,1446876885000,DERV,NOLAND CREEK,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,263274,3925149,35.441663,-83.608006,Lower Fontana Lake-Little Tennessee River,Poplar Pole Branch,1961.320557,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446876885000,GRSM,UNR,,4,,,Lakeshore Trail,Lakeview Drive East Parking #4,Valid,Acronicta_fragilis,Acronicta  fragilis,718,Fragile Dagger Moth,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1087257600000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Noctuoidea,Noctuidae,Acronictinae,~,black light trap,No,day,cert,Northshore Road EIS
0101000020E6100000C907DF2954DF54C0D240AD1B4FBA4140,95464,0101000020110F0000AEC5913E17BA61C13141F02DEA1E5041,94942,>1m <=5m,ATBI DATABASE,,1446876890000,DERV,BRYSON CITY,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,274071,3926410,35.455532,-83.489508,Fontana Lake-Tuckasegee River,Middle Peachtree Creek,2166.862793,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446876890000,GRSM,UNR,,8,,,Conner @ Hickory Flats Cemetery Access,Lakeview Drive East,Valid,Acronicta_fragilis,Acronicta  fragilis,718,Fragile Dagger Moth,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1023580800000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Noctuoidea,Noctuidae,Acronictinae,~,UV light, , ,cert,ATBI Lepidoptera TWiG
0101000020E6100000329504FC68D054C03BF524979CE24140,95492,0101000020110F00009BA2489D6BAD61C198CA54C604495041,94970,>1m <=5m,ATBI DATABASE,,1446876908000,DERV,JONES COVE,Great Smoky Mountains National Park,>1m <=5m,Cocke,Tennessee,296031,3960831,35.770397,-83.256404,Cosby Creek,Cricket Branch,2054.198975,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446876908000,GRSM,UNR,,7,,,Maddron Bald Trail,Cosby Entrance Road,Valid,Acronicta_fragilis,Acronicta  fragilis,718,Fragile Dagger Moth,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,993427200000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Noctuoidea,Noctuidae,Acronictinae,~,unspecified, ,week,cert,ATBI Lepidoptera TWIG
0101000020E61000003E690E34B2CD54C03C4546BB95E34140,95495,0101000020110F000042805D891DAB61C127EC9D93094A5041,94973,>1m <=5m,ATBI DATABASE,,1446876910000,DERV,HARTFORD,Great Smoky Mountains National Park,>1m <=5m,Cocke,Tennessee,299884,3961587,35.778,-83.213998,Cosby Creek,Cosby Creek,1742.802612,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446876910000,GRSM,UNR,,6,,,Tritt Cemetery Access Trail,Cosby Government Quarters / Ranger Station Access Road,Valid,Acronicta_fragilis,Acronicta  fragilis,718,Fragile Dagger Moth,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1023580800000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Noctuoidea,Noctuidae,Acronictinae,~,UV light, ,day,cert,ATBI Lepidoptera TWIG
0101000020E610000036EB29C570CD54C0AD2C247C89E14140,95496,0101000020110F0000DDB1D3F6E5AA61C1A9027DD2E4475041,94974,>1m <=5m,ATBI DATABASE,,1446876910000,DERV,HARTFORD,Great Smoky Mountains National Park,>1m <=5m,Cocke,Tennessee,300205,3959804,35.762001,-83.210004,Cosby Creek,Cosby Creek,2040.874756,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446876910000,GRSM,UNR,,5,,,Gabes Mountain Trail,Cosby Entrance Road,Valid,Acronicta_fragilis,Acronicta  fragilis,718,Fragile Dagger Moth,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,995155200000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Noctuoidea,Noctuidae,Acronictinae,~,unspecified, ,day,cert,ATBI Lepidoptera TWIG
0101000020E6100000793E332304CE54C0CC4F14625AE44140,95494,0101000020110F000033C08F1F63AB61C184E32A73D74A5041,94972,>1m <=5m,ATBI DATABASE,,1446876909000,DERV,HARTFORD,Great Smoky Mountains National Park,>1m <=5m,Cocke,Tennessee,299447,3962263,35.784001,-83.218999,Cosby Creek,Cosby Creek,1650.478271,,,dd,GCS,NAD83,17,,,TPCOLSON,TPCOLSON,1446876909000,GRSM,UNR,,8,,,Tritt Cemetery Access Trail,Cosby Entrance Road,Valid,Acronicta_fragilis,Acronicta  fragilis,718,Fragile Dagger Moth,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,993340800000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Noctuoidea,Noctuidae,Acronictinae,~,unspecified, , ,cert,ATBI Lepidoptera TWiG
0101000020E6100000FDAEC674E9C654C029EBFAAFBAD94140,95503,0101000020110F0000A12F43845AA561C1ED1B6B98B93F5041,94981,>1m <=5m,ATBI DATABASE,,1446876914000,DERV,COVE CREEK GAP,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,309283,3952834,35.701003,-83.107995,Cold Springs Creek-Pigeon River,Gilliland Creek,4465.300781,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446876914000,GRSM,UNR,,6,,,Mount Sterling Trail,Old Cataloochee Turnpike,Valid,Acronicta_fragilis,Acronicta  fragilis,718,Fragile Dagger Moth,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,583372800000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Noctuoidea,Noctuidae,Acronictinae,~,unspecified, ,day,cert,ATBI Lepidoptera TWIG
0101000020E61000005FE1185AC1C654C0E62127E17CD94140,95504,0101000020110F0000F1D0C47438A561C1CCC46FF4783F5041,94982,>1m <=5m,ATBI DATABASE,,1446876915000,DERV,COVE CREEK GAP,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,309500,3952620,35.699117,-83.105547,Lower Cataloochee Creek,,4020.623291,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446876915000,GRSM,UNR,,6,,,Long Bunk Trail,Old Cataloochee Turnpike,Valid,Acronicta_fragilis,Acronicta  fragilis,718,Fragile Dagger Moth,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,581644800000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Noctuoidea,Noctuidae,Acronictinae,~,black light trap,No, ,cert,Lepidoptera Survey
0101000020E61000002A6B3902FEC454C01B1123C3EBD14140,95506,0101000020110F0000543D5221B9A361C1B1B39AD58F375041,94984,>1m <=5m,ATBI DATABASE,,1446876916000,DERV,COVE CREEK GAP,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,311854,3946009,35.640001,-83.078,Lower Cataloochee Creek,Cataloochee Creek,2626.595459,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446876916000,GRSM,UNR,,6,,,Cataloochee Horse Trail,Cataloochee Entrance Road,Valid,Acronicta_fragilis,Acronicta  fragilis,718,Fragile Dagger Moth,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,614908800000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Noctuoidea,Noctuidae,Acronictinae,~,unspecified, ,day,cert,ATBI Lepidoptera TWIG
0101000020E610000045904D6912C354C036A0E9224ED24140,95540,0101000020110F0000D7F6CA9D17A261C105803AA4F6375041,95018,>1m <=5m,ATBI DATABASE,,1446876932000,DERV,COVE CREEK GAP,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,314578,3946285,35.643003,-83.047995,Lower Cataloochee Creek,,4054.270264,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446876932000,GRSM,UNR,,7,,,Cataloochee Divide Trail,Old Cataloochee Turnpike,Valid,Acronicta_fragilis,Acronicta  fragilis,718,Fragile Dagger Moth,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,617328000000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Noctuoidea,Noctuidae,Acronictinae,~,unspecified, , ,cert,ATBI Lepidoptera TWiG
0101000020E61000000AA4103D33C354C082303142AAD14140,95538,0101000020110F0000454D1C7F33A261C1DFDB8D614B375041,95016,>1m <=5m,ATBI DATABASE,,1446876931000,DERV,COVE CREEK GAP,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,314385,3945734,35.638002,-83.049998,Lower Cataloochee Creek,Winding Stair Branch,3749.368652,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446876931000,GRSM,UNR,,9,,,Cataloochee Divide Trail,Old Cataloochee Turnpike,Valid,Acronicta_fragilis,Acronicta  fragilis,718,Fragile Dagger Moth,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,614908800000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Noctuoidea,Noctuidae,Acronictinae,~,unspecified, , ,cert,ATBI Lepidoptera TWiG
0101000020E610000022C22CA5C8C454C06B36234B32CB4140,95515,0101000020110F0000DBD6FCCE8BA361C1AB5F906A89305041,94993,>1m <=5m,ATBI DATABASE,,1446876920000,DERV,DELLWOOD,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,312026,3940175,35.587465,-83.074742,Lower Johnathans Creek,Cove Creek,4904.751465,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446876920000,GRSM,UNR,,7,,,Science Center Trail,The Purchase Road (closed Winter),Valid,Acronicta_fragilis,Acronicta  fragilis,718,Fragile Dagger Moth,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1055030400000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Noctuoidea,Noctuidae,Acronictinae,~,unspecified, , ,cert,ATBI Lepidoptera TWiG
0101000020E61000008D94442EACC454C037E70A3D02CB4140,95531,0101000020110F00008A1D37A273A361C1C551E73A57305041,95009,>1m <=5m,ATBI DATABASE,,1446876928000,DERV,DELLWOOD,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,312180,3940009,35.585999,-83.073005,Lower Johnathans Creek,,4917.642578,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446876928000,GRSM,UNR,,7,,,Science Center Trail,The Purchase Road (closed Winter),Valid,Acronicta_fragilis,Acronicta  fragilis,718,Fragile Dagger Moth,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1023580800000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Noctuoidea,Noctuidae,Acronictinae,~,unspecified, ,day,cert,ATBI Lepidoptera TWIG
0101000020E61000000D5D00E27AC454C0110D2FE1C0CA4140,95535,0101000020110F0000E0AAD1C349A361C167A168F912305041,95013,>1m <=5m,ATBI DATABASE,,1446876929000,DERV,DELLWOOD,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,312448,3939782,35.584004,-83.069996,Lower Johnathans Creek,Beantown Creek,4682.922852,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446876929000,GRSM,UNR,,4,,,Ferguson Cabin Horse Trail,The Purchase Road (closed Winter),Valid,Acronicta_fragilis,Acronicta  fragilis,718,Fragile Dagger Moth,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1182038400000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Noctuoidea,Noctuidae,Acronictinae,~,at light, , ,cert,ATBI Lepidoptera TWiG
0101000020E6100000D791CF9D73C454C0466167AF23CA4140,95536,0101000020110F0000A663F59743A361C128D8B3D16E2F5041,95014,>1m <=5m,ATBI DATABASE,,1446876930000,DERV,DELLWOOD,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,312477,3939249,35.579207,-83.069553,Lower Johnathans Creek,,4594.510254,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446876930000,GRSM,UNR,,5,,,Ferguson Cabin Trail,The Purchase Road (closed Winter),Valid,Acronicta_fragilis,Acronicta  fragilis,718,Fragile Dagger Moth,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1182038400000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Noctuoidea,Noctuidae,Acronictinae,~,at light, , ,cert,ATBI Lepidoptera TWiG
0101000020E610000094C58B8581C454C03723038030CA4140,95532,0101000020110F000096243E674FA361C15ED37B337C2F5041,95010,>1m <=5m,ATBI DATABASE,,1446876928000,DERV,DELLWOOD,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,312401,3939294,35.579598,-83.070401,Lower Johnathans Creek,,4630.230469,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446876928000,GRSM,UNR,,6,,,Ferguson Cabin Trail,The Purchase Road (closed Winter),Valid,Acronicta_fragilis,Acronicta  fragilis,718,Fragile Dagger Moth,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1053907200000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Noctuoidea,Noctuidae,Acronictinae,~,unspecified, , ,cert,ATBI Lepidoptera TWiG
0101000020E6100000789EB5C4B2C454C05B48EF44DECA4140,95517,0101000020110F000043B9823A79A361C1EE2B98AA31305041,94995,>1m <=5m,ATBI DATABASE,,1446876921000,DERV,DELLWOOD,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,312141,3939888,35.584901,-83.073407,Lower Johnathans Creek,,4863.807617,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446876921000,GRSM,UNR,,7,,,Science Center Trail,The Purchase Road (closed Winter),Valid,Acronicta_fragilis,Acronicta  fragilis,718,Fragile Dagger Moth,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1055030400000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Noctuoidea,Noctuidae,Acronictinae,~,unspecified, , ,cert,ATBI Lepidoptera TWiG
0101000020E6100000C1BB9F2AB1C454C0C4649D36D2CA4140,95525,0101000020110F0000439339DE77A361C1BB4A7C1325305041,95003,>1m <=5m,ATBI DATABASE,,1446876925000,DERV,DELLWOOD,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,312149,3939847,35.584533,-83.073309,Lower Johnathans Creek,,4827.102051,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446876925000,GRSM,UNR,,7,,,Ferguson Cabin Horse Trail,The Purchase Road (closed Winter),Valid,Acronicta_fragilis,Acronicta  fragilis,718,Fragile Dagger Moth,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1086307200000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Noctuoidea,Noctuidae,Acronictinae,~,UV light,No,day,cert,PKnob moths monitoring
0101000020E610000015B75DAACAC454C0EBEC30A2C4CA4140,95513,0101000020110F000077033D868DA361C1C42D00E516305041,94991,>1m <=5m,ATBI DATABASE,,1446876919000,DERV,DELLWOOD,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,312007,3939804,35.584119,-83.074866,Lower Johnathans Creek,,4783.5625,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446876919000,GRSM,UNR,,6,,,Ferguson Cabin Horse Trail,The Purchase Road (closed Winter),Valid,Acronicta_fragilis,Acronicta  fragilis,718,Fragile Dagger Moth,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1121212800000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Noctuoidea,Noctuidae,Acronictinae,~,at light, , ,cert,ATBI Lepidoptera TWiG
0101000020E61000001211B2B72ACB54C022355AFFC8C64140,95497,0101000020110F0000B09C6FA0F7A861C1A2E22448EE2B5041,94975,>1m <=5m,ATBI DATABASE,,1446876911000,DERV,BUNCHES BALD,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,302904,3936547,35.553002,-83.174478,Lower Raven Fork,Flat Creek,4863.875977,,,dd,GCS,NAD83,17,,Oconaluftee District,TPCOLSON,TPCOLSON,1446876911000,GRSM,UNR,,5,,,Flat Creek Trail,Heintooga Ridge Road,Valid,Acronicta_fragilis,Acronicta  fragilis,718,Fragile Dagger Moth,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1023580800000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Noctuoidea,Noctuidae,Acronictinae,~,UV light, , ,cert,ATBI Lepidoptera TWiG
0101000020E610000037DAE6D026CB54C064A278FD98C64140,95499,0101000020110F0000C1FB2850F4A861C10E3FC22ABC2B5041,94977,>1m <=5m,ATBI DATABASE,,1446876912000,DERV,BUNCHES BALD,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,302922,3936384,35.551537,-83.17424,Lower Raven Fork,Flat Creek,4881.120117,,,dd,GCS,NAD83,17,,Oconaluftee District,TPCOLSON,TPCOLSON,1446876912000,GRSM,UNR,,6,,,Flat Creek Trail,Heintooga Ridge Road,Valid,Acronicta_fragilis,Acronicta  fragilis,718,Fragile Dagger Moth,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1090195200000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Noctuoidea,Noctuidae,Acronictinae,~,UV light, ,day,cert,ATBI Lepidoptera TWIG
0101000020E61000002C8B9CFA2ACB54C063A1612738C84140,95502,0101000020110F0000128844D9F7A861C1C72A03966D2D5041,94980,>1m <=5m,ATBI DATABASE,,1446876914000,DERV,BUNCHES BALD,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,302930,3937790,35.564207,-83.174494,Lower Raven Fork,,5334.425293,,,dd,GCS,NAD83,17,,Oconaluftee District,TPCOLSON,TPCOLSON,1446876914000,GRSM,UNR,,6,,,Balsam Mountain Nature Trail,Balsam Mountain Campground Road,Valid,Acronicta_fragilis,Acronicta  fragilis,718,Fragile Dagger Moth,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1059782400000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Noctuoidea,Noctuidae,Acronictinae,~,unspecified, ,day,cert,ATBI Lepidoptera TWIG
0101000020E6100000E1B1DC282BCB54C0BD6DB82538C84140,95500,0101000020110F00002B608C00F8A861C1D13B47946D2D5041,94978,>1m <=5m,ATBI DATABASE,,1446876913000,DERV,BUNCHES BALD,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,302929,3937790,35.564207,-83.174505,Lower Raven Fork,,5334.425293,,,dd,GCS,NAD83,17,,Oconaluftee District,TPCOLSON,TPCOLSON,1446876913000,GRSM,UNR,,6,,,Balsam Mountain Nature Trail,Balsam Mountain Campground Road,Valid,Acronicta_fragilis,Acronicta  fragilis,718,Fragile Dagger Moth,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1090195200000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Noctuoidea,Noctuidae,Acronictinae,~,UV light, , ,cert,ATBI Lepidoptera TWiG
0101000020E61000003EE53D733BCF54C06CD0B70F7DCF4140,95493,0101000020110F00002D496F856BAC61C1FE1A9C2905355041,94971,>1m <=5m,ATBI DATABASE,,1446876908000,DERV,BUNCHES BALD,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,297317,3944219,35.620997,-83.238,Upper Raven Fork,,4585.983398,,,dd,GCS,NAD83,17,,Oconaluftee District,TPCOLSON,TPCOLSON,1446876908000,GRSM,UNR,,8,,,Hyatt Ridge Trail,Hyatt Ridge Trailhead,Valid,Acronicta_fragilis,Acronicta  fragilis,718,Fragile Dagger Moth,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,111974400000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Noctuoidea,Noctuidae,Acronictinae,~,unspecified, , ,cert,ATBI Lepidoptera TWiG
0101000020E61000002BEE21DC22D354C0FFA3035A06C14140,95489,0101000020110F0000F560FA51BCAF61C102A7BC51EB255041,94967,>1m <=5m,ATBI DATABASE,,1446876906000,DERV,SMOKEMONT,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,291499,3931811,35.507999,-83.298999,Lower Oconaluftee River,,2030.032227,,,dd,GCS,NAD83,17,,,TPCOLSON,TPCOLSON,1446876906000,GRSM,UNR,,7,,,Oconaluftee River Trail,Newfound Gap Road South,Valid,Acronicta_fragilis,Acronicta  fragilis,718,Fragile Dagger Moth,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,989971200000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Noctuoidea,Noctuidae,Acronictinae,~,UV light, , ,cert,ATBI Lepidoptera TWiG
