the_geom,cartodb_id,the_geom_webmercator,objectid,verror,mapsource,sourcedate,editdate,mapmethod,quadname,unitname,herror,county,state,x_coord,y_coord,lat,lon,watershed,streamname,elevation,year,notes,coord_units,coord_system,datum,utm_zone,managementzone,parkdistrict,editby,createby,createdate,unitcode,restriction,veg_class,landform,loc_name,loc_id,trail,road,valid_result,genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,dateretrieved,kingdom,subkingdom,phylum,subphylum,class,subclass,superdivision,division,subdivision,superorder,ordername,series,suborder,infraorder,superfamily,family,subfamily,tribe,collectionmethod,specimentype,dateprecision,identificationprecision,project
0101000020E6100000C907DF2954DF54C0D240AD1B4FBA4140,168872,0101000020110F0000AEC5913E17BA61C13141F02DEA1E5041,168556,>1m <=5m,ATBI DATABASE,,1446914002000,DERV,BRYSON CITY,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,274071,3926410,35.455532,-83.489508,Fontana Lake-Tuckasegee River,Middle Peachtree Creek,2166.862793,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446914002000,GRSM,UNR,,8,,,Conner @ Hickory Flats Cemetery Access,Lakeview Drive East,Valid,Euphyia_intermediata,Euphyia  intermediata,15773,Sharp-angled Carpet Moth,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,523670400000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Geometroidea,Geometridae,Larentiinae,~,unspecified, , ,cert,ATBI Lepidoptera TWiG
0101000020E6100000329504FC68D054C03BF524979CE24140,168915,0101000020110F00009BA2489D6BAD61C198CA54C604495041,168599,>1m <=5m,ATBI DATABASE,,1446914028000,DERV,JONES COVE,Great Smoky Mountains National Park,>1m <=5m,Cocke,Tennessee,296031,3960831,35.770397,-83.256404,Cosby Creek,Cricket Branch,2054.198975,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446914028000,GRSM,UNR,,7,,,Maddron Bald Trail,Cosby Entrance Road,Valid,Euphyia_intermediata,Euphyia  intermediata,15773,Sharp-angled Carpet Moth,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,998438400000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Geometroidea,Geometridae,Larentiinae,~,unspecified, ,day,cert,ATBI Lepidoptera TWIG
0101000020E61000003E690E34B2CD54C03C4546BB95E34140,168923,0101000020110F000042805D891DAB61C127EC9D93094A5041,168607,>1m <=5m,ATBI DATABASE,,1446914033000,DERV,HARTFORD,Great Smoky Mountains National Park,>1m <=5m,Cocke,Tennessee,299884,3961587,35.778,-83.213998,Cosby Creek,Cosby Creek,1742.802612,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446914033000,GRSM,UNR,,6,,,Tritt Cemetery Access Trail,Cosby Government Quarters / Ranger Station Access Road,Valid,Euphyia_intermediata,Euphyia  intermediata,15773,Sharp-angled Carpet Moth,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,964396800000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Geometroidea,Geometridae,Larentiinae,~,UV light, ,day,cert,ATBI Lepidoptera TWIG
0101000020E610000036EB29C570CD54C0AD2C247C89E14140,168928,0101000020110F0000DDB1D3F6E5AA61C1A9027DD2E4475041,168612,>1m <=5m,ATBI DATABASE,,1446914035000,DERV,HARTFORD,Great Smoky Mountains National Park,>1m <=5m,Cocke,Tennessee,300205,3959804,35.762001,-83.210004,Cosby Creek,Cosby Creek,2040.874756,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446914035000,GRSM,UNR,,5,,,Gabes Mountain Trail,Cosby Entrance Road,Valid,Euphyia_intermediata,Euphyia  intermediata,15773,Sharp-angled Carpet Moth,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,990230400000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Geometroidea,Geometridae,Larentiinae,~,unspecified, ,day,cert,ATBI Lepidoptera TWIG
0101000020E61000002D552FE0A1CD54C0F33F4FBCB0E14140,168927,0101000020110F0000582E66AB0FAB61C1956F6AE70D485041,168611,>1m <=5m,ATBI DATABASE,,1446914035000,DERV,HARTFORD,Great Smoky Mountains National Park,>1m <=5m,Cocke,Tennessee,299937,3959943,35.763199,-83.213001,Cosby Creek,Fletcher Spring Branch,2035.18103,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446914035000,GRSM,UNR,,6,,,Gabes Mountain Trail,Cosby Entrance Road,Valid,Euphyia_intermediata,Euphyia  intermediata,15773,Sharp-angled Carpet Moth,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,993168000000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Geometroidea,Geometridae,Larentiinae,~,unspecified, ,day,cert,ATBI Lepidoptera TWIG
0101000020E6100000793E332304CE54C0CC4F14625AE44140,168921,0101000020110F000033C08F1F63AB61C184E32A73D74A5041,168605,>1m <=5m,ATBI DATABASE,,1446914032000,DERV,HARTFORD,Great Smoky Mountains National Park,>1m <=5m,Cocke,Tennessee,299447,3962263,35.784001,-83.218999,Cosby Creek,Cosby Creek,1650.478271,,,dd,GCS,NAD83,17,,,TPCOLSON,TPCOLSON,1446914032000,GRSM,UNR,,8,,,Tritt Cemetery Access Trail,Cosby Entrance Road,Valid,Euphyia_intermediata,Euphyia  intermediata,15773,Sharp-angled Carpet Moth,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,998352000000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Geometroidea,Geometridae,Larentiinae,~,unspecified, , ,cert,ATBI Lepidoptera TWiG
0101000020E6100000B9556BBC0FCD54C0C33528AEEBDF4140,168931,0101000020110F00004929938D93AA61C1905930C033465041,168615,>1m <=5m,ATBI DATABASE,,1446914037000,DERV,LUFTEE KNOB,Great Smoky Mountains National Park,>1m <=5m,Cocke,Tennessee,300709,3958391,35.749373,-83.204081,Cosby Creek,Cosby Creek,2450.387451,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446914037000,GRSM,UNR,,3,,,Low Gap Trail Access,Cosby Campground Road B,Valid,Euphyia_intermediata,Euphyia  intermediata,15773,Sharp-angled Carpet Moth,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,993168000000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Geometroidea,Geometridae,Larentiinae,~,unspecified, , ,cert,ATBI Lepidoptera TWiG
0101000020E6100000D980F68DE9CE54C0F61B9E4C06D14140,168920,0101000020110F0000CAE49DF725AC61C10CF0D40BA0365041,168604,>1m <=5m,ATBI DATABASE,,1446914031000,DERV,LUFTEE KNOB,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,297800,3945540,35.632998,-83.233001,Straight Fork Raven Fork,Hyatt Creek,5121.731445,,,dd,GCS,NAD83,17,,Oconaluftee District,TPCOLSON,TPCOLSON,1446914031000,GRSM,UNR,,9,,,Hyatt Ridge Trail,Beech Gap Trailhead Parking #2,Valid,Euphyia_intermediata,Euphyia  intermediata,15773,Sharp-angled Carpet Moth,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,964396800000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Geometroidea,Geometridae,Larentiinae,~,UV light, , ,cert,ATBI Lepidoptera TWiG
0101000020E6100000D116F6052BC754C0D16D032321D04140,168935,0101000020110F000012EDEC3392A561C1776BCD97B0355041,168619,>1m <=5m,ATBI DATABASE,,1446914039000,DERV,COVE CREEK GAP,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,308742,3944522,35.626004,-83.111997,Upper Cataloochee Creek,Palmer Creek,2738.823242,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446914039000,GRSM,UNR,,6,,,Cataloochee Horse Trail,Cataloochee Entrance Road,Valid,Euphyia_intermediata,Euphyia  intermediata,15773,Sharp-angled Carpet Moth,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,998265600000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Geometroidea,Geometridae,Larentiinae,~,unspecified, , ,cert,ATBI Lepidoptera TWiG
0101000020E6100000C973BF3B60C554C006DEB12E27D14140,168937,0101000020110F00000C1D6C8D0CA461C1EE8C5E68C2365041,168621,>1m <=5m,ATBI DATABASE,,1446914040000,DERV,COVE CREEK GAP,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,311297,3945355,35.634001,-83.083995,Lower Cataloochee Creek,Lower Double Branch,2622.016602,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446914040000,GRSM,UNR,,7,,,Cataloochee Horse Trail,Cataloochee Entrance Road,Valid,Euphyia_intermediata,Euphyia  intermediata,15773,Sharp-angled Carpet Moth,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1155340800000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Geometroidea,Geometridae,Larentiinae,~,UV light, , ,cert,ATBI Lepidoptera TWiG
0101000020E610000045904D6912C354C036A0E9224ED24140,168972,0101000020110F0000D7F6CA9D17A261C105803AA4F6375041,168656,>1m <=5m,ATBI DATABASE,,1446914056000,DERV,COVE CREEK GAP,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,314578,3946285,35.643003,-83.047995,Lower Cataloochee Creek,,4054.270264,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446914056000,GRSM,UNR,,7,,,Cataloochee Divide Trail,Old Cataloochee Turnpike,Valid,Euphyia_intermediata,Euphyia  intermediata,15773,Sharp-angled Carpet Moth,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,580521600000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Geometroidea,Geometridae,Larentiinae,~,unspecified, , ,cert,ATBI Lepidoptera TWiG
