the_geom,cartodb_id,the_geom_webmercator,objectid,verror,mapsource,sourcedate,editdate,mapmethod,quadname,unitname,herror,county,state,x_coord,y_coord,lat,lon,watershed,streamname,elevation,year,notes,coord_units,coord_system,datum,utm_zone,managementzone,parkdistrict,editby,createby,createdate,unitcode,restriction,veg_class,landform,loc_name,loc_id,trail,road,valid_result,genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,dateretrieved,kingdom,subkingdom,phylum,subphylum,class,subclass,superdivision,division,subdivision,superorder,ordername,series,suborder,infraorder,superfamily,family,subfamily,tribe,collectionmethod,specimentype,dateprecision,identificationprecision,project
0101000020E6100000863467D38ADB54C0A3F2D117BFBB4140,135868,0101000020110F0000FE844CFCDFB661C16AE6F4E169205041,135475,>1m <=5m,ATBI DATABASE,,1446895281000,DERV,BRYSON CITY,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,279472,3927522,35.466762,-83.430344,Deep Creek,Deep Creek,1841.800903,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446895281000,GRSM,UNR,,4,,,Deep Creek Trail,Tom Branch Road,Valid,Celastrina_ladon,Celastrina  ladon,7505,Spring Azure,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1206144000000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Papilionoidea,Lycaenidae,Lycaeninae,~,observed,No,day,prob.,General
0101000020E61000002A6B3902FEC454C01B1123C3EBD14140,135879,0101000020110F0000543D5221B9A361C1B1B39AD58F375041,135485,>1m <=5m,ATBI DATABASE,,1446895287000,DERV,COVE CREEK GAP,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,311854,3946009,35.640001,-83.078,Lower Cataloochee Creek,Cataloochee Creek,2626.595459,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446895287000,GRSM,UNR,,6,,,Cataloochee Horse Trail,Cataloochee Entrance Road,Valid,Celastrina_ladon,Celastrina  ladon,7505,Spring Azure,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-1003017600000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Papilionoidea,Lycaenidae,Lycaeninae,~,unspecified, ,day,cert,ATBI Lepidoptera TWIG
0101000020E61000000AA4103D33C354C082303142AAD14140,135887,0101000020110F0000454D1C7F33A261C1DFDB8D614B375041,135493,>1m <=5m,ATBI DATABASE,,1446895291000,DERV,COVE CREEK GAP,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,314385,3945734,35.638002,-83.049998,Lower Cataloochee Creek,Winding Stair Branch,3749.368652,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446895291000,GRSM,UNR,,9,,,Cataloochee Divide Trail,Old Cataloochee Turnpike,Valid,Celastrina_ladon,Celastrina  ladon,7505,Spring Azure,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-1003017600000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Papilionoidea,Lycaenidae,Lycaeninae,~,unspecified, , ,cert,ATBI Lepidoptera TWiG
0101000020E61000008D94442EACC454C037E70A3D02CB4140,135883,0101000020110F00008A1D37A273A361C1C551E73A57305041,135489,>1m <=5m,ATBI DATABASE,,1446895289000,DERV,DELLWOOD,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,312180,3940009,35.585999,-83.073005,Lower Johnathans Creek,,4917.642578,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446895289000,GRSM,UNR,,7,,,Science Center Trail,The Purchase Road (closed Winter),Valid,Celastrina_ladon,Celastrina  ladon,7505,Spring Azure,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1082160000000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Papilionoidea,Lycaenidae,Lycaeninae,~,Malaise trap (Townes), , ,cert,ATBI Lepidoptera TWiG
0101000020E6100000966BF5C8ABC454C0E29CF297FFCA4140,135884,0101000020110F000036602C4C73A361C182C5C97754305041,135490,>1m <=5m,ATBI DATABASE,,1446895290000,DERV,DELLWOOD,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,312182,3940000,35.585918,-83.072981,Lower Johnathans Creek,,4917.642578,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446895290000,GRSM,UNR,,7,,,Science Center Trail,The Purchase Road (closed Winter),Valid,Celastrina_ladon,Celastrina  ladon,7505,Spring Azure,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1083888000000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Papilionoidea,Lycaenidae,Lycaeninae,~,observed,No,day,cert,Birds & Bird Parasites
0101000020E61000008D5279A3A5C454C065312BC029CB4140,135885,0101000020110F000041EFCF136EA361C11276977E80305041,135491,>1m <=5m,ATBI DATABASE,,1446895290000,DERV,DELLWOOD,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,312219,3940142,35.587205,-83.072606,Lower Johnathans Creek,Cove Creek,4830.932129,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446895290000,GRSM,UNR,,6,,,Science Center Trail,The Purchase Road (closed Winter),Valid,Celastrina_ladon,Celastrina  ladon,7505,Spring Azure,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1210377600000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Papilionoidea,Lycaenidae,Lycaeninae,~,observed,No,day,cert,Lepidoptera Survey
0101000020E61000004B3D5C8998C454C08C65823A15CB4140,135886,0101000020110F0000EF9929F362A361C19579EF0F6B305041,135492,>1m <=5m,ATBI DATABASE,,1446895291000,DERV,DELLWOOD,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,312290,3940071,35.586578,-83.071806,Lower Johnathans Creek,Cove Creek,4866.149414,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446895291000,GRSM,UNR,,6,,,Science Center Trail,The Purchase Road (closed Winter),Valid,Celastrina_ladon,Celastrina  ladon,7505,Spring Azure,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1081209600000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Papilionoidea,Lycaenidae,Lycaeninae,~,observed,No, ,cert,Birds & Bird Parasites
0101000020E6100000850B3FECB0C454C08E3A0E51BFCA4140,135880,0101000020110F0000F75C3FA977A361C1F9DB8C5711305041,135486,>1m <=5m,ATBI DATABASE,,1446895288000,DERV,DELLWOOD,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,312149,3939783,35.583957,-83.073295,Lower Johnathans Creek,,4764.077148,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446895288000,GRSM,UNR,,6,,,Ferguson Cabin Horse Trail,The Purchase Road (closed Winter),Valid,Celastrina_ladon,Celastrina  ladon,7505,Spring Azure,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1082160000000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Papilionoidea,Lycaenidae,Lycaeninae,~,"Malaise trap, 6-meter",No,week,prob.,PKnob moths monitoring
0101000020E61000003EE53D733BCF54C06CD0B70F7DCF4140,135877,0101000020110F00002D496F856BAC61C1FE1A9C2905355041,135484,>1m <=5m,ATBI DATABASE,,1446895286000,DERV,BUNCHES BALD,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,297317,3944219,35.620997,-83.238,Upper Raven Fork,,4585.983398,,,dd,GCS,NAD83,17,,Oconaluftee District,TPCOLSON,TPCOLSON,1446895286000,GRSM,UNR,,8,,,Hyatt Ridge Trail,Hyatt Ridge Trailhead,Valid,Celastrina_ladon,Celastrina  ladon,7505,Spring Azure,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,575164800000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Papilionoidea,Lycaenidae,Lycaeninae,~,unspecified, , ,cert,ATBI Lepidoptera TWiG
0101000020E6100000920727446ED354C02DF1FB9C9AC04140,135871,0101000020110F0000C562E35CFCAF61C195286BEA7A255041,135478,>1m <=5m,ATBI DATABASE,,1446895283000,DERV,SMOKEMONT,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,291073,3931456,35.504712,-83.303601,Lower Oconaluftee River,Oconaluftee River,2203.830078,,,dd,GCS,NAD83,17,,Oconaluftee District,TPCOLSON,TPCOLSON,1446895283000,GRSM,UNR,,6,,,Oconaluftee River Trail,Newfound Gap Road South,Valid,Celastrina_ladon,Celastrina  ladon,7505,Spring Azure,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1021939200000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Papilionoidea,Lycaenidae,Lycaeninae,~,Malaise trap (Townes), , ,cert,ATBI Lepidoptera TWiG
0101000020E61000001D43145433D354C06AF383E347C14140,135872,0101000020110F0000CD33954ECAAF61C1C15D4CB22F265041,135479,>1m <=5m,ATBI DATABASE,,1446895284000,DERV,SMOKEMONT,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,291413,3932035,35.51,-83.300004,Lower Oconaluftee River,,2015.644165,,,dd,GCS,NAD83,17,,,TPCOLSON,TPCOLSON,1446895284000,GRSM,UNR,,5,,,Oconaluftee River Trail,Access Road To Big Cove Road,Valid,Celastrina_ladon,Celastrina  ladon,7505,Spring Azure,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,987897600000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Papilionoidea,Lycaenidae,Lycaeninae,~,UV light, , ,cert,ATBI Lepidoptera TWiG
