the_geom,cartodb_id,the_geom_webmercator,objectid,verror,mapsource,sourcedate,editdate,mapmethod,quadname,unitname,herror,county,state,x_coord,y_coord,lat,lon,watershed,streamname,elevation,year,notes,coord_units,coord_system,datum,utm_zone,managementzone,parkdistrict,editby,createby,createdate,unitcode,restriction,veg_class,landform,loc_name,loc_id,trail,road,valid_result,genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,dateretrieved,kingdom,subkingdom,phylum,subphylum,class,subclass,superdivision,division,subdivision,superorder,ordername,series,suborder,infraorder,superfamily,family,subfamily,tribe,collectionmethod,specimentype,dateprecision,identificationprecision,project
0101000020E6100000863467D38ADB54C0A3F2D117BFBB4140,135868,0101000020110F0000FE844CFCDFB661C16AE6F4E169205041,135475,>1m <=5m,ATBI DATABASE,,1446895281000,DERV,BRYSON CITY,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,279472,3927522,35.466762,-83.430344,Deep Creek,Deep Creek,1841.800903,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446895281000,GRSM,UNR,,4,,,Deep Creek Trail,Tom Branch Road,Valid,Celastrina_ladon,Celastrina  ladon,7505,Spring Azure,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1206144000000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Papilionoidea,Lycaenidae,Lycaeninae,~,observed,No,day,prob.,General
0101000020E6100000AED21F9288DF54C0F96E0C64AAD14140,135867,0101000020110F00002D55FFC043BA61C19346EF844B375041,135474,>1m <=5m,ATBI DATABASE,,1446895281000,DERV,MOUNT LE CONTE,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,274293,3946661,35.638006,-83.492707,West Prong Little Pigeon River Upper,West Prong Little Pigeon River,2794.644775,,,dd,GCS,NAD83,17,,Little River District,TPCOLSON,TPCOLSON,1446895281000,GRSM,UNR,,6,,,Cove Hardwood Nature Trail,The Chimney Tops Pullout Parking,Valid,Celastrina_ladon,Celastrina  ladon,7505,Spring Azure,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-1003708800000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Papilionoidea,Lycaenidae,Lycaeninae,~,unspecified, , ,cert,ATBI Lepidoptera TWiG
0101000020E610000072892D81F7DF54C08599949491D74140,135866,0101000020110F0000639052F8A1BA61C172DEAB31773D5041,135473,>1m <=5m,ATBI DATABASE,,1446895280000,DERV,MOUNT LE CONTE,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,273810,3951793,35.684123,-83.499477,Le Conte Creek,Le Conte Creek,2134.150146,,,dd,GCS,NAD83,17,,Little River District,TPCOLSON,TPCOLSON,1446895280000,GRSM,UNR,,7,,,Twin Creeks Trail,Natural Resources Center Parking #4,Valid,Celastrina_ladon,Celastrina  ladon,7505,Spring Azure,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,959212800000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Papilionoidea,Lycaenidae,Lycaeninae,~,Malaise trap (Townes), , ,cert,ATBI Pilot Study
0101000020E61000000956BCC172D054C0A757DB38D5D84140,135876,0101000020110F0000A451FEE973AD61C18EF3169FC93E5041,135483,>1m <=5m,ATBI DATABASE,,1446895286000,DERV,MOUNT GUYOT,Great Smoky Mountains National Park,>1m <=5m,Sevier,North Carolina,295782,3952357,35.694,-83.257,Upper Raven Fork,,5935.333984,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446895286000,GRSM,UNR,,7,,,Appalachian Trail,Cosby Campground Road B,Valid,Celastrina_ladon,Celastrina  ladon,7505,Spring Azure,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,987206400000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Papilionoidea,Lycaenidae,Lycaeninae,~,unspecified, , ,cert,ATBI Lepidoptera TWiG
0101000020E6100000215D11343AD954C03D816D5AAFDF4140,135869,0101000020110F00006A6BD0ABE8B461C17657DD9EF4455041,135476,>1m <=5m,ATBI DATABASE,,1446895282000,DERV,MOUNT LE CONTE,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,283513,3958590,35.747532,-83.394173,Little Pigeon River Middle,Left Fork Copeland Creek,1332.184814,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446895282000,GRSM,UNR,,4,,,Old Settlers Trail,Greenbrier Road,Valid,Celastrina_ladon,Celastrina  ladon,7505,Spring Azure,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1375747200000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Papilionoidea,Lycaenidae,Lycaeninae,~,observed,No,day,prob.,ATBI
0101000020E6100000C6594E2B2DE254C0A1D908D316D94140,135865,0101000020110F0000AD219C6382BC61C1060DD3390E3F5041,135472,>1m <=5m,ATBI DATABASE,,1446895279000,DERV,GATLINBURG,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,270719,3953191,35.696002,-83.534003,West Prong Little Pigeon River Upper,Dry Pond Branch,1840.945068,,,dd,GCS,NAD83,17,,Little River District,TPCOLSON,TPCOLSON,1446895279000,GRSM,UNR,,6,,,Cove Mountain Trail,Newfound Gap Road North,Valid,Celastrina_ladon,Celastrina  ladon,7505,Spring Azure,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-467164800000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Papilionoidea,Lycaenidae,Lycaeninae,~,unspecified, ,day,cert,ATBI Lepidoptera TWIG
0101000020E61000009BB614CA21EC54C01B2AE70705D24140,135857,0101000020110F0000E85EDCEEF6C461C15EA2C63DAA375041,135464,>1m <=5m,ATBI DATABASE,,1446895275000,DERV,WEAR COVE,Great Smoky Mountains National Park,>1m <=5m,Blount,Tennessee,256473,3947438,35.640772,-83.689558,Little River-Crooked Creek,Middle Prong Little River,1350.795044,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446895275000,GRSM,UNR,,5,,,Lumber Ridge Trail,Tremont Environmental Education Center Road,Valid,Celastrina_ladon,Celastrina  ladon,7505,Spring Azure,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1212969600000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Papilionoidea,Lycaenidae,Lycaeninae,~,aerial net,No,day,prob.,ATBI
0101000020E61000000B6DEA500EED54C0F4FA476AD7D34140,135854,0101000020110F00004430B4D0BFC561C151385CAE91395041,135461,>1m <=5m,ATBI DATABASE,,1446895273000,DERV,WEAR COVE,Great Smoky Mountains National Park,>1m <=5m,Blount,Tennessee,255209,3949053,35.655005,-83.703995,Little River-Crooked Creek,Ashley Branch,1186.603027,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446895273000,GRSM,UNR,,10,,,Roundtop Trail,Tremont Road,Valid,Celastrina_ladon,Celastrina  ladon,7505,Spring Azure,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,987206400000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Papilionoidea,Lycaenidae,Lycaeninae,~,unspecified, , ,cert,ATBI Lepidoptera TWiG
0101000020E61000006D224FFF2AEF54C05C6DDC9A68D14140,135852,0101000020110F0000BC7717048BC761C17639D4C506375041,135459,>1m <=5m,ATBI DATABASE,,1446895272000,DERV,WEAR COVE,Great Smoky Mountains National Park,>1m <=5m,Blount,Tennessee,252162,3947027,35.635998,-83.736995,Little River-Crooked Creek,,1903.117798,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446895272000,GRSM,UNR,,7,,,Turkeypen Ridge Trail,Laurel Creek Road,Valid,Celastrina_ladon,Celastrina  ladon,7505,Spring Azure,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-971308800000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Papilionoidea,Lycaenidae,Lycaeninae,~,unspecified, , ,cert,ATBI Lepidoptera TWiG
0101000020E6100000F95D920F29EC54C03A34CCD3B0D14140,135856,0101000020110F0000D958D31BFDC461C1A4D0DC3E52375041,135463,>1m <=5m,ATBI DATABASE,,1446895274000,DERV,WEAR COVE,Great Smoky Mountains National Park,>1m <=5m,Blount,Tennessee,256425,3947154,35.638202,-83.690002,Little River-Crooked Creek,Fodderstack Branch,1483.151001,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446895274000,GRSM,UNR,,3,,,West Prong Trail,Upper Tremont Road,Valid,Celastrina_ladon,Celastrina  ladon,7505,Spring Azure,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1084838400000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Papilionoidea,Lycaenidae,Lycaeninae,~,unspecified, , ,cert,ATBI Lepidoptera TWiG
0101000020E6100000828A12435EE254C094F8E1C2EFD74140,135864,0101000020110F0000F6F56A15ACBC61C161465BACD93D5041,135471,>1m <=5m,ATBI DATABASE,,1446895279000,DERV,GATLINBURG,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,270422,3952199,35.686998,-83.536999,West Prong Little Pigeon River Upper,Ash Hopper Branch,1461.809082,,,dd,GCS,NAD83,17,,Little River District,TPCOLSON,TPCOLSON,1446895279000,GRSM,UNR,,6,,,Fighting Creek Nature Trail,Sugarlands Headquarters Parking A,Valid,Celastrina_ladon,Celastrina  ladon,7505,Spring Azure,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-972777600000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Papilionoidea,Lycaenidae,Lycaeninae,~,unspecified, ,day,cert,ATBI Lepidoptera TWIG
0101000020E6100000F62B23495EE254C01EFAC2F9CED74140,135861,0101000020110F0000499C911AACBC61C145041364B73D5041,135468,>1m <=5m,ATBI DATABASE,,1446895277000,DERV,GATLINBURG,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,270419,3952088,35.685997,-83.537001,West Prong Little Pigeon River Upper,Ash Hopper Branch,1466.512207,,,dd,GCS,NAD83,17,,Little River District,TPCOLSON,TPCOLSON,1446895277000,GRSM,UNR,,6,,,Fighting Creek Nature Trail,Sugarlands Visitor Center Parking B,Valid,Celastrina_ladon,Celastrina  ladon,7505,Spring Azure,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-1032480000000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Papilionoidea,Lycaenidae,Lycaeninae,~,unspecified, , ,cert,ATBI Lepidoptera TWiG
0101000020E610000011599AAA47E954C01C5FB7EC76CE4140,135860,0101000020110F00004942E2D68AC261C17A53144CF3335041,135467,>1m <=5m,ATBI DATABASE,,1446895276000,DERV,THUNDERHEAD MOUNTAIN,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,260426,3944247,35.612997,-83.644995,Little River-Crooked Creek,Lynn Camp Prong,2440.844727,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446895276000,GRSM,UNR,,2,,,Middle Prong Trail,Upper Tremont Road,Valid,Celastrina_ladon,Celastrina  ladon,7505,Spring Azure,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,987206400000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Papilionoidea,Lycaenidae,Lycaeninae,~,unspecified, ,day,cert,ATBI Lepidoptera TWIG
0101000020E6100000B6072E4AE1EA54C0FD8D47C71ACF4140,135859,0101000020110F000002798DBBE6C361C1E56A9C7A9E345041,135466,>1m <=5m,ATBI DATABASE,,1446895276000,DERV,THUNDERHEAD MOUNTAIN,Great Smoky Mountains National Park,>1m <=5m,Blount,Tennessee,258176,3944863,35.617998,-83.669996,Little River-Crooked Creek,Middle Prong Little River,1892.332397,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446895276000,GRSM,UNR,,3,,,Middle Prong Trail,Upper Tremont Road,Valid,Celastrina_ladon,Celastrina  ladon,7505,Spring Azure,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,987206400000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Papilionoidea,Lycaenidae,Lycaeninae,~,unspecified, ,day,cert,ATBI Lepidoptera TWIG
0101000020E6100000234F2F84BEEF54C02BFF6D6535CE4140,135851,0101000020110F000024FDCF4D08C861C1FC5352D7AE335041,135458,>1m <=5m,ATBI DATABASE,,1446895271000,DERV,THUNDERHEAD MOUNTAIN,Great Smoky Mountains National Park,>1m <=5m,Blount,Tennessee,251269,3944276,35.610998,-83.745999,Little River-Crooked Creek,Laurel Creek,1729.094238,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446895271000,GRSM,UNR,,10,,,Turkeypen Ridge Trail,Laurel Creek Road,Valid,Celastrina_ladon,Celastrina  ladon,7505,Spring Azure,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-1003708800000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Papilionoidea,Lycaenidae,Lycaeninae,~,unspecified, ,day,cert,ATBI Lepidoptera TWIG
0101000020E6100000A6B51DDE49F454C0B3745344B2CD4140,135850,0101000020110F00002AD1AC56E4CB61C1FA57C3DB25335041,135457,>1m <=5m,ATBI DATABASE,,1446895271000,DERV,CADES COVE,Great Smoky Mountains National Park,>1m <=5m,Blount,Tennessee,244823,3944014,35.606996,-83.817004,Abrams Creek Upper,Feezell Branch,1793.388916,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446895271000,GRSM,UNR,,5,,,Indian Grave Gap Trail,Cades Cove Loop Road,Valid,Celastrina_ladon,Celastrina  ladon,7505,Spring Azure,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1084838400000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Papilionoidea,Lycaenidae,Lycaeninae,~,unspecified, ,day,cert,ATBI Lepidoptera TWIG
0101000020E610000073A6B5DBA1F554C0050DAEA7C0CA4140,135849,0101000020110F00009A036A7D08CD61C137515BBD12305041,135456,>1m <=5m,ATBI DATABASE,,1446895270000,DERV,CADES COVE,Great Smoky Mountains National Park,>1m <=5m,Blount,Tennessee,242847,3941517,35.583998,-83.838,Abrams Creek Upper,Mill Creek,1774.178345,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446895270000,GRSM,UNR,,6,,,Wet Bottom Trail,Forge Creek Road,Valid,Celastrina_ladon,Celastrina  ladon,7505,Spring Azure,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1021939200000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Papilionoidea,Lycaenidae,Lycaeninae,~,Malaise trap (Townes), ,day,cert,ATBI Lepidoptera TWIG
0101000020E61000001A779F5080F754C0E3E9F4474EC24140,135847,0101000020110F000009B7E3D79ECE61C1A0C70D7A41275041,135454,>1m <=5m,ATBI DATABASE,,1446895269000,DERV,CADES COVE,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,239987,3934272,35.518007,-83.867203,Lake Cheoah-Little Tennessee River,,4709.780762,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446895269000,GRSM,UNR,,6,,,Gregory Bald Trail,Parson Branch Road (closed Winter),Valid,Celastrina_ladon,Celastrina  ladon,7505,Spring Azure,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-467164800000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Papilionoidea,Lycaenidae,Lycaeninae,~,unspecified, , ,cert,ATBI Lepidoptera TWiG
