the_geom,cartodb_id,the_geom_webmercator,objectid,verror,mapsource,sourcedate,editdate,mapmethod,quadname,unitname,herror,county,state,x_coord,y_coord,lat,lon,watershed,streamname,elevation,year,notes,coord_units,coord_system,datum,utm_zone,managementzone,parkdistrict,editby,createby,createdate,unitcode,restriction,veg_class,landform,loc_name,loc_id,trail,road,valid_result,genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,dateretrieved,kingdom,subkingdom,phylum,subphylum,class,subclass,superdivision,division,subdivision,superorder,ordername,series,suborder,infraorder,superfamily,family,subfamily,tribe,collectionmethod,specimentype,dateprecision,identificationprecision,project
0101000020E61000004DFB198393D854C0D42ADEEE43DB4140,214785,0101000020110F0000CF81A6195BB461C1B2EE2FE654415041,214593,>1m <=5m,ATBI DATABASE,,1446940348000,DERV,MOUNT LE CONTE,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,284340,3954737,35.713004,-83.383999,Little Pigeon River Middle,Little Pigeon River,1627.056274,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446940348000,GRSM,UNR,,6,,,Old Settlers Trail,Greenbrier Unpaved Road,Valid,Microcrambus_biguttellus,Microcrambus  biguttellus,25158,Gold-stripe Grass-veneer Moth,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1090195200000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Pyraloidea,Crambidae,Crambinae,~,UV light, ,day,cert,ATBI Lepidoptera TWIG
0101000020E6100000EB42790D64D854C0A324A5528CDA4140,214787,0101000020110F00000CBBF7CA32B461C14CF285D994405041,214595,>1m <=5m,ATBI DATABASE,,1446940349000,DERV,MOUNT LE CONTE,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,284587,3954109,35.7074,-83.381103,Little Pigeon River Upper,Middle Prong Little Pigeon River,1687.616699,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446940349000,GRSM,UNR,,6,,,Old Settlers Trail,Ramsey Prong Road,Valid,Microcrambus_biguttellus,Microcrambus  biguttellus,25158,Gold-stripe Grass-veneer Moth,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,964224000000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Pyraloidea,Crambidae,Crambinae,~,UV light, , ,cert,ATBI Lepidoptera TWiG
0101000020E6100000369900E2BFD854C0034AC40DD8D94140,214784,0101000020110F0000F0BAC4C880B461C1CA30E14ED83F5041,214592,>1m <=5m,ATBI DATABASE,,1446940348000,DERV,MOUNT LE CONTE,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,284065,3953511,35.701899,-83.386708,Porters Creek,Porters Creek,1781.365234,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446940348000,GRSM,UNR,,4,,,Grapeyard Ridge Trail,Greenbrier Unpaved Road,Valid,Microcrambus_biguttellus,Microcrambus  biguttellus,25158,Gold-stripe Grass-veneer Moth,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1002672000000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Pyraloidea,Crambidae,Crambinae,~,unspecified, , ,cert,ATBI Lepidoptera TWiG
0101000020E61000005AEB98AE18EC54C09E931ABEEBD14140,214772,0101000020110F0000FF28BB32EFC461C19A2C58D08F375041,214580,>1m <=5m,ATBI DATABASE,,1446940341000,DERV,WEAR COVE,Great Smoky Mountains National Park,>1m <=5m,Blount,Tennessee,256521,3947351,35.64,-83.689002,Little River-Crooked Creek,Middle Prong Little River,1371.385132,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446940341000,GRSM,UNR,,6,,,Lumber Ridge Trail,Tremont Environmental Education Center Road,Valid,Microcrambus_biguttellus,Microcrambus  biguttellus,25158,Gold-stripe Grass-veneer Moth,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1000339200000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Pyraloidea,Crambidae,Crambinae,~,at light, ,day,cert,ATBI Lepidoptera TWIG
0101000020E61000009998456060E554C0D35CFEB58FD24140,214774,0101000020110F0000987B4B243ABF61C1F16A542C3B385041,214582,>1m <=5m,ATBI DATABASE,,1446940342000,DERV,GATLINBURG,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,266045,3947651,35.645004,-83.584003,Little River-Goshen Prong,Jakes Creek,2364.489746,,,dd,GCS,NAD83,17,,Little River District,TPCOLSON,TPCOLSON,1446940342000,GRSM,UNR,,7,,,Jakes Creek Trail,Elkmont Cemetery Road,Valid,Microcrambus_biguttellus,Microcrambus  biguttellus,25158,Gold-stripe Grass-veneer Moth,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1023580800000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Pyraloidea,Crambidae,Crambinae,~,UV light, ,day,cert,ATBI Lepidoptera TWIG
0101000020E61000006109CC8CDCE654C043B76DD8A9D24140,214773,0101000020110F0000C26E0B067DC061C1FE56987C56385041,214581,>1m <=5m,ATBI DATABASE,,1446940341000,DERV,GATLINBURG,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,263946,3947795,35.645801,-83.607207,Little River-Goshen Prong,Kiver Branch,2606.37085,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446940341000,GRSM,UNR,,1,,,Meigs Mountain Trail,Little River Gorge Road,Valid,Microcrambus_biguttellus,Microcrambus  biguttellus,25158,Gold-stripe Grass-veneer Moth,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,967248000000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Pyraloidea,Crambidae,Crambinae,~,UV light, , ,cert,ATBI Lepidoptera TWiG
0101000020E61000005E046A8A10E054C0D2DFF027CFD74140,214777,0101000020110F0000495AB03BB7BA61C122875C94B73D5041,214585,>1m <=5m,ATBI DATABASE,,1446940344000,DERV,GATLINBURG,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,273677,3952005,35.686003,-83.501006,Le Conte Creek,Le Conte Creek,1948.539551,,,dd,GCS,NAD83,17,,Little River District,TPCOLSON,TPCOLSON,1446940344000,GRSM,UNR,,4,,,Twin Creeks Trail,Natural Resources Center Parking #2,Valid,Microcrambus_biguttellus,Microcrambus  biguttellus,25158,Gold-stripe Grass-veneer Moth,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,964310400000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Pyraloidea,Crambidae,Crambinae,~,at light, ,day,cert,ATBI Lepidoptera TWIG
0101000020E61000006909585C10E054C04402EDDEEFC74140,214775,0101000020110F0000B5B88F14B7BA61C11CF2A11E222D5041,214583,>1m <=5m,ATBI DATABASE,,1446940343000,DERV,SILERS BALD,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,273328,3938248,35.562001,-83.500995,Forney Creek,Forney Creek,6497.589844,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446940343000,GRSM,UNR,,6,,,Clingmans Dome Bypass Trail,Clingmans Dome Access Road,Valid,Microcrambus_biguttellus,Microcrambus  biguttellus,25158,Gold-stripe Grass-veneer Moth,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,964483200000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Pyraloidea,Crambidae,Crambinae,~,UV light, , ,cert,ATBI Lepidoptera TWiG
0101000020E6100000BA3904AAB9F154C0B35ABD2320CD4140,214768,0101000020110F0000B44E5406B7C961C1AAD066378D325041,214576,>1m <=5m,ATBI DATABASE,,1446940339000,DERV,CADES COVE,Great Smoky Mountains National Park,>1m <=5m,Blount,Tennessee,248438,3943416,35.602536,-83.776953,Abrams Creek Upper,Stillhouse Branch,1898.696411,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446940339000,GRSM,UNR,,6,,,Cades Cove Horse Trail,Cades Cove Residence Road A,Valid,Microcrambus_biguttellus,Microcrambus  biguttellus,25158,Gold-stripe Grass-veneer Moth,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1023408000000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Pyraloidea,Crambidae,Crambinae,~,at light, ,day,cert,ATBI Lepidoptera TWIG
0101000020E6100000E636F341D5F554C099931F0A49CB4140,214764,0101000020110F0000E33EB62434CD61C112A8DD2BA1305041,214572,>1m <=5m,ATBI DATABASE,,1446940336000,DERV,CADES COVE,Great Smoky Mountains National Park,>1m <=5m,Blount,Tennessee,242576,3941987,35.58816,-83.841137,Abrams Creek Upper,,1758.333496,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446940336000,GRSM,UNR,,6,,,Wet Bottom Trail,Cades Cove Loop Road,Valid,Microcrambus_biguttellus,Microcrambus  biguttellus,25158,Gold-stripe Grass-veneer Moth,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1023580800000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Pyraloidea,Crambidae,Crambinae,~,UV light, , ,cert,ATBI Lepidoptera TWiG
0101000020E6100000F6712D8D91F554C022E5C4AA43CB4140,214765,0101000020110F00007F94FBA3FACC61C12D817E8F9B305041,214573,>1m <=5m,ATBI DATABASE,,1446940337000,DERV,CADES COVE,Great Smoky Mountains National Park,>1m <=5m,Blount,Tennessee,242950,3941958,35.587996,-83.837005,Abrams Creek Upper,,1777.705566,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446940337000,GRSM,UNR,,6,,,Elijah Oliver Cabin Access Trail,Cades Cove Loop Road,Valid,Microcrambus_biguttellus,Microcrambus  biguttellus,25158,Gold-stripe Grass-veneer Moth,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,967248000000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Pyraloidea,Crambidae,Crambinae,~,UV light, ,week,cert,ATBI Lepidoptera TWIG
0101000020E6100000D587E9D3CEF754C0A37B066FB0C24140,214763,0101000020110F00001EE53886E1CE61C10A0272E5A7275041,214571,>1m <=5m,ATBI DATABASE,,1446940336000,DERV,CADES COVE,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,239562,3934617,35.521003,-83.871995,Abrams Creek Lower,,4654.505859,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446940336000,GRSM,UNR,,7,,,Gregory Bald Trail,Parson Branch Road (closed Winter),Valid,Microcrambus_biguttellus,Microcrambus  biguttellus,25158,Gold-stripe Grass-veneer Moth,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,995846400000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Pyraloidea,Crambidae,Crambinae,~,at light, ,week,cert,ATBI Lepidoptera TWIG
