the_geom,cartodb_id,the_geom_webmercator,objectid,verror,mapsource,sourcedate,editdate,mapmethod,quadname,unitname,herror,county,state,x_coord,y_coord,lat,lon,watershed,streamname,elevation,year,notes,coord_units,coord_system,datum,utm_zone,managementzone,parkdistrict,editby,createby,createdate,unitcode,restriction,veg_class,landform,loc_name,loc_id,trail,road,valid_result,genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,dateretrieved,kingdom,subkingdom,phylum,subphylum,class,subclass,superdivision,division,subdivision,superorder,ordername,series,suborder,infraorder,superfamily,family,subfamily,tribe,collectionmethod,specimentype,dateprecision,identificationprecision,project
0101000020E6100000FBB628FF0FDC54C073C8023DCCBA4140,164200,0101000020110F0000561A701651B761C18CDF04A66C1F5041,163892,>1m <=5m,ATBI DATABASE,,1446911350000,DERV,BRYSON CITY,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,278714,3926718,35.459351,-83.438472,Deep Creek,Durham Branch,1816.224609,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446911350000,GRSM,UNR,,4,,,Noland Divide Trail,Deep Creek Horse Trailer Parking,Valid,Epargyreus_clarus,Epargyreus  clarus,13910,Silverspotted Skipper,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1055808000000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Hesperioidea,Hesperiidae,Pyrginae,~,observed,No,day,cert,Lepidoptera Survey
0101000020E61000003E690E34B2CD54C03C4546BB95E34140,164222,0101000020110F000042805D891DAB61C127EC9D93094A5041,163914,>1m <=5m,ATBI DATABASE,,1446911362000,DERV,HARTFORD,Great Smoky Mountains National Park,>1m <=5m,Cocke,Tennessee,299884,3961587,35.778,-83.213998,Cosby Creek,Cosby Creek,1742.802612,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446911362000,GRSM,UNR,,6,,,Tritt Cemetery Access Trail,Cosby Government Quarters / Ranger Station Access Road,Valid,Epargyreus_clarus,Epargyreus  clarus,13910,Silverspotted Skipper,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,957916800000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Hesperioidea,Hesperiidae,Pyrginae,~,unspecified, ,day,cert,ATBI Lepidoptera TWIG
0101000020E6100000453AAE6C3DCA54C03D7E693D7BE44140,164224,0101000020110F00006220FA172EA861C1520453D9F94A5041,163916,>1m <=5m,ATBI DATABASE,,1446911363000,DERV,HARTFORD,Great Smoky Mountains National Park,>1m <=5m,Cocke,Tennessee,304783,3962255,35.785004,-83.159995,Pigeon River-Cripple Creek,,2422.003906,,,dd,GCS,NAD83,17,,,TPCOLSON,TPCOLSON,1446911363000,GRSM,UNR,,5,,,Lower Mount Cammerer Trail,Cosby Entrance Road,Valid,Epargyreus_clarus,Epargyreus  clarus,13910,Silverspotted Skipper,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,958003200000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Hesperioidea,Hesperiidae,Pyrginae,~,unspecified, ,day,cert,ATBI Lepidoptera TWIG
0101000020E610000005D6ACF121C754C0EB82052DADE24140,164225,0101000020110F00000396E87D8AA561C198C2BB2216495041,163917,>1m <=5m,ATBI DATABASE,,1446911364000,DERV,WATERVILLE,Great Smoky Mountains National Park,>1m <=5m,Cocke,Tennessee,309138,3960595,35.770903,-83.111443,Pigeon River-Cripple Creek,,2021.76355,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446911364000,GRSM,UNR,,5,,,Appalachian Trail,Big Creek Entrance Road,Valid,Epargyreus_clarus,Epargyreus  clarus,13910,Silverspotted Skipper,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1155340800000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Hesperioidea,Hesperiidae,Pyrginae,~,unspecified, , ,cert,ATBI Lepidoptera TWiG
0101000020E6100000290246DECCC454C0AAABD533D1D24140,164228,0101000020110F000088412A658FA361C1FBFBAB9E7F385041,163920,>1m <=5m,ATBI DATABASE,,1446911365000,DERV,COVE CREEK GAP,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,312142,3946780,35.647002,-83.075,Lower Cataloochee Creek,Cataloochee Creek,2545.575195,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446911365000,GRSM,UNR,,4,,,Cataloochee Horse Trail,Cataloochee Group Camp Road,Valid,Epargyreus_clarus,Epargyreus  clarus,13910,Silverspotted Skipper,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,958003200000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Hesperioidea,Hesperiidae,Pyrginae,~,unspecified, ,day,cert,ATBI Lepidoptera TWIG
0101000020E6100000F65EC85F64C354C043CFCB004ED24140,164240,0101000020110F0000A42D383A5DA261C182F19280F6375041,163932,>1m <=5m,ATBI DATABASE,,1446911371000,DERV,COVE CREEK GAP,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,314125,3946294,35.642999,-83.052997,Lower Cataloochee Creek,Hoglen Branch,3571.51123,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446911371000,GRSM,UNR,,4,,,Cataloochee Divide Trail,Old Cataloochee Turnpike,Valid,Epargyreus_clarus,Epargyreus  clarus,13910,Silverspotted Skipper,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,555897600000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Hesperioidea,Hesperiidae,Pyrginae,~,unspecified, , ,cert,ATBI Lepidoptera TWiG
0101000020E61000000AA4103D33C354C082303142AAD14140,164241,0101000020110F0000454D1C7F33A261C1DFDB8D614B375041,163933,>1m <=5m,ATBI DATABASE,,1446911371000,DERV,COVE CREEK GAP,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,314385,3945734,35.638002,-83.049998,Lower Cataloochee Creek,Winding Stair Branch,3749.368652,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446911371000,GRSM,UNR,,9,,,Cataloochee Divide Trail,Old Cataloochee Turnpike,Valid,Epargyreus_clarus,Epargyreus  clarus,13910,Silverspotted Skipper,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1210377600000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Hesperioidea,Hesperiidae,Pyrginae,~,unspecified, , ,cert,ATBI Lepidoptera TWiG
0101000020E61000008DCCC19E9CC654C0A3CF76759CCC4140,164226,0101000020110F0000AE51824219A561C1A7CC18AC03325041,163918,>1m <=5m,ATBI DATABASE,,1446911364000,DERV,DELLWOOD,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,309464,3941456,35.598518,-83.103305,Upper Cataloochee Creek,McKee Branch,3053.209961,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446911364000,GRSM,UNR,,7,,,Big Fork Ridge Trail,Cataloochee Entrance Road,Valid,Epargyreus_clarus,Epargyreus  clarus,13910,Silverspotted Skipper,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1184889600000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Hesperioidea,Hesperiidae,Pyrginae,~,by hand,No,day,cert,ATBI
0101000020E61000008D94442EACC454C037E70A3D02CB4140,164233,0101000020110F00008A1D37A273A361C1C551E73A57305041,163925,>1m <=5m,ATBI DATABASE,,1446911367000,DERV,DELLWOOD,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,312180,3940009,35.585999,-83.073005,Lower Johnathans Creek,,4917.642578,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446911367000,GRSM,UNR,,7,,,Science Center Trail,The Purchase Road (closed Winter),Valid,Epargyreus_clarus,Epargyreus  clarus,13910,Silverspotted Skipper,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1061856000000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Hesperioidea,Hesperiidae,Pyrginae,~,Malaise trap (Townes), , ,cert,ATBI Lepidoptera TWiG
0101000020E61000008D5279A3A5C454C065312BC029CB4140,164236,0101000020110F000041EFCF136EA361C11276977E80305041,163928,>1m <=5m,ATBI DATABASE,,1446911369000,DERV,DELLWOOD,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,312219,3940142,35.587205,-83.072606,Lower Johnathans Creek,Cove Creek,4830.932129,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446911369000,GRSM,UNR,,6,,,Science Center Trail,The Purchase Road (closed Winter),Valid,Epargyreus_clarus,Epargyreus  clarus,13910,Silverspotted Skipper,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1210377600000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Hesperioidea,Hesperiidae,Pyrginae,~,observed,No,day,cert,Lepidoptera Survey
