the_geom,cartodb_id,the_geom_webmercator,objectid,verror,mapsource,sourcedate,editdate,mapmethod,quadname,unitname,herror,county,state,x_coord,y_coord,lat,lon,watershed,streamname,elevation,year,notes,coord_units,coord_system,datum,utm_zone,managementzone,parkdistrict,editby,createby,createdate,unitcode,restriction,veg_class,landform,loc_name,loc_id,trail,road,valid_result,genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,dateretrieved,kingdom,subkingdom,phylum,subphylum,class,subclass,superdivision,division,subdivision,superorder,ordername,series,suborder,infraorder,superfamily,family,subfamily,tribe,collectionmethod,specimentype,dateprecision,identificationprecision,project
0101000020E61000003B419864CFF754C0B97C30985BBC4140,57988,0101000020110F000026E51901E2CE61C18517CF150D215041,57447,>1m <=5m,ATBI DATABASE,,1446855497000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,239399,3929129,35.471538,-83.872029,Lake Cheoah-Little Tennessee River,Moore Springs Branch,1544.624756,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446855497000,GRSM,UNR,,4,,,Twentymile Trail,Twenty Mile Trailhead Parking,Valid,Temnothorax_longispinosus,Temnothorax  longispinosus,38532,Ant,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1122249600000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Hymenoptera,Aculeata,Apocrita, ,Vespoidea,Formicidae,Myrmicinae,Formicoxenini,Winkler extraction, ,day,cert,ATBI Ants
0101000020E61000009E0B076839D454C0174B6F9191E04140,58025,0101000020110F000059B0CBE3A8B061C13346A45AE1465041,57484,>1m <=5m,ATBI DATABASE,,1446855520000,DERV,JONES COVE,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,290601,3959186,35.754435,-83.316,Webb Creek,Texas Creek,2073.445801,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446855520000,GRSM,UNR,,6,,,Old Settlers Trail,Ramsey Cascades Trailhead Parking,Valid,Temnothorax_longispinosus,Temnothorax  longispinosus,38532,Ant,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1249689600000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Hymenoptera,Aculeata,Apocrita, ,Vespoidea,Formicidae,Myrmicinae,Formicoxenini,baiting, , ,cert,ATBI Ants
0101000020E6100000BE2F03D56CD054C0598DC28112E24140,58029,0101000020110F00003C04D7E16EAD61C1CB73353D74485041,57488,>1m <=5m,ATBI DATABASE,,1446855522000,DERV,JONES COVE,Great Smoky Mountains National Park,>1m <=5m,Cocke,Tennessee,295999,3960364,35.766183,-83.256639,Cosby Creek,Cricket Branch,2208.603516,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446855522000,GRSM,UNR,,6,,,Maddron Bald Trail,Cosby Entrance Road,Valid,Temnothorax_longispinosus,Temnothorax  longispinosus,38532,Ant,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1248307200000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Hymenoptera,Aculeata,Apocrita, ,Vespoidea,Formicidae,Myrmicinae,Formicoxenini,baiting, , ,cert,ATBI Ants
0101000020E610000039EDFC4A03D254C0B1C75DE7D3E14140,58028,0101000020110F0000B7FEE916C8AE61C1CE499CB632485041,57487,>1m <=5m,ATBI DATABASE,,1446855522000,DERV,JONES COVE,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,293751,3960204,35.764272,-83.281447,East Fork Dunn Creek,Ogle Spring Branch,2055.864746,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446855522000,GRSM,UNR,,5,,,Old Settlers Trail,Foothills Parkway Section 8a,Valid,Temnothorax_longispinosus,Temnothorax  longispinosus,38532,Ant,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1247097600000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Hymenoptera,Aculeata,Apocrita, ,Vespoidea,Formicidae,Myrmicinae,Formicoxenini,baiting, , ,cert,ATBI Ants
0101000020E6100000C1BCA21C0BD254C03BDD49A963E14140,58026,0101000020110F0000F5FFE9BACEAE61C17E8F113CBD475041,57485,>1m <=5m,ATBI DATABASE,,1446855521000,DERV,JONES COVE,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,293699,3959825,35.760847,-83.281924,East Fork Dunn Creek,Dunn Creek,2163.474121,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446855521000,GRSM,UNR,,6,,,Old Settlers Trail,Foothills Parkway Section 8a,Valid,Temnothorax_longispinosus,Temnothorax  longispinosus,38532,Ant,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1246492800000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Hymenoptera,Aculeata,Apocrita, ,Vespoidea,Formicidae,Myrmicinae,Formicoxenini,baiting, , ,cert,ATBI Ants
0101000020E61000009D251A9A4ECF54C054AB17927FE24140,58030,0101000020110F000060806FC97BAC61C18374FC65E6485041,57489,>1m <=5m,ATBI DATABASE,,1446855523000,DERV,HARTFORD,Great Smoky Mountains National Park,>1m <=5m,Cocke,Tennessee,297587,3960697,35.769511,-83.239169,Cosby Creek,,1917.876587,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446855523000,GRSM,UNR,,7,,,Gabes Mountain Trail,Cosby Entrance Road,Valid,Temnothorax_longispinosus,Temnothorax  longispinosus,38532,Ant,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1249430400000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Hymenoptera,Aculeata,Apocrita, ,Vespoidea,Formicidae,Myrmicinae,Formicoxenini,baiting, , ,cert,ATBI Ants
0101000020E6100000BA38F745CCCD54C046CE1F334DE24140,58031,0101000020110F000027C384AD33AB61C128EB68ACB1485041,57490,>1m <=5m,ATBI DATABASE,,1446855523000,DERV,HARTFORD,Great Smoky Mountains National Park,>1m <=5m,Cocke,Tennessee,299715,3960478,35.767974,-83.215589,Cosby Creek,Crying Creek,1907.997803,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446855523000,GRSM,UNR,,6,,,Tritt Cemetery Access Trail,Cosby Entrance Road,Valid,Temnothorax_longispinosus,Temnothorax  longispinosus,38532,Ant,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1248134400000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Hymenoptera,Aculeata,Apocrita, ,Vespoidea,Formicidae,Myrmicinae,Formicoxenini,baiting, , ,cert,ATBI Ants
0101000020E61000007DBE9685A6CD54C084D7332672E04140,58032,0101000020110F00006A6F8F9D13AB61C1A2F71879C0465041,57491,>1m <=5m,ATBI DATABASE,,1446855524000,DERV,HARTFORD,Great Smoky Mountains National Park,>1m <=5m,Cocke,Tennessee,299887,3958865,35.753477,-83.213285,Cosby Creek,Rock Creek,2384.714111,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446855524000,GRSM,UNR,,6,,,Gabes Mountain Trail,Cosby Campground Road B,Valid,Temnothorax_longispinosus,Temnothorax  longispinosus,38532,Ant,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1247184000000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Hymenoptera,Aculeata,Apocrita, ,Vespoidea,Formicidae,Myrmicinae,Formicoxenini,baiting, , ,cert,ATBI Ants
0101000020E61000001DC30618B1C654C0544343489BD94140,58034,0101000020110F000053B9EBA52AA561C1E9D731C0983F5041,57493,>1m <=5m,ATBI DATABASE,,1446855525000,DERV,COVE CREEK GAP,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,309592,3952721,35.700044,-83.104555,Lower Cataloochee Creek,,4144.539062,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446855525000,GRSM,UNR,,6,,,Mount Sterling Trail,Old Cataloochee Turnpike,Valid,Temnothorax_longispinosus,Temnothorax  longispinosus,38532,Ant,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1118880000000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Hymenoptera,Aculeata,Apocrita, ,Vespoidea,Formicidae,Myrmicinae,Formicoxenini,Winkler extraction, ,day,cert,ATBI Ants
0101000020E61000005DB2270ADFC654C0BFFF239B37D94140,58033,0101000020110F0000591780AB51A561C1BD692582303F5041,57492,>1m <=5m,ATBI DATABASE,,1446855524000,DERV,COVE CREEK GAP,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,309331,3952389,35.697003,-83.107359,Lower Cataloochee Creek,,3983.125244,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446855524000,GRSM,UNR,,3,,,Long Bunk Trail,Old Cataloochee Turnpike,Valid,Temnothorax_longispinosus,Temnothorax  longispinosus,38532,Ant,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1184457600000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Hymenoptera,Aculeata,Apocrita, ,Vespoidea,Formicidae,Myrmicinae,Formicoxenini,unspecified, ,season,cert,ATBI Ants
0101000020E610000055885958C5DF54C00EC8EDBD56D64140,58017,0101000020110F000053679A5E77BA61C1037520032E3C5041,57476,>1m <=5m,ATBI DATABASE,,1446855516000,DERV,MOUNT LE CONTE,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,274060,3950720,35.674515,-83.496416,West Prong Little Pigeon River Upper,Twomile Branch,2482.614258,,,dd,GCS,NAD83,17,,Little River District,TPCOLSON,TPCOLSON,1446855516000,GRSM,UNR,,6,,,Two Mile Lead Concession Horse Trail,Cherokee Orchard Road,Valid,Temnothorax_longispinosus,Temnothorax  longispinosus,38532,Ant,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1245801600000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Hymenoptera,Aculeata,Apocrita, ,Vespoidea,Formicidae,Myrmicinae,Formicoxenini,baiting, , ,cert,ATBI Ants
