the_geom,cartodb_id,the_geom_webmercator,objectid,verror,mapsource,sourcedate,editdate,mapmethod,quadname,unitname,herror,county,state,x_coord,y_coord,lat,lon,watershed,streamname,elevation,year,notes,coord_units,coord_system,datum,utm_zone,managementzone,parkdistrict,editby,createby,createdate,unitcode,restriction,veg_class,landform,loc_name,loc_id,trail,road,valid_result,genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,dateretrieved,kingdom,subkingdom,phylum,subphylum,class,subclass,superdivision,division,subdivision,superorder,ordername,series,suborder,infraorder,superfamily,family,subfamily,tribe,collectionmethod,specimentype,dateprecision,identificationprecision,project
0101000020E6100000FBD40C04DCD154C0365CED3377DE4140,175554,0101000020110F0000E68C40BBA6AE61C1A94748FDAD445041,175175,>1m <=5m,ATBI DATABASE,,1446917799000,DERV,MOUNT GUYOT,Great Smoky Mountains National Park,>1m <=5m,Cocke,Tennessee,293900,3957285,35.738006,-83.27905,Cosby Creek,Indian Camp Creek,3056.080078,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446917799000,GRSM,UNR,,9,,,Maddron Bald Trail,Cosby Campground Road B,Valid,Gastrellarius_honestus,Gastrellarius  honestus,17061,Honest Ground Beetle,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1160265600000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Coleoptera, ,Adephaga, , ,Carabidae,Harpalinae,Pterostichini,by hand, , ,cert,ATBI Coleoptera Survey
0101000020E61000001D75E9FCE7D854C00B928C160CDC4140,175549,0101000020110F0000964175D8A2B461C1F4C3EB4426425041,175170,>1m <=5m,ATBI DATABASE,,1446917797000,DERV,MOUNT LE CONTE,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,283890,3955426,35.719112,-83.389155,Little Pigeon River Middle,,1546.661865,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446917797000,GRSM,UNR,,6,,,Old Settlers Trail,Greenbrier Unpaved Road,Valid,Gastrellarius_honestus,Gastrellarius  honestus,17061,Honest Ground Beetle,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1175299200000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Coleoptera, ,Adephaga, , ,Carabidae,Harpalinae,Pterostichini,Berlese sampling, , ,cert,ATBI Coleoptera Survey
0101000020E61000005336B9D38ED854C02D1730DC14DB4140,175551,0101000020110F000062AF041F57B461C142C14BA923415041,175172,>1m <=5m,ATBI DATABASE,,1446917798000,DERV,MOUNT LE CONTE,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,284362,3954577,35.711567,-83.383713,Little Pigeon River Middle,Little Pigeon River,1636.914429,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446917798000,GRSM,UNR,,6,,,Old Settlers Trail,Greenbrier Unpaved Road,Valid,Gastrellarius_honestus,Gastrellarius  honestus,17061,Honest Ground Beetle,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1003363200000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Coleoptera, ,Adephaga, , ,Carabidae,Harpalinae,Pterostichini,by hand, , ,cert,ATBI Coleoptera Survey
0101000020E6100000A3D9A7A986D854C00A0FFD87B2DA4140,175552,0101000020110F0000A14CEC2F50B461C16FAC28D0BC405041,175173,>1m <=5m,ATBI DATABASE,,1446917798000,DERV,MOUNT LE CONTE,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,284399,3954243,35.708566,-83.383215,Little Pigeon River Middle,Little Pigeon River,1680.059937,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446917798000,GRSM,UNR,,6,,,Friendship Baptist Church Cemetery Access,Greenbrier Unpaved Road,Valid,Gastrellarius_honestus,Gastrellarius  honestus,17061,Honest Ground Beetle,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,993600000000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Coleoptera, ,Adephaga, , ,Carabidae,Harpalinae,Pterostichini,by hand, , ,cert,ATBI Coleoptera Survey
0101000020E610000025235310CCE854C0EC42C2E3DAD74140,175520,0101000020110F0000C54716DD21C261C1B2F14BD9C33D5041,175141,>1m <=5m,ATBI DATABASE,,1446917778000,DERV,WEAR COVE,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,261328,3952368,35.686361,-83.637451,Little River-Goshen Prong,Brier Branch,1839.566772,,,dd,GCS,NAD83,17,,Little River District,TPCOLSON,TPCOLSON,1446917778000,GRSM,UNR,,4,,,Little Brier Gap Trail,Little Greenbrier School Unpaved Parking,Valid,Gastrellarius_honestus,Gastrellarius  honestus,17061,Honest Ground Beetle,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1080864000000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Coleoptera, ,Adephaga, , ,Carabidae,Harpalinae,Pterostichini,Berlese sampling, , ,cert,ATBI Coleoptera Survey
0101000020E6100000917C20D778E654C084FB91BA0ED74140,175522,0101000020110F0000F2C2155728C061C1CFC45560EE3C5041,175143,>1m <=5m,ATBI DATABASE,,1446917779000,DERV,GATLINBURG,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,264598,3951589,35.68013,-83.601121,Little River-Goshen Prong,Jay Bird Branch,3119.575195,,,dd,GCS,NAD83,17,,Little River District,TPCOLSON,TPCOLSON,1446917779000,GRSM,UNR,,4,,,Laurel Falls Trail,Little River Gorge Road,Valid,Gastrellarius_honestus,Gastrellarius  honestus,17061,Honest Ground Beetle,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1175472000000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Coleoptera, ,Adephaga, , ,Carabidae,Harpalinae,Pterostichini,Berlese sampling, , ,cert,ATBI Coleoptera Survey
0101000020E61000005E10DD289CE154C01DC04685F6D44140,175528,0101000020110F000028FE813B07BC61C186BF9DCABD3A5041,175149,>1m <=5m,ATBI DATABASE,,1446917783000,DERV,GATLINBURG,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,271428,3949594,35.663766,-83.525152,West Prong Little Pigeon River Upper,,1846.054688,,,dd,GCS,NAD83,17,,Little River District,TPCOLSON,TPCOLSON,1446917783000,GRSM,UNR,,7,,,Riverview Quiet Walkway,Quiet Walkway Parking # 2,Valid,Gastrellarius_honestus,Gastrellarius  honestus,17061,Honest Ground Beetle,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1175472000000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Coleoptera, ,Adephaga, , ,Carabidae,Harpalinae,Pterostichini,Berlese sampling, , ,cert,ATBI Coleoptera Survey
0101000020E6100000E3B228F1BBE254C05AE0D201EECD4140,175523,0101000020110F00009D5569A5FBBC61C1F690B64364335041,175144,>1m <=5m,ATBI DATABASE,,1446917780000,DERV,SILERS BALD,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,269680,3943539,35.608819,-83.542717,Little River-Goshen Prong,Wars Branch,3261.746094,,,dd,GCS,NAD83,17,,Little River District,TPCOLSON,TPCOLSON,1446917780000,GRSM,UNR,,1,,,Goshen Prong Trail,Newfound Gap Road North,Valid,Gastrellarius_honestus,Gastrellarius  honestus,17061,Honest Ground Beetle,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1008633600000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Coleoptera, ,Adephaga, , ,Carabidae,Harpalinae,Pterostichini,pitfall trap, , ,cert,ATBI Pilot Study
0101000020E61000003E9A45830FEF54C043CC7B5594C74140,175517,0101000020110F0000AC0E62AC73C761C107B9F58DC22C5041,175138,>1m <=5m,ATBI DATABASE,,1446917776000,DERV,THUNDERHEAD MOUNTAIN,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,252077,3938503,35.559207,-83.735318,Eagle Creek,Spence Cabin Branch,4453.700684,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446917776000,GRSM,UNR,,6,,,Eagle Creek Trail,Laurel Creek Road,Valid,Gastrellarius_honestus,Gastrellarius  honestus,17061,Honest Ground Beetle,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1144886400000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Coleoptera, ,Adephaga, , ,Carabidae,Harpalinae,Pterostichini,by hand, , ,cert,ATBI Coleoptera Survey
0101000020E6100000D9BA58D424EB54C003156F1397CF4140,175518,0101000020110F0000BCC2181820C461C17C0EAE5720355041,175139,>1m <=5m,ATBI DATABASE,,1446917777000,DERV,THUNDERHEAD MOUNTAIN,Great Smoky Mountains National Park,>1m <=5m,Blount,Tennessee,257814,3945294,35.621791,-83.674119,Little River-Crooked Creek,Middle Prong Little River,1778.191162,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446917777000,GRSM,UNR,,8,,,Middle Prong Trail,Upper Tremont Road,Valid,Gastrellarius_honestus,Gastrellarius  honestus,17061,Honest Ground Beetle,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1175385600000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Coleoptera, ,Adephaga, , ,Carabidae,Harpalinae,Pterostichini,emergence trap, , ,cert,ATBI Coleoptera Survey
0101000020E61000002184B5019DF154C04E02567988CC4140,175516,0101000020110F00006AE199AF9EC961C139CE50CCEE315041,175137,>1m <=5m,ATBI DATABASE,,1446917776000,DERV,CADES COVE,Great Smoky Mountains National Park,>1m <=5m,Blount,Tennessee,248582,3942898,35.597908,-83.775204,Abrams Creek Upper,Cooper Branch,1996.955566,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446917776000,GRSM,UNR,,4,,,Cades Cove Nature Trail,Cades Cove Campground Segment A,Valid,Gastrellarius_honestus,Gastrellarius  honestus,17061,Honest Ground Beetle,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1016755200000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Coleoptera, ,Adephaga, , ,Carabidae,Harpalinae,Pterostichini,Berlese sampling, , ,cert,ATBI Coleoptera Survey
