the_geom,cartodb_id,the_geom_webmercator,objectid,verror,mapsource,sourcedate,editdate,mapmethod,quadname,unitname,herror,county,state,x_coord,y_coord,lat,lon,watershed,streamname,elevation,year,notes,coord_units,coord_system,datum,utm_zone,managementzone,parkdistrict,editby,createby,createdate,unitcode,restriction,veg_class,landform,loc_name,loc_id,trail,road,valid_result,genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,dateretrieved,kingdom,subkingdom,phylum,subphylum,class,subclass,superdivision,division,subdivision,superorder,ordername,series,suborder,infraorder,superfamily,family,subfamily,tribe,collectionmethod,specimentype,dateprecision,identificationprecision,project
0101000020E610000097E1F34EBBDF54C0C40493ED0CD14140,175532,0101000020110F000047D469D86EBA61C16B4A12F9A6365041,175153,>1m <=5m,ATBI DATABASE,,1446917786000,DERV,MOUNT LE CONTE,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,273999,3946135,35.6332,-83.495803,West Prong Little Pigeon River Upper,,3085.489502,,,dd,GCS,NAD83,17,,Little River District,TPCOLSON,TPCOLSON,1446917786000,GRSM,UNR,,6,,,Cove Hardwood Nature Trail,Newfound Gap Road North,Valid,Gastrellarius_honestus,Gastrellarius  honestus,17061,Honest Ground Beetle,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,993686400000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Coleoptera, ,Adephaga, , ,Carabidae,Harpalinae,Pterostichini,by hand,No, ,cert,ATBI Coleoptera Survey
0101000020E6100000AE3C50C0B9DF54C0D6D7A8CB85D14140,175533,0101000020110F0000F255D9856DBA61C155A9E04625375041,175154,>1m <=5m,ATBI DATABASE,,1446917786000,DERV,MOUNT LE CONTE,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,274018,3946544,35.636889,-83.495708,West Prong Little Pigeon River Upper,West Prong Little Pigeon River,2743.937012,,,dd,GCS,NAD83,17,,Little River District,TPCOLSON,TPCOLSON,1446917786000,GRSM,UNR,,6,,,Cove Hardwood Nature Trail,Newfound Gap Road North,Valid,Gastrellarius_honestus,Gastrellarius  honestus,17061,Honest Ground Beetle,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,993686400000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Coleoptera, ,Adephaga, , ,Carabidae,Harpalinae,Pterostichini,by hand, , ,cert,ATBI Coleoptera Survey
0101000020E6100000C150825C94DC54C059C9EAFD96D24140,175537,0101000020110F000029BC4681C1B761C128B455C842385041,175158,>1m <=5m,ATBI DATABASE,,1446917789000,DERV,MOUNT LE CONTE,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,278493,3947357,35.645226,-83.446551,West Prong Little Pigeon River Upper,Trout Branch,5084.713867,,,dd,GCS,NAD83,17,,Little River District,TPCOLSON,TPCOLSON,1446917789000,GRSM,UNR,,10,,,Alum Cave Trail,Nfg Pullout Parking At Mp 9.48,Valid,Gastrellarius_honestus,Gastrellarius  honestus,17061,Honest Ground Beetle,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1091145600000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Coleoptera, ,Adephaga, , ,Carabidae,Harpalinae,Pterostichini,by hand, , ,cert,ATBI Coleoptera Survey
0101000020E6100000E58E69332FDE54C0F4A468BFD7D64140,175534,0101000020110F000082CF5A6E1EB961C1A236F2E3B43C5041,175155,>1m <=5m,ATBI DATABASE,,1446917787000,DERV,MOUNT LE CONTE,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,276315,3951100,35.678452,-83.471627,Baskins Creek,,2939.667725,,,dd,GCS,NAD83,17,,Little River District,TPCOLSON,TPCOLSON,1446917787000,GRSM,UNR,,7,,,Trillium Gap Trail,Roaring Fork Motor Nature Trail,Valid,Gastrellarius_honestus,Gastrellarius  honestus,17061,Honest Ground Beetle,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1058486400000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Coleoptera, ,Adephaga, , ,Carabidae,Harpalinae,Pterostichini,unspecified, , ,cert,ATBI Coleoptera Survey
0101000020E61000005ADCD56473D954C02717F02D0AD64140,175543,0101000020110F000091FE383E19B561C186ECBCF7DD3B5041,175164,>1m <=5m,ATBI DATABASE,,1446917794000,DERV,MOUNT LE CONTE,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,282993,3950238,35.672179,-83.397664,Porters Creek,Porters Creek,2648.368896,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446917794000,GRSM,UNR,,8,,,Porters Creek Trail,Porters Creek Trailhead Parking,Valid,Gastrellarius_honestus,Gastrellarius  honestus,17061,Honest Ground Beetle,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,992822400000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Coleoptera, ,Adephaga, , ,Carabidae,Harpalinae,Pterostichini,by hand, , ,cert,ATBI Coleoptera Survey
0101000020E6100000B572431472D954C09B4D9BFF04D74140,175548,0101000020110F0000F03A5F2018B561C127FDDD33E43C5041,175169,>1m <=5m,ATBI DATABASE,,1446917796000,DERV,MOUNT LE CONTE,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,283021,3951087,35.679833,-83.397584,Porters Creek,Porters Creek,2417.21582,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446917796000,GRSM,UNR,,4,,,Porters Creek Trail,Porters Creek Trailhead Parking,Valid,Gastrellarius_honestus,Gastrellarius  honestus,17061,Honest Ground Beetle,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1182988800000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Coleoptera, ,Adephaga, , ,Carabidae,Harpalinae,Pterostichini,emergence trap, , ,cert,ATBI Coleoptera Survey
0101000020E6100000928D601374D954C00257B4648ED54140,175542,0101000020110F0000DC0476D219B561C19B1B908E5C3B5041,175163,>1m <=5m,ATBI DATABASE,,1446917793000,DERV,MOUNT LE CONTE,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,282979,3949819,35.668401,-83.397706,Porters Creek,Boulevard Prong,2778.78418,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446917793000,GRSM,UNR,,4,,,Porters Creek Trail,Porters Creek Trailhead Parking,Valid,Gastrellarius_honestus,Gastrellarius  honestus,17061,Honest Ground Beetle,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1003363200000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Coleoptera, ,Adephaga, , ,Carabidae,Harpalinae,Pterostichini,Berlese sampling,No, ,cert,ATBI Coleoptera Survey
0101000020E610000031123F9E94D154C037DB558224D74140,175558,0101000020110F0000925DE8176AAE61C178F53326053D5041,175179,>1m <=5m,ATBI DATABASE,,1446917801000,DERV,MOUNT GUYOT,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,294147,3950929,35.680795,-83.274692,Little Pigeon River Upper,,5679.283203,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446917801000,GRSM,UNR,,6,,,Appalachian Trail,Ramsey Cascades Trailhead Parking,Valid,Gastrellarius_honestus,Gastrellarius  honestus,17061,Honest Ground Beetle,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1118620800000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Coleoptera, ,Adephaga, , ,Carabidae,Harpalinae,Pterostichini,by hand, , ,cert,ATBI Coleoptera Survey
0101000020E61000009EEEF51B51D354C09D7838D5E8DA4140,175553,0101000020110F0000513C8C99E3AF61C136952E9CF5405041,175174,>1m <=5m,ATBI DATABASE,,1446917799000,DERV,MOUNT GUYOT,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,291768,3954251,35.710224,-83.301822,Little Pigeon River Upper,,4557.001953,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446917799000,GRSM,UNR,,6,,,Ramsey Cascades Trail,Ramsey Cascades Trailhead Parking,Valid,Gastrellarius_honestus,Gastrellarius  honestus,17061,Honest Ground Beetle,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1016668800000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Coleoptera, ,Adephaga, , ,Carabidae,Harpalinae,Pterostichini,Berlese sampling, , ,cert,ATBI Coleoptera Survey
0101000020E6100000E73DE7D1C1D154C01DCFB8873CDE4140,175557,0101000020110F00006333B87B90AE61C1A680669970445041,175178,>1m <=5m,ATBI DATABASE,,1446917801000,DERV,MOUNT GUYOT,Great Smoky Mountains National Park,>1m <=5m,Cocke,Tennessee,294040,3957083,35.736215,-83.277451,Cosby Creek,Indian Camp Creek,3184.675781,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446917801000,GRSM,UNR,,4,,,Maddron Bald Trail,Cosby Campground Road B,Valid,Gastrellarius_honestus,Gastrellarius  honestus,17061,Honest Ground Beetle,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1182988800000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Coleoptera, ,Adephaga, , ,Carabidae,Harpalinae,Pterostichini,emergence trap, , ,cert,ATBI Coleoptera Survey
