the_geom,cartodb_id,the_geom_webmercator,objectid,verror,mapsource,sourcedate,editdate,mapmethod,quadname,unitname,herror,county,state,x_coord,y_coord,lat,lon,watershed,streamname,elevation,year,notes,coord_units,coord_system,datum,utm_zone,managementzone,parkdistrict,editby,createby,createdate,unitcode,restriction,veg_class,landform,loc_name,loc_id,trail,road,valid_result,genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,dateretrieved,kingdom,subkingdom,phylum,subphylum,class,subclass,superdivision,division,subdivision,superorder,ordername,series,suborder,infraorder,superfamily,family,subfamily,tribe,collectionmethod,specimentype,dateprecision,identificationprecision,project
0101000020E61000008A368BA05CD154C0FC756F91B0E14140,54931,0101000020110F0000EA214A8A3AAE61C1EA868ABA0D485041,54392,>1m <=5m,ATBI DATABASE,,1446853756000,DERV,JONES COVE,Great Smoky Mountains National Park,>1m <=5m,Cocke,Tennessee,294668,3960063,35.763194,-83.271275,Cosby Creek,Cole Creek,2091.817383,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446853756000,GRSM,UNR,,5,,,Maddron Bald Trail,Cosby Entrance Road,Valid,Stellaria_corei,Stellaria  corei,36936,Tennessee Starwort,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,956448000000,Plantae,Tracheobionta, , ,Magnoliopsida,Caryophyllidae,Spermatophyta,Magnoliophyta, , ,Caryophyllales, , , , ,Caryophyllaceae, ,~,by hand, , ,cert,INHS plant survey
0101000020E6100000B7CF4B412ECE54C073BCC56D3BDF4140,54933,0101000020110F0000868CCCE486AB61C1342C54507B455041,54394,>1m <=5m,ATBI DATABASE,,1446853757000,DERV,LUFTEE KNOB,Great Smoky Mountains National Park,>1m <=5m,Cocke,Tennessee,299114,3957830,35.743994,-83.221569,Cosby Creek,Inadu Creek,3066.615479,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446853757000,GRSM,UNR,,2,,,Snake Den Ridge Trail,Cosby Campground Road B,Valid,Stellaria_corei,Stellaria  corei,36936,Tennessee Starwort,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,925430400000,Plantae,Tracheobionta, , ,Magnoliopsida,Caryophyllidae,Spermatophyta,Magnoliophyta, , ,Caryophyllales, , , , ,Caryophyllaceae, ,~,by hand, , ,cert,INHS plant survey
0101000020E61000004D6CFFDCEDCC54C00914814F4BD24140,54938,0101000020110F0000AB0EEFC876AA61C1C32535B0F3375041,54398,>1m <=5m,ATBI DATABASE,,1446853759000,DERV,LUFTEE KNOB,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,300631,3946577,35.642916,-83.202014,Straight Fork Raven Fork,,5181.721191,,,dd,GCS,NAD83,17,,Oconaluftee District,TPCOLSON,TPCOLSON,1446853759000,GRSM,UNR,,6,,,Balsam Mountain Trail,Balsam Mountain Road (closed Winter),Valid,Stellaria_corei,Stellaria  corei,36936,Tennessee Starwort,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1369612800000,Plantae,Tracheobionta, , ,Magnoliopsida,Caryophyllidae,Spermatophyta,Magnoliophyta, , ,Caryophyllales, , , , ,Caryophyllaceae, ,~,observed,No,day,cert,ATBI
0101000020E61000006355C96FEDCC54C096331F0DB0D24140,54940,0101000020110F00003C3E2E6C76AA61C1C471F8F85C385041,54399,>1m <=5m,ATBI DATABASE,,1446853760000,DERV,LUFTEE KNOB,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,300641,3946918,35.645991,-83.201988,Upper Cataloochee Creek,Table Rock Branch,5069.424805,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446853760000,GRSM,UNR,,6,,,Balsam Mountain Trail,Balsam Mountain Road (closed Winter),Valid,Stellaria_corei,Stellaria  corei,36936,Tennessee Starwort,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1369612800000,Plantae,Tracheobionta, , ,Magnoliopsida,Caryophyllidae,Spermatophyta,Magnoliophyta, , ,Caryophyllales, , , , ,Caryophyllaceae, ,~,observed,No,day,cert,ATBI
0101000020E6100000458ADBDD2DCD54C0EBACF5C93AD24140,54937,0101000020110F00004CB59924ADAA61C1210D016CE2375041,54397,>1m <=5m,ATBI DATABASE,,1446853759000,DERV,LUFTEE KNOB,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,300276,3946529,35.642412,-83.205921,Straight Fork Raven Fork,,4778.397461,,,dd,GCS,NAD83,17,,Oconaluftee District,TPCOLSON,TPCOLSON,1446853759000,GRSM,UNR,,7,,,Beech Gap Trail,Balsam Mountain Road (closed Winter),Valid,Stellaria_corei,Stellaria  corei,36936,Tennessee Starwort,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1369612800000,Plantae,Tracheobionta, , ,Magnoliopsida,Caryophyllidae,Spermatophyta,Magnoliophyta, , ,Caryophyllales, , , , ,Caryophyllaceae, ,~,observed,No,day,cert,ATBI
0101000020E61000000AD54F905CCD54C0ED664FD462D04140,54936,0101000020110F000017AE85CDD4AA61C17DAFBE3BF5355041,54396,>1m <=5m,ATBI DATABASE,,1446853758000,DERV,LUFTEE KNOB,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,299982,3944937,35.628009,-83.208771,Straight Fork Raven Fork,,3404.132812,,,dd,GCS,NAD83,17,,Oconaluftee District,TPCOLSON,TPCOLSON,1446853758000,GRSM,UNR,,9,,,Beech Gap Trail,Beech Gap Trailhead Parking #2,Valid,Stellaria_corei,Stellaria  corei,36936,Tennessee Starwort,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1369612800000,Plantae,Tracheobionta, , ,Magnoliopsida,Caryophyllidae,Spermatophyta,Magnoliophyta, , ,Caryophyllales, , , , ,Caryophyllaceae, ,~,observed,No,day,cert,ATBI
0101000020E6100000EDB9B77BE9CD54C0289672F682D14140,54935,0101000020110F0000052E607C4CAB61C117A1075122375041,54395,>1m <=5m,ATBI DATABASE,,1446853757000,DERV,LUFTEE KNOB,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,299225,3945930,35.636802,-83.217372,Straight Fork Raven Fork,Table Rock Branch,3307.49707,,,dd,GCS,NAD83,17,,Oconaluftee District,TPCOLSON,TPCOLSON,1446853757000,GRSM,UNR,,6,,,Beech Gap Trail,Beech Gap Trailhead Parking #2,Valid,Stellaria_corei,Stellaria  corei,36936,Tennessee Starwort,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,957312000000,Plantae,Tracheobionta, , ,Magnoliopsida,Caryophyllidae,Spermatophyta,Magnoliophyta, , ,Caryophyllales, , , , ,Caryophyllaceae, ,~,by hand, , ,cert,INHS plant survey
0101000020E6100000DE669E1A97C654C0FD2B0C1A05C94140,54942,0101000020110F000016F92D9314A561C17C162B92432E5041,54401,>1m <=5m,ATBI DATABASE,,1446853761000,DERV,DELLWOOD,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,309428,3938343,35.570461,-83.102969,Upper Cataloochee Creek,Hemphill Creek,5173.539551,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446853761000,GRSM,UNR,,6,,,Hemphill Bald Trail,The Purchase Road (closed Winter),Valid,Stellaria_corei,Stellaria  corei,36936,Tennessee Starwort,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1377475200000,Plantae,Tracheobionta, , ,Magnoliopsida,Caryophyllidae,Spermatophyta,Magnoliophyta, , ,Caryophyllales, , , , ,Caryophyllaceae, ,~,by hand,No,day,prob.,ATBI
0101000020E610000013EB704EEEC354C01CA8200771CB4140,54943,0101000020110F00004E9D925FD2A261C1D25020EFCA305041,54402,>1m <=5m,ATBI DATABASE,,1446853762000,DERV,DELLWOOD,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,313238,3940362,35.58938,-83.061416,Lower Johnathans Creek,,4584.303711,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446853762000,GRSM,UNR,,5,,,Ferguson Cabin Trail,The Purchase Road (closed Winter),Valid,Stellaria_corei,Stellaria  corei,36936,Tennessee Starwort,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1360281600000,Plantae,Tracheobionta, , ,Magnoliopsida,Caryophyllidae,Spermatophyta,Magnoliophyta, , ,Caryophyllales, , , , ,Caryophyllaceae, ,~,by hand,No,day,cert,ATBI
0101000020E610000065AD67BCD8C354C00D249185C1CB4140,54944,0101000020110F00000DAAB40DC0A261C177D972001F315041,54403,>1m <=5m,ATBI DATABASE,,1446853762000,DERV,DELLWOOD,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,313363,3940632,35.591836,-83.0601,Lower Johnathans Creek,,4338.147461,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446853762000,GRSM,UNR,,6,,,Science Center Trail,The Purchase Road (closed Winter),Valid,Stellaria_corei,Stellaria  corei,36936,Tennessee Starwort,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,935020800000,Plantae,Tracheobionta, , ,Magnoliopsida,Caryophyllidae,Spermatophyta,Magnoliophyta, , ,Caryophyllales, , , , ,Caryophyllaceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E61000000E0C536D0DCB54C0E2DA6A8592C64140,54941,0101000020110F0000752611C0DEA861C1F067066AB52B5041,54400,>1m <=5m,ATBI DATABASE,,1446853761000,DERV,BUNCHES BALD,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,303062,3936359,35.55134,-83.172691,Lower Raven Fork,Flat Creek,4892.463867,,,dd,GCS,NAD83,17,,Oconaluftee District,TPCOLSON,TPCOLSON,1446853761000,GRSM,UNR,,6,,,Flat Creek Trail,Heintooga Ridge Road,Valid,Stellaria_corei,Stellaria  corei,36936,Tennessee Starwort,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1020988800000,Plantae,Tracheobionta, , ,Magnoliopsida,Caryophyllidae,Spermatophyta,Magnoliophyta, , ,Caryophyllales, , , , ,Caryophyllaceae, ,~,observed, ,day,cert,Fridley Veg Plots
