the_geom,cartodb_id,the_geom_webmercator,objectid,verror,mapsource,sourcedate,editdate,mapmethod,quadname,unitname,herror,county,state,x_coord,y_coord,lat,lon,watershed,streamname,elevation,year,notes,coord_units,coord_system,datum,utm_zone,managementzone,parkdistrict,editby,createby,createdate,unitcode,restriction,veg_class,landform,loc_name,loc_id,trail,road,valid_result,genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,dateretrieved,kingdom,subkingdom,phylum,subphylum,class,subclass,superdivision,division,subdivision,superorder,ordername,series,suborder,infraorder,superfamily,family,subfamily,tribe,collectionmethod,specimentype,dateprecision,identificationprecision,project
0101000020E61000008A368BA05CD154C0FC756F91B0E14140,54931,0101000020110F0000EA214A8A3AAE61C1EA868ABA0D485041,54392,>1m <=5m,ATBI DATABASE,,1446853756000,DERV,JONES COVE,Great Smoky Mountains National Park,>1m <=5m,Cocke,Tennessee,294668,3960063,35.763194,-83.271275,Cosby Creek,Cole Creek,2091.817383,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446853756000,GRSM,UNR,,5,,,Maddron Bald Trail,Cosby Entrance Road,Valid,Stellaria_corei,Stellaria  corei,36936,Tennessee Starwort,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,956448000000,Plantae,Tracheobionta, , ,Magnoliopsida,Caryophyllidae,Spermatophyta,Magnoliophyta, , ,Caryophyllales, , , , ,Caryophyllaceae, ,~,by hand, , ,cert,INHS plant survey
0101000020E61000008DBC32C354D054C01505E2CBFDCD4140,54932,0101000020110F000079EF9B705AAD61C19F6934C274335041,54393,>1m <=5m,ATBI DATABASE,,1446853756000,DERV,SMOKEMONT,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,295732,3942957,35.609301,-83.25517,Upper Raven Fork,Raven Fork,3749.122803,,,dd,GCS,NAD83,17,,Oconaluftee District,TPCOLSON,TPCOLSON,1446853756000,GRSM,UNR,,4,,,Enloe Creek Trail,Straight Fork Road,Valid,Stellaria_corei,Stellaria  corei,36936,Tennessee Starwort,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,924998400000,Plantae,Tracheobionta, , ,Magnoliopsida,Caryophyllidae,Spermatophyta,Magnoliophyta, , ,Caryophyllales, , , , ,Caryophyllaceae, ,~,by hand, , ,cert,INHS plant survey
0101000020E6100000AA93100543D454C0AC031A5806C24140,54930,0101000020110F00001A92F40DB1B061C1F82B3F6AF6265041,54391,>1m <=5m,ATBI DATABASE,,1446853755000,DERV,SMOKEMONT,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,289924,3932715,35.515812,-83.316587,Lower Oconaluftee River,,2483.057373,,,dd,GCS,NAD83,17,,Oconaluftee District,TPCOLSON,TPCOLSON,1446853755000,GRSM,UNR,,4,,,Mingus Creek Trail,Mingus Mill Access Road,Valid,Stellaria_corei,Stellaria  corei,36936,Tennessee Starwort,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1371168000000,Plantae,Tracheobionta, , ,Magnoliopsida,Caryophyllidae,Spermatophyta,Magnoliophyta, , ,Caryophyllales, , , , ,Caryophyllaceae, ,~,observed,No,day,cert,ATBI
0101000020E610000079E74BCD90DB54C03ED7989374CE4140,54927,0101000020110F0000A647A30FE5B661C15CA718D8F0335041,54388,>1m <=5m,ATBI DATABASE,,1446853753000,DERV,CLINGMANS DOME,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,279839,3943738,35.612926,-83.430709,West Prong Little Pigeon River Upper,,4750.774414,,,dd,GCS,NAD83,17,,Little River District,TPCOLSON,TPCOLSON,1446853753000,GRSM,UNR,,8,,,Appalachian Trail,Cd Pullout Parking At Mp 0.08,Valid,Stellaria_corei,Stellaria  corei,36936,Tennessee Starwort,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1020816000000,Plantae,Tracheobionta, , ,Magnoliopsida,Caryophyllidae,Spermatophyta,Magnoliophyta, , ,Caryophyllales, , , , ,Caryophyllaceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E610000070AF74ED74DC54C0C2D07B47B3D04140,54925,0101000020110F00007A55E9CEA6B761C1308CB04B49365041,54386,>1m <=5m,ATBI DATABASE,,1446853752000,DERV,MOUNT LE CONTE,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,278626,3945715,35.630464,-83.444633,West Prong Little Pigeon River Upper,Alum Cave Creek,4071.07666,,,dd,GCS,NAD83,17,,Little River District,TPCOLSON,TPCOLSON,1446853752000,GRSM,UNR,,8,,,Alum Cave Trail,Newfound Gap Road North,Valid,Stellaria_corei,Stellaria  corei,36936,Tennessee Starwort,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,869788800000,Plantae,Tracheobionta, , ,Magnoliopsida,Caryophyllidae,Spermatophyta,Magnoliophyta, , ,Caryophyllales, , , , ,Caryophyllaceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E6100000DD0E17FD24DC54C05366D1DBE2D44140,54926,0101000020110F000029EB84EA62B761C187D2E33CA93A5041,54387,>1m <=5m,ATBI DATABASE,,1446853753000,DERV,MOUNT LE CONTE,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,279158,3949332,35.663166,-83.439754,Roaring Fork,,5189.88916,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446853753000,GRSM,UNR,,1,,,Trillium Gap Trail,Roaring Fork Motor Nature Trail,Valid,Stellaria_corei,Stellaria  corei,36936,Tennessee Starwort,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,903052800000,Plantae,Tracheobionta, , ,Magnoliopsida,Caryophyllidae,Spermatophyta,Magnoliophyta, , ,Caryophyllales, , , , ,Caryophyllaceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E610000016F668353AD854C044605D0305D44140,54928,0101000020110F00005E6A35410FB461C1DAFAA157C1395041,54389,>1m <=5m,ATBI DATABASE,,1446853754000,DERV,MOUNT LE CONTE,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,284681,3948445,35.656396,-83.378549,Porters Creek,Porters Creek,3475.251953,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446853754000,GRSM,UNR,,9,,,Porters Creek Trail,Porters Creek Scenic Loop,Valid,Stellaria_corei,Stellaria  corei,36936,Tennessee Starwort,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1148688000000,Plantae,Tracheobionta, , ,Magnoliopsida,Caryophyllidae,Spermatophyta,Magnoliophyta, , ,Caryophyllales, , , , ,Caryophyllaceae, ,~,observed,No,day,cert,ATBI
0101000020E61000000971AD42BFD754C0E5A1191217D34140,54929,0101000020110F00000D5DB5D5A6B361C171157AA4C8385041,54390,>1m <=5m,ATBI DATABASE,,1446853754000,DERV,MOUNT GUYOT,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,285341,3947623,35.649135,-83.371045,Porters Creek,Porters Creek,3919.573242,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446853754000,GRSM,UNR,,3,,,Appalachian Trail,Nfg Pullout Parking At Mp 12.98,Valid,Stellaria_corei,Stellaria  corei,36936,Tennessee Starwort,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,869702400000,Plantae,Tracheobionta, , ,Magnoliopsida,Caryophyllidae,Spermatophyta,Magnoliophyta, , ,Caryophyllales, , , , ,Caryophyllaceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E6100000C16ACF3933E654C011EAD33E5EC34140,54921,0101000020110F000003666F37EDBF61C198DBF7455D285041,54383,>1m <=5m,ATBI DATABASE,,1446853750000,DERV,SILERS BALD,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,264532,3934513,35.526307,-83.596873,Forney Creek,,4570.555664,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446853750000,GRSM,UNR,,8,,,Welch Ridge Trail,Lakeview Drive East Parking #4,Valid,Stellaria_corei,Stellaria  corei,36936,Tennessee Starwort,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1149552000000,Plantae,Tracheobionta, , ,Magnoliopsida,Caryophyllidae,Spermatophyta,Magnoliophyta, , ,Caryophyllales, , , , ,Caryophyllaceae, ,~,observed,No,day,prob.,ATBI
0101000020E61000007DB74EF6CBE454C0DC70556269C54140,54922,0101000020110F0000044C0218BCBE61C1E21F24417F2A5041,54384,>1m <=5m,ATBI DATABASE,,1446853751000,DERV,SILERS BALD,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,266567,3936232,35.542272,-83.574945,Forney Creek,,4841.562988,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446853751000,GRSM,UNR,,9,,,Welch Ridge Trail,Clingmans Dome Road Parking #3,Valid,Stellaria_corei,Stellaria  corei,36936,Tennessee Starwort,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1149552000000,Plantae,Tracheobionta, , ,Magnoliopsida,Caryophyllidae,Spermatophyta,Magnoliophyta, , ,Caryophyllales, , , , ,Caryophyllaceae, ,~,observed,No,day,prob.,ATBI
0101000020E61000008EA9B14058E454C031EDE789F1C64140,54924,0101000020110F0000B6025DD259BE61C116037B9A182C5041,54385,>1m <=5m,ATBI DATABASE,,1446853752000,DERV,SILERS BALD,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,267242,3937543,35.554239,-83.567882,Forney Creek,,5295.900879,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446853752000,GRSM,UNR,,8,,,Welch Ridge Trail,Clingmans Dome Road Parking #3,Valid,Stellaria_corei,Stellaria  corei,36936,Tennessee Starwort,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1149552000000,Plantae,Tracheobionta, , ,Magnoliopsida,Caryophyllidae,Spermatophyta,Magnoliophyta, , ,Caryophyllales, , , , ,Caryophyllaceae, ,~,observed,No,day,prob.,ATBI
0101000020E6100000ABD3C0100BE954C0252494F6FACA4140,54919,0101000020110F00005266F75E57C261C1A565DDA14F305041,54381,>1m <=5m,ATBI DATABASE,,1446853749000,DERV,THUNDERHEAD MOUNTAIN,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,260680,3941218,35.585777,-83.641296,Little River-Crooked Creek,Double Trestle Branch,4366.486328,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446853749000,GRSM,UNR,,7,,,Greenbrier Ridge Trail,Upper Tremont Road,Valid,Stellaria_corei,Stellaria  corei,36936,Tennessee Starwort,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,841795200000,Plantae,Tracheobionta, , ,Magnoliopsida,Caryophyllidae,Spermatophyta,Magnoliophyta, , ,Caryophyllales, , , , ,Caryophyllaceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E6100000B0FC7B813DE954C0C4765A2B98CA4140,54917,0101000020110F00006DC3C03582C261C1D554DA75E82F5041,54379,>1m <=5m,ATBI DATABASE,,1446853748000,DERV,THUNDERHEAD MOUNTAIN,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,260392,3940891,35.582762,-83.644375,Little River-Crooked Creek,Greenbriar Branch,4364.883301,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446853748000,GRSM,UNR,,5,,,Greenbrier Ridge Trail,Upper Tremont Road,Valid,Stellaria_corei,Stellaria  corei,36936,Tennessee Starwort,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,841881600000,Plantae,Tracheobionta, , ,Magnoliopsida,Caryophyllidae,Spermatophyta,Magnoliophyta, , ,Caryophyllales, , , , ,Caryophyllaceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E6100000B68AAF8A38E954C0D6BF8AE48FCB4140,54918,0101000020110F00001D9C76FE7DC261C1CFD9442BEB305041,54380,>1m <=5m,ATBI DATABASE,,1446853749000,DERV,THUNDERHEAD MOUNTAIN,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,260442,3941729,35.590322,-83.644072,Little River-Crooked Creek,,3936.14209,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446853749000,GRSM,UNR,,9,,,Greenbrier Ridge Trail,Upper Tremont Road,Valid,Stellaria_corei,Stellaria  corei,36936,Tennessee Starwort,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,837993600000,Plantae,Tracheobionta, , ,Magnoliopsida,Caryophyllidae,Spermatophyta,Magnoliophyta, , ,Caryophyllales, , , , ,Caryophyllaceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E6100000E57EF78941E954C0C5B9C9596CCB4140,54916,0101000020110F00000702A4A285C261C168C7A50CC6305041,54378,>1m <=5m,ATBI DATABASE,,1446853748000,DERV,THUNDERHEAD MOUNTAIN,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,260389,3941610,35.589237,-83.644621,Little River-Crooked Creek,Double Trestle Branch,3960.17334,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446853748000,GRSM,UNR,,4,,,Greenbrier Ridge Trail,Upper Tremont Road,Valid,Stellaria_corei,Stellaria  corei,36936,Tennessee Starwort,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,837216000000,Plantae,Tracheobionta, , ,Magnoliopsida,Caryophyllidae,Spermatophyta,Magnoliophyta, , ,Caryophyllales, , , , ,Caryophyllaceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E6100000B5A47BE7C1E854C02B398C21B7CC4140,54920,0101000020110F0000DDF8303C19C261C179FD12881F325041,54382,>1m <=5m,ATBI DATABASE,,1446853750000,DERV,THUNDERHEAD MOUNTAIN,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,261125,3942711,35.599332,-83.636831,Little River-Crooked Creek,Doghobble Branch,2877.449219,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446853750000,GRSM,UNR,,1,,,Middle Prong Trail,Upper Tremont Road,Valid,Stellaria_corei,Stellaria  corei,36936,Tennessee Starwort,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,841017600000,Plantae,Tracheobionta, , ,Magnoliopsida,Caryophyllidae,Spermatophyta,Magnoliophyta, , ,Caryophyllales, , , , ,Caryophyllaceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E610000079E6D9D0C0E954C0F3DE207308CE4140,54915,0101000020110F0000A16B4BBBF1C261C1AB9634E37F335041,54377,>1m <=5m,ATBI DATABASE,,1446853747000,DERV,THUNDERHEAD MOUNTAIN,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,259746,3943891,35.609626,-83.652389,Little River-Crooked Creek,Lynn Camp Prong,2866.902832,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446853747000,GRSM,UNR,,1,,,Middle Prong Trail,Upper Tremont Road,Valid,Stellaria_corei,Stellaria  corei,36936,Tennessee Starwort,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,836179200000,Plantae,Tracheobionta, , ,Magnoliopsida,Caryophyllidae,Spermatophyta,Magnoliophyta, , ,Caryophyllales, , , , ,Caryophyllaceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E6100000BAA3FFE51AF154C026355D24B4CA4140,54910,0101000020110F0000BA255A2F30C961C1C0C31AAC05305041,54373,>1m <=5m,ATBI DATABASE,,1446853745000,DERV,CADES COVE,Great Smoky Mountains National Park,>1m <=5m,Blount,Tennessee,249257,3941292,35.583616,-83.767263,Abrams Creek Upper,Maynard Creek,3277.187988,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446853745000,GRSM,UNR,,4,,,Russell Field Trail,Cades Cove Campground Segment A,Valid,Stellaria_corei,Stellaria  corei,36936,Tennessee Starwort,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,839376000000,Plantae,Tracheobionta, , ,Magnoliopsida,Caryophyllidae,Spermatophyta,Magnoliophyta, , ,Caryophyllales, , , , ,Caryophyllaceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E6100000CF190294E7F054C0FA0FD7D433C84140,54911,0101000020110F0000D5B5409904C961C13A8BB912692D5041,54374,>1m <=5m,ATBI DATABASE,,1446853746000,DERV,CADES COVE,Great Smoky Mountains National Park,>1m <=5m,Blount,Tennessee,249480,3939116,35.564075,-83.76413,Abrams Creek Upper,,4373.303711,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446853746000,GRSM,UNR,,6,,,Appalachian Trail,Cades Cove Loop Road,Valid,Stellaria_corei,Stellaria  corei,36936,Tennessee Starwort,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,841104000000,Plantae,Tracheobionta, , ,Magnoliopsida,Caryophyllidae,Spermatophyta,Magnoliophyta, , ,Caryophyllales, , , , ,Caryophyllaceae, ,~,observed, ,day,cert,Fridley Veg Plots
