the_geom,cartodb_id,the_geom_webmercator,objectid,verror,mapsource,sourcedate,editdate,mapmethod,quadname,unitname,herror,county,state,x_coord,y_coord,lat,lon,watershed,streamname,elevation,year,notes,coord_units,coord_system,datum,utm_zone,managementzone,parkdistrict,editby,createby,createdate,unitcode,restriction,veg_class,landform,loc_name,loc_id,trail,road,valid_result,genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,dateretrieved,kingdom,subkingdom,phylum,subphylum,class,subclass,superdivision,division,subdivision,superorder,ordername,series,suborder,infraorder,superfamily,family,subfamily,tribe,collectionmethod,specimentype,dateprecision,identificationprecision,project
0101000020E6100000FD5F7BE7E9ED54C009743F0ACBBB4140,14421,0101000020110F0000EFAAC04F7AC661C1DDD1405776205041,13667,>1m <=5m,ATBI DATABASE,,1446831166000,DERV,TUSKEEGEE,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,253420,3928242,35.467127,-83.717397,Hazel Creek,Laurel Branch,1948.856323,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446831166000,GRSM,UNR,,7,,,Lakeshore Trail,Lakeview Drive West,Valid,Pycnanthemum_montanum,Pycnanthemum  montanum,34114,Thin-leaf Mountain-mint,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1096934400000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Lamiales, , , , ,Lamiaceae, ,~,observed, , ,cert,INHS plant survey
0101000020E6100000731507A790EF54C05A440FDA7DBD4140,14419,0101000020110F00009C440B5AE1C761C130F8E3CB3B225041,13665,>1m <=5m,ATBI DATABASE,,1446831165000,DERV,TUSKEEGEE,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,251119,3929779,35.480396,-83.7432,Hazel Creek,Shehan Branch,1973.419434,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446831165000,GRSM,UNR,,1,,,Lakeshore Trail,Lakeview Drive West,Valid,Pycnanthemum_montanum,Pycnanthemum  montanum,34114,Thin-leaf Mountain-mint,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1096761600000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Lamiales, , , , ,Lamiaceae, ,~,by hand, , ,cert,INHS plant survey
0101000020E61000008DC60AAC93EC54C0B376F2215CBD4140,14425,0101000020110F0000894754A757C561C16214F7A018225041,13671,>1m <=5m,ATBI DATABASE,,1446831168000,DERV,TUSKEEGEE,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,255353,3929548,35.479367,-83.696509,Hazel Creek,Hazel Creek,2014.472046,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446831168000,GRSM,UNR,,5,,,Hazel Creek Trail,Lakeview Drive West,Valid,Pycnanthemum_montanum,Pycnanthemum  montanum,34114,Thin-leaf Mountain-mint,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1096848000000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Lamiales, , , , ,Lamiaceae, ,~,by hand, , ,cert,INHS plant survey
0101000020E61000001C7C226135E154C00C9059D7D7BC4140,14435,0101000020110F0000D4BEF2F0AFBB61C18C34A9A88E215041,13679,>1m <=5m,ATBI DATABASE,,1446831172000,DERV,NOLAND CREEK,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,271461,3928674,35.47533,-83.518879,Noland Creek,Bearpen Branch,2376.300293,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446831172000,GRSM,UNR,,4,,,Noland Creek Trail,Lakeview Drive East,Valid,Pycnanthemum_montanum,Pycnanthemum  montanum,34114,Thin-leaf Mountain-mint,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1085184000000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Lamiales, , , , ,Lamiaceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E6100000955F43C61CE154C0DA88F78183BC4140,14438,0101000020110F00003C8D500B9BBB61C1207B7DB536215041,13682,>1m <=5m,ATBI DATABASE,,1446831174000,DERV,NOLAND CREEK,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,271590,3928385,35.472756,-83.517377,Noland Creek,Noland Creek,2262.606445,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446831174000,GRSM,UNR,,6,,,Noland Creek Trail,Lakeview Drive East,Valid,Pycnanthemum_montanum,Pycnanthemum  montanum,34114,Thin-leaf Mountain-mint,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1086825600000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Lamiales, , , , ,Lamiaceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E6100000CEE2D4ED9DE154C05AF6E29367BB4140,14433,0101000020110F0000C3B436BC08BC61C1122ECF9F0E205041,13678,>1m <=5m,ATBI DATABASE,,1446831172000,DERV,NOLAND CREEK,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,270850,3927442,35.464092,-83.52526,Noland Creek,,1977.764404,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446831172000,GRSM,UNR,,5,,,Noland Creek Trail,Lakeview Drive East,Valid,Pycnanthemum_montanum,Pycnanthemum  montanum,34114,Thin-leaf Mountain-mint,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1086825600000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Lamiales, , , , ,Lamiaceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E6100000163AACF97CE254C07B7CC1F588BA4140,14431,0101000020110F0000C872202BC6BC61C1CA84B67F261F5041,13676,>1m <=5m,ATBI DATABASE,,1446831171000,DERV,NOLAND CREEK,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,269595,3926720,35.457298,-83.538874,Noland Creek,Laurel Branch,2137.520996,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446831171000,GRSM,UNR,,1,,,Tunnel Bypass Trail NC,Lakeview Drive East,Valid,Pycnanthemum_montanum,Pycnanthemum  montanum,34114,Thin-leaf Mountain-mint,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1087603200000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Lamiales, , , , ,Lamiaceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E61000008140FD808AD154C0E4E1EEC041E04140,14447,0101000020110F00004BCED98061AE61C1D9FF75D38D465041,13690,>1m <=5m,ATBI DATABASE,,1446831178000,DERV,JONES COVE,Great Smoky Mountains National Park,>1m <=5m,Cocke,Tennessee,294386,3958827,35.752,-83.274075,Cosby Creek,Maddron Creek,2513.533447,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446831178000,GRSM,UNR,,6,,,Maddron Bald Trail,Cosby Campground Road A,Valid,Pycnanthemum_montanum,Pycnanthemum  montanum,34114,Thin-leaf Mountain-mint,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,969926400000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Lamiales, , , , ,Lamiaceae, ,~,by hand, , ,cert,INHS plant survey
0101000020E61000009504FCA833CD54C0673A9B65C1E04140,14448,0101000020110F000011753810B2AA61C1173AD26813475041,13691,>1m <=5m,ATBI DATABASE,,1446831178000,DERV,HARTFORD,Great Smoky Mountains National Park,>1m <=5m,Cocke,Tennessee,300527,3959119,35.755895,-83.206274,Cosby Creek,,2199.354248,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446831178000,GRSM,UNR,,4,,,Cosby Nature Trail,Cosby Picnic Area Road,Valid,Pycnanthemum_montanum,Pycnanthemum  montanum,34114,Thin-leaf Mountain-mint,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,932860800000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Lamiales, , , , ,Lamiaceae, ,~,by hand, , ,cert,INHS plant survey
0101000020E6100000D34D20F4C5CC54C04FD1907F93E04140,14449,0101000020110F0000F5D8BDE354AA61C11E86C55FE3465041,13692,>1m <=5m,ATBI DATABASE,,1446831179000,DERV,HARTFORD,Great Smoky Mountains National Park,>1m <=5m,Cocke,Tennessee,301129,3958950,35.754494,-83.199578,Cosby Creek,,2471.418213,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446831179000,GRSM,UNR,,7,,,Lower Mount Cammerer Trail,Cosby Campground Road B,Valid,Pycnanthemum_montanum,Pycnanthemum  montanum,34114,Thin-leaf Mountain-mint,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,970185600000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Lamiales, , , , ,Lamiaceae, ,~,by hand, , ,cert,INHS plant survey
0101000020E6100000E9A9820F4DC854C0FCE54B63CCD14140,14450,0101000020110F0000E144178888A661C11F13090C6F375041,13693,>1m <=5m,ATBI DATABASE,,1446831179000,DERV,LUFTEE KNOB,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,307170,3946003,35.639043,-83.129699,Upper Cataloochee Creek,Palmer Creek,2997.938965,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446831179000,GRSM,UNR,,4,,,Palmer Creek Trail,Cataloochee Horse Camp,Valid,Pycnanthemum_montanum,Pycnanthemum  montanum,34114,Thin-leaf Mountain-mint,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,905385600000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Lamiales, , , , ,Lamiaceae, ,~,observed, ,day,cert,Fridley Veg Plots
