the_geom,cartodb_id,the_geom_webmercator,objectid,verror,mapsource,sourcedate,editdate,mapmethod,quadname,unitname,herror,county,state,x_coord,y_coord,lat,lon,watershed,streamname,elevation,year,notes,coord_units,coord_system,datum,utm_zone,managementzone,parkdistrict,editby,createby,createdate,unitcode,restriction,veg_class,landform,loc_name,loc_id,trail,road,valid_result,genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,dateretrieved,kingdom,subkingdom,phylum,subphylum,class,subclass,superdivision,division,subdivision,superorder,ordername,series,suborder,infraorder,superfamily,family,subfamily,tribe,collectionmethod,specimentype,dateprecision,identificationprecision,project
0101000020E610000057AEFEA2A0DF54C0D2F5689DBDC44140,124770,0101000020110F0000D03A6D3158BA61C14C311BF9CB295041,124296,>1m <=5m,ATBI DATABASE,,1446888844000,DERV,CLINGMANS DOME,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,273876,3935462,35.53703,-83.494175,Noland Creek,,5328.973633,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446888844000,GRSM,UNR,,7,,,Forney Ridge Trail,Clingmans Dome Road Parking #3,Valid,Bombus_Pyrobombus_impatiens,Bombus Pyrobombus impatiens,5130,Common Eastern Bumble Bee,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1028678400000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Hymenoptera,Aculeata,Apocrita, ,Apoidea,Apidae, ,~,Malaise trap (Townes),No, ,cert,ATBI Pilot Study
0101000020E610000072892D81F7DF54C08599949491D74140,124758,0101000020110F0000639052F8A1BA61C172DEAB31773D5041,124284,>1m <=5m,ATBI DATABASE,,1446888837000,DERV,MOUNT LE CONTE,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,273810,3951793,35.684123,-83.499477,Le Conte Creek,Le Conte Creek,2134.150146,,,dd,GCS,NAD83,17,,Little River District,TPCOLSON,TPCOLSON,1446888837000,GRSM,UNR,,7,,,Twin Creeks Trail,Natural Resources Center Parking #4,Valid,Bombus_Pyrobombus_impatiens,Bombus Pyrobombus impatiens,5130,Common Eastern Bumble Bee,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,925084800000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Hymenoptera,Aculeata,Apocrita, ,Apoidea,Apidae, ,~,Malaise trap (Townes),No, ,cert,ATBI Pilot Study
0101000020E6100000A463376192DB54C0A9EBFD045FD64140,124772,0101000020110F000068E4AF66E6B661C1948599AA363C5041,124298,>1m <=5m,ATBI DATABASE,,1446888845000,DERV,MOUNT LE CONTE,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,280000,3950599,35.674768,-83.430805,Porters Creek,Trillium Branch,4571.896484,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446888845000,GRSM,UNR,,4,,,Brushy Mountain Trail,Roaring Fork Motor Nature Trail,Valid,Bombus_Pyrobombus_impatiens,Bombus Pyrobombus impatiens,5130,Common Eastern Bumble Bee,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1031875200000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Hymenoptera,Aculeata,Apocrita, ,Apoidea,Apidae, ,~,Malaise trap (Townes),No, ,cert,ATBI Pilot Study
0101000020E61000007607FFC2F5D154C05C1EB6F7A0DD4140,124774,0101000020110F0000CAD9F198BCAE61C15CFA9BD6CD435041,124300,>1m <=5m,ATBI DATABASE,,1446888847000,DERV,MOUNT GUYOT,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,293741,3956563,35.731468,-83.280621,East Fork Dunn Creek,,3506.320312,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446888847000,GRSM,UNR,,6,,,Albright Grove NatureTrail,Cosby Campground Road B,Valid,Bombus_Pyrobombus_impatiens,Bombus Pyrobombus impatiens,5130,Common Eastern Bumble Bee,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1029283200000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Hymenoptera,Aculeata,Apocrita, ,Apoidea,Apidae, ,~,Malaise trap (Townes),No, ,cert,ATBI Pilot Study
0101000020E6100000BA09E22F72DA54C04691DD2819DE4140,124773,0101000020110F0000241B93A3F1B561C14E5954974B445041,124299,>1m <=5m,ATBI DATABASE,,1446888846000,DERV,MOUNT LE CONTE,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,281757,3957257,35.735136,-83.413215,Little Pigeon River Middle,Little Pigeon River,1383.231323,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446888846000,GRSM,UNR,,6,,,Duds Branch Concession Horse Trail,Greenbrier Road,Valid,Bombus_Pyrobombus_impatiens,Bombus Pyrobombus impatiens,5130,Common Eastern Bumble Bee,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1031443200000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Hymenoptera,Aculeata,Apocrita, ,Apoidea,Apidae, ,~,sweeping,No, ,cert,ATBI Bee Inventory
0101000020E61000003992BF9F4DE954C0960045041AD84140,124756,0101000020110F000022B730E68FC261C1CA32BDDB053E5041,124282,>1m <=5m,ATBI DATABASE,,1446888836000,DERV,WEAR COVE,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,260618,3952601,35.688287,-83.645359,Little River-Goshen Prong,,1713.704346,,,dd,GCS,NAD83,17,,Little River District,TPCOLSON,TPCOLSON,1446888836000,GRSM,UNR,,6,,,Roundtop Trail,Wear Cove Gap Road,Valid,Bombus_Pyrobombus_impatiens,Bombus Pyrobombus impatiens,5130,Common Eastern Bumble Bee,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1031356800000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Hymenoptera,Aculeata,Apocrita, ,Apoidea,Apidae, ,~,sweeping,No, ,cert,ATBI Bee Inventory
0101000020E6100000BD16090D07EC54C0041D65B852D24140,124755,0101000020110F000043925C39E0C461C145829D6EFB375041,124281,>1m <=5m,ATBI DATABASE,,1446888835000,DERV,WEAR COVE,Great Smoky Mountains National Park,>1m <=5m,Blount,Tennessee,256628,3947697,35.643143,-83.687926,Little River-Crooked Creek,Pigpen Branch,1707.329468,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446888835000,GRSM,UNR,,10,,,Lumber Ridge Trail,Tremont Institute Parking #2,Valid,Bombus_Pyrobombus_impatiens,Bombus Pyrobombus impatiens,5130,Common Eastern Bumble Bee,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1033171200000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Hymenoptera,Aculeata,Apocrita, ,Apoidea,Apidae, ,~,"pan trap, yellow",No, ,cert,ATBI Bee Inventory
0101000020E6100000F9FB071C1FEC54C0811F2E6927D24140,124752,0101000020110F000002D632A8F4C461C1F27EA32BCE375041,124278,>1m <=5m,ATBI DATABASE,,1446888834000,DERV,WEAR COVE,Great Smoky Mountains National Park,>1m <=5m,Blount,Tennessee,256491,3947554,35.641821,-83.689395,Little River-Crooked Creek,Middle Prong Little River,1375.143066,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446888834000,GRSM,UNR,,4,,,Lumber Ridge Trail,Tremont Institute Parking #2,Valid,Bombus_Pyrobombus_impatiens,Bombus Pyrobombus impatiens,5130,Common Eastern Bumble Bee,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1029542400000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Hymenoptera,Aculeata,Apocrita, ,Apoidea,Apidae, ,~,sweeping,No, ,cert,ATBI Bee Inventory
0101000020E6100000178A2AB20CEC54C02DD3632614D24140,124754,0101000020110F00003827B604E5C461C197F2A60ABA375041,124280,>1m <=5m,ATBI DATABASE,,1446888835000,DERV,WEAR COVE,Great Smoky Mountains National Park,>1m <=5m,Blount,Tennessee,256591,3947486,35.641233,-83.688271,Little River-Crooked Creek,Middle Prong Little River,1442.906982,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446888835000,GRSM,UNR,,4,,,Lumber Ridge Trail,Tremont Environmental Education Center Road,Valid,Bombus_Pyrobombus_impatiens,Bombus Pyrobombus impatiens,5130,Common Eastern Bumble Bee,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1028937600000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Hymenoptera,Aculeata,Apocrita, ,Apoidea,Apidae, ,~,by hand,No, ,cert,ATBI Bee Inventory
0101000020E610000029E4AD6726EC54C01518305D15D24140,124748,0101000020110F00004E8664DAFAC461C11956744FBB375041,124274,>1m <=5m,ATBI DATABASE,,1446888831000,DERV,WEAR COVE,Great Smoky Mountains National Park,>1m <=5m,Blount,Tennessee,256449,3947494,35.64127,-83.68984,Little River-Crooked Creek,Middle Prong Little River,1347.697632,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446888831000,GRSM,UNR,,6,,,Lumber Ridge Trail,Tremont Environmental Education Center Road,Valid,Bombus_Pyrobombus_impatiens,Bombus Pyrobombus impatiens,5130,Common Eastern Bumble Bee,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1033171200000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Hymenoptera,Aculeata,Apocrita, ,Apoidea,Apidae, ,~,"pan trap, white",No, ,cert,ATBI Bee Inventory
