the_geom,cartodb_id,the_geom_webmercator,objectid,verror,mapsource,sourcedate,editdate,mapmethod,quadname,unitname,herror,county,state,x_coord,y_coord,lat,lon,watershed,streamname,elevation,year,notes,coord_units,coord_system,datum,utm_zone,managementzone,parkdistrict,editby,createby,createdate,unitcode,restriction,veg_class,landform,loc_name,loc_id,trail,road,valid_result,genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,dateretrieved,kingdom,subkingdom,phylum,subphylum,class,subclass,superdivision,division,subdivision,superorder,ordername,series,suborder,infraorder,superfamily,family,subfamily,tribe,collectionmethod,specimentype,dateprecision,identificationprecision,project
0101000020E6100000766720A8F0C454C0D455295928CB4140,192590,0101000020110F0000E56C54CAADA361C1DF47A9077F305041,192302,>1m <=5m,ATBI DATABASE,,1446927599000,DERV,DELLWOOD,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,311804,3940146,35.587162,-83.077185,Upper Cataloochee Creek,Cove Creek,4932.375977,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446927599000,GRSM,UNR,,6,,,Cataloochee Divide Trail,The Purchase Road (closed Winter),Valid,Ischnosoma_lecontei,Ischnosoma  lecontei,19702,Leconte`s Rove Beetle,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1027382400000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Coleoptera,Staphyliniformia,Polyphaga, ,Staphylinoidea,Staphylinidae, ,~,Berlese sampling, , ,cert,ATBI Coleoptera Survey
0101000020E610000029B6DD5F38C554C0A7B84B9ECFCA4140,192589,0101000020110F0000052643B3EAA361C1169FB95D22305041,192301,>1m <=5m,ATBI DATABASE,,1446927599000,DERV,DELLWOOD,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,311401,3939854,35.584454,-83.081562,Upper Cataloochee Creek,McKee Branch,4458.981445,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446927599000,GRSM,UNR,,6,,,McKee Branch Trail,The Purchase Road (closed Winter),Valid,Ischnosoma_lecontei,Ischnosoma  lecontei,19702,Leconte`s Rove Beetle,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1090972800000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Coleoptera,Staphyliniformia,Polyphaga, ,Staphylinoidea,Staphylinidae, ,~,Berlese sampling, , ,cert,ATBI Coleoptera Survey
0101000020E6100000DA01D71553C554C0AEB7D9A11FCB4140,192588,0101000020110F0000616FC16201A461C16B8C63ED75305041,192300,>1m <=5m,ATBI DATABASE,,1446927598000,DERV,DELLWOOD,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,311259,3940128,35.586896,-83.083192,Upper Cataloochee Creek,,4626.60498,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446927598000,GRSM,UNR,,7,,,McKee Branch Trail,The Purchase Road (closed Winter),Valid,Ischnosoma_lecontei,Ischnosoma  lecontei,19702,Leconte`s Rove Beetle,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1026777600000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Coleoptera,Staphyliniformia,Polyphaga, ,Staphylinoidea,Staphylinidae, ,~,Berlese sampling, , ,cert,ATBI Coleoptera Survey
0101000020E610000042CFAB3C0CC954C0E27CD3BCAFCB4140,192584,0101000020110F00004F86D5E52AA761C1EECC846D0C315041,192296,>1m <=5m,ATBI DATABASE,,1446927596000,DERV,BUNCHES BALD,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,305998,3940729,35.591294,-83.141368,Upper Cataloochee Creek,Hurricane Creek,3913.109375,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446927596000,GRSM,UNR,,7,,,Rough Fork Trail,Heintooga Ridge Road,Valid,Ischnosoma_lecontei,Ischnosoma  lecontei,19702,Leconte`s Rove Beetle,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1027900800000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Coleoptera,Staphyliniformia,Polyphaga, ,Staphylinoidea,Staphylinidae, ,~,Berlese sampling, , ,cert,ATBI Coleoptera Survey
0101000020E61000005B1E2729C9C854C044BEDE0C1DCC4140,192585,0101000020110F00004EE40EEEF1A661C15DF1DA987E315041,192297,>1m <=5m,ATBI DATABASE,,1446927596000,DERV,BUNCHES BALD,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,306377,3941091,35.59463,-83.137274,Upper Cataloochee Creek,Hurricane Creek,3564.366211,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446927596000,GRSM,UNR,,4,,,Rough Fork Trail,Cataloochee Entrance Road,Valid,Ischnosoma_lecontei,Ischnosoma  lecontei,19702,Leconte`s Rove Beetle,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1027900800000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Coleoptera,Staphyliniformia,Polyphaga, ,Staphylinoidea,Staphylinidae, ,~,Berlese sampling, , ,cert,ATBI Coleoptera Survey
0101000020E61000002BE587DAEEDD54C09D959A6810C84140,192555,0101000020110F00007C69EEC7E7B861C149141417442D5041,192267,>1m <=5m,ATBI DATABASE,,1446927579000,DERV,CLINGMANS DOME,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,276349,3938282,35.562994,-83.467699,Noland Creek,,5435.604004,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446927579000,GRSM,UNR,,6,,,Noland Divide Trail,Noland Divide Trailhead Parking,Valid,Ischnosoma_lecontei,Ischnosoma  lecontei,19702,Leconte`s Rove Beetle,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1058572800000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Coleoptera,Staphyliniformia,Polyphaga, ,Staphylinoidea,Staphylinidae, ,~,by hand, , ,cert,ATBI Coleoptera Survey
0101000020E610000092A5886C3DD854C0EC46EA00F2C94140,192570,0101000020110F0000EBB549FC11B461C1CC668EF03A2F5041,192282,>1m <=5m,ATBI DATABASE,,1446927588000,DERV,CLINGMANS DOME,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,284452,3939714,35.577691,-83.378745,Upper Oconaluftee River,,4263.538086,,,dd,GCS,NAD83,17,,Oconaluftee District,TPCOLSON,TPCOLSON,1446927588000,GRSM,UNR,,4,,,Kanati Fork Trail,Newfound Gap Road South,Valid,Ischnosoma_lecontei,Ischnosoma  lecontei,19702,Leconte`s Rove Beetle,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1027296000000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Coleoptera,Staphyliniformia,Polyphaga, ,Staphylinoidea,Staphylinidae, ,~,Berlese sampling, , ,cert,ATBI Coleoptera Survey
0101000020E610000015BDF38E2ADB54C01A79F330C1CC4140,192561,0101000020110F00009846C2398EB661C1E64C1E0A2A325041,192273,>1m <=5m,ATBI DATABASE,,1446927582000,DERV,CLINGMANS DOME,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,280368,3942250,35.599639,-83.424469,Deep Creek,,4523.935547,,,dd,GCS,NAD83,17,,Oconaluftee District,TPCOLSON,TPCOLSON,1446927582000,GRSM,UNR,,4,,,Deep Creek Trail,Newfound Gap Road South,Valid,Ischnosoma_lecontei,Ischnosoma  lecontei,19702,Leconte`s Rove Beetle,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1027296000000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Coleoptera,Staphyliniformia,Polyphaga, ,Staphylinoidea,Staphylinidae, ,~,Berlese sampling, , ,cert,ATBI Coleoptera Survey
0101000020E61000003B61CEDBD4D954C0C370940D82CF4140,192563,0101000020110F0000720717056CB561C1ECD9B6600A355041,192275,>1m <=5m,ATBI DATABASE,,1446927584000,DERV,CLINGMANS DOME,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,282316,3944590,35.62115,-83.403613,Upper Oconaluftee River,,5828.839355,,,dd,GCS,NAD83,17,,Oconaluftee District,TPCOLSON,TPCOLSON,1446927584000,GRSM,UNR,,7,,,Appalachian Trail,Newfound Gap Road North,Valid,Ischnosoma_lecontei,Ischnosoma  lecontei,19702,Leconte`s Rove Beetle,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1026950400000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Coleoptera,Staphyliniformia,Polyphaga, ,Staphylinoidea,Staphylinidae, ,~,Berlese sampling, , ,cert,ATBI Coleoptera Survey
0101000020E610000099DE216CE8DC54C0F222E3B615CE4140,192557,0101000020110F0000BD2BE6E508B861C1ECAB94BE8D335041,192269,>1m <=5m,ATBI DATABASE,,1446927580000,DERV,CLINGMANS DOME,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,277931,3943464,35.610031,-83.451682,West Prong Little Pigeon River Upper,Road Prong,4991.254883,,,dd,GCS,NAD83,17,,Little River District,TPCOLSON,TPCOLSON,1446927580000,GRSM,UNR,,6,,,Road Prong Trail,Clingmans Dome Access Road,Valid,Ischnosoma_lecontei,Ischnosoma  lecontei,19702,Leconte`s Rove Beetle,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1058659200000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Coleoptera,Staphyliniformia,Polyphaga, ,Staphylinoidea,Staphylinidae, ,~,Berlese sampling, , ,cert,ATBI Coleoptera Survey
0101000020E61000004A195C669DDC54C0D34F12F452CE4140,192558,0101000020110F0000E9316E2EC9B761C1B0FFF6B7CD335041,192270,>1m <=5m,ATBI DATABASE,,1446927581000,DERV,CLINGMANS DOME,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,278351,3943661,35.6119,-83.447103,West Prong Little Pigeon River Upper,Road Prong,5479.879395,,,dd,GCS,NAD83,17,,Little River District,TPCOLSON,TPCOLSON,1446927581000,GRSM,UNR,,5,,,Appalachian Trail,Clingmans Dome Access Road,Valid,Ischnosoma_lecontei,Ischnosoma  lecontei,19702,Leconte`s Rove Beetle,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,993686400000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Coleoptera,Staphyliniformia,Polyphaga, ,Staphylinoidea,Staphylinidae, ,~,Berlese sampling, , ,cert,ATBI Coleoptera Survey
0101000020E6100000AE3C50C0B9DF54C0D6D7A8CB85D14140,192553,0101000020110F0000F255D9856DBA61C155A9E04625375041,192265,>1m <=5m,ATBI DATABASE,,1446927578000,DERV,MOUNT LE CONTE,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,274018,3946544,35.636889,-83.495708,West Prong Little Pigeon River Upper,West Prong Little Pigeon River,2743.937012,,,dd,GCS,NAD83,17,,Little River District,TPCOLSON,TPCOLSON,1446927578000,GRSM,UNR,,6,,,Cove Hardwood Nature Trail,Newfound Gap Road North,Valid,Ischnosoma_lecontei,Ischnosoma  lecontei,19702,Leconte`s Rove Beetle,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,993513600000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Coleoptera,Staphyliniformia,Polyphaga, ,Staphylinoidea,Staphylinidae, ,~,Berlese sampling, , ,cert,ATBI Coleoptera Survey
