the_geom,cartodb_id,the_geom_webmercator,objectid,verror,mapsource,sourcedate,editdate,mapmethod,quadname,unitname,herror,county,state,x_coord,y_coord,lat,lon,watershed,streamname,elevation,year,notes,coord_units,coord_system,datum,utm_zone,managementzone,parkdistrict,editby,createby,createdate,unitcode,restriction,veg_class,landform,loc_name,loc_id,trail,road,valid_result,genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,dateretrieved,kingdom,subkingdom,phylum,subphylum,class,subclass,superdivision,division,subdivision,superorder,ordername,series,suborder,infraorder,superfamily,family,subfamily,tribe,collectionmethod,specimentype,dateprecision,identificationprecision,project
0101000020E6100000BD421A06CDD754C0435D6CA637DE4140,181714,0101000020110F0000A48B2786B2B361C1C04F417E6B445041,181215,>1m <=5m,ATBI DATABASE,,1446921260000,DERV,MOUNT GUYOT,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,285498,3957269,35.736066,-83.371885,Webb Creek,,1888.59668,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446921260000,GRSM,UNR,,7,,,Old Settlers Trail,Greenbrier Unpaved Road,Valid,Harpalus_Opadius_spadiceus,Harpalus Opadius spadiceus,18394,Unspecified,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1118016000000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Coleoptera, ,Adephaga, , ,Carabidae,Harpalinae,Harpalini,by hand, , ,cert,ATBI Coleoptera Survey
0101000020E6100000E5B4EC4BE1D854C06B84B851E8DB4140,181712,0101000020110F0000280C9E299DB461C150FA36DA00425041,181213,>1m <=5m,ATBI DATABASE,,1446921259000,DERV,MOUNT LE CONTE,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,283924,3955304,35.71802,-83.388747,Little Pigeon River Middle,,1614.500977,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446921259000,GRSM,UNR,,10,,,Old Settlers Trail,Greenbrier Unpaved Road,Valid,Harpalus_Opadius_spadiceus,Harpalus Opadius spadiceus,18394,Unspecified,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1175731200000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Coleoptera, ,Adephaga, , ,Carabidae,Harpalinae,Harpalini,flight intercept trap, , ,cert,ATBI Coleoptera Survey
0101000020E6100000917C20D778E654C084FB91BA0ED74140,181693,0101000020110F0000F2C2155728C061C1CFC45560EE3C5041,181194,>1m <=5m,ATBI DATABASE,,1446921247000,DERV,GATLINBURG,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,264598,3951589,35.68013,-83.601121,Little River-Goshen Prong,Jay Bird Branch,3119.575195,,,dd,GCS,NAD83,17,,Little River District,TPCOLSON,TPCOLSON,1446921247000,GRSM,UNR,,4,,,Laurel Falls Trail,Little River Gorge Road,Valid,Harpalus_Opadius_spadiceus,Harpalus Opadius spadiceus,18394,Unspecified,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1175472000000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Coleoptera, ,Adephaga, , ,Carabidae,Harpalinae,Harpalini,Berlese sampling, , ,cert,ATBI Coleoptera Survey
0101000020E61000000A53B75AF7E554C0C4BC72BD6DD64140,181695,0101000020110F0000131A215EBABF61C13F56860E463C5041,181196,>1m <=5m,ATBI DATABASE,,1446921248000,DERV,GATLINBURG,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,265299,3951025,35.675217,-83.593218,Little River-Goshen Prong,Laurel Branch,2544.152344,,,dd,GCS,NAD83,17,,Little River District,TPCOLSON,TPCOLSON,1446921248000,GRSM,UNR,,8,,,Laurel Falls Trail,Fighting Creek Gap Road,Valid,Harpalus_Opadius_spadiceus,Harpalus Opadius spadiceus,18394,Unspecified,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1058572800000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Coleoptera, ,Adephaga, , ,Carabidae,Harpalinae,Harpalini,unspecified, , ,cert,ATBI Coleoptera Survey
0101000020E6100000E3B228F1BBE254C05AE0D201EECD4140,181702,0101000020110F00009D5569A5FBBC61C1F690B64364335041,181203,>1m <=5m,ATBI DATABASE,,1446921253000,DERV,SILERS BALD,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,269680,3943539,35.608819,-83.542717,Little River-Goshen Prong,Wars Branch,3261.746094,,,dd,GCS,NAD83,17,,Little River District,TPCOLSON,TPCOLSON,1446921253000,GRSM,UNR,,1,,,Goshen Prong Trail,Newfound Gap Road North,Valid,Harpalus_Opadius_spadiceus,Harpalus Opadius spadiceus,18394,Unspecified,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,998870400000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Coleoptera, ,Adephaga, , ,Carabidae,Harpalinae,Harpalini,pitfall trap, , ,cert,ATBI Pilot Study
0101000020E61000009615538164E454C0EF8456E842C84140,181698,0101000020110F0000C9FC4D3A64BE61C1C9B940D0782D5041,181199,>1m <=5m,ATBI DATABASE,,1446921250000,DERV,SILERS BALD,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,267204,3938687,35.564535,-83.56863,Little River-Goshen Prong,Hazel Creek,5435.316895,,,dd,GCS,NAD83,17,,Little River District,TPCOLSON,TPCOLSON,1446921250000,GRSM,UNR,,4,,,Appalachian Trail,Clingmans Dome Road Parking #3,Valid,Harpalus_Opadius_spadiceus,Harpalus Opadius spadiceus,18394,Unspecified,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1118016000000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Coleoptera, ,Adephaga, , ,Carabidae,Harpalinae,Harpalini,unspecified, , ,cert,ATBI Coleoptera Survey
0101000020E61000004AF40452DAE254C0D7BC496443C84140,181700,0101000020110F0000F5294D7215BD61C108F6A951792D5041,181201,>1m <=5m,ATBI DATABASE,,1446921251000,DERV,SILERS BALD,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,269385,3938632,35.56455,-83.544571,Forney Creek,,5504.390625,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446921251000,GRSM,UNR,,6,,,Appalachian Trail,Clingmans Dome Road Parking #3,Valid,Harpalus_Opadius_spadiceus,Harpalus Opadius spadiceus,18394,Unspecified,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1175472000000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Coleoptera, ,Adephaga, , ,Carabidae,Harpalinae,Harpalini,sifting litter, , ,cert,ATBI Coleoptera Survey
0101000020E6100000F54FD8279BE054C0BCBF80B971C54140,181704,0101000020110F00002EF879F52CBB61C12B1FC4F5872A5041,181205,>1m <=5m,ATBI DATABASE,,1446921254000,DERV,SILERS BALD,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,272505,3936107,35.542526,-83.509466,Forney Creek,Forney Creek,4218.879883,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446921254000,GRSM,UNR,,6,,,Forney Creek Trail,Clingmans Dome Road Parking #3,Valid,Harpalus_Opadius_spadiceus,Harpalus Opadius spadiceus,18394,Unspecified,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1175644800000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Coleoptera, ,Adephaga, , ,Carabidae,Harpalinae,Harpalini,sifting litter, , ,cert,ATBI Coleoptera Survey
0101000020E6100000C60B2C578AE354C079D7061247C34140,181699,0101000020110F0000A3A8C0F0AABD61C12D5DC21645285041,181200,>1m <=5m,ATBI DATABASE,,1446921251000,DERV,SILERS BALD,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,268299,3934336,35.5256,-83.555315,Forney Creek,Jonas Creek,2739.131104,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446921251000,GRSM,UNR,,4,,,Jonas Creek Trail,Clingmans Dome Road Parking #3,Valid,Harpalus_Opadius_spadiceus,Harpalus Opadius spadiceus,18394,Unspecified,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1175644800000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Coleoptera, ,Adephaga, , ,Carabidae,Harpalinae,Harpalini,sifting litter, , ,cert,ATBI Coleoptera Survey
0101000020E61000001511599226E754C005134EFE73C04140,181692,0101000020110F00002A79E7E3BBC061C1D222EC9F52255041,181193,>1m <=5m,ATBI DATABASE,,1446921247000,DERV,SILERS BALD,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,263118,3932022,35.503533,-83.611725,Forney Creek,,4829.796387,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446921247000,GRSM,UNR,,4,,,Bear Creek Trail,Lakeview Drive East Parking #4,Valid,Harpalus_Opadius_spadiceus,Harpalus Opadius spadiceus,18394,Unspecified,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1175558400000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Coleoptera, ,Adephaga, , ,Carabidae,Harpalinae,Harpalini,sifting litter, , ,cert,ATBI Coleoptera Survey
0101000020E610000035A05F0D10E654C014CB9A49F5C44140,181694,0101000020110F0000B8D8F657CFBF61C173104714062A5041,181195,>1m <=5m,ATBI DATABASE,,1446921248000,DERV,SILERS BALD,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,264763,3935886,35.538729,-83.594726,Hazel Creek,Hazel Creek,3575.300293,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446921248000,GRSM,UNR,,4,,,Hazel Creek Trail,Clingmans Dome Road Parking #3,Valid,Harpalus_Opadius_spadiceus,Harpalus Opadius spadiceus,18394,Unspecified,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1175558400000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Coleoptera, ,Adephaga, , ,Carabidae,Harpalinae,Harpalini,sifting litter, , ,cert,ATBI Coleoptera Survey
0101000020E6100000C150180B58E554C0BB324F7EF0C44140,181696,0101000020110F0000B449961033BF61C1D9DC5213012A5041,181197,>1m <=5m,ATBI DATABASE,,1446921249000,DERV,SILERS BALD,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,265781,3935843,35.538582,-83.583495,Forney Creek,Scarlet Ridge Creek,4629.258301,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446921249000,GRSM,UNR,,7,,,Welch Ridge Trail,Clingmans Dome Road Parking #3,Valid,Harpalus_Opadius_spadiceus,Harpalus Opadius spadiceus,18394,Unspecified,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1175558400000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Coleoptera, ,Adephaga, , ,Carabidae,Harpalinae,Harpalini,sifting litter, , ,cert,ATBI Coleoptera Survey
0101000020E61000000D97C2071FE954C02E2F557D2FC24140,181691,0101000020110F00006704BF5368C261C15259F55821275041,181192,>1m <=5m,ATBI DATABASE,,1446921245000,DERV,THUNDERHEAD MOUNTAIN,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,260365,3933598,35.517067,-83.642515,Hazel Creek,,2707.109375,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446921245000,GRSM,UNR,,5,,,Hazel Creek Trail,Lakeview Drive East Parking #4,Valid,Harpalus_Opadius_spadiceus,Harpalus Opadius spadiceus,18394,Unspecified,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1175558400000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Coleoptera, ,Adephaga, , ,Carabidae,Harpalinae,Harpalini,Berlese sampling, , ,cert,ATBI Coleoptera Survey
0101000020E61000004D8099A312EE54C02E0FF93E47C84140,181688,0101000020110F0000FF315BE89CC661C14131D2577D2D5041,181189,>1m <=5m,ATBI DATABASE,,1446921244000,DERV,THUNDERHEAD MOUNTAIN,Great Smoky Mountains National Park,>1m <=5m,Blount,Tennessee,253493,3939070,35.564667,-83.719884,Little River-Crooked Creek,,4777.330078,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446921244000,GRSM,UNR,,4,,,Appalachian Trail,Laurel Creek Road,Valid,Harpalus_Opadius_spadiceus,Harpalus Opadius spadiceus,18394,Unspecified,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1091232000000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Coleoptera, ,Adephaga, , ,Carabidae,Harpalinae,Harpalini,sifting litter, , ,cert,ATBI Coleoptera Survey
0101000020E61000009FB8354C41ED54C09C071AADCFC84140,181689,0101000020110F0000310C2C1DEBC561C1CC93BBC90B2E5041,181190,>1m <=5m,ATBI DATABASE,,1446921244000,DERV,THUNDERHEAD MOUNTAIN,Great Smoky Mountains National Park,>1m <=5m,Blount,Tennessee,254664,3939500,35.568831,-83.707106,Little River-Crooked Creek,,5436.080078,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446921244000,GRSM,UNR,,5,,,Appalachian Trail,Laurel Creek Road,Valid,Harpalus_Opadius_spadiceus,Harpalus Opadius spadiceus,18394,Unspecified,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1091145600000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Coleoptera, ,Adephaga, , ,Carabidae,Harpalinae,Harpalini,sifting litter, , ,cert,ATBI Coleoptera Survey
0101000020E61000003314174ADDEC54C0F5FD7BC0E1C84140,181690,0101000020110F000047A4482D96C561C13CA643A91E2E5041,181191,>1m <=5m,ATBI DATABASE,,1446921245000,DERV,THUNDERHEAD MOUNTAIN,Great Smoky Mountains National Park,>1m <=5m,Blount,Tennessee,255219,3939546,35.569383,-83.701002,Little River-Crooked Creek,Thunderhead Prong,5113.103027,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446921245000,GRSM,UNR,,6,,,Appalachian Trail,Laurel Creek Road,Valid,Harpalus_Opadius_spadiceus,Harpalus Opadius spadiceus,18394,Unspecified,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1091145600000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Coleoptera, ,Adephaga, , ,Carabidae,Harpalinae,Harpalini,sifting litter, , ,cert,ATBI Coleoptera Survey
