the_geom,cartodb_id,the_geom_webmercator,objectid,verror,mapsource,sourcedate,editdate,mapmethod,quadname,unitname,herror,county,state,x_coord,y_coord,lat,lon,watershed,streamname,elevation,year,notes,coord_units,coord_system,datum,utm_zone,managementzone,parkdistrict,editby,createby,createdate,unitcode,restriction,veg_class,landform,loc_name,loc_id,trail,road,valid_result,genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,dateretrieved,kingdom,subkingdom,phylum,subphylum,class,subclass,superdivision,division,subdivision,superorder,ordername,series,suborder,infraorder,superfamily,family,subfamily,tribe,collectionmethod,specimentype,dateprecision,identificationprecision,project
0101000020E61000006CBEB76D08E454C0BDFB9199C0BA4140,196615,0101000020110F0000C77BEE0616BE61C14FBC6383601F5041,196492,>1m <=5m,ATBI DATABASE,,1446930145000,DERV,NOLAND CREEK,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,267409,3926965,35.458996,-83.56301,Forney Creek,,1694.72168,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446930145000,GRSM,UNR,,3,,,Lakeshore Trail,Lakeview Drive East Parking #4,Valid,Junonia_coenia,Junonia  coenia,21184,Buckeye,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1087430400000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Papilionoidea,Nymphalidae,Nymphalinae,~,by hand,No,day,cert,Northshore Road EIS
0101000020E6100000CF4803C61AC754C0E56EA9ED20E04140,196636,0101000020110F00002745E16684A561C1C7D864796B465041,196512,>1m <=5m,ATBI DATABASE,,1446930158000,DERV,WATERVILLE,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,309130,3958386,35.750998,-83.111005,Big Creek,,1719.309204,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446930158000,GRSM,UNR,,6,,,Big Creek Trail,Big Creek Campground Loop Road,Valid,Junonia_coenia,Junonia  coenia,21184,Buckeye,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,525657600000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Papilionoidea,Nymphalidae,Nymphalinae,~,unspecified, , ,cert,ATBI Lepidoptera TWiG
0101000020E61000002A6B3902FEC454C01B1123C3EBD14140,196637,0101000020110F0000543D5221B9A361C1B1B39AD58F375041,196513,>1m <=5m,ATBI DATABASE,,1446930159000,DERV,COVE CREEK GAP,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,311854,3946009,35.640001,-83.078,Lower Cataloochee Creek,Cataloochee Creek,2626.595459,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446930159000,GRSM,UNR,,6,,,Cataloochee Horse Trail,Cataloochee Entrance Road,Valid,Junonia_coenia,Junonia  coenia,21184,Buckeye,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,590889600000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Papilionoidea,Nymphalidae,Nymphalinae,~,unspecified, ,day,cert,ATBI Lepidoptera TWIG
0101000020E61000000AA4103D33C354C082303142AAD14140,196648,0101000020110F0000454D1C7F33A261C1DFDB8D614B375041,196524,>1m <=5m,ATBI DATABASE,,1446930164000,DERV,COVE CREEK GAP,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,314385,3945734,35.638002,-83.049998,Lower Cataloochee Creek,Winding Stair Branch,3749.368652,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446930164000,GRSM,UNR,,9,,,Cataloochee Divide Trail,Old Cataloochee Turnpike,Valid,Junonia_coenia,Junonia  coenia,21184,Buckeye,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1210377600000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Papilionoidea,Nymphalidae,Nymphalinae,~,unspecified, , ,cert,ATBI Lepidoptera TWiG
0101000020E61000008D5279A3A5C454C065312BC029CB4140,196638,0101000020110F000041EFCF136EA361C11276977E80305041,196514,>1m <=5m,ATBI DATABASE,,1446930159000,DERV,DELLWOOD,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,312219,3940142,35.587205,-83.072606,Lower Johnathans Creek,Cove Creek,4830.932129,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446930159000,GRSM,UNR,,6,,,Science Center Trail,The Purchase Road (closed Winter),Valid,Junonia_coenia,Junonia  coenia,21184,Buckeye,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1210377600000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Papilionoidea,Nymphalidae,Nymphalinae,~,observed,No,day,cert,Lepidoptera Survey
0101000020E61000004B3D5C8998C454C08C65823A15CB4140,196639,0101000020110F0000EF9929F362A361C19579EF0F6B305041,196515,>1m <=5m,ATBI DATABASE,,1446930160000,DERV,DELLWOOD,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,312290,3940071,35.586578,-83.071806,Lower Johnathans Creek,Cove Creek,4866.149414,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446930160000,GRSM,UNR,,6,,,Science Center Trail,The Purchase Road (closed Winter),Valid,Junonia_coenia,Junonia  coenia,21184,Buckeye,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1161388800000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Papilionoidea,Nymphalidae,Nymphalinae,~,mist net,No,day,cert,Birds & Bird Parasites
0101000020E61000000D5D00E27AC454C0110D2FE1C0CA4140,196643,0101000020110F0000E0AAD1C349A361C167A168F912305041,196519,>1m <=5m,ATBI DATABASE,,1446930162000,DERV,DELLWOOD,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,312448,3939782,35.584004,-83.069996,Lower Johnathans Creek,Beantown Creek,4682.922852,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446930162000,GRSM,UNR,,4,,,Ferguson Cabin Horse Trail,The Purchase Road (closed Winter),Valid,Junonia_coenia,Junonia  coenia,21184,Buckeye,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1221955200000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Papilionoidea,Nymphalidae,Nymphalinae,~,unspecified, , ,cert,ATBI Lepidoptera TWiG
0101000020E610000013C7BCB978C454C0F33405D7C1CA4140,196644,0101000020110F0000D8F0C7EE47A361C1D48523FA13305041,196520,>1m <=5m,ATBI DATABASE,,1446930162000,DERV,DELLWOOD,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,312460,3939785,35.584034,-83.069865,Lower Johnathans Creek,Beantown Creek,4682.922852,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446930162000,GRSM,UNR,,7,,,Ferguson Cabin Horse Trail,The Purchase Road (closed Winter),Valid,Junonia_coenia,Junonia  coenia,21184,Buckeye,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1192406400000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Papilionoidea,Nymphalidae,Nymphalinae,~,observed,No,day,cert,PKnob moths monitoring
0101000020E610000039FF74D844C454C0BBAF19CCDECA4140,196645,0101000020110F00009E43FCDE1BA361C12747C03732305041,196521,>1m <=5m,ATBI DATABASE,,1446930163000,DERV,DELLWOOD,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,312749,3939877,35.584917,-83.066698,Lower Johnathans Creek,Beantown Creek,4754.07373,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446930163000,GRSM,UNR,,6,,,Ferguson Cabin Trail,The Purchase Road (closed Winter),Valid,Junonia_coenia,Junonia  coenia,21184,Buckeye,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1192406400000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Papilionoidea,Nymphalidae,Nymphalinae,~,unspecified, , ,cert,ATBI Lepidoptera TWiG
0101000020E610000049F9A2007BC454C0B4FCA7B83DCA4140,196641,0101000020110F00001D66D6DD49A361C1E2F2EB018A2F5041,196517,>1m <=5m,ATBI DATABASE,,1446930161000,DERV,DELLWOOD,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,312438,3939338,35.580002,-83.070004,Lower Johnathans Creek,Beantown Creek,4663.923828,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446930161000,GRSM,UNR,,7,,,Ferguson Cabin Trail,The Purchase Road (closed Winter),Valid,Junonia_coenia,Junonia  coenia,21184,Buckeye,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-795571200000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Papilionoidea,Nymphalidae,Nymphalinae,~,unspecified, , ,cert,ATBI Lepidoptera TWiG
0101000020E61000007ECA104B33CB54C09C1B74C5E9C64140,196613,0101000020110F0000DFE4F6E8FEA861C156CBB07E102C5041,196511,>1m <=5m,ATBI DATABASE,,1446930158000,DERV,BUNCHES BALD,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,302859,3936659,35.554002,-83.175002,Lower Raven Fork,,4895.686035,,,dd,GCS,NAD83,17,,Oconaluftee District,TPCOLSON,TPCOLSON,1446930158000,GRSM,UNR,,7,,,Flat Creek Trail,Heintooga Ridge Road,Valid,Junonia_coenia,Junonia  coenia,21184,Buckeye,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-1088899200000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Papilionoidea,Nymphalidae,Nymphalinae,~,unspecified, ,day,cert,ATBI Lepidoptera TWIG
