the_geom,cartodb_id,the_geom_webmercator,objectid,verror,mapsource,sourcedate,editdate,mapmethod,quadname,unitname,herror,county,state,x_coord,y_coord,lat,lon,watershed,streamname,elevation,year,notes,coord_units,coord_system,datum,utm_zone,managementzone,parkdistrict,editby,createby,createdate,unitcode,restriction,veg_class,landform,loc_name,loc_id,trail,road,valid_result,genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,dateretrieved,kingdom,subkingdom,phylum,subphylum,class,subclass,superdivision,division,subdivision,superorder,ordername,series,suborder,infraorder,superfamily,family,subfamily,tribe,collectionmethod,specimentype,dateprecision,identificationprecision,project
0101000020E6100000E131321704DE54C02CE828CD47D14140,119826,0101000020110F00002AF44AD1F9B861C137365D7EE4365041,119395,>1m <=5m,ATBI DATABASE,,1446886050000,DERV,MOUNT LE CONTE,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,276432,3946273,35.634997,-83.468996,West Prong Little Pigeon River Upper,,3412.193848,,,dd,GCS,NAD83,17,,Little River District,TPCOLSON,TPCOLSON,1446886050000,GRSM,UNR,,2,,,Chimney Tops Trail,Newfound Gap Road North,Valid,Battus_philenor,Battus  philenor,4661,Pipevine Swallowtail,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1090195200000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Papilionoidea,Papilionidae,Papilioninae,~,aerial net, , ,cert,ATBI Lepidoptera TWiG
0101000020E610000072892D81F7DF54C08599949491D74140,119822,0101000020110F0000639052F8A1BA61C172DEAB31773D5041,119391,>1m <=5m,ATBI DATABASE,,1446886048000,DERV,MOUNT LE CONTE,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,273810,3951793,35.684123,-83.499477,Le Conte Creek,Le Conte Creek,2134.150146,,,dd,GCS,NAD83,17,,Little River District,TPCOLSON,TPCOLSON,1446886048000,GRSM,UNR,,7,,,Twin Creeks Trail,Natural Resources Center Parking #4,Valid,Battus_philenor,Battus  philenor,4661,Pipevine Swallowtail,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,963878400000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Papilionoidea,Papilionidae,Papilioninae,~,Malaise trap (Townes), , ,cert,ATBI Pilot Study
0101000020E6100000215D11343AD954C03D816D5AAFDF4140,119829,0101000020110F00006A6BD0ABE8B461C17657DD9EF4455041,119398,>1m <=5m,ATBI DATABASE,,1446886053000,DERV,MOUNT LE CONTE,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,283513,3958590,35.747532,-83.394173,Little Pigeon River Middle,Left Fork Copeland Creek,1332.184814,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446886053000,GRSM,UNR,,4,,,Old Settlers Trail,Greenbrier Road,Valid,Battus_philenor,Battus  philenor,4661,Pipevine Swallowtail,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1375747200000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Papilionoidea,Papilionidae,Papilioninae,~,observed,No,day,cert,ATBI
0101000020E61000005296547FBAD954C02BF0B56A0EDD4140,119828,0101000020110F0000407D9BA155B561C1133BDA8334435041,119397,>1m <=5m,ATBI DATABASE,,1446886052000,DERV,MOUNT LE CONTE,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,282749,3956329,35.726996,-83.402004,Little Pigeon River Middle,Little Pigeon River,1450.532104,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446886052000,GRSM,UNR,,5,,,Old Settlers Trail,Greenbrier Unpaved Road,Valid,Battus_philenor,Battus  philenor,4661,Pipevine Swallowtail,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1116633600000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Papilionoidea,Papilionidae,Papilioninae,~,unspecified, ,day,cert,ATBI Lepidoptera TWIG
0101000020E6100000EB42790D64D854C0A324A5528CDA4140,119830,0101000020110F00000CBBF7CA32B461C14CF285D994405041,119399,>1m <=5m,ATBI DATABASE,,1446886053000,DERV,MOUNT LE CONTE,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,284587,3954109,35.7074,-83.381103,Little Pigeon River Upper,Middle Prong Little Pigeon River,1687.616699,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446886053000,GRSM,UNR,,6,,,Old Settlers Trail,Ramsey Prong Road,Valid,Battus_philenor,Battus  philenor,4661,Pipevine Swallowtail,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,957916800000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Papilionoidea,Papilionidae,Papilioninae,~,unspecified, , ,cert,ATBI Lepidoptera TWiG
0101000020E61000007E2C4CF828EC54C093329A7660D54140,119808,0101000020110F0000370D0F08FDC461C161E8938A2C3B5041,119377,>1m <=5m,ATBI DATABASE,,1446886040000,DERV,WEAR COVE,Great Smoky Mountains National Park,>1m <=5m,Blount,Tennessee,256513,3950349,35.666999,-83.689997,Little River-Goshen Prong,Little River,1283.880371,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446886040000,GRSM,UNR,,4,,,Roundtop Trail,Little River Gorge Road,Valid,Battus_philenor,Battus  philenor,4661,Pipevine Swallowtail,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,589593600000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Papilionoidea,Papilionidae,Papilioninae,~,unspecified, ,day,cert,ATBI Lepidoptera TWIG
0101000020E610000006BC8A941FEC54C00299BE5318D24140,119806,0101000020110F000047638C0EF5C461C1D61C3168BE375041,119375,>1m <=5m,ATBI DATABASE,,1446886039000,DERV,WEAR COVE,Great Smoky Mountains National Park,>1m <=5m,Blount,Tennessee,256487,3947503,35.641361,-83.689423,Little River-Crooked Creek,Middle Prong Little River,1349.121338,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446886039000,GRSM,UNR,,6,,,Lumber Ridge Trail,Tremont Environmental Education Center Road,Valid,Battus_philenor,Battus  philenor,4661,Pipevine Swallowtail,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1182211200000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Papilionoidea,Papilionidae,Papilioninae,~,aerial net,No,day,cert,ATBI
0101000020E61000009BB614CA21EC54C01B2AE70705D24140,119805,0101000020110F0000E85EDCEEF6C461C15EA2C63DAA375041,119374,>1m <=5m,ATBI DATABASE,,1446886038000,DERV,WEAR COVE,Great Smoky Mountains National Park,>1m <=5m,Blount,Tennessee,256473,3947438,35.640772,-83.689558,Little River-Crooked Creek,Middle Prong Little River,1350.795044,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446886038000,GRSM,UNR,,5,,,Lumber Ridge Trail,Tremont Environmental Education Center Road,Valid,Battus_philenor,Battus  philenor,4661,Pipevine Swallowtail,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1211846400000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Papilionoidea,Papilionidae,Papilioninae,~,aerial net,No,day,cert,ATBI
0101000020E610000046BD660D4CEC54C0B447AFD336D24140,119804,0101000020110F0000888AB6D31AC561C14E0B0348DE375041,119373,>1m <=5m,ATBI DATABASE,,1446886037000,DERV,WEAR COVE,Great Smoky Mountains National Park,>1m <=5m,Blount,Tennessee,256244,3947613,35.642291,-83.692138,Little River-Crooked Creek,Middle Prong Little River,1327.224121,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446886037000,GRSM,UNR,,7,,,West Prong Trail,Tremont Road,Valid,Battus_philenor,Battus  philenor,4661,Pipevine Swallowtail,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1271376000000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Papilionoidea,Papilionidae,Papilioninae,~,observed,No,day,cert,ATBI
0101000020E61000000B6DEA500EED54C0F4FA476AD7D34140,119801,0101000020110F00004430B4D0BFC561C151385CAE91395041,119370,>1m <=5m,ATBI DATABASE,,1446886036000,DERV,WEAR COVE,Great Smoky Mountains National Park,>1m <=5m,Blount,Tennessee,255209,3949053,35.655005,-83.703995,Little River-Crooked Creek,Ashley Branch,1186.603027,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446886036000,GRSM,UNR,,10,,,Roundtop Trail,Tremont Road,Valid,Battus_philenor,Battus  philenor,4661,Pipevine Swallowtail,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,926553600000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Papilionoidea,Papilionidae,Papilioninae,~,unspecified, , ,cert,ATBI Lepidoptera TWiG
