the_geom,cartodb_id,the_geom_webmercator,objectid,verror,mapsource,sourcedate,editdate,mapmethod,quadname,unitname,herror,county,state,x_coord,y_coord,lat,lon,watershed,streamname,elevation,year,notes,coord_units,coord_system,datum,utm_zone,managementzone,parkdistrict,editby,createby,createdate,unitcode,restriction,veg_class,landform,loc_name,loc_id,trail,road,valid_result,genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,dateretrieved,kingdom,subkingdom,phylum,subphylum,class,subclass,superdivision,division,subdivision,superorder,ordername,series,suborder,infraorder,superfamily,family,subfamily,tribe,collectionmethod,specimentype,dateprecision,identificationprecision,project
0101000020E6100000EEA6ECD80EC854C0B39BB03C49C74140,218487,0101000020110F000007ECA2B153A661C1300CC827742C5041,218418,>1m <=5m,ATBI DATABASE,,1446942497000,DERV,BUNCHES BALD,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,307317,3936885,35.556916,-83.125902,Upper Cataloochee Creek,Little Bald Branch,4886.106445,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446942497000,GRSM,UNR,,4,,,Hemphill Bald Trail,Heintooga Ridge Road,Valid,Monotropa_uniflora,Monotropa  uniflora,25654,One-flower Indian-pipe,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,902880000000,Plantae,Tracheobionta, , ,Magnoliopsida,Dilleniidae,Spermatophyta,Magnoliophyta, , ,Ericales, , , , ,Monotropaceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E6100000D311E1DBEBC954C03A910AAAE0C74140,218484,0101000020110F0000DFE6E7D1E8A761C1142B603E122D5041,218415,>1m <=5m,ATBI DATABASE,,1446942496000,DERV,BUNCHES BALD,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,304689,3937455,35.561537,-83.155017,Upper Cataloochee Creek,,4863.895508,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446942496000,GRSM,UNR,,7,,,Hemphill Bald Trail,Heintooga Ridge Road,Valid,Monotropa_uniflora,Monotropa  uniflora,25654,One-flower Indian-pipe,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,900892800000,Plantae,Tracheobionta, , ,Magnoliopsida,Dilleniidae,Spermatophyta,Magnoliophyta, , ,Ericales, , , , ,Monotropaceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E610000049A2CF8E6EC954C073388DC9AFCE4140,218485,0101000020110F0000E682D7667EA761C10483A0B32E345041,218416,>1m <=5m,ATBI DATABASE,,1446942496000,DERV,BUNCHES BALD,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,305511,3943341,35.614733,-83.147369,Upper Cataloochee Creek,Messer Fork,3513.30835,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446942496000,GRSM,UNR,,1,,,Rough Fork Trail,Cataloochee Entrance Road,Valid,Monotropa_uniflora,Monotropa  uniflora,25654,One-flower Indian-pipe,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,908755200000,Plantae,Tracheobionta, , ,Magnoliopsida,Dilleniidae,Spermatophyta,Magnoliophyta, , ,Ericales, , , , ,Monotropaceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E610000045221E30BFCB54C03AB5DF4CDFCE4140,218483,0101000020110F0000C93700B975A961C1B1BEEB5660345041,218414,>1m <=5m,ATBI DATABASE,,1446942495000,DERV,BUNCHES BALD,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,302238,3943574,35.616183,-83.18354,Straight Fork Raven Fork,Right Prong Ledge Creek,4672.271484,,,dd,GCS,NAD83,17,,Oconaluftee District,TPCOLSON,TPCOLSON,1446942495000,GRSM,UNR,,5,,,Spruce Mountain Trail,Balsam Mountain Road (closed Winter),Valid,Monotropa_uniflora,Monotropa  uniflora,25654,One-flower Indian-pipe,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,999129600000,Plantae,Tracheobionta, , ,Magnoliopsida,Dilleniidae,Spermatophyta,Magnoliophyta, , ,Ericales, , , , ,Monotropaceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E61000007BFA17270FD154C00F5B7C0F79CE4140,218478,0101000020110F00000DF1BBBDF8AD61C1EDC84887F5335041,218409,>1m <=5m,ATBI DATABASE,,1446942492000,DERV,SMOKEMONT,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,294711,3943398,35.613063,-83.266546,Upper Raven Fork,Enloe Creek,3950.544922,,,dd,GCS,NAD83,17,,Oconaluftee District,TPCOLSON,TPCOLSON,1446942492000,GRSM,UNR,,10,,,Enloe Creek Trail,Straight Fork Road,Valid,Monotropa_uniflora,Monotropa  uniflora,25654,One-flower Indian-pipe,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1187222400000,Plantae,Tracheobionta, , ,Magnoliopsida,Dilleniidae,Spermatophyta,Magnoliophyta, , ,Ericales, , , , ,Monotropaceae, ,~,observed,No,day,cert,Tremont Expeditions
0101000020E61000007AB14E9AC8D254C03C75E7B427C54140,218477,0101000020110F0000378831AA6FAF61C1BEFE09B43A2A5041,218408,>1m <=5m,ATBI DATABASE,,1446942491000,DERV,SMOKEMONT,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,292082,3935379,35.540267,-83.29349,Lower Oconaluftee River,Tow String Creek,2323.737305,,,dd,GCS,NAD83,17,,Oconaluftee District,TPCOLSON,TPCOLSON,1446942491000,GRSM,UNR,,8,,,Chambers Cemetery Access,Tow String Road,Valid,Monotropa_uniflora,Monotropa  uniflora,25654,One-flower Indian-pipe,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1027296000000,Plantae,Tracheobionta, , ,Magnoliopsida,Dilleniidae,Spermatophyta,Magnoliophyta, , ,Ericales, , , , ,Monotropaceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E6100000E27065D79DDF54C08CBFCB1EFEC44140,218465,0101000020110F00004327ABD155BA61C1DD28564C0F2A5041,218398,>1m <=5m,ATBI DATABASE,,1446942485000,DERV,CLINGMANS DOME,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,273897,3935680,35.538998,-83.494005,Noland Creek,Keeyuga Creek,5757.082031,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446942485000,GRSM,UNR,,6,,,Forney Ridge Trail,Clingmans Dome Road Parking #3,Valid,Monotropa_uniflora,Monotropa  uniflora,25654,One-flower Indian-pipe,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,0,Plantae,Tracheobionta, , ,Magnoliopsida,Dilleniidae,Spermatophyta,Magnoliophyta, , ,Ericales, , , , ,Monotropaceae, ,~,unspecified,No,decade,cert,GRSMNP Grassy Balds
0101000020E61000000DCE91A983D954C093BD19CDBBCA4140,218472,0101000020110F00006029550F27B561C15BC0B7AB0D305041,218404,>1m <=5m,ATBI DATABASE,,1446942489000,DERV,CLINGMANS DOME,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,282664,3940441,35.583849,-83.398657,Deep Creek,,4619.91748,,,dd,GCS,NAD83,17,,Oconaluftee District,TPCOLSON,TPCOLSON,1446942489000,GRSM,UNR,,7,,,Thomas Divide Trail,Thomas Divide Trail Pullout Parking,Valid,Monotropa_uniflora,Monotropa  uniflora,25654,One-flower Indian-pipe,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1097107200000,Plantae,Tracheobionta, , ,Magnoliopsida,Dilleniidae,Spermatophyta,Magnoliophyta, , ,Ericales, , , , ,Monotropaceae, ,~,by hand, , ,cert,INHS plant survey
0101000020E6100000DAB389C133DE54C02B1B4C864DD14140,218468,0101000020110F00007EDBBE4C22B961C105D56679EA365041,218400,>1m <=5m,ATBI DATABASE,,1446942486000,DERV,MOUNT LE CONTE,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,276169,3946299,35.635171,-83.471905,West Prong Little Pigeon River Upper,West Prong Little Pigeon River,3389.003418,,,dd,GCS,NAD83,17,,Little River District,TPCOLSON,TPCOLSON,1446942486000,GRSM,UNR,,5,,,Chimney Tops Trail,Newfound Gap Road North,Valid,Monotropa_uniflora,Monotropa  uniflora,25654,One-flower Indian-pipe,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,901670400000,Plantae,Tracheobionta, , ,Magnoliopsida,Dilleniidae,Spermatophyta,Magnoliophyta, , ,Ericales, , , , ,Monotropaceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E61000004635CEA12ADC54C04178C19B86D24140,218470,0101000020110F0000293884B567B761C11B8CFBA831385041,218402,>1m <=5m,ATBI DATABASE,,1446942488000,DERV,MOUNT LE CONTE,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,279076,3947287,35.644726,-83.440098,West Prong Little Pigeon River Upper,Trout Branch,5322.73877,,,dd,GCS,NAD83,17,,Little River District,TPCOLSON,TPCOLSON,1446942488000,GRSM,UNR,,7,,,Alum Cave Trail,Alum Cave Bluffs Trailhead Parking,Valid,Monotropa_uniflora,Monotropa  uniflora,25654,One-flower Indian-pipe,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,903657600000,Plantae,Tracheobionta, , ,Magnoliopsida,Dilleniidae,Spermatophyta,Magnoliophyta, , ,Ericales, , , , ,Monotropaceae, ,~,observed, ,day,cert,Fridley Veg Plots
