the_geom,cartodb_id,the_geom_webmercator,objectid,verror,mapsource,sourcedate,editdate,mapmethod,quadname,unitname,herror,county,state,x_coord,y_coord,lat,lon,watershed,streamname,elevation,year,notes,coord_units,coord_system,datum,utm_zone,managementzone,parkdistrict,editby,createby,createdate,unitcode,restriction,veg_class,landform,loc_name,loc_id,trail,road,valid_result,genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,dateretrieved,kingdom,subkingdom,phylum,subphylum,class,subclass,superdivision,division,subdivision,superorder,ordername,series,suborder,infraorder,superfamily,family,subfamily,tribe,collectionmethod,specimentype,dateprecision,identificationprecision,project
0101000020E61000004D726FFA4ACC54C0D49E04C94AE24140,190071,0101000020110F00009CE75472ECA961C125C26C25AF485041,189800,>1m <=5m,ATBI DATABASE,,1446926176000,DERV,HARTFORD,Great Smoky Mountains National Park,>1m <=5m,Cocke,Tennessee,301841,3960422,35.7679,-83.192072,Cosby Creek,,2410.401367,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446926176000,GRSM,UNR,,7,,,Lower Mount Cammerer Trail,Cosby Entrance Road,Valid,Hypoxis_hirsuta,Hypoxis  hirsuta,20518,Eastern Yellow Star-grass,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,932947200000,Plantae,Tracheobionta, , ,Liliopsida,Liliidae,Spermatophyta,Magnoliophyta, , ,Liliales, , , , ,Iridaceae, ,~,observed, , ,cert,INHS plant survey
0101000020E6100000EAC712154BCC54C082C8BF22C1E14140,190069,0101000020110F00004E91F488ECA961C150B8C3111F485041,189798,>1m <=5m,ATBI DATABASE,,1446926175000,DERV,HARTFORD,Great Smoky Mountains National Park,>1m <=5m,Cocke,Tennessee,301830,3959956,35.7637,-83.192079,Cosby Creek,Riding Fork,2471.793945,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446926175000,GRSM,UNR,,3,,,Lower Mount Cammerer Trail,Cosby Picnic Area Parking C,Valid,Hypoxis_hirsuta,Hypoxis  hirsuta,20518,Eastern Yellow Star-grass,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,970185600000,Plantae,Tracheobionta, , ,Liliopsida,Liliidae,Spermatophyta,Magnoliophyta, , ,Liliales, , , , ,Iridaceae, ,~,observed, , ,cert,INHS plant survey
0101000020E6100000427F4D485EDF54C06267002B64C04140,190067,0101000020110F000005AC9FD61FBA61C15DBE5A1D42255041,189796,>1m <=5m,ATBI DATABASE,,1446926174000,DERV,CLINGMANS DOME,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,274148,3931683,35.50305,-83.490126,Noland Creek,Noland Creek,2808.346191,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446926174000,GRSM,UNR,,5,,,Noland Creek Trail,Lakeview Drive East,Valid,Hypoxis_hirsuta,Hypoxis  hirsuta,20518,Eastern Yellow Star-grass,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1087516800000,Plantae,Tracheobionta, , ,Liliopsida,Liliidae,Spermatophyta,Magnoliophyta, , ,Liliales, , , , ,Iridaceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E610000069B25166DBD854C074BC82743EDF4140,190068,0101000020110F0000014A822798B461C1F73C057B7E455041,189797,>1m <=5m,ATBI DATABASE,,1446926174000,DERV,MOUNT LE CONTE,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,284027,3958195,35.744087,-83.388387,Little Pigeon River Middle,Left Fork Copeland Creek,1429.002319,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446926174000,GRSM,UNR,,6,,,Old Settlers Trail,Greenbrier Road,Valid,Hypoxis_hirsuta,Hypoxis  hirsuta,20518,Eastern Yellow Star-grass,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1375747200000,Plantae,Tracheobionta, , ,Liliopsida,Liliidae,Spermatophyta,Magnoliophyta, , ,Liliales, , , , ,Iridaceae, ,~,observed,No,day,cert,ATBI
0101000020E610000021F3C4B079F654C0F1A611E9EDCE4140,190053,0101000020110F000071EADACBBFCD61C1BDB06E9A6F345041,189782,>1m <=5m,ATBI DATABASE,,1446926166000,DERV,CADES COVE,Great Smoky Mountains National Park,>1m <=5m,Blount,Tennessee,241758,3945172,35.616629,-83.851173,Abrams Creek Lower,,2265.060791,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446926166000,GRSM,UNR,,6,,,Cooper Road Trail,Cades Cove Loop Road,Valid,Hypoxis_hirsuta,Hypoxis  hirsuta,20518,Eastern Yellow Star-grass,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,252460800000,Plantae,Tracheobionta, , ,Liliopsida,Liliidae,Spermatophyta,Magnoliophyta, , ,Liliales, , , , ,Iridaceae, ,~,observed, ,year,cert,Fridley Veg Plots
0101000020E61000003A5A6DAF79F654C0236A859DEDCE4140,190052,0101000020110F00003819B7CABFCD61C1EF37814B6F345041,189781,>1m <=5m,ATBI DATABASE,,1446926166000,DERV,CADES COVE,Great Smoky Mountains National Park,>1m <=5m,Blount,Tennessee,241758,3945171,35.61662,-83.851173,Abrams Creek Lower,,2265.060791,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446926166000,GRSM,UNR,,4,,,Cooper Road Trail,Cades Cove Loop Road,Valid,Hypoxis_hirsuta,Hypoxis  hirsuta,20518,Eastern Yellow Star-grass,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,378691200000,Plantae,Tracheobionta, , ,Liliopsida,Liliidae,Spermatophyta,Magnoliophyta, , ,Liliales, , , , ,Iridaceae, ,~,observed, ,year,cert,Fridley Veg Plots
0101000020E61000002673155355F654C027316AF9ECCE4140,190055,0101000020110F000031E322E9A0CD61C184860EA06E345041,189784,>1m <=5m,ATBI DATABASE,,1446926168000,DERV,CADES COVE,Great Smoky Mountains National Park,>1m <=5m,Blount,Tennessee,241959,3945163,35.6166,-83.848954,Abrams Creek Lower,,2249.898926,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446926168000,GRSM,UNR,,4,,,Cooper Road Trail,Cades Cove Loop Road,Valid,Hypoxis_hirsuta,Hypoxis  hirsuta,20518,Eastern Yellow Star-grass,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,378691200000,Plantae,Tracheobionta, , ,Liliopsida,Liliidae,Spermatophyta,Magnoliophyta, , ,Liliales, , , , ,Iridaceae, ,~,observed, ,year,cert,Fridley Veg Plots
0101000020E6100000661E5EAF67F754C084DC84FCA5C24140,190049,0101000020110F00009E90D5EC89CE61C10D5FA0FE9C275041,189778,>1m <=5m,ATBI DATABASE,,1446926164000,DERV,CADES COVE,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,240132,3934565,35.520684,-83.865699,Abrams Creek Upper,,4946.424805,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446926164000,GRSM,UNR,,7,,,Gregory Bald Trail,Parson Branch Road (closed Winter),Valid,Hypoxis_hirsuta,Hypoxis  hirsuta,20518,Eastern Yellow Star-grass,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,988588800000,Plantae,Tracheobionta, , ,Liliopsida,Liliidae,Spermatophyta,Magnoliophyta, , ,Liliales, , , , ,Iridaceae, ,~,by hand, , ,cert,INHS plant survey
0101000020E6100000A9CBB8F58FF554C0E2181865B5C54140,190057,0101000020110F00001036EE49F9CC61C15437DE97CE2A5041,189786,>1m <=5m,ATBI DATABASE,,1446926169000,DERV,CADES COVE,Great Smoky Mountains National Park,>1m <=5m,Blount,Tennessee,242820,3937142,35.544591,-83.836907,Abrams Creek Upper,,2863.794434,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446926169000,GRSM,UNR,,5,,,Gregory Ridge Trail,Parson Branch Road (closed Winter),Valid,Hypoxis_hirsuta,Hypoxis  hirsuta,20518,Eastern Yellow Star-grass,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1276732800000,Plantae,Tracheobionta, , ,Liliopsida,Liliidae,Spermatophyta,Magnoliophyta, , ,Liliales, , , , ,Iridaceae, ,~,observed, , ,cert,General
0101000020E6100000429177D9F2F554C0CC21327770C74140,190056,0101000020110F000090D299464DCD61C15756D21B9D2C5041,189785,>1m <=5m,ATBI DATABASE,,1446926168000,DERV,CADES COVE,Great Smoky Mountains National Park,>1m <=5m,Blount,Tennessee,242316,3938658,35.558113,-83.842943,Abrams Creek Upper,Bower Creek,2012.507812,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446926168000,GRSM,UNR,,4,,,Gregory Ridge Trail,Forge Creek Parking @ End,Valid,Hypoxis_hirsuta,Hypoxis  hirsuta,20518,Eastern Yellow Star-grass,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,220924800000,Plantae,Tracheobionta, , ,Liliopsida,Liliidae,Spermatophyta,Magnoliophyta, , ,Liliales, , , , ,Iridaceae, ,~,observed, ,year,cert,Fridley Veg Plots
