the_geom,cartodb_id,the_geom_webmercator,objectid,verror,mapsource,sourcedate,editdate,mapmethod,quadname,unitname,herror,county,state,x_coord,y_coord,lat,lon,watershed,streamname,elevation,year,notes,coord_units,coord_system,datum,utm_zone,managementzone,parkdistrict,editby,createby,createdate,unitcode,restriction,veg_class,landform,loc_name,loc_id,trail,road,valid_result,genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,dateretrieved,kingdom,subkingdom,phylum,subphylum,class,subclass,superdivision,division,subdivision,superorder,ordername,series,suborder,infraorder,superfamily,family,subfamily,tribe,collectionmethod,specimentype,dateprecision,identificationprecision,project
0101000020E6100000D94EEA1741F854C0E5306015A4BB4140,221062,0101000020110F00007C26F59142CF61C1DA10B3B74D205041,220988,>1m <=5m,ATBI DATABASE,,1446943959000,DERV,TAPOCO,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,238751,3928526,35.465938,-83.878969,Lake Cheoah-Little Tennessee River,Twentymile Creek,1389.878906,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446943959000,GRSM,UNR,,4,,,Twentymile Trail,Twenty Mile Ranger Station Road,Valid,Nicrophorus_orbicollis,Nicrophorus  orbicollis,26620,Roundneck Sexton Beetle,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1083974400000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Coleoptera,Staphyliniformia,Polyphaga, ,Staphylinoidea,Silphidae, ,~,UV light, , ,cert,ATBI Coleoptera Survey
0101000020E6100000C26BE3C4C1E254C0B6BA1F6E49B94140,221069,0101000020110F00004C73569800BD61C14DAB4E5BD91D5041,220995,>1m <=5m,ATBI DATABASE,,1446943963000,DERV,NOLAND CREEK,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,269186,3925648,35.447547,-83.543073,Fontana Lake-Tuckasegee River,Tunnel Branch,2269.336182,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446943963000,GRSM,UNR,,10,,,Goldmine Loop Trail,Lakeview Drive East,Valid,Nicrophorus_orbicollis,Nicrophorus  orbicollis,26620,Roundneck Sexton Beetle,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,963964800000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Coleoptera,Staphyliniformia,Polyphaga, ,Staphylinoidea,Silphidae, ,~,black light trap,No, ,cert,ATBI Aquatic TWiG
0101000020E61000003DF1F0BFF1DA54C064C4A0746BBB4140,221103,0101000020110F0000530960FA5DB661C1AF65FEAA12205041,221029,>1m <=5m,ATBI DATABASE,,1446943984000,DERV,BRYSON CITY,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,280313,3927218,35.46421,-83.421001,Deep Creek,Tom Branch,2123.486328,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446943984000,GRSM,UNR,,4,,,Thomas Divide Trail,Tom Branch Road,Valid,Nicrophorus_orbicollis,Nicrophorus  orbicollis,26620,Roundneck Sexton Beetle,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,964310400000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Coleoptera,Staphyliniformia,Polyphaga, ,Staphylinoidea,Silphidae, ,~,black light trap,No, ,cert,General
0101000020E610000019752CD0DDDB54C0BBD5C33C90BA4140,221101,0101000020110F0000F53A7D7726B761C1768E35162E1F5041,221027,>1m <=5m,ATBI DATABASE,,1446943983000,DERV,BRYSON CITY,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,278987,3926508,35.45752,-83.435409,Deep Creek,,1944.378174,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446943983000,GRSM,UNR,,7,,,Noland Divide Trail,East Deep Creek Road,Valid,Nicrophorus_orbicollis,Nicrophorus  orbicollis,26620,Roundneck Sexton Beetle,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,964483200000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Coleoptera,Staphyliniformia,Polyphaga, ,Staphylinoidea,Silphidae, ,~,black light trap,No, ,cert,General
0101000020E61000005DDC5D9FADCD54C0745F51C850E34140,221117,0101000020110F0000ED4866A519AB61C1987EE365C1495041,221043,>1m <=5m,ATBI DATABASE,,1446943992000,DERV,HARTFORD,Great Smoky Mountains National Park,>1m <=5m,Cocke,Tennessee,299904,3961353,35.775896,-83.213718,Cosby Creek,Fletcher Spring Branch,1803.002075,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446943992000,GRSM,UNR,,7,,,Tritt Cemetery Access Trail,Cosby Entrance Road,Valid,Nicrophorus_orbicollis,Nicrophorus  orbicollis,26620,Roundneck Sexton Beetle,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-2208988800000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Coleoptera,Staphyliniformia,Polyphaga, ,Staphylinoidea,Silphidae, ,~,UV light, ,wrong,cert,ATBI Coleoptera Survey
0101000020E6100000F3AFE5954BCD54C0052A2C9017E04140,221119,0101000020110F00007C621C62C6AA61C135E06DAC61465041,221045,>1m <=5m,ATBI DATABASE,,1446943993000,DERV,HARTFORD,Great Smoky Mountains National Park,>1m <=5m,Cocke,Tennessee,300382,3958547,35.750712,-83.207734,Cosby Creek,,2444.06958,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446943993000,GRSM,UNR,,5,,,Cosby Horse Trail,Cosby Campground Road B,Valid,Nicrophorus_orbicollis,Nicrophorus  orbicollis,26620,Roundneck Sexton Beetle,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,964396800000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Coleoptera,Staphyliniformia,Polyphaga, ,Staphylinoidea,Silphidae, ,~,black light (sheet),No, ,cert,ATBI
0101000020E61000006FDF037147C754C00D4C38459EE24140,221122,0101000020110F0000B089A156AAA561C116BB838806495041,221048,>1m <=5m,ATBI DATABASE,,1446943995000,DERV,WATERVILLE,Great Smoky Mountains National Park,>1m <=5m,Cocke,Tennessee,308930,3960549,35.770448,-83.113732,Pigeon River-Cripple Creek,,2078.889404,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446943995000,GRSM,UNR,,7,,,Appalachian Trail,Big Creek Entrance Road,Valid,Nicrophorus_orbicollis,Nicrophorus  orbicollis,26620,Roundneck Sexton Beetle,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1182988800000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Coleoptera,Staphyliniformia,Polyphaga, ,Staphylinoidea,Silphidae, ,~,by hand, , ,cert,ATBI Coleoptera Survey
0101000020E610000075871FBF3EC754C06406390E0DE04140,221121,0101000020110F000080252EF4A2A561C1AA936AAD56465041,221047,>1m <=5m,ATBI DATABASE,,1446943994000,DERV,WATERVILLE,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,308930,3958323,35.750392,-83.113201,Big Creek,,1756.347168,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446943994000,GRSM,UNR,,3,,,Big Creek Trail,Big Creek Campground Loop Road,Valid,Nicrophorus_orbicollis,Nicrophorus  orbicollis,26620,Roundneck Sexton Beetle,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1117756800000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Coleoptera,Staphyliniformia,Polyphaga, ,Staphylinoidea,Silphidae, ,~,UV light, , ,cert,ATBI Coleoptera Survey
0101000020E6100000B682ABDE4FC754C092AF466EF4DE4140,221120,0101000020110F000077C0207FB1A561C1AF35A10531455041,221046,>1m <=5m,ATBI DATABASE,,1446943994000,DERV,COVE CREEK GAP,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,308815,3957375,35.741828,-83.114246,Big Creek,Baxter Creek,2086.644775,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446943994000,GRSM,UNR,,5,,,Baxter Creek Trail,Big Creek Campground Loop Road,Valid,Nicrophorus_orbicollis,Nicrophorus  orbicollis,26620,Roundneck Sexton Beetle,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1117929600000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Coleoptera,Staphyliniformia,Polyphaga, ,Staphylinoidea,Silphidae, ,~,flight intercept trap, , ,cert,ATBI Coleoptera Survey
0101000020E6100000818AD17013CE54C0277587F6ECDE4140,221116,0101000020110F0000FDC7CB1E70AB61C1D7F6383529455041,221042,>1m <=5m,ATBI DATABASE,,1446943992000,DERV,LUFTEE KNOB,Great Smoky Mountains National Park,>1m <=5m,Cocke,Tennessee,299256,3957561,35.7416,-83.219933,Cosby Creek,Inadu Creek,3408.606934,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446943992000,GRSM,UNR,,8,,,Snake Den Ridge Trail,Cosby Campground Road B,Valid,Nicrophorus_orbicollis,Nicrophorus  orbicollis,26620,Roundneck Sexton Beetle,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1025568000000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Coleoptera,Staphyliniformia,Polyphaga, ,Staphylinoidea,Silphidae, ,~,Malaise trap (Townes),No, ,cert,ATBI Pilot Study
0101000020E61000004905F7FEA4C554C0EBD2BB8FDBD64140,221123,0101000020110F0000FC10D7F346A461C1B868BDE0B83C5041,221049,>1m <=5m,ATBI DATABASE,,1446943995000,DERV,COVE CREEK GAP,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,311022,3950307,35.678569,-83.088192,Lower Cataloochee Creek,Correll Branch,2981.276123,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446943995000,GRSM,UNR,,4,,,Little Cataloochee Trail,Old Cataloochee Turnpike,Valid,Nicrophorus_orbicollis,Nicrophorus  orbicollis,26620,Roundneck Sexton Beetle,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1117929600000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Coleoptera,Staphyliniformia,Polyphaga, ,Staphylinoidea,Silphidae, ,~,UV light, , ,cert,ATBI Coleoptera Survey
