the_geom,cartodb_id,the_geom_webmercator,objectid,verror,mapsource,sourcedate,editdate,mapmethod,quadname,unitname,herror,county,state,x_coord,y_coord,lat,lon,watershed,streamname,elevation,year,notes,coord_units,coord_system,datum,utm_zone,managementzone,parkdistrict,editby,createby,createdate,unitcode,restriction,veg_class,landform,loc_name,loc_id,trail,road,valid_result,genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,dateretrieved,kingdom,subkingdom,phylum,subphylum,class,subclass,superdivision,division,subdivision,superorder,ordername,series,suborder,infraorder,superfamily,family,subfamily,tribe,collectionmethod,specimentype,dateprecision,identificationprecision,project
0101000020E610000097E1F34EBBDF54C0C40493ED0CD14140,219091,0101000020110F000047D469D86EBA61C16B4A12F9A6365041,219020,>1m <=5m,ATBI DATABASE,,1446942831000,DERV,MOUNT LE CONTE,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,273999,3946135,35.6332,-83.495803,West Prong Little Pigeon River Upper,,3085.489502,,,dd,GCS,NAD83,17,,Little River District,TPCOLSON,TPCOLSON,1446942831000,GRSM,UNR,,6,,,Cove Hardwood Nature Trail,Newfound Gap Road North,Valid,Mychocerus_striatus,Mychocerus  striatus,24338,Unspecified,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,993686400000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Coleoptera,Cucujiformia,Polyphaga, ,Cucujoidea,Cerylonidae, ,~,Berlese sampling,No, ,cert,ATBI Coleoptera Survey
0101000020E61000005ADCD56473D954C02717F02D0AD64140,219095,0101000020110F000091FE383E19B561C186ECBCF7DD3B5041,219024,>1m <=5m,ATBI DATABASE,,1446942834000,DERV,MOUNT LE CONTE,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,282993,3950238,35.672179,-83.397664,Porters Creek,Porters Creek,2648.368896,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446942834000,GRSM,UNR,,8,,,Porters Creek Trail,Porters Creek Trailhead Parking,Valid,Mychocerus_striatus,Mychocerus  striatus,24338,Unspecified,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1003363200000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Coleoptera,Cucujiformia,Polyphaga, ,Cucujoidea,Cerylonidae, ,~,by hand, , ,cert,ATBI Coleoptera Survey
0101000020E6100000B572431472D954C09B4D9BFF04D74140,219096,0101000020110F0000F03A5F2018B561C127FDDD33E43C5041,219025,>1m <=5m,ATBI DATABASE,,1446942834000,DERV,MOUNT LE CONTE,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,283021,3951087,35.679833,-83.397584,Porters Creek,Porters Creek,2417.21582,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446942834000,GRSM,UNR,,4,,,Porters Creek Trail,Porters Creek Trailhead Parking,Valid,Mychocerus_striatus,Mychocerus  striatus,24338,Unspecified,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1160006400000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Coleoptera,Cucujiformia,Polyphaga, ,Cucujoidea,Cerylonidae, ,~,Berlese sampling, , ,cert,ATBI Coleoptera Survey
0101000020E6100000928D601374D954C00257B4648ED54140,219094,0101000020110F0000DC0476D219B561C19B1B908E5C3B5041,219023,>1m <=5m,ATBI DATABASE,,1446942833000,DERV,MOUNT LE CONTE,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,282979,3949819,35.668401,-83.397706,Porters Creek,Boulevard Prong,2778.78418,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446942833000,GRSM,UNR,,4,,,Porters Creek Trail,Porters Creek Trailhead Parking,Valid,Mychocerus_striatus,Mychocerus  striatus,24338,Unspecified,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1003363200000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Coleoptera,Cucujiformia,Polyphaga, ,Cucujoidea,Cerylonidae, ,~,by hand,No, ,cert,ATBI Coleoptera Survey
0101000020E610000055130053CED554C06F49249760DA4140,219102,0101000020110F000006D164C900B261C11831F41B67405041,219031,>1m <=5m,ATBI DATABASE,,1446942837000,DERV,MOUNT GUYOT,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,288238,3953873,35.706066,-83.340714,Little Pigeon River Upper,Middle Prong Little Pigeon River,2805.815674,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446942837000,GRSM,UNR,,7,,,Ramsey Cascades Trail,Ramsey Cascades Trailhead Parking,Valid,Mychocerus_striatus,Mychocerus  striatus,24338,Unspecified,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1016668800000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Coleoptera,Cucujiformia,Polyphaga, ,Cucujoidea,Cerylonidae, ,~,Berlese sampling, , ,cert,ATBI Coleoptera Survey
0101000020E6100000081022D2DCD154C0A40632C6FDDD4140,219104,0101000020110F00007148476AA7AE61C1AE572CF02E445041,219033,>1m <=5m,ATBI DATABASE,,1446942838000,DERV,MOUNT GUYOT,Great Smoky Mountains National Park,>1m <=5m,Cocke,Tennessee,293886,3956874,35.7343,-83.279099,Cosby Creek,Dunn Creek,3360.566162,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446942838000,GRSM,UNR,,8,,,Albright Grove NatureTrail,Cosby Campground Road B,Valid,Mychocerus_striatus,Mychocerus  striatus,24338,Unspecified,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,993772800000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Coleoptera,Cucujiformia,Polyphaga, ,Cucujoidea,Cerylonidae, ,~,Berlese sampling,No, ,cert,ATBI Coleoptera Survey
0101000020E6100000E73DE7D1C1D154C01DCFB8873CDE4140,219109,0101000020110F00006333B87B90AE61C1A680669970445041,219038,>1m <=5m,ATBI DATABASE,,1446942841000,DERV,MOUNT GUYOT,Great Smoky Mountains National Park,>1m <=5m,Cocke,Tennessee,294040,3957083,35.736215,-83.277451,Cosby Creek,Indian Camp Creek,3184.675781,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446942841000,GRSM,UNR,,4,,,Maddron Bald Trail,Cosby Campground Road B,Valid,Mychocerus_striatus,Mychocerus  striatus,24338,Unspecified,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1160006400000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Coleoptera,Cucujiformia,Polyphaga, ,Cucujoidea,Cerylonidae, ,~,Berlese sampling, , ,cert,ATBI Coleoptera Survey
0101000020E6100000FBD40C04DCD154C0365CED3377DE4140,219106,0101000020110F0000E68C40BBA6AE61C1A94748FDAD445041,219035,>1m <=5m,ATBI DATABASE,,1446942839000,DERV,MOUNT GUYOT,Great Smoky Mountains National Park,>1m <=5m,Cocke,Tennessee,293900,3957285,35.738006,-83.27905,Cosby Creek,Indian Camp Creek,3056.080078,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446942839000,GRSM,UNR,,9,,,Maddron Bald Trail,Cosby Campground Road B,Valid,Mychocerus_striatus,Mychocerus  striatus,24338,Unspecified,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1122854400000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Coleoptera,Cucujiformia,Polyphaga, ,Cucujoidea,Cerylonidae, ,~,Berlese sampling, , ,cert,ATBI Coleoptera Survey
0101000020E6100000711D4EB9D2D154C0C5B889045ADE4140,219107,0101000020110F00007FB8FBD69EAE61C1D1BDCD738F445041,219036,>1m <=5m,ATBI DATABASE,,1446942840000,DERV,MOUNT GUYOT,Great Smoky Mountains National Park,>1m <=5m,Cocke,Tennessee,293949,3957185,35.737115,-83.278483,Cosby Creek,Indian Camp Creek,3085.5896,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446942840000,GRSM,UNR,,10,,,Maddron Bald Trail,Cosby Campground Road B,Valid,Mychocerus_striatus,Mychocerus  striatus,24338,Unspecified,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1091318400000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Coleoptera,Cucujiformia,Polyphaga, ,Cucujoidea,Cerylonidae, ,~,sifting litter, , ,cert,ATBI Coleoptera Survey
0101000020E61000001D75E9FCE7D854C00B928C160CDC4140,219099,0101000020110F0000964175D8A2B461C1F4C3EB4426425041,219028,>1m <=5m,ATBI DATABASE,,1446942836000,DERV,MOUNT LE CONTE,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,283890,3955426,35.719112,-83.389155,Little Pigeon River Middle,,1546.661865,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446942836000,GRSM,UNR,,6,,,Old Settlers Trail,Greenbrier Unpaved Road,Valid,Mychocerus_striatus,Mychocerus  striatus,24338,Unspecified,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1160006400000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Coleoptera,Cucujiformia,Polyphaga, ,Cucujoidea,Cerylonidae, ,~,Berlese sampling, , ,cert,ATBI Coleoptera Survey
