the_geom,cartodb_id,the_geom_webmercator,objectid,verror,mapsource,sourcedate,editdate,mapmethod,quadname,unitname,herror,county,state,x_coord,y_coord,lat,lon,watershed,streamname,elevation,year,notes,coord_units,coord_system,datum,utm_zone,managementzone,parkdistrict,editby,createby,createdate,unitcode,restriction,veg_class,landform,loc_name,loc_id,trail,road,valid_result,genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,dateretrieved,kingdom,subkingdom,phylum,subphylum,class,subclass,superdivision,division,subdivision,superorder,ordername,series,suborder,infraorder,superfamily,family,subfamily,tribe,collectionmethod,specimentype,dateprecision,identificationprecision,project
0101000020E61000008DBA5C18D7DB54C004EED970E1BA4140,147517,0101000020110F00001050DAC220B761C1A6539AC1821F5041,147189,>1m <=5m,ATBI DATABASE,,1446901927000,DERV,BRYSON CITY,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,279031,3926782,35.459998,-83.434999,Deep Creek,,1836.47522,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446901927000,GRSM,UNR,,5,,,Noland Divide Trail,Deep Creek Campground Loop 1,Valid,Crambus_agitatellus,Crambus  agitatellus,10390,Double-banded Grass-veneer Moth,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,964483200000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Pyraloidea,Crambidae,Crambinae,~,UV light, ,day,cert,ATBI Lepidoptera TWIG
0101000020E61000003E690E34B2CD54C03C4546BB95E34140,147544,0101000020110F000042805D891DAB61C127EC9D93094A5041,147216,>1m <=5m,ATBI DATABASE,,1446901944000,DERV,HARTFORD,Great Smoky Mountains National Park,>1m <=5m,Cocke,Tennessee,299884,3961587,35.778,-83.213998,Cosby Creek,Cosby Creek,1742.802612,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446901944000,GRSM,UNR,,6,,,Tritt Cemetery Access Trail,Cosby Government Quarters / Ranger Station Access Road,Valid,Crambus_agitatellus,Crambus  agitatellus,10390,Double-banded Grass-veneer Moth,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,960163200000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Pyraloidea,Crambidae,Crambinae,~,UV light, ,day,cert,ATBI Lepidoptera TWIG
0101000020E610000036EB29C570CD54C0AD2C247C89E14140,147548,0101000020110F0000DDB1D3F6E5AA61C1A9027DD2E4475041,147220,>1m <=5m,ATBI DATABASE,,1446901946000,DERV,HARTFORD,Great Smoky Mountains National Park,>1m <=5m,Cocke,Tennessee,300205,3959804,35.762001,-83.210004,Cosby Creek,Cosby Creek,2040.874756,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446901946000,GRSM,UNR,,5,,,Gabes Mountain Trail,Cosby Entrance Road,Valid,Crambus_agitatellus,Crambus  agitatellus,10390,Double-banded Grass-veneer Moth,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,964483200000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Pyraloidea,Crambidae,Crambinae,~,UV light, ,week,cert,ATBI Lepidoptera TWIG
0101000020E61000002D552FE0A1CD54C0F33F4FBCB0E14140,147547,0101000020110F0000582E66AB0FAB61C1956F6AE70D485041,147219,>1m <=5m,ATBI DATABASE,,1446901946000,DERV,HARTFORD,Great Smoky Mountains National Park,>1m <=5m,Cocke,Tennessee,299937,3959943,35.763199,-83.213001,Cosby Creek,Fletcher Spring Branch,2035.18103,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446901946000,GRSM,UNR,,6,,,Gabes Mountain Trail,Cosby Entrance Road,Valid,Crambus_agitatellus,Crambus  agitatellus,10390,Double-banded Grass-veneer Moth,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,993168000000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Pyraloidea,Crambidae,Crambinae,~,UV light, ,day,cert,ATBI Lepidoptera TWIG
0101000020E6100000217D47AB3FCD54C03EF9D9A727E04140,147550,0101000020110F00005C573843BCAA61C1AF4FAA8372465041,147222,>1m <=5m,ATBI DATABASE,,1446901947000,DERV,HARTFORD,Great Smoky Mountains National Park,>1m <=5m,Cocke,Tennessee,300449,3958600,35.751203,-83.207007,Cosby Creek,,2392.250244,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446901947000,GRSM,UNR,,6,,,Cosby Horse Trail,Cosby Campground Road B,Valid,Crambus_agitatellus,Crambus  agitatellus,10390,Double-banded Grass-veneer Moth,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,993168000000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Pyraloidea,Crambidae,Crambinae,~,UV light, ,day,cert,ATBI Lepidoptera TWIG
0101000020E6100000793E332304CE54C0CC4F14625AE44140,147543,0101000020110F000033C08F1F63AB61C184E32A73D74A5041,147215,>1m <=5m,ATBI DATABASE,,1446901944000,DERV,HARTFORD,Great Smoky Mountains National Park,>1m <=5m,Cocke,Tennessee,299447,3962263,35.784001,-83.218999,Cosby Creek,Cosby Creek,1650.478271,,,dd,GCS,NAD83,17,,,TPCOLSON,TPCOLSON,1446901944000,GRSM,UNR,,8,,,Tritt Cemetery Access Trail,Cosby Entrance Road,Valid,Crambus_agitatellus,Crambus  agitatellus,10390,Double-banded Grass-veneer Moth,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,964224000000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Pyraloidea,Crambidae,Crambinae,~,unspecified, ,day,cert,ATBI Lepidoptera TWIG
0101000020E61000003C2859C8C8C654C049ABF4EF47E14140,147556,0101000020110F0000CFEB59C43EA561C13201D737A0475041,147228,>1m <=5m,ATBI DATABASE,,1446901950000,DERV,WATERVILLE,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,309604,3959375,35.760001,-83.106001,Big Creek,Chestnut Branch,1627.269409,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446901950000,GRSM,UNR,,3,,,Chestnut Branch Trail,Big Creek Ranger Station Parking,Valid,Crambus_agitatellus,Crambus  agitatellus,10390,Double-banded Grass-veneer Moth,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1023580800000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Pyraloidea,Crambidae,Crambinae,~,UV light, ,day,cert,ATBI Lepidoptera TWIG
0101000020E6100000B9556BBC0FCD54C0C33528AEEBDF4140,147551,0101000020110F00004929938D93AA61C1905930C033465041,147223,>1m <=5m,ATBI DATABASE,,1446901948000,DERV,LUFTEE KNOB,Great Smoky Mountains National Park,>1m <=5m,Cocke,Tennessee,300709,3958391,35.749373,-83.204081,Cosby Creek,Cosby Creek,2450.387451,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446901948000,GRSM,UNR,,3,,,Low Gap Trail Access,Cosby Campground Road B,Valid,Crambus_agitatellus,Crambus  agitatellus,10390,Double-banded Grass-veneer Moth,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,993168000000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Pyraloidea,Crambidae,Crambinae,~,UV light, , ,cert,ATBI Lepidoptera TWiG
0101000020E6100000D116F6052BC754C0D16D032321D04140,147555,0101000020110F000012EDEC3392A561C1776BCD97B0355041,147227,>1m <=5m,ATBI DATABASE,,1446901950000,DERV,COVE CREEK GAP,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,308742,3944522,35.626004,-83.111997,Upper Cataloochee Creek,Palmer Creek,2738.823242,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446901950000,GRSM,UNR,,6,,,Cataloochee Horse Trail,Cataloochee Entrance Road,Valid,Crambus_agitatellus,Crambus  agitatellus,10390,Double-banded Grass-veneer Moth,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1023494400000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Pyraloidea,Crambidae,Crambinae,~,at light, , ,cert,ATBI Lepidoptera TWiG
0101000020E6100000C973BF3B60C554C006DEB12E27D14140,147557,0101000020110F00000C1D6C8D0CA461C1EE8C5E68C2365041,147229,>1m <=5m,ATBI DATABASE,,1446901951000,DERV,COVE CREEK GAP,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,311297,3945355,35.634001,-83.083995,Lower Cataloochee Creek,Lower Double Branch,2622.016602,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446901951000,GRSM,UNR,,7,,,Cataloochee Horse Trail,Cataloochee Entrance Road,Valid,Crambus_agitatellus,Crambus  agitatellus,10390,Double-banded Grass-veneer Moth,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1023580800000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Pyraloidea,Crambidae,Crambinae,~,UV light, , ,cert,ATBI Lepidoptera TWiG
0101000020E61000008D94442EACC454C037E70A3D02CB4140,147581,0101000020110F00008A1D37A273A361C1C551E73A57305041,147253,>1m <=5m,ATBI DATABASE,,1446901962000,DERV,DELLWOOD,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,312180,3940009,35.585999,-83.073005,Lower Johnathans Creek,,4917.642578,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446901962000,GRSM,UNR,,7,,,Science Center Trail,The Purchase Road (closed Winter),Valid,Crambus_agitatellus,Crambus  agitatellus,10390,Double-banded Grass-veneer Moth,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,998006400000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Pyraloidea,Crambidae,Crambinae,~,UV light, , ,cert,ATBI Lepidoptera TWiG
