the_geom,cartodb_id,the_geom_webmercator,objectid,verror,mapsource,sourcedate,editdate,mapmethod,quadname,unitname,herror,county,state,x_coord,y_coord,lat,lon,watershed,streamname,elevation,year,notes,coord_units,coord_system,datum,utm_zone,managementzone,parkdistrict,editby,createby,createdate,unitcode,restriction,veg_class,landform,loc_name,loc_id,trail,road,valid_result,genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,dateretrieved,kingdom,subkingdom,phylum,subphylum,class,subclass,superdivision,division,subdivision,superorder,ordername,series,suborder,infraorder,superfamily,family,subfamily,tribe,collectionmethod,specimentype,dateprecision,identificationprecision,project
0101000020E61000009E2350CFABC454C0B6F9326A21D54140,127722,0101000020110F0000DDF2915173A361C10E86A9A1EA3A5041,127303,>1m <=5m,ATBI DATABASE,,1446890551000,DERV,COVE CREEK GAP,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,312367,3948781,35.665075,-83.072983,Lower Cataloochee Creek,Cataloochee Creek,2468.658691,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446890551000,GRSM,UNR,,4,,,Lawson Jenkins-Kerr Cemetery Access,Old Cataloochee Turnpike,Valid,Calopteryx_maculata,Calopteryx  maculata,6285,Ebony Jewelwing,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,964051200000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Odonata, ,Zygoptera, , ,Calopterygidae, ,~,by hand, , ,cert,Inventory & Monitoring
0101000020E6100000EDBFBAFC57C754C04F9A812FE4CF4140,127715,0101000020110F0000B5480664B8A561C1F8A082E870355041,127296,>1m <=5m,ATBI DATABASE,,1446890548000,DERV,DELLWOOD,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,308489,3944321,35.624144,-83.114741,Upper Cataloochee Creek,Rough Fork,2756.134033,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446890548000,GRSM,UNR,,6,,,Doc Caldwell Cemetery Access,Cataloochee Entrance Road,Valid,Calopteryx_maculata,Calopteryx  maculata,6285,Ebony Jewelwing,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1374710400000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Odonata, ,Zygoptera, , ,Calopterygidae, ,~,observed,No,day,cert,ATBI
0101000020E61000007E71D983D1C754C02624BABDDDCE4140,127714,0101000020110F00002C5DB59A1FA661C1C272EBB55E345041,127295,>1m <=5m,ATBI DATABASE,,1446890547000,DERV,DELLWOOD,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,307798,3943447,35.616135,-83.122159,Upper Cataloochee Creek,,2839.855225,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446890547000,GRSM,UNR,,3,,,Rough Fork Trail,Cataloochee Entrance Road,Valid,Calopteryx_maculata,Calopteryx  maculata,6285,Ebony Jewelwing,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1091923200000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Odonata, ,Zygoptera, , ,Calopterygidae, ,~,observed,No,day,cert,General
0101000020E61000004D37C3ECC9D354C025B25F1C81C84140,127702,0101000020110F0000F49263354AB061C1A11411C2B92D5041,127284,>1m <=5m,ATBI DATABASE,,1446890540000,DERV,SMOKEMONT,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,290726,3938315,35.566433,-83.309196,Bradley Fork,Bradley Fork,2279.573242,,,dd,GCS,NAD83,17,,Oconaluftee District,TPCOLSON,TPCOLSON,1446890540000,GRSM,UNR,,7,,,Bradley Fork Trail,Bradly Fork Trail Road,Valid,Calopteryx_maculata,Calopteryx  maculata,6285,Ebony Jewelwing,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1124064000000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Odonata, ,Zygoptera, , ,Calopterygidae, ,~,unspecified,No,day,cert,ATBI Odonata Survey
0101000020E61000004B08DC0EDBD354C06D9AD631A4C84140,127700,0101000020110F0000DCA180C258B061C1B8758563DE2D5041,127282,>1m <=5m,ATBI DATABASE,,1446890539000,DERV,SMOKEMONT,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,290634,3938436,35.567504,-83.310241,Bradley Fork,Bradley Fork,2291.346191,,,dd,GCS,NAD83,17,,Oconaluftee District,TPCOLSON,TPCOLSON,1446890539000,GRSM,UNR,,4,,,Bradley Fork Trail,Bradly Fork Trail Road,Valid,Calopteryx_maculata,Calopteryx  maculata,6285,Ebony Jewelwing,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1124064000000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Odonata, ,Zygoptera, , ,Calopterygidae, ,~,unspecified,No,day,cert,ATBI Odonata Survey
0101000020E610000023DCB0E23ED354C0BB95EAB1D6C44140,127710,0101000020110F00004E2A551FD4AF61C1804A3826E6295041,127292,>1m <=5m,ATBI DATABASE,,1446890545000,DERV,SMOKEMONT,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,291421,3935120,35.537795,-83.300709,Lower Oconaluftee River,Oconaluftee River,2105.556396,,,dd,GCS,NAD83,17,,Oconaluftee District,TPCOLSON,TPCOLSON,1446890545000,GRSM,UNR,,3,,,Chambers Cemetery Access,Nfg Pullout Parking At Mp 28.77,Valid,Calopteryx_maculata,Calopteryx  maculata,6285,Ebony Jewelwing,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1311379200000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Odonata, ,Zygoptera, , ,Calopterygidae, ,~,observed,No,day,cert,ATBI
0101000020E6100000EA6F79143DD354C084638CCBD5C04140,127707,0101000020110F0000DEA5C596D2AF61C1EA6ADFA8B8255041,127289,>1m <=5m,ATBI DATABASE,,1446890544000,DERV,SMOKEMONT,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,291350,3931650,35.506518,-83.300599,Lower Oconaluftee River,Oconaluftee River,2004.266602,,,dd,GCS,NAD83,17,,Oconaluftee District,TPCOLSON,TPCOLSON,1446890544000,GRSM,UNR,,7,,,Oconaluftee River Trail,Newfound Gap Road South,Valid,Calopteryx_maculata,Calopteryx  maculata,6285,Ebony Jewelwing,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1339718400000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Odonata, ,Zygoptera, , ,Calopterygidae, ,~,observed,No,day,cert,ATBI
0101000020E61000006E5CB0683BD354C0255B159CD2C04140,127708,0101000020110F00007028742BD1AF61C11F961856B5255041,127290,>1m <=5m,ATBI DATABASE,,1446890544000,DERV,SMOKEMONT,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,291359,3931639,35.50642,-83.300497,Lower Oconaluftee River,Oconaluftee River,2005.026611,,,dd,GCS,NAD83,17,,Oconaluftee District,TPCOLSON,TPCOLSON,1446890544000,GRSM,UNR,,6,,,Oconaluftee River Trail,Newfound Gap Road South,Valid,Calopteryx_maculata,Calopteryx  maculata,6285,Ebony Jewelwing,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1311379200000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Odonata, ,Zygoptera, , ,Calopterygidae, ,~,observed,No,day,cert,ATBI
0101000020E6100000EE5EF34C5DD354C01C391611CEC04140,127704,0101000020110F0000D3A034F4EDAF61C1C990BD98B0255041,127286,>1m <=5m,ATBI DATABASE,,1446890541000,DERV,SMOKEMONT,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,291171,3931628,35.506282,-83.302566,Lower Oconaluftee River,Oconaluftee River,2008.709839,,,dd,GCS,NAD83,17,,Oconaluftee District,TPCOLSON,TPCOLSON,1446890541000,GRSM,UNR,,5,,,Oconaluftee River Trail,Newfound Gap Road South,Valid,Calopteryx_maculata,Calopteryx  maculata,6285,Ebony Jewelwing,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1118707200000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Odonata, ,Zygoptera, , ,Calopterygidae, ,~,sweeping, ,day,cert,ATBI
0101000020E61000006AE9C5E130D354C0A51F76AE01C14140,127709,0101000020110F00002C30A93AC8AF61C1CE166472E6255041,127291,>1m <=5m,ATBI DATABASE,,1446890545000,DERV,SMOKEMONT,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,291421,3931797,35.507857,-83.299855,Lower Oconaluftee River,,2009.653564,,,dd,GCS,NAD83,17,,Oconaluftee District,TPCOLSON,TPCOLSON,1446890545000,GRSM,UNR,,5,,,Oconaluftee River Trail,Newfound Gap Road South,Valid,Calopteryx_maculata,Calopteryx  maculata,6285,Ebony Jewelwing,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1124755200000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Odonata, ,Zygoptera, , ,Calopterygidae, ,~,sweeping, ,day,cert,ATBI
