the_geom,cartodb_id,the_geom_webmercator,objectid,verror,mapsource,sourcedate,editdate,mapmethod,quadname,unitname,herror,county,state,x_coord,y_coord,lat,lon,watershed,streamname,elevation,year,notes,coord_units,coord_system,datum,utm_zone,managementzone,parkdistrict,editby,createby,createdate,unitcode,restriction,veg_class,landform,loc_name,loc_id,trail,road,valid_result,genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,dateretrieved,kingdom,subkingdom,phylum,subphylum,class,subclass,superdivision,division,subdivision,superorder,ordername,series,suborder,infraorder,superfamily,family,subfamily,tribe,collectionmethod,specimentype,dateprecision,identificationprecision,project
0101000020E6100000F9EB5FA316F154C04CD8A11BD3BD4140,128019,0101000020110F000043BD15912CC961C176DD8BB794225041,127582,>1m <=5m,ATBI DATABASE,,1446890704000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,248967,3930128,35.482998,-83.767003,Eagle Creek,,2170.726807,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446890704000,GRSM,UNR,,4,,,Lakeshore Trail,Lakeview Drive West,Valid,Calycopis_cecrops,Calycopis  cecrops,6394,Red-banded Hairstreak,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1086134400000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Papilionoidea,Lycaenidae,Lycaeninae,~,by hand,No,day,cert,Northshore Road EIS
0101000020E61000003106FACAF7EF54C0C48BA42EB0BA4140,128021,0101000020110F0000A21AEDF238C861C12E4011654F1F5041,127584,>1m <=5m,ATBI DATABASE,,1446890705000,DERV,TUSKEEGEE,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,250480,3927365,35.458495,-83.749495,Hazel Creek,Cable Branch,1707.578613,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446890705000,GRSM,UNR,,6,,,Lakeshore Trail,Lakeview Drive West,Valid,Calycopis_cecrops,Calycopis  cecrops,6394,Red-banded Hairstreak,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1213228800000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Papilionoidea,Lycaenidae,Lycaeninae,~,aerial net,No,day,cert,ATBI
0101000020E61000004DE9870EAAE154C0150EC3A23DBA4140,128031,0101000020110F0000532A090913BC61C105844EF6D71E5041,127594,>1m <=5m,ATBI DATABASE,,1446890711000,DERV,NOLAND CREEK,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,270757,3926435,35.454999,-83.526,Noland Creek,Noland Creek,1992.708008,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446890711000,GRSM,UNR,,4,,,Noland Creek Trail,Lakeview Drive East,Valid,Calycopis_cecrops,Calycopis  cecrops,6394,Red-banded Hairstreak,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1086220800000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Papilionoidea,Lycaenidae,Lycaeninae,~,by hand,No,day,cert,Northshore Road EIS
0101000020E610000099EE4AD2C2E154C0DB5F7C2CD8B94140,128030,0101000020110F0000F7C1651128BC61C15140252D6E1E5041,127593,>1m <=5m,ATBI DATABASE,,1446890711000,DERV,NOLAND CREEK,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,270611,3926095,35.451903,-83.527512,Noland Creek,Noland Creek,1738.579956,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446890711000,GRSM,UNR,,6,,,Noland Creek Trail,Lakeview Drive East,Valid,Calycopis_cecrops,Calycopis  cecrops,6394,Red-banded Hairstreak,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1219449600000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Papilionoidea,Lycaenidae,Lycaeninae,~,observed,No,day,cert,ATBI
0101000020E6100000793ADE1729DC54C0D447985D08BB4140,128039,0101000020110F00009FFFF16666B761C169AEE957AB1F5041,127602,>1m <=5m,ATBI DATABASE,,1446890716000,DERV,BRYSON CITY,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,278580,3926925,35.461186,-83.440004,Deep Creek,,1928.332275,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446890716000,GRSM,UNR,,7,,,Noland Divide Trail,Deep Creek Picnic Shelter Parking,Valid,Calycopis_cecrops,Calycopis  cecrops,6394,Red-banded Hairstreak,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1145750400000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Papilionoidea,Lycaenidae,Lycaeninae,~,observed,No,day,prob.,General
0101000020E61000003E690E34B2CD54C03C4546BB95E34140,128044,0101000020110F000042805D891DAB61C127EC9D93094A5041,127607,>1m <=5m,ATBI DATABASE,,1446890719000,DERV,HARTFORD,Great Smoky Mountains National Park,>1m <=5m,Cocke,Tennessee,299884,3961587,35.778,-83.213998,Cosby Creek,Cosby Creek,1742.802612,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446890719000,GRSM,UNR,,6,,,Tritt Cemetery Access Trail,Cosby Government Quarters / Ranger Station Access Road,Valid,Calycopis_cecrops,Calycopis  cecrops,6394,Red-banded Hairstreak,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,957916800000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Papilionoidea,Lycaenidae,Lycaeninae,~,unspecified, ,day,cert,ATBI Lepidoptera TWIG
0101000020E6100000C973BF3B60C554C006DEB12E27D14140,128045,0101000020110F00000C1D6C8D0CA461C1EE8C5E68C2365041,127608,>1m <=5m,ATBI DATABASE,,1446890719000,DERV,COVE CREEK GAP,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,311297,3945355,35.634001,-83.083995,Lower Cataloochee Creek,Lower Double Branch,2622.016602,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446890719000,GRSM,UNR,,7,,,Cataloochee Horse Trail,Cataloochee Entrance Road,Valid,Calycopis_cecrops,Calycopis  cecrops,6394,Red-banded Hairstreak,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1021939200000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Papilionoidea,Lycaenidae,Lycaeninae,~,unspecified, , ,cert,ATBI Lepidoptera TWiG
0101000020E61000000AA4103D33C354C082303142AAD14140,128049,0101000020110F0000454D1C7F33A261C1DFDB8D614B375041,127612,>1m <=5m,ATBI DATABASE,,1446890721000,DERV,COVE CREEK GAP,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,314385,3945734,35.638002,-83.049998,Lower Cataloochee Creek,Winding Stair Branch,3749.368652,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446890721000,GRSM,UNR,,9,,,Cataloochee Divide Trail,Old Cataloochee Turnpike,Valid,Calycopis_cecrops,Calycopis  cecrops,6394,Red-banded Hairstreak,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1210377600000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Papilionoidea,Lycaenidae,Lycaeninae,~,unspecified, , ,cert,ATBI Lepidoptera TWiG
0101000020E61000008D5279A3A5C454C065312BC029CB4140,128047,0101000020110F000041EFCF136EA361C11276977E80305041,127610,>1m <=5m,ATBI DATABASE,,1446890720000,DERV,DELLWOOD,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,312219,3940142,35.587205,-83.072606,Lower Johnathans Creek,Cove Creek,4830.932129,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446890720000,GRSM,UNR,,6,,,Science Center Trail,The Purchase Road (closed Winter),Valid,Calycopis_cecrops,Calycopis  cecrops,6394,Red-banded Hairstreak,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1210377600000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Papilionoidea,Lycaenidae,Lycaeninae,~,observed,No,day,cert,Lepidoptera Survey
0101000020E61000000D5D00E27AC454C0110D2FE1C0CA4140,128048,0101000020110F0000E0AAD1C349A361C167A168F912305041,127611,>1m <=5m,ATBI DATABASE,,1446890720000,DERV,DELLWOOD,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,312448,3939782,35.584004,-83.069996,Lower Johnathans Creek,Beantown Creek,4682.922852,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446890720000,GRSM,UNR,,4,,,Ferguson Cabin Horse Trail,The Purchase Road (closed Winter),Valid,Calycopis_cecrops,Calycopis  cecrops,6394,Red-banded Hairstreak,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1210377600000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Papilionoidea,Lycaenidae,Lycaeninae,~,unspecified, , ,cert,ATBI Lepidoptera TWiG
0101000020E6100000B5EF24FEB5C454C04C7A66E9CDCA4140,128046,0101000020110F0000ED7D8DF77BA361C1A4B2779520305041,127609,>1m <=5m,ATBI DATABASE,,1446890720000,DERV,DELLWOOD,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,312122,3939833,35.584402,-83.073604,Lower Johnathans Creek,,4819.37207,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446890720000,GRSM,UNR,,6,,,Ferguson Cabin Horse Trail,The Purchase Road (closed Winter),Valid,Calycopis_cecrops,Calycopis  cecrops,6394,Red-banded Hairstreak,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,958262400000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Papilionoidea,Lycaenidae,Lycaeninae,~,unspecified, , ,cert,ATBI Lepidoptera TWiG
