the_geom,cartodb_id,the_geom_webmercator,objectid,verror,mapsource,sourcedate,editdate,mapmethod,quadname,unitname,herror,county,state,x_coord,y_coord,lat,lon,watershed,streamname,elevation,year,notes,coord_units,coord_system,datum,utm_zone,managementzone,parkdistrict,editby,createby,createdate,unitcode,restriction,veg_class,landform,loc_name,loc_id,trail,road,valid_result,genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,dateretrieved,kingdom,subkingdom,phylum,subphylum,class,subclass,superdivision,division,subdivision,superorder,ordername,series,suborder,infraorder,superfamily,family,subfamily,tribe,collectionmethod,specimentype,dateprecision,identificationprecision,project
0101000020E6100000175D83637BCE54C002B4BA905FDF4140,175660,0101000020110F0000586F4467C8AB61C13852A820A1455041,175280,>1m <=5m,ATBI DATABASE,,1446917857000,DERV,LUFTEE KNOB,Great Smoky Mountains National Park,>1m <=5m,Cocke,Tennessee,298691,3957962,35.745097,-83.226277,Cosby Creek,Crying Creek,3700.367188,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446917857000,GRSM,UNR,,4,,,Snake Den Ridge Trail,Cosby Campground Road B,Valid,Gaultheria_procumbens,Gaultheria  procumbens,17099,Wintergreen,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,925430400000,Plantae,Tracheobionta, , ,Magnoliopsida,Dilleniidae,Spermatophyta,Magnoliophyta, , ,Ericales, , , , ,Ericaceae, ,~,observed, , ,cert,INHS plant survey
0101000020E610000012B5798B83CE54C05FB3DAD879DF4140,175659,0101000020110F00003E089354CFAB61C1B2F624A1BC455041,175279,>1m <=5m,ATBI DATABASE,,1446917857000,DERV,LUFTEE KNOB,Great Smoky Mountains National Park,>1m <=5m,Cocke,Tennessee,298648,3958052,35.745899,-83.226775,Cosby Creek,Crying Creek,3733.500488,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446917857000,GRSM,UNR,,7,,,Snake Den Ridge Trail,Cosby Campground Road B,Valid,Gaultheria_procumbens,Gaultheria  procumbens,17099,Wintergreen,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,933033600000,Plantae,Tracheobionta, , ,Magnoliopsida,Dilleniidae,Spermatophyta,Magnoliophyta, , ,Ericales, , , , ,Ericaceae, ,~,observed, , ,cert,INHS plant survey
0101000020E6100000A2633C8788CE54C01A61E2738DDF4140,175658,0101000020110F000088FF1390D3AB61C1EF4B3C25D1455041,175278,>1m <=5m,ATBI DATABASE,,1446917856000,DERV,LUFTEE KNOB,Great Smoky Mountains National Park,>1m <=5m,Cocke,Tennessee,298622,3958119,35.746497,-83.227079,Cosby Creek,Crying Creek,3803.445557,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446917856000,GRSM,UNR,,5,,,Snake Den Ridge Trail,Cosby Campground Road B,Valid,Gaultheria_procumbens,Gaultheria  procumbens,17099,Wintergreen,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,925430400000,Plantae,Tracheobionta, , ,Magnoliopsida,Dilleniidae,Spermatophyta,Magnoliophyta, , ,Ericales, , , , ,Ericaceae, ,~,observed, , ,cert,INHS plant survey
0101000020E6100000DA1A26BA11C654C06D20660123D64140,175669,0101000020110F00003343454CA3A461C110322DECF73B5041,175289,>1m <=5m,ATBI DATABASE,,1446917862000,DERV,COVE CREEK GAP,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,310408,3949695,35.672936,-83.094828,Lower Cataloochee Creek,,3144.084961,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446917862000,GRSM,UNR,,4,,,Long Bunk Trail,Old Cataloochee Turnpike,Valid,Gaultheria_procumbens,Gaultheria  procumbens,17099,Wintergreen,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1116633600000,Plantae,Tracheobionta, , ,Magnoliopsida,Dilleniidae,Spermatophyta,Magnoliophyta, , ,Ericales, , , , ,Ericaceae, ,~,observed, , ,cert,ATBI Ferns
0101000020E6100000EA918FA813C654C0A427B7BD02D64140,175668,0101000020110F0000BCBF2CF0A4A461C162C8F130D63B5041,175288,>1m <=5m,ATBI DATABASE,,1446917861000,DERV,COVE CREEK GAP,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,310395,3949586,35.671952,-83.094946,Lower Cataloochee Creek,,3100.962402,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446917861000,GRSM,UNR,,7,,,Long Bunk Trail,Old Cataloochee Turnpike,Valid,Gaultheria_procumbens,Gaultheria  procumbens,17099,Wintergreen,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1324166400000,Plantae,Tracheobionta, , ,Magnoliopsida,Dilleniidae,Spermatophyta,Magnoliophyta, , ,Ericales, , , , ,Ericaceae, ,~,observed,No,day,cert,ATBI
0101000020E6100000DF859EAE3DC554C0033B61363FCF4140,175671,0101000020110F00007C754035EFA361C19AC3378BC4345041,175291,>1m <=5m,ATBI DATABASE,,1446917863000,DERV,DELLWOOD,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,311453,3943699,35.61911,-83.081886,Upper Cataloochee Creek,Den Branch,3284.416992,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446917863000,GRSM,UNR,,4,,,Boogerman Trail,Cataloochee Campground Loop Road,Valid,Gaultheria_procumbens,Gaultheria  procumbens,17099,Wintergreen,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1033689600000,Plantae,Tracheobionta, , ,Magnoliopsida,Dilleniidae,Spermatophyta,Magnoliophyta, , ,Ericales, , , , ,Ericaceae, ,~,observed, , ,cert,INHS plant survey
0101000020E61000003F953311DFC554C0DA67517C95CF4140,175670,0101000020110F0000924FBD4578A461C106C252AE1E355041,175290,>1m <=5m,ATBI DATABASE,,1446917862000,DERV,DELLWOOD,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,310567,3944010,35.621743,-83.091736,Upper Cataloochee Creek,Caldwell Fork,3023.883057,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446917862000,GRSM,UNR,,7,,,Caldwell Fork Trail,Cataloochee Entrance Road,Valid,Gaultheria_procumbens,Gaultheria  procumbens,17099,Wintergreen,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,898128000000,Plantae,Tracheobionta, , ,Magnoliopsida,Dilleniidae,Spermatophyta,Magnoliophyta, , ,Ericales, , , , ,Ericaceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E610000091D0663AD3C654C0EBF15C8E80CC4140,175667,0101000020110F00006FF46CA347A561C1C8D42887E6315041,175287,>1m <=5m,ATBI DATABASE,,1446917861000,DERV,DELLWOOD,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,309160,3941368,35.597666,-83.106638,Upper Cataloochee Creek,Caldwell Fork,3144.494629,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446917861000,GRSM,UNR,,7,,,Big Fork Ridge Trail,Cataloochee Entrance Road,Valid,Gaultheria_procumbens,Gaultheria  procumbens,17099,Wintergreen,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1020902400000,Plantae,Tracheobionta, , ,Magnoliopsida,Dilleniidae,Spermatophyta,Magnoliophyta, , ,Ericales, , , , ,Ericaceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E6100000E27065D79DDF54C08CBFCB1EFEC44140,175642,0101000020110F00004327ABD155BA61C1DD28564C0F2A5041,175262,>1m <=5m,ATBI DATABASE,,1446917847000,DERV,CLINGMANS DOME,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,273897,3935680,35.538998,-83.494005,Noland Creek,Keeyuga Creek,5757.082031,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446917847000,GRSM,UNR,,6,,,Forney Ridge Trail,Clingmans Dome Road Parking #3,Valid,Gaultheria_procumbens,Gaultheria  procumbens,17099,Wintergreen,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,0,Plantae,Tracheobionta, , ,Magnoliopsida,Dilleniidae,Spermatophyta,Magnoliophyta, , ,Ericales, , , , ,Ericaceae, ,~,unspecified,No,decade,cert,GRSMNP Grassy Balds
0101000020E6100000FF3BDAECD3DE54C06F4295321AD34140,175644,0101000020110F00004A9DDF54AAB961C187B51CE9CB385041,175264,>1m <=5m,ATBI DATABASE,,1446917849000,DERV,MOUNT LE CONTE,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,275323,3947881,35.64923,-83.481681,West Prong Little Pigeon River Upper,Big Branch,4845.591797,,,dd,GCS,NAD83,17,,Little River District,TPCOLSON,TPCOLSON,1446917849000,GRSM,UNR,,9,,,Bullhead Trail,Pullout Parking At Mp 7.72,Valid,Gaultheria_procumbens,Gaultheria  procumbens,17099,Wintergreen,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,902880000000,Plantae,Tracheobionta, , ,Magnoliopsida,Dilleniidae,Spermatophyta,Magnoliophyta, , ,Ericales, , , , ,Ericaceae, ,~,observed, ,day,cert,Fridley Veg Plots
