the_geom,cartodb_id,the_geom_webmercator,objectid,verror,mapsource,sourcedate,editdate,mapmethod,quadname,unitname,herror,county,state,x_coord,y_coord,lat,lon,watershed,streamname,elevation,year,notes,coord_units,coord_system,datum,utm_zone,managementzone,parkdistrict,editby,createby,createdate,unitcode,restriction,veg_class,landform,loc_name,loc_id,trail,road,valid_result,genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,dateretrieved,kingdom,subkingdom,phylum,subphylum,class,subclass,superdivision,division,subdivision,superorder,ordername,series,suborder,infraorder,superfamily,family,subfamily,tribe,collectionmethod,specimentype,dateprecision,identificationprecision,project
0101000020E61000000193E451DBF154C0E287014D2FBD4140,169476,0101000020110F000066BBCB9BD3C961C158EC2EDFE9215041,169160,>1m <=5m,ATBI DATABASE,,1446914345000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,247862,3929604,35.477999,-83.779007,Eagle Creek,Eagle Creek,1715.650391,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446914345000,GRSM,UNR,,2,,,Lake Shore Trail low water access,Lakeview Drive West,Valid,Euptoieta_claudia,Euptoieta  claudia,14683,Variegated Fritillary Butterfly,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1087257600000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Papilionoidea,Nymphalidae,Heliconiinae,~,by hand,No,day,cert,Northshore Road EIS
0101000020E61000003E690E34B2CD54C03C4546BB95E34140,169499,0101000020110F000042805D891DAB61C127EC9D93094A5041,169183,>1m <=5m,ATBI DATABASE,,1446914358000,DERV,HARTFORD,Great Smoky Mountains National Park,>1m <=5m,Cocke,Tennessee,299884,3961587,35.778,-83.213998,Cosby Creek,Cosby Creek,1742.802612,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446914358000,GRSM,UNR,,6,,,Tritt Cemetery Access Trail,Cosby Government Quarters / Ranger Station Access Road,Valid,Euptoieta_claudia,Euptoieta  claudia,14683,Variegated Fritillary Butterfly,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,957916800000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Papilionoidea,Nymphalidae,Heliconiinae,~,unspecified, ,day,cert,ATBI Lepidoptera TWIG
0101000020E6100000CF4803C61AC754C0E56EA9ED20E04140,169500,0101000020110F00002745E16684A561C1C7D864796B465041,169184,>1m <=5m,ATBI DATABASE,,1446914359000,DERV,WATERVILLE,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,309130,3958386,35.750998,-83.111005,Big Creek,,1719.309204,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446914359000,GRSM,UNR,,6,,,Big Creek Trail,Big Creek Campground Loop Road,Valid,Euptoieta_claudia,Euptoieta  claudia,14683,Variegated Fritillary Butterfly,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,525657600000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Papilionoidea,Nymphalidae,Heliconiinae,~,unspecified, , ,cert,ATBI Lepidoptera TWiG
0101000020E61000002A6B3902FEC454C01B1123C3EBD14140,169502,0101000020110F0000543D5221B9A361C1B1B39AD58F375041,169186,>1m <=5m,ATBI DATABASE,,1446914360000,DERV,COVE CREEK GAP,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,311854,3946009,35.640001,-83.078,Lower Cataloochee Creek,Cataloochee Creek,2626.595459,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446914360000,GRSM,UNR,,6,,,Cataloochee Horse Trail,Cataloochee Entrance Road,Valid,Euptoieta_claudia,Euptoieta  claudia,14683,Variegated Fritillary Butterfly,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,590803200000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Papilionoidea,Nymphalidae,Heliconiinae,~,unspecified, ,day,cert,ATBI Lepidoptera TWIG
0101000020E6100000C973BF3B60C554C006DEB12E27D14140,169501,0101000020110F00000C1D6C8D0CA461C1EE8C5E68C2365041,169185,>1m <=5m,ATBI DATABASE,,1446914359000,DERV,COVE CREEK GAP,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,311297,3945355,35.634001,-83.083995,Lower Cataloochee Creek,Lower Double Branch,2622.016602,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446914359000,GRSM,UNR,,7,,,Cataloochee Horse Trail,Cataloochee Entrance Road,Valid,Euptoieta_claudia,Euptoieta  claudia,14683,Variegated Fritillary Butterfly,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,958003200000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Papilionoidea,Nymphalidae,Heliconiinae,~,unspecified, ,day,cert,ATBI Lepidoptera TWIG
0101000020E6100000A5EAFE14FBC254C0744F7F3F7AD14140,169511,0101000020110F0000D6AB82CD03A261C10118B03519375041,169195,>1m <=5m,ATBI DATABASE,,1446914364000,DERV,COVE CREEK GAP,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,314692,3945565,35.636536,-83.046571,Lower Cataloochee Creek,,3820.921631,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446914364000,GRSM,UNR,,5,,,Cataloochee Divide Trail,Old Cataloochee Turnpike,Valid,Euptoieta_claudia,Euptoieta  claudia,14683,Variegated Fritillary Butterfly,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,958003200000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Papilionoidea,Nymphalidae,Heliconiinae,~,unspecified, , ,cert,ATBI Lepidoptera TWiG
0101000020E61000000AA4103D33C354C082303142AAD14140,169510,0101000020110F0000454D1C7F33A261C1DFDB8D614B375041,169194,>1m <=5m,ATBI DATABASE,,1446914364000,DERV,COVE CREEK GAP,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,314385,3945734,35.638002,-83.049998,Lower Cataloochee Creek,Winding Stair Branch,3749.368652,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446914364000,GRSM,UNR,,9,,,Cataloochee Divide Trail,Old Cataloochee Turnpike,Valid,Euptoieta_claudia,Euptoieta  claudia,14683,Variegated Fritillary Butterfly,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1210377600000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Papilionoidea,Nymphalidae,Heliconiinae,~,unspecified, , ,cert,ATBI Lepidoptera TWiG
0101000020E6100000966BF5C8ABC454C0E29CF297FFCA4140,169503,0101000020110F000036602C4C73A361C182C5C97754305041,169187,>1m <=5m,ATBI DATABASE,,1446914360000,DERV,DELLWOOD,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,312182,3940000,35.585918,-83.072981,Lower Johnathans Creek,,4917.642578,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446914360000,GRSM,UNR,,7,,,Science Center Trail,The Purchase Road (closed Winter),Valid,Euptoieta_claudia,Euptoieta  claudia,14683,Variegated Fritillary Butterfly,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1086134400000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Papilionoidea,Nymphalidae,Heliconiinae,~,observed,No,day,cert,Birds & Bird Parasites
0101000020E61000008D5279A3A5C454C065312BC029CB4140,169504,0101000020110F000041EFCF136EA361C11276977E80305041,169188,>1m <=5m,ATBI DATABASE,,1446914361000,DERV,DELLWOOD,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,312219,3940142,35.587205,-83.072606,Lower Johnathans Creek,Cove Creek,4830.932129,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446914361000,GRSM,UNR,,6,,,Science Center Trail,The Purchase Road (closed Winter),Valid,Euptoieta_claudia,Euptoieta  claudia,14683,Variegated Fritillary Butterfly,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1210377600000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Papilionoidea,Nymphalidae,Heliconiinae,~,observed,No,day,cert,Lepidoptera Survey
0101000020E61000000D5D00E27AC454C0110D2FE1C0CA4140,169505,0101000020110F0000E0AAD1C349A361C167A168F912305041,169189,>1m <=5m,ATBI DATABASE,,1446914361000,DERV,DELLWOOD,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,312448,3939782,35.584004,-83.069996,Lower Johnathans Creek,Beantown Creek,4682.922852,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446914361000,GRSM,UNR,,4,,,Ferguson Cabin Horse Trail,The Purchase Road (closed Winter),Valid,Euptoieta_claudia,Euptoieta  claudia,14683,Variegated Fritillary Butterfly,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,998179200000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Papilionoidea,Nymphalidae,Heliconiinae,~,unspecified, , ,cert,ATBI Lepidoptera TWiG
0101000020E6100000112410BEF6D254C0324D780C06C54140,169498,0101000020110F0000A6D8EBD996AF61C17D25C392172A5041,169182,>1m <=5m,ATBI DATABASE,,1446914358000,DERV,SMOKEMONT,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,291824,3935271,35.53924,-83.296306,Lower Oconaluftee River,Tow String Creek,2136.459229,,,dd,GCS,NAD83,17,,Oconaluftee District,TPCOLSON,TPCOLSON,1446914358000,GRSM,UNR,,6,,,Chambers Cemetery Access,Tow String Horse Barn Road,Valid,Euptoieta_claudia,Euptoieta  claudia,14683,Variegated Fritillary Butterfly,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1155427200000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Papilionoidea,Nymphalidae,Heliconiinae,~,unspecified, , ,cert,ATBI Lepidoptera TWiG
