the_geom,cartodb_id,the_geom_webmercator,objectid,verror,mapsource,sourcedate,editdate,mapmethod,quadname,unitname,herror,county,state,x_coord,y_coord,lat,lon,watershed,streamname,elevation,year,notes,coord_units,coord_system,datum,utm_zone,managementzone,parkdistrict,editby,createby,createdate,unitcode,restriction,veg_class,landform,loc_name,loc_id,trail,road,valid_result,genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,dateretrieved,kingdom,subkingdom,phylum,subphylum,class,subclass,superdivision,division,subdivision,superorder,ordername,series,suborder,infraorder,superfamily,family,subfamily,tribe,collectionmethod,specimentype,dateprecision,identificationprecision,project
0101000020E61000000193E451DBF154C0E287014D2FBD4140,169476,0101000020110F000066BBCB9BD3C961C158EC2EDFE9215041,169160,>1m <=5m,ATBI DATABASE,,1446914345000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,247862,3929604,35.477999,-83.779007,Eagle Creek,Eagle Creek,1715.650391,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446914345000,GRSM,UNR,,2,,,Lake Shore Trail low water access,Lakeview Drive West,Valid,Euptoieta_claudia,Euptoieta  claudia,14683,Variegated Fritillary Butterfly,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1087257600000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Papilionoidea,Nymphalidae,Heliconiinae,~,by hand,No,day,cert,Northshore Road EIS
0101000020E61000001D43145433D354C06AF383E347C14140,169490,0101000020110F0000CD33954ECAAF61C1C15D4CB22F265041,169174,>1m <=5m,ATBI DATABASE,,1446914353000,DERV,SMOKEMONT,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,291413,3932035,35.51,-83.300004,Lower Oconaluftee River,,2015.644165,,,dd,GCS,NAD83,17,,,TPCOLSON,TPCOLSON,1446914353000,GRSM,UNR,,5,,,Oconaluftee River Trail,Access Road To Big Cove Road,Valid,Euptoieta_claudia,Euptoieta  claudia,14683,Variegated Fritillary Butterfly,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,990576000000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Papilionoidea,Nymphalidae,Heliconiinae,~,UV light, , ,cert,ATBI Lepidoptera TWiG
0101000020E6100000A60FDED074D354C0CA8C75790CC24140,169489,0101000020110F0000F13AECEC01B061C17602C1CFFC265041,169173,>1m <=5m,ATBI DATABASE,,1446914353000,DERV,SMOKEMONT,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,291066,3932709,35.515999,-83.304001,Lower Oconaluftee River,Oconaluftee River,2032.806641,,,dd,GCS,NAD83,17,,Oconaluftee District,TPCOLSON,TPCOLSON,1446914353000,GRSM,UNR,,6,,,Nations Cemetery Access,Oconaluftee Residence Road,Valid,Euptoieta_claudia,Euptoieta  claudia,14683,Variegated Fritillary Butterfly,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1090281600000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Papilionoidea,Nymphalidae,Heliconiinae,~,aerial net, , ,cert,ATBI Lepidoptera TWiG
0101000020E6100000EB42790D64D854C0A324A5528CDA4140,169487,0101000020110F00000CBBF7CA32B461C14CF285D994405041,169171,>1m <=5m,ATBI DATABASE,,1446914352000,DERV,MOUNT LE CONTE,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,284587,3954109,35.7074,-83.381103,Little Pigeon River Upper,Middle Prong Little Pigeon River,1687.616699,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446914352000,GRSM,UNR,,6,,,Old Settlers Trail,Ramsey Prong Road,Valid,Euptoieta_claudia,Euptoieta  claudia,14683,Variegated Fritillary Butterfly,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,957916800000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Papilionoidea,Nymphalidae,Heliconiinae,~,unspecified, , ,cert,ATBI Lepidoptera TWiG
0101000020E6100000C1B314FB51D854C047F4FF7239DA4140,169488,0101000020110F00002A55C57123B461C154A8E12B3E405041,169172,>1m <=5m,ATBI DATABASE,,1446914352000,DERV,MOUNT LE CONTE,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,284680,3953826,35.704871,-83.38,Porters Creek,,1834.356934,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446914352000,GRSM,UNR,,5,,,Old Settlers Trail,Ramsey Prong Road,Valid,Euptoieta_claudia,Euptoieta  claudia,14683,Variegated Fritillary Butterfly,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,592012800000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Papilionoidea,Nymphalidae,Heliconiinae,~,unspecified, , ,cert,ATBI Lepidoptera TWiG
0101000020E610000006BC8A941FEC54C00299BE5318D24140,169479,0101000020110F000047638C0EF5C461C1D61C3168BE375041,169163,>1m <=5m,ATBI DATABASE,,1446914347000,DERV,WEAR COVE,Great Smoky Mountains National Park,>1m <=5m,Blount,Tennessee,256487,3947503,35.641361,-83.689423,Little River-Crooked Creek,Middle Prong Little River,1349.121338,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446914347000,GRSM,UNR,,6,,,Lumber Ridge Trail,Tremont Environmental Education Center Road,Valid,Euptoieta_claudia,Euptoieta  claudia,14683,Variegated Fritillary Butterfly,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1187740800000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Papilionoidea,Nymphalidae,Heliconiinae,~,aerial net,No,day,cert,ATBI
0101000020E61000006109CC8CDCE654C043B76DD8A9D24140,169482,0101000020110F0000C26E0B067DC061C1FE56987C56385041,169166,>1m <=5m,ATBI DATABASE,,1446914349000,DERV,GATLINBURG,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,263946,3947795,35.645801,-83.607207,Little River-Goshen Prong,Kiver Branch,2606.37085,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446914349000,GRSM,UNR,,1,,,Meigs Mountain Trail,Little River Gorge Road,Valid,Euptoieta_claudia,Euptoieta  claudia,14683,Variegated Fritillary Butterfly,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,584064000000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Papilionoidea,Nymphalidae,Heliconiinae,~,unspecified, , ,cert,ATBI Lepidoptera TWiG
0101000020E6100000828A12435EE254C094F8E1C2EFD74140,169485,0101000020110F0000F6F56A15ACBC61C161465BACD93D5041,169169,>1m <=5m,ATBI DATABASE,,1446914350000,DERV,GATLINBURG,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,270422,3952199,35.686998,-83.536999,West Prong Little Pigeon River Upper,Ash Hopper Branch,1461.809082,,,dd,GCS,NAD83,17,,Little River District,TPCOLSON,TPCOLSON,1446914350000,GRSM,UNR,,6,,,Fighting Creek Nature Trail,Sugarlands Headquarters Parking A,Valid,Euptoieta_claudia,Euptoieta  claudia,14683,Variegated Fritillary Butterfly,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,747878400000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Papilionoidea,Nymphalidae,Heliconiinae,~,unspecified, , ,cert,ATBI Lepidoptera TWiG
0101000020E6100000D540F684E9EE54C0878F1F6931C84140,169478,0101000020110F0000C22ED36753C761C1DD60B58B662D5041,169162,>1m <=5m,ATBI DATABASE,,1446914346000,DERV,THUNDERHEAD MOUNTAIN,Great Smoky Mountains National Park,>1m <=5m,Blount,Tennessee,252302,3939029,35.564001,-83.732999,Abrams Creek Upper,Spence Cabin Branch,4944.263672,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446914346000,GRSM,UNR,,10,,,Appalachian Trail,Laurel Creek Road,Valid,Euptoieta_claudia,Euptoieta  claudia,14683,Variegated Fritillary Butterfly,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-1023494400000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Papilionoidea,Nymphalidae,Heliconiinae,~,unspecified, ,day,cert,ATBI Lepidoptera TWIG
0101000020E610000089E93113AAF254C0842B386D5ACD4140,169472,0101000020110F00006532AB3483CA61C12F20DC19CA325041,169156,>1m <=5m,ATBI DATABASE,,1446914343000,DERV,CADES COVE,Great Smoky Mountains National Park,>1m <=5m,Blount,Tennessee,247114,3943651,35.604315,-83.791626,Abrams Creek Upper,,1787.897705,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446914343000,GRSM,UNR,,6,,,John Oliver Cabin access ,Sparks Lane Road,Valid,Euptoieta_claudia,Euptoieta  claudia,14683,Variegated Fritillary Butterfly,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1216252800000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Papilionoidea,Nymphalidae,Heliconiinae,~,aerial net,No,day,cert,ATBI
0101000020E610000096C6A25BC2F254C09330261953CD4140,169471,0101000020110F0000A83E4BD497CA61C1A7C52972C2325041,169155,>1m <=5m,ATBI DATABASE,,1446914342000,DERV,CADES COVE,Great Smoky Mountains National Park,>1m <=5m,Blount,Tennessee,246979,3943630,35.604092,-83.793109,Abrams Creek Upper,,1779.490967,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446914342000,GRSM,UNR,,6,,,John Oliver Cabin access ,Sparks Lane Road,Valid,Euptoieta_claudia,Euptoieta  claudia,14683,Variegated Fritillary Butterfly,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1279152000000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Papilionoidea,Nymphalidae,Heliconiinae,~,aerial net,No,day,cert,ATBI
0101000020E61000008971E0D099F254C07C2107A64CCC4140,169474,0101000020110F00000C4D9C6575CA61C14C71C34FB0315041,169158,>1m <=5m,ATBI DATABASE,,1446914344000,DERV,CADES COVE,Great Smoky Mountains National Park,>1m <=5m,Blount,Tennessee,247178,3942735,35.596082,-83.790634,Abrams Creek Upper,Sea Branch,1853.951904,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446914344000,GRSM,UNR,,7,,,Cades Cove Horse Trail,Lone Grove Parking,Valid,Euptoieta_claudia,Euptoieta  claudia,14683,Variegated Fritillary Butterfly,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1222041600000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Papilionoidea,Nymphalidae,Heliconiinae,~,aerial net,No,day,cert,ATBI
0101000020E61000004F9CB829F9F254C0B75BE52599CC4140,169467,0101000020110F0000EDBD0C60C6CA61C1C5BFCF3600325041,169151,>1m <=5m,ATBI DATABASE,,1446914340000,DERV,CADES COVE,Great Smoky Mountains National Park,>1m <=5m,Blount,Tennessee,246658,3943009,35.598417,-83.796454,Abrams Creek Upper,Sea Branch,1787.830078,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446914340000,GRSM,UNR,,6,,,John Oliver Cabin access ,Sparks Lane Road,Valid,Euptoieta_claudia,Euptoieta  claudia,14683,Variegated Fritillary Butterfly,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1191369600000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Papilionoidea,Nymphalidae,Heliconiinae,~,aerial net,No,day,cert,Monarch Watch
0101000020E61000008968DC7DC9F454C0F33FFE7471CC4140,169462,0101000020110F0000E95CCCBA50CC61C180B3D4C1D6315041,169146,>1m <=5m,ATBI DATABASE,,1446914337000,DERV,CADES COVE,Great Smoky Mountains National Park,>1m <=5m,Blount,Tennessee,244086,3942948,35.597206,-83.824794,Abrams Creek Upper,Feezell Branch,1748.258545,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446914337000,GRSM,UNR,,7,,,Lawson Cemetery Access,Hyatt Lane,Valid,Euptoieta_claudia,Euptoieta  claudia,14683,Variegated Fritillary Butterfly,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1223164800000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Papilionoidea,Nymphalidae,Heliconiinae,~,aerial net,No,day,cert,Monarch Watch
0101000020E6100000F6712D8D91F554C022E5C4AA43CB4140,169460,0101000020110F00007F94FBA3FACC61C12D817E8F9B305041,169144,>1m <=5m,ATBI DATABASE,,1446914336000,DERV,CADES COVE,Great Smoky Mountains National Park,>1m <=5m,Blount,Tennessee,242950,3941958,35.587996,-83.837005,Abrams Creek Upper,,1777.705566,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446914336000,GRSM,UNR,,6,,,Elijah Oliver Cabin Access Trail,Cades Cove Loop Road,Valid,Euptoieta_claudia,Euptoieta  claudia,14683,Variegated Fritillary Butterfly,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-1023235200000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Papilionoidea,Nymphalidae,Heliconiinae,~,unspecified, ,day,cert,ATBI Lepidoptera TWIG
0101000020E6100000E704A264E8F554C0A45552D3E0CB4140,169459,0101000020110F0000082E2A6544CD61C14CF82CB23F315041,169143,>1m <=5m,ATBI DATABASE,,1446914335000,DERV,CADES COVE,Great Smoky Mountains National Park,>1m <=5m,Blount,Tennessee,242485,3942504,35.592792,-83.842305,Abrams Creek Upper,Abrams Creek,1711.119995,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446914335000,GRSM,UNR,,5,,,Elijah Oliver Cabin Access Trail,Cades Cove Loop Road,Valid,Euptoieta_claudia,Euptoieta  claudia,14683,Variegated Fritillary Butterfly,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1221696000000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Papilionoidea,Nymphalidae,Heliconiinae,~,aerial net,No,day,cert,ATBI
0101000020E61000000E855D8159FF54C042FB7215B4C44140,169458,0101000020110F00001BD5D53F49D561C12D248606C2295041,169142,>1m <=5m,ATBI DATABASE,,1446914335000,DERV,CALDERWOOD,Great Smoky Mountains National Park,>1m <=5m,Blount,Tennessee,228926,3936681,35.536739,-83.989834,Chilhowee Lake,,1123.990723,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446914335000,GRSM,UNR,,7,,,Hannah Mountain Trail,Foothills Parkway Section 8h,Valid,Euptoieta_claudia,Euptoieta  claudia,14683,Variegated Fritillary Butterfly,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1142121600000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Papilionoidea,Nymphalidae,Heliconiinae,~,observed,No,day,cert,ATBI
