the_geom,cartodb_id,the_geom_webmercator,objectid,verror,mapsource,sourcedate,editdate,mapmethod,quadname,unitname,herror,county,state,x_coord,y_coord,lat,lon,watershed,streamname,elevation,year,notes,coord_units,coord_system,datum,utm_zone,managementzone,parkdistrict,editby,createby,createdate,unitcode,restriction,veg_class,landform,loc_name,loc_id,trail,road,valid_result,genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,dateretrieved,kingdom,subkingdom,phylum,subphylum,class,subclass,superdivision,division,subdivision,superorder,ordername,series,suborder,infraorder,superfamily,family,subfamily,tribe,collectionmethod,specimentype,dateprecision,identificationprecision,project
0101000020E6100000AD56B9F207F454C0CBF8267602BB4140,8037,0101000020110F0000D936665AACCB61C1592CE92FA51F5041,7373,>1m <=5m,ATBI DATABASE,,1446827585000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,244725,3927806,35.461006,-83.812981,Lake Cheoah-Little Tennessee River,,1913.606812,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446827585000,GRSM,UNR,,7,,,Appalachian Trail,Payne Cemetery Access Road,Valid,Prenolepis_imparis,Prenolepis  imparis,32556,Winter Ant,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1121990400000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Hymenoptera,Aculeata,Apocrita, ,Vespoidea,Formicidae,Formicinae,Lasiini,Winkler extraction, ,day,cert,ATBI Ants
0101000020E6100000BA115DEADCE554C0CAC4F457E4BD4140,8047,0101000020110F0000E2EDC3E9A3BF61C17A069BB1A6225041,7383,>1m <=5m,ATBI DATABASE,,1446827590000,DERV,NOLAND CREEK,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,264885,3929754,35.483524,-83.591605,Forney Creek,,2765.958984,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446827590000,GRSM,UNR,,6,,,Bear Creek Trail,Lakeview Drive East Parking #4,Valid,Prenolepis_imparis,Prenolepis  imparis,32556,Winter Ant,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1047168000000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Hymenoptera,Aculeata,Apocrita, ,Vespoidea,Formicidae,Formicinae,Lasiini,by hand, , ,cert,Antimycin-A
0101000020E6100000C2D6790FE8E254C06AEC99C54EBB4140,8052,0101000020110F0000AEABAD1D21BD61C17F6710C2F41F5041,7388,>1m <=5m,ATBI DATABASE,,1446827593000,DERV,NOLAND CREEK,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,269019,3927405,35.463335,-83.54541,Fontana Lake-Tuckasegee River,,2395.842529,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446827593000,GRSM,UNR,,6,,,Lakeshore Trail,Lakeview Drive East Parking #4,Valid,Prenolepis_imparis,Prenolepis  imparis,32556,Winter Ant,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1119139200000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Hymenoptera,Aculeata,Apocrita, ,Vespoidea,Formicidae,Formicinae,Lasiini,Winkler extraction, ,day,cert,ATBI Ants
0101000020E61000009E0B076839D454C0174B6F9191E04140,7959,0101000020110F000059B0CBE3A8B061C13346A45AE1465041,7472,>1m <=5m,ATBI DATABASE,,1446827644000,DERV,JONES COVE,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,290601,3959186,35.754435,-83.316,Webb Creek,Texas Creek,2073.445801,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446827644000,GRSM,UNR,,6,,,Old Settlers Trail,Ramsey Cascades Trailhead Parking,Valid,Prenolepis_imparis,Prenolepis  imparis,32556,Winter Ant,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1249689600000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Hymenoptera,Aculeata,Apocrita, ,Vespoidea,Formicidae,Formicinae,Lasiini,baiting, , ,cert,ATBI Ants
0101000020E6100000818AD17013CE54C0277587F6ECDE4140,8137,0101000020110F0000FDC7CB1E70AB61C1D7F6383529455041,7474,>1m <=5m,ATBI DATABASE,,1446827645000,DERV,LUFTEE KNOB,Great Smoky Mountains National Park,>1m <=5m,Cocke,Tennessee,299256,3957561,35.7416,-83.219933,Cosby Creek,Inadu Creek,3408.606934,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446827645000,GRSM,UNR,,8,,,Snake Den Ridge Trail,Cosby Campground Road B,Valid,Prenolepis_imparis,Prenolepis  imparis,32556,Winter Ant,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1008892800000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Hymenoptera,Aculeata,Apocrita, ,Vespoidea,Formicidae,Formicinae,Lasiini,pitfall trap, , ,cert,ATBI Pilot Study
0101000020E610000057AEFEA2A0DF54C0D2F5689DBDC44140,8114,0101000020110F0000D03A6D3158BA61C14C311BF9CB295041,7450,>1m <=5m,ATBI DATABASE,,1446827632000,DERV,CLINGMANS DOME,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,273876,3935462,35.53703,-83.494175,Noland Creek,,5328.973633,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446827632000,GRSM,UNR,,7,,,Forney Ridge Trail,Clingmans Dome Road Parking #3,Valid,Prenolepis_imparis,Prenolepis  imparis,32556,Winter Ant,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,988070400000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Hymenoptera,Aculeata,Apocrita, ,Vespoidea,Formicidae,Formicinae,Lasiini,Malaise trap (Townes), , ,cert,ATBI Pilot Study
0101000020E610000025375805D8DE54C0D56A9A4763C84140,8115,0101000020110F000060B15BCFADB961C12213B19C9A2D5041,7451,>1m <=5m,ATBI DATABASE,,1446827633000,DERV,CLINGMANS DOME,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,275066,3938595,35.565523,-83.481931,Noland Creek,Noland Creek,5756.129395,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446827633000,GRSM,UNR,,6,,,Noland Divide Trail,Clingmans Dome Access Road,Valid,Prenolepis_imparis,Prenolepis  imparis,32556,Winter Ant,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1312156800000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Hymenoptera,Aculeata,Apocrita, ,Vespoidea,Formicidae,Formicinae,Lasiini,"baiting, hand collecting", , ,cert,ATBI Ants
0101000020E6100000C587E13CFFDA54C05E987E2946CE4140,8126,0101000020110F00004B3FF56E69B661C1D40B1A5BC0335041,7462,>1m <=5m,ATBI DATABASE,,1446827639000,DERV,CLINGMANS DOME,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,280640,3943561,35.611509,-83.421824,West Prong Little Pigeon River Upper,Mine Branch,5197.571289,,,dd,GCS,NAD83,17,,Little River District,TPCOLSON,TPCOLSON,1446827639000,GRSM,UNR,,6,,,Appalachian Trail,Newfound Gap Road North,Valid,Prenolepis_imparis,Prenolepis  imparis,32556,Winter Ant,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1313366400000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Hymenoptera,Aculeata,Apocrita, ,Vespoidea,Formicidae,Formicinae,Lasiini,"baiting, hand collecting", , ,cert,ATBI Ants
0101000020E6100000850B1B93F5DF54C0F22E0F8095D74140,8113,0101000020110F0000A3F1B454A0BA61C18B2EEE4A7B3D5041,7449,>1m <=5m,ATBI DATABASE,,1446827631000,DERV,MOUNT LE CONTE,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,273821,3951806,35.684243,-83.49936,Le Conte Creek,Le Conte Creek,2107.668945,,,dd,GCS,NAD83,17,,Little River District,TPCOLSON,TPCOLSON,1446827631000,GRSM,UNR,,6,,,Twin Creeks Trail,Natural Resources Center Parking #4,Valid,Prenolepis_imparis,Prenolepis  imparis,32556,Winter Ant,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1086048000000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Hymenoptera,Aculeata,Apocrita, ,Vespoidea,Formicidae,Formicinae,Lasiini,Winkler extraction,No, ,cert,ATBI Ants
0101000020E610000072892D81F7DF54C08599949491D74140,8101,0101000020110F0000639052F8A1BA61C172DEAB31773D5041,7437,>1m <=5m,ATBI DATABASE,,1446827624000,DERV,MOUNT LE CONTE,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,273810,3951793,35.684123,-83.499477,Le Conte Creek,Le Conte Creek,2134.150146,,,dd,GCS,NAD83,17,,Little River District,TPCOLSON,TPCOLSON,1446827624000,GRSM,UNR,,7,,,Twin Creeks Trail,Natural Resources Center Parking #4,Valid,Prenolepis_imparis,Prenolepis  imparis,32556,Winter Ant,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,983232000000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Hymenoptera,Aculeata,Apocrita, ,Vespoidea,Formicidae,Formicinae,Lasiini,pitfall trap, , ,cert,ATBI Pilot Study
0101000020E6100000BDA7DD08FBDF54C08BDD7A31BAD74140,8088,0101000020110F00004932D3F7A4BA61C1AA16F8A8A13D5041,7424,>1m <=5m,ATBI DATABASE,,1446827615000,DERV,MOUNT LE CONTE,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,273794,3951931,35.685363,-83.499693,Le Conte Creek,Le Conte Creek,2013.117554,,,dd,GCS,NAD83,17,,Little River District,TPCOLSON,TPCOLSON,1446827615000,GRSM,UNR,,6,,,Twin Creeks Trail,Natural Resources Center Parking #4,Valid,Prenolepis_imparis,Prenolepis  imparis,32556,Winter Ant,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1321833600000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Hymenoptera,Aculeata,Apocrita, ,Vespoidea,Formicidae,Formicinae,Lasiini,"baiting, hand collecting", , ,cert,ATBI Ants
