the_geom,cartodb_id,the_geom_webmercator,objectid,verror,mapsource,sourcedate,editdate,mapmethod,quadname,unitname,herror,county,state,x_coord,y_coord,lat,lon,watershed,streamname,elevation,year,notes,coord_units,coord_system,datum,utm_zone,managementzone,parkdistrict,editby,createby,createdate,unitcode,restriction,veg_class,landform,loc_name,loc_id,trail,road,valid_result,genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,dateretrieved,kingdom,subkingdom,phylum,subphylum,class,subclass,superdivision,division,subdivision,superorder,ordername,series,suborder,infraorder,superfamily,family,subfamily,tribe,collectionmethod,specimentype,dateprecision,identificationprecision,project
0101000020E6100000AD56B9F207F454C0CBF8267602BB4140,8037,0101000020110F0000D936665AACCB61C1592CE92FA51F5041,7373,>1m <=5m,ATBI DATABASE,,1446827585000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,244725,3927806,35.461006,-83.812981,Lake Cheoah-Little Tennessee River,,1913.606812,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446827585000,GRSM,UNR,,7,,,Appalachian Trail,Payne Cemetery Access Road,Valid,Prenolepis_imparis,Prenolepis  imparis,32556,Winter Ant,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1121990400000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Hymenoptera,Aculeata,Apocrita, ,Vespoidea,Formicidae,Formicinae,Lasiini,Winkler extraction, ,day,cert,ATBI Ants
0101000020E6100000064D8557D6DD54C01A14BED82AD74140,8116,0101000020110F0000102F90F6D2B861C1C0848EC60B3D5041,7452,>1m <=5m,ATBI DATABASE,,1446827633000,DERV,MOUNT LE CONTE,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,276813,3951369,35.680988,-83.466203,Baskins Creek,Baskins Creek,3239.740967,,,dd,GCS,NAD83,17,,Little River District,TPCOLSON,TPCOLSON,1446827633000,GRSM,UNR,,7,,,Trillium Gap Trail,Roaring Fork Motor Nature Trail,Valid,Prenolepis_imparis,Prenolepis  imparis,32556,Winter Ant,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1320192000000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Hymenoptera,Aculeata,Apocrita, ,Vespoidea,Formicidae,Formicinae,Lasiini,"baiting, hand collecting", , ,cert,ATBI Ants
0101000020E6100000A463376192DB54C0A9EBFD045FD64140,8120,0101000020110F000068E4AF66E6B661C1948599AA363C5041,7456,>1m <=5m,ATBI DATABASE,,1446827636000,DERV,MOUNT LE CONTE,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,280000,3950599,35.674768,-83.430805,Porters Creek,Trillium Branch,4571.896484,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446827636000,GRSM,UNR,,4,,,Brushy Mountain Trail,Roaring Fork Motor Nature Trail,Valid,Prenolepis_imparis,Prenolepis  imparis,32556,Winter Ant,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,979603200000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Hymenoptera,Aculeata,Apocrita, ,Vespoidea,Formicidae,Formicinae,Lasiini,pitfall trap, , ,cert,ATBI Pilot Study
0101000020E61000001B048D01C8D954C0BB61B4FEFED74140,8127,0101000020110F0000A4D1AC1A61B561C15CF63F9AE93D5041,7463,>1m <=5m,ATBI DATABASE,,1446827640000,DERV,MOUNT LE CONTE,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,282567,3951945,35.687462,-83.402828,Porters Creek,,2392.820068,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446827640000,GRSM,UNR,,9,,,Brushy Mountain Trail,Porters Creek Trailhead Parking,Valid,Prenolepis_imparis,Prenolepis  imparis,32556,Winter Ant,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1184457600000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Hymenoptera,Aculeata,Apocrita, ,Vespoidea,Formicidae,Formicinae,Lasiini,unspecified, ,season,cert,ATBI Ants
0101000020E61000007D927D8894D954C0BD21C6D8FAD74140,8128,0101000020110F0000BDC2646335B561C102DCD343E53D5041,7464,>1m <=5m,ATBI DATABASE,,1446827640000,DERV,MOUNT LE CONTE,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,282851,3951924,35.687336,-83.399687,Porters Creek,,2261.775146,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446827640000,GRSM,UNR,,7,,,Brushy Mountain Trail,Porters Creek Trailhead Parking,Valid,Prenolepis_imparis,Prenolepis  imparis,32556,Winter Ant,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1184457600000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Hymenoptera,Aculeata,Apocrita, ,Vespoidea,Formicidae,Formicinae,Lasiini,unspecified, ,season,cert,ATBI Ants
0101000020E6100000A6C999E197D654C0E3301662C2D94140,8134,0101000020110F00003CF419F8ABB261C1BA73D7A4C13F5041,7470,>1m <=5m,ATBI DATABASE,,1446827643000,DERV,MOUNT GUYOT,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,287112,3953364,35.701238,-83.353016,Little Pigeon River Upper,Middle Prong Little Pigeon River,2266.365234,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446827643000,GRSM,UNR,,6,,,Ramsey Cascades Trail,Ramsey Cascades Trailhead Parking,Valid,Prenolepis_imparis,Prenolepis  imparis,32556,Winter Ant,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1184457600000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Hymenoptera,Aculeata,Apocrita, ,Vespoidea,Formicidae,Formicinae,Lasiini,unspecified, ,season,cert,ATBI Ants
0101000020E6100000BA778BC2B9D654C094EE5F4786D94140,8133,0101000020110F0000981609BEC8B261C12ED6E8C8823F5041,7469,>1m <=5m,ATBI DATABASE,,1446827642000,DERV,MOUNT GUYOT,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,286920,3953165,35.699403,-83.355084,Little Pigeon River Upper,Little Laurel Branch,2377.422852,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446827642000,GRSM,UNR,,6,,,Ramsey Cascades Trail,Ramsey Cascades Trailhead Parking,Valid,Prenolepis_imparis,Prenolepis  imparis,32556,Winter Ant,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1184457600000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Hymenoptera,Aculeata,Apocrita, ,Vespoidea,Formicidae,Formicinae,Lasiini,unspecified, ,season,cert,ATBI Ants
0101000020E61000005DFA320CF0D654C0B40D4666DAD94140,8132,0101000020110F00009B5451D9F6B261C1B91DECC2DA3F5041,7468,>1m <=5m,ATBI DATABASE,,1446827642000,DERV,MOUNT GUYOT,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,286627,3953457,35.701971,-83.358397,Little Pigeon River Upper,Middle Prong Little Pigeon River,2088.618408,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446827642000,GRSM,UNR,,7,,,Ramsey Cascades Trail,Ramsey Prong Road,Valid,Prenolepis_imparis,Prenolepis  imparis,32556,Winter Ant,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1184457600000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Hymenoptera,Aculeata,Apocrita, ,Vespoidea,Formicidae,Formicinae,Lasiini,unspecified, ,season,cert,ATBI Ants
0101000020E61000004546F8F8D3D754C04487C54A3ADA4140,8130,0101000020110F0000646DF26CB8B361C1E53E8E0D3F405041,7466,>1m <=5m,ATBI DATABASE,,1446827641000,DERV,MOUNT GUYOT,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,285376,3953812,35.704897,-83.372309,Little Pigeon River Upper,Middle Prong Little Pigeon River,1828.616089,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446827641000,GRSM,UNR,,7,,,Old Settlers Trail,Ramsey Prong Road,Valid,Prenolepis_imparis,Prenolepis  imparis,32556,Winter Ant,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1184457600000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Hymenoptera,Aculeata,Apocrita, ,Vespoidea,Formicidae,Formicinae,Lasiini,unspecified, ,season,cert,ATBI Ants
0101000020E6100000C5E2305E94D754C0B29A32601EDA4140,8131,0101000020110F0000944FFA6782B361C1C2120BDB21405041,7467,>1m <=5m,ATBI DATABASE,,1446827641000,DERV,MOUNT GUYOT,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,285725,3953709,35.704045,-83.368427,Little Pigeon River Upper,,1862.580566,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446827641000,GRSM,UNR,,4,,,Ramsey Cascades Trail,Ramsey Prong Road,Valid,Prenolepis_imparis,Prenolepis  imparis,32556,Winter Ant,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1184457600000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Hymenoptera,Aculeata,Apocrita, ,Vespoidea,Formicidae,Formicinae,Lasiini,unspecified, ,season,cert,ATBI Ants
0101000020E61000005A0B6289AFD554C016334FA9F0D94140,8135,0101000020110F000046A488A3E6B161C1B9A14F0BF23F5041,7471,>1m <=5m,ATBI DATABASE,,1446827643000,DERV,MOUNT GUYOT,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,288399,3953490,35.70265,-83.338835,Little Pigeon River Upper,Middle Prong Little Pigeon River,2608.213867,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446827643000,GRSM,UNR,,5,,,Ramsey Cascades Trail,Ramsey Cascades Trailhead Parking,Valid,Prenolepis_imparis,Prenolepis  imparis,32556,Winter Ant,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1318809600000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Hymenoptera,Aculeata,Apocrita, ,Vespoidea,Formicidae,Formicinae,Lasiini,"baiting, hand collecting", , ,cert,ATBI Ants
0101000020E61000007607FFC2F5D154C05C1EB6F7A0DD4140,8136,0101000020110F0000CAD9F198BCAE61C15CFA9BD6CD435041,7473,>1m <=5m,ATBI DATABASE,,1446827644000,DERV,MOUNT GUYOT,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,293741,3956563,35.731468,-83.280621,East Fork Dunn Creek,,3506.320312,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446827644000,GRSM,UNR,,6,,,Albright Grove NatureTrail,Cosby Campground Road B,Valid,Prenolepis_imparis,Prenolepis  imparis,32556,Winter Ant,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,984614400000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Hymenoptera,Aculeata,Apocrita, ,Vespoidea,Formicidae,Formicinae,Lasiini,pitfall trap, , ,cert,ATBI Pilot Study
0101000020E610000082C6D5937CD954C06A4D0FE402D84140,8129,0101000020110F00007169ED0A21B561C1234426ADED3D5041,7465,>1m <=5m,ATBI DATABASE,,1446827640000,DERV,MOUNT LE CONTE,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,282984,3951948,35.687581,-83.398225,Porters Creek,,2213.021484,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446827640000,GRSM,UNR,,2,,,Porters Creek Trail,Porters Creek Trailhead Parking,Valid,Prenolepis_imparis,Prenolepis  imparis,32556,Winter Ant,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1184457600000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Hymenoptera,Aculeata,Apocrita, ,Vespoidea,Formicidae,Formicinae,Lasiini,unspecified, ,season,cert,ATBI Ants
0101000020E61000007D98835455E954C0BA059EBDABD64140,8046,0101000020110F0000DE2CA97196C261C1874123E1863C5041,7382,>1m <=5m,ATBI DATABASE,,1446827590000,DERV,WEAR COVE,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,260542,3951362,35.677109,-83.645829,Little River-Goshen Prong,Little River,1757.28772,,,dd,GCS,NAD83,17,,Little River District,TPCOLSON,TPCOLSON,1446827590000,GRSM,UNR,,7,,,Metcalf Bottoms Trail,Metcalf Bottoms Picnic Area Road South,Valid,Prenolepis_imparis,Prenolepis  imparis,32556,Winter Ant,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1250812800000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Hymenoptera,Aculeata,Apocrita, ,Vespoidea,Formicidae,Formicinae,Lasiini,baiting, , ,cert,ATBI Ants
0101000020E6100000F3AFC487E2EE54C073CCE38457D14140,8039,0101000020110F0000922143784DC761C1B5A815EBF4365041,7375,>1m <=5m,ATBI DATABASE,,1446827586000,DERV,WEAR COVE,Great Smoky Mountains National Park,>1m <=5m,Blount,Tennessee,252561,3946958,35.635477,-83.732572,Little River-Crooked Creek,,1808.69043,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446827586000,GRSM,UNR,,6,,,Schoolhouse Gap Trail,Laurel Creek Road,Valid,Prenolepis_imparis,Prenolepis  imparis,32556,Winter Ant,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1250899200000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Hymenoptera,Aculeata,Apocrita, ,Vespoidea,Formicidae,Formicinae,Lasiini,baiting, , ,cert,ATBI Ants
0101000020E6100000CB99B818ADEF54C03C8449AF55D14140,8038,0101000020110F0000BD766382F9C761C1A6885B00F3365041,7374,>1m <=5m,ATBI DATABASE,,1446827585000,DERV,WEAR COVE,Great Smoky Mountains National Park,>1m <=5m,Blount,Tennessee,251441,3946983,35.635421,-83.744936,Little River-Crooked Creek,,1751.374023,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446827585000,GRSM,UNR,,1,,,Turkeypen Ridge Trail,Laurel Creek Road,Valid,Prenolepis_imparis,Prenolepis  imparis,32556,Winter Ant,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1251504000000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Hymenoptera,Aculeata,Apocrita, ,Vespoidea,Formicidae,Formicinae,Lasiini,baiting, , ,cert,ATBI Ants
0101000020E610000022345CC688EC54C01D0741FBDCD14140,8040,0101000020110F0000092E0D664EC561C13B7B4B6380375041,7376,>1m <=5m,ATBI DATABASE,,1446827586000,DERV,WEAR COVE,Great Smoky Mountains National Park,>1m <=5m,Blount,Tennessee,255900,3947318,35.639549,-83.695844,Little River-Crooked Creek,Loan Branch,1709.847534,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446827586000,GRSM,UNR,,4,,,West Prong Trail,Tremont Road,Valid,Prenolepis_imparis,Prenolepis  imparis,32556,Winter Ant,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1086825600000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Hymenoptera,Aculeata,Apocrita, ,Vespoidea,Formicidae,Formicinae,Lasiini,Winkler extraction,No, ,cert,ATBI Ants
