the_geom,cartodb_id,the_geom_webmercator,objectid,verror,mapsource,sourcedate,editdate,mapmethod,quadname,unitname,herror,county,state,x_coord,y_coord,lat,lon,watershed,streamname,elevation,year,notes,coord_units,coord_system,datum,utm_zone,managementzone,parkdistrict,editby,createby,createdate,unitcode,restriction,veg_class,landform,loc_name,loc_id,trail,road,valid_result,genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,dateretrieved,kingdom,subkingdom,phylum,subphylum,class,subclass,superdivision,division,subdivision,superorder,ordername,series,suborder,infraorder,superfamily,family,subfamily,tribe,collectionmethod,specimentype,dateprecision,identificationprecision,project
0101000020E6100000F5D1908EBEE754C00EAF20E4F4BF4140,30389,0101000020110F00000471AAF83CC161C19EDBD106CE245041,29547,>1m <=5m,ATBI DATABASE,,1446839925000,DERV,NOLAND CREEK,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,262265,3931614,35.499654,-83.621002,Hazel Creek,,5175.285645,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446839925000,GRSM,UNR,,10,,,High Rocks Trail,Lakeview Drive East Parking #4,Valid,Sambucus_racemosa_v_racemosa,Sambucus  racemosa v. racemosa,33192,Red Elderberry,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1091059200000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Dipsacales, , , , ,Caprifoliaceae, ,~,observed, , ,cert,INHS plant survey
0101000020E61000007CE4190BD5C754C0D4ADC635E5D94140,30422,0101000020110F0000DE27D79922A661C129725511E63F5041,29578,>1m <=5m,ATBI DATABASE,,1446839942000,DERV,COVE CREEK GAP,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,307985,3953006,35.702301,-83.122374,Big Creek,Correll Branch,5829.166504,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446839942000,GRSM,UNR,,6,,,Baxter Creek Trail,Old Cataloochee Turnpike,Valid,Sambucus_racemosa_v_racemosa,Sambucus  racemosa v. racemosa,33192,Red Elderberry,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,994982400000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Dipsacales, , , , ,Caprifoliaceae, ,~,observed, , ,cert,INHS plant survey
0101000020E6100000F295346A71CE54C0722DFFC603DF4140,30415,0101000020110F00006205BEEEBFAB61C17FA1911441455041,29572,>1m <=5m,ATBI DATABASE,,1446839939000,DERV,LUFTEE KNOB,Great Smoky Mountains National Park,>1m <=5m,Cocke,Tennessee,298739,3957650,35.742296,-83.225668,Cosby Creek,Inadu Creek,3410.700684,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446839939000,GRSM,UNR,,4,,,Snake Den Ridge Trail,Cosby Campground Road B,Valid,Sambucus_racemosa_v_racemosa,Sambucus  racemosa v. racemosa,33192,Red Elderberry,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,933033600000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Dipsacales, , , , ,Caprifoliaceae, ,~,observed, , ,cert,INHS plant survey
0101000020E61000002A520B6C88CE54C08426C1CF03DF4140,30414,0101000020110F0000F2F5FB78D3AB61C18D98BB1D41455041,29571,>1m <=5m,ATBI DATABASE,,1446839939000,DERV,LUFTEE KNOB,Great Smoky Mountains National Park,>1m <=5m,Cocke,Tennessee,298612,3957653,35.742297,-83.227073,Cosby Creek,Inadu Creek,3466.187744,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446839939000,GRSM,UNR,,6,,,Snake Den Ridge Trail,Cosby Campground Road B,Valid,Sambucus_racemosa_v_racemosa,Sambucus  racemosa v. racemosa,33192,Red Elderberry,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,933033600000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Dipsacales, , , , ,Caprifoliaceae, ,~,observed, , ,cert,INHS plant survey
0101000020E610000015F50DD53FC954C04C4F6EA10CD14140,30419,0101000020110F0000E1DEB7B756A761C11A4E81A9A6365041,29575,>1m <=5m,ATBI DATABASE,,1446839941000,DERV,LUFTEE KNOB,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,305814,3945383,35.633191,-83.144517,Upper Cataloochee Creek,Shanty Branch,3862.97998,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446839941000,GRSM,UNR,,7,,,Palmer Creek Trail,Cataloochee Horse Camp,Valid,Sambucus_racemosa_v_racemosa,Sambucus  racemosa v. racemosa,33192,Red Elderberry,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,904867200000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Dipsacales, , , , ,Caprifoliaceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E6100000F53206ADB2C454C0FD1F2CDF4ACA4140,30426,0101000020110F0000270F652679A361C18E7F72BD972F5041,29581,>1m <=5m,ATBI DATABASE,,1446839943000,DERV,DELLWOOD,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,312131,3939389,35.580403,-83.073402,Lower Johnathans Creek,,4640.040039,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446839943000,GRSM,UNR,,8,,,Ferguson Cabin Trail,The Purchase Road (closed Winter),Valid,Sambucus_racemosa_v_racemosa,Sambucus  racemosa v. racemosa,33192,Red Elderberry,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1054339200000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Dipsacales, , , , ,Caprifoliaceae, ,~,by hand, , ,cert,ATBI Aphid Study
0101000020E6100000DC3FDF410CC654C0D637DE9427CA4140,30425,0101000020110F000031DA03A79EA461C11EF54DE3722F5041,29580,>1m <=5m,ATBI DATABASE,,1446839943000,DERV,DELLWOOD,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,310217,3939310,35.579326,-83.094494,Upper Cataloochee Creek,,4309.170898,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446839943000,GRSM,UNR,,7,,,Cataloochee Divide Trail,The Purchase Road (closed Winter),Valid,Sambucus_racemosa_v_racemosa,Sambucus  racemosa v. racemosa,33192,Red Elderberry,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,900288000000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Dipsacales, , , , ,Caprifoliaceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E61000009B195BDAD9C654C024719B18AEC94140,30424,0101000020110F00009CD1CC434DA561C1D8A89507F42E5041,29579,>1m <=5m,ATBI DATABASE,,1446839942000,DERV,DELLWOOD,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,309071,3938923,35.575619,-83.107043,Upper Cataloochee Creek,Double Gap Branch,4174.820801,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446839942000,GRSM,UNR,,8,,,Hemphill Bald Trail,The Purchase Road (closed Winter),Valid,Sambucus_racemosa_v_racemosa,Sambucus  racemosa v. racemosa,33192,Red Elderberry,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,900374400000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Dipsacales, , , , ,Caprifoliaceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E610000096AB270CADC754C07370CA8BB5C74140,30421,0101000020110F00005176E6A100A661C1B2E4533AE52C5041,29577,>1m <=5m,ATBI DATABASE,,1446839942000,DERV,DELLWOOD,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,307866,3937240,35.560221,-83.119933,Upper Cataloochee Creek,Big Bald Branch,5104.569824,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446839942000,GRSM,UNR,,7,,,Hemphill Bald Trail,Heintooga Ridge Road,Valid,Sambucus_racemosa_v_racemosa,Sambucus  racemosa v. racemosa,33192,Red Elderberry,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,904953600000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Dipsacales, , , , ,Caprifoliaceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E6100000B9923B711BC854C070D9D2B7CDC74140,30420,0101000020110F000046DE0A645EA661C1F7C2AC76FE2C5041,29576,>1m <=5m,ATBI DATABASE,,1446839941000,DERV,BUNCHES BALD,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,307257,3937335,35.560959,-83.126671,Upper Cataloochee Creek,Little Bald Branch,4232.706543,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446839941000,GRSM,UNR,,7,,,Hemphill Bald Trail,Heintooga Ridge Road,Valid,Sambucus_racemosa_v_racemosa,Sambucus  racemosa v. racemosa,33192,Red Elderberry,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,903484800000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Dipsacales, , , , ,Caprifoliaceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E6100000E2DE04F8F1CA54C066E7B0AC88C44140,30416,0101000020110F0000E062136EC7A861C12F0B47B894295041,29573,>1m <=5m,ATBI DATABASE,,1446839940000,DERV,BUNCHES BALD,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,303175,3934589,35.535414,-83.171015,Upper Johnathans Creek,Wycle Fork,4504.029297,,,dd,GCS,NAD83,17,,,TPCOLSON,TPCOLSON,1446839940000,GRSM,UNR,,4,,,Flat Creek Trail,Grsm/blri Boundary Parking,Valid,Sambucus_racemosa_v_racemosa,Sambucus  racemosa v. racemosa,33192,Red Elderberry,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1152057600000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Dipsacales, , , , ,Caprifoliaceae, ,~,by hand,No,day,cert,PKnob gall inventory
