the_geom,cartodb_id,the_geom_webmercator,objectid,verror,mapsource,sourcedate,editdate,mapmethod,quadname,unitname,herror,county,state,x_coord,y_coord,lat,lon,watershed,streamname,elevation,year,notes,coord_units,coord_system,datum,utm_zone,managementzone,parkdistrict,editby,createby,createdate,unitcode,restriction,veg_class,landform,loc_name,loc_id,trail,road,valid_result,genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,dateretrieved,kingdom,subkingdom,phylum,subphylum,class,subclass,superdivision,division,subdivision,superorder,ordername,series,suborder,infraorder,superfamily,family,subfamily,tribe,collectionmethod,specimentype,dateprecision,identificationprecision,project
0101000020E6100000E905CD1E10DF54C03AC302CFE5B94140,236869,0101000020110F000073298C74DDB961C1297F5B647C1E5041,236845,>1m <=5m,ATBI DATABASE,,1446953055000,DERV,BRYSON CITY,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,274439,3926044,35.452319,-83.485355,Fontana Lake-Tuckasegee River,Peachtree Creek,2125.1521,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446953055000,GRSM,UNR,,7,,,Conner @ Hickory Flats Cemetery Access,Lakeview Drive East,Valid,Phlyctaenia_coronata,Phlyctaenia  coronata,29223,Unspecified,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1090195200000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Pyraloidea,Crambidae,Pyraustinae,~,UV light, ,day,cert,ATBI Lepidoptera TWIG
0101000020E6100000AF611EE39ECB54C05C3D7DBDE8C84140,236890,0101000020110F0000F52A234A5AA961C1E45F34F5252E5041,236866,>1m <=5m,ATBI DATABASE,,1446953068000,DERV,BUNCHES BALD,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,302302,3938402,35.569596,-83.181569,Lower Raven Fork,Flat Creek,5195.453125,,,dd,GCS,NAD83,17,,Oconaluftee District,TPCOLSON,TPCOLSON,1446953068000,GRSM,UNR,,4,,,Flat Creek Trail,Heintooga Ridge Road,Valid,Phlyctaenia_coronata,Phlyctaenia  coronata,29223,Unspecified,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1090195200000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Pyraloidea,Crambidae,Pyraustinae,~,UV light, ,day,cert,ATBI Lepidoptera TWIG
0101000020E610000063320BA34FCA54C0E4396E4724C84140,236891,0101000020110F0000DF3AB98F3DA861C16A42F0D5582D5041,236867,>1m <=5m,ATBI DATABASE,,1446953069000,DERV,BUNCHES BALD,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,304142,3937696,35.5636,-83.161107,Upper Cataloochee Creek,,5086.073242,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446953069000,GRSM,UNR,,6,,,Hemphill Bald Trail,Polls Gap Trail Parking,Valid,Phlyctaenia_coronata,Phlyctaenia  coronata,29223,Unspecified,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1023580800000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Pyraloidea,Crambidae,Pyraustinae,~,UV light, , ,cert,ATBI Lepidoptera TWiG
0101000020E610000049A4F1C7F1D254C073DDE539DAC44140,236886,0101000020110F0000D86C35A392AF61C15608B7D5E9295041,236862,>1m <=5m,ATBI DATABASE,,1446953066000,DERV,SMOKEMONT,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,291848,3935122,35.537903,-83.296003,Lower Oconaluftee River,Tow String Creek,2222.437012,,,dd,GCS,NAD83,17,,Oconaluftee District,TPCOLSON,TPCOLSON,1446953066000,GRSM,UNR,,6,,,Chambers Cemetery Access,Tow String Horse Barn Road,Valid,Phlyctaenia_coronata,Phlyctaenia  coronata,29223,Unspecified,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1155427200000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Pyraloidea,Crambidae,Pyraustinae,~,UV light, , ,cert,ATBI Lepidoptera TWiG
0101000020E61000002BEE21DC22D354C0FFA3035A06C14140,236885,0101000020110F0000F560FA51BCAF61C102A7BC51EB255041,236861,>1m <=5m,ATBI DATABASE,,1446953065000,DERV,SMOKEMONT,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,291499,3931811,35.507999,-83.298999,Lower Oconaluftee River,,2030.032227,,,dd,GCS,NAD83,17,,,TPCOLSON,TPCOLSON,1446953065000,GRSM,UNR,,7,,,Oconaluftee River Trail,Newfound Gap Road South,Valid,Phlyctaenia_coronata,Phlyctaenia  coronata,29223,Unspecified,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,990057600000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Pyraloidea,Crambidae,Pyraustinae,~,at light, , ,cert,ATBI Lepidoptera TWiG
0101000020E61000003B3CD53833D354C0A404061B27C14140,236882,0101000020110F0000514F7137CAAF61C136460F7E0D265041,236858,>1m <=5m,ATBI DATABASE,,1446953063000,DERV,SMOKEMONT,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,291411,3931924,35.508999,-83.299997,Lower Oconaluftee River,,2013.518921,,,dd,GCS,NAD83,17,,,TPCOLSON,TPCOLSON,1446953063000,GRSM,UNR,,5,,,Oconaluftee River Trail,Newfound Gap Road South,Valid,Phlyctaenia_coronata,Phlyctaenia  coronata,29223,Unspecified,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,993340800000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Pyraloidea,Crambidae,Pyraustinae,~,UV light, , ,cert,ATBI Lepidoptera TWiG
0101000020E61000005C9E3743E1D254C043D9AA104EC24140,236887,0101000020110F0000FDF3BF9B84AF61C1A3AF5C4041275041,236863,>1m <=5m,ATBI DATABASE,,1446953066000,DERV,SMOKEMONT,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,291888,3932912,35.518001,-83.294995,Lower Raven Fork,,2050.639648,,,dd,GCS,NAD83,17,,Oconaluftee District,TPCOLSON,TPCOLSON,1446953066000,GRSM,UNR,,6,,,Nations Cemetery Access,Oconaluftee Job Corps Center Access Road,Valid,Phlyctaenia_coronata,Phlyctaenia  coronata,29223,Unspecified,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,995241600000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Pyraloidea,Crambidae,Pyraustinae,~,UV light, , ,cert,ATBI Lepidoptera TWiG
0101000020E6100000BDE01000D5DE54C0D1DB35A766C84140,236874,0101000020110F0000EBC39C3EABB961C1E4005C229E2D5041,236850,>1m <=5m,ATBI DATABASE,,1446953058000,DERV,CLINGMANS DOME,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,275083,3938606,35.565626,-83.481746,Noland Creek,Noland Creek,5729.838379,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446953058000,GRSM,UNR,,7,,,Noland Divide Trail,Clingmans Dome Access Road,Valid,Phlyctaenia_coronata,Phlyctaenia  coronata,29223,Unspecified,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,989971200000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Pyraloidea,Crambidae,Pyraustinae,~,UV light, , ,cert,ATBI Lepidoptera TWiG
0101000020E610000069BE0621D9DE54C0FB9F8BAC93C84140,236873,0101000020110F000070074AC0AEB961C1359BBE23CD2D5041,236849,>1m <=5m,ATBI DATABASE,,1446953058000,DERV,CLINGMANS DOME,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,275064,3938759,35.567,-83.481998,Noland Creek,Noland Creek,5920.010742,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446953058000,GRSM,UNR,,9,,,Noland Divide Trail,Noland Divide Trailhead Parking,Valid,Phlyctaenia_coronata,Phlyctaenia  coronata,29223,Unspecified,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1023667200000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Pyraloidea,Crambidae,Pyraustinae,~,UV light, ,day,cert,ATBI Lepidoptera TWIG
0101000020E610000041BE2E9D18DC54C01938C1B314CE4140,236878,0101000020110F000063AF036858B761C179AFE0AF8C335041,236854,>1m <=5m,ATBI DATABASE,,1446953061000,DERV,CLINGMANS DOME,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,279080,3943432,35.61,-83.438998,Upper Oconaluftee River,Beech Flats Prong,5224.262207,,,dd,GCS,NAD83,17,,Oconaluftee District,TPCOLSON,TPCOLSON,1446953061000,GRSM,UNR,,9,,,Appalachian Trail,Clingmans Dome Access Road,Valid,Phlyctaenia_coronata,Phlyctaenia  coronata,29223,Unspecified,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1023580800000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Pyraloidea,Crambidae,Pyraustinae,~,UV light, ,day,cert,ATBI Lepidoptera TWIG
0101000020E6100000A162FA306BDF54C0B6029008BDD14140,236870,0101000020110F00004F1849CD2ABA61C1297D4F005F375041,236846,>1m <=5m,ATBI DATABASE,,1446953056000,DERV,MOUNT LE CONTE,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,274457,3946720,35.638574,-83.490913,West Prong Little Pigeon River Upper,West Prong Little Pigeon River,2929.979736,,,dd,GCS,NAD83,17,,Little River District,TPCOLSON,TPCOLSON,1446953056000,GRSM,UNR,,2,,,Cove Hardwood Nature Trail,Newfound Gap Road North,Valid,Phlyctaenia_coronata,Phlyctaenia  coronata,29223,Unspecified,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,989971200000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Pyraloidea,Crambidae,Pyraustinae,~,unspecified, ,day,cert,ATBI Lepidoptera TWIG
0101000020E610000021EB958414DE54C0D58785CC68D14140,236876,0101000020110F00008E73EEC407B961C1CF4CB9F906375041,236852,>1m <=5m,ATBI DATABASE,,1446953059000,DERV,MOUNT LE CONTE,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,276344,3946387,35.636004,-83.469998,West Prong Little Pigeon River Upper,West Prong Little Pigeon River,3442.888672,,,dd,GCS,NAD83,17,,Little River District,TPCOLSON,TPCOLSON,1446953059000,GRSM,UNR,,6,,,Chimney Tops Trail,Newfound Gap Road North,Valid,Phlyctaenia_coronata,Phlyctaenia  coronata,29223,Unspecified,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,995241600000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Pyraloidea,Crambidae,Pyraustinae,~,UV light, ,day,cert,ATBI Lepidoptera TWIG
0101000020E6100000252BBF9FE9DE54C0A3ADDD850CD24140,236875,0101000020110F00004B9EA5C2BCB961C135E82612B2375041,236851,>1m <=5m,ATBI DATABASE,,1446953059000,DERV,MOUNT LE CONTE,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,275180,3946971,35.641,-83.483005,West Prong Little Pigeon River Upper,West Prong Little Pigeon River,3139.299316,,,dd,GCS,NAD83,17,,Little River District,TPCOLSON,TPCOLSON,1446953059000,GRSM,UNR,,4,,,Bullhead Trail,Newfound Gap Road North,Valid,Phlyctaenia_coronata,Phlyctaenia  coronata,29223,Unspecified,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,993340800000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Pyraloidea,Crambidae,Pyraustinae,~,UV light, ,day,cert,ATBI Lepidoptera TWIG
0101000020E610000091252AE9FBD954C09380F8D070DD4140,236879,0101000020110F00003982D92F8DB561C11BB5F9759B435041,236855,>1m <=5m,ATBI DATABASE,,1446953062000,DERV,MOUNT LE CONTE,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,282396,3956671,35.729998,-83.405996,Little Pigeon River Middle,Injun Creek,1430.831787,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446953062000,GRSM,UNR,,7,,,Old Settlers Trail,Greenbrier Road,Valid,Phlyctaenia_coronata,Phlyctaenia  coronata,29223,Unspecified,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,990316800000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Pyraloidea,Crambidae,Pyraustinae,~,UV light, ,day,cert,ATBI Lepidoptera TWIG
0101000020E6100000EB42790D64D854C0A324A5528CDA4140,236880,0101000020110F00000CBBF7CA32B461C14CF285D994405041,236856,>1m <=5m,ATBI DATABASE,,1446953062000,DERV,MOUNT LE CONTE,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,284587,3954109,35.7074,-83.381103,Little Pigeon River Upper,Middle Prong Little Pigeon River,1687.616699,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446953062000,GRSM,UNR,,6,,,Old Settlers Trail,Ramsey Prong Road,Valid,Phlyctaenia_coronata,Phlyctaenia  coronata,29223,Unspecified,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,989971200000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Pyraloidea,Crambidae,Pyraustinae,~,at light, , ,cert,ATBI Lepidoptera TWiG
0101000020E6100000557720438BE454C015BE7E9537D94140,236866,0101000020110F00002AF9E42485BE61C19AFA3D7C303F5041,236843,>1m <=5m,ATBI DATABASE,,1446953054000,DERV,GATLINBURG,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,267374,3953389,35.697002,-83.570996,West Prong Little Pigeon River Upper,,3452.494873,,,dd,GCS,NAD83,17,,Little River District,TPCOLSON,TPCOLSON,1446953054000,GRSM,UNR,,7,,,Cove Mountain Trail,Fighting Creek Gap Road,Valid,Phlyctaenia_coronata,Phlyctaenia  coronata,29223,Unspecified,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1155427200000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Pyraloidea,Crambidae,Pyraustinae,~,UV light, , ,cert,ATBI Lepidoptera TWiG
0101000020E6100000F62B23495EE254C01EFAC2F9CED74140,236868,0101000020110F0000499C911AACBC61C145041364B73D5041,236844,>1m <=5m,ATBI DATABASE,,1446953055000,DERV,GATLINBURG,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,270419,3952088,35.685997,-83.537001,West Prong Little Pigeon River Upper,Ash Hopper Branch,1466.512207,,,dd,GCS,NAD83,17,,Little River District,TPCOLSON,TPCOLSON,1446953055000,GRSM,UNR,,6,,,Fighting Creek Nature Trail,Sugarlands Visitor Center Parking B,Valid,Phlyctaenia_coronata,Phlyctaenia  coronata,29223,Unspecified,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1090195200000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Pyraloidea,Crambidae,Pyraustinae,~,UV light, , ,cert,ATBI Lepidoptera TWiG
