the_geom,cartodb_id,the_geom_webmercator,objectid,verror,mapsource,sourcedate,editdate,mapmethod,quadname,unitname,herror,county,state,x_coord,y_coord,lat,lon,watershed,streamname,elevation,year,notes,coord_units,coord_system,datum,utm_zone,managementzone,parkdistrict,editby,createby,createdate,unitcode,restriction,veg_class,landform,loc_name,loc_id,trail,road,valid_result,genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,dateretrieved,kingdom,subkingdom,phylum,subphylum,class,subclass,superdivision,division,subdivision,superorder,ordername,series,suborder,infraorder,superfamily,family,subfamily,tribe,collectionmethod,specimentype,dateprecision,identificationprecision,project
0101000020E61000005E046A8A10E054C0D2DFF027CFD74140,183406,0101000020110F0000495AB03BB7BA61C122875C94B73D5041,183030,>1m <=5m,ATBI DATABASE,,1446922297000,DERV,GATLINBURG,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,273677,3952005,35.686003,-83.501006,Le Conte Creek,Le Conte Creek,1948.539551,,,dd,GCS,NAD83,17,,Little River District,TPCOLSON,TPCOLSON,1446922297000,GRSM,UNR,,4,,,Twin Creeks Trail,Natural Resources Center Parking #2,Valid,Herpetogramma_pertextalis,Herpetogramma  pertextalis,18935,Bold-feathered Grass Moth,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,964310400000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Pyraloidea,Crambidae,Pyraustinae,~,UV light, ,day,cert,ATBI Lepidoptera TWIG
0101000020E6100000BA3904AAB9F154C0B35ABD2320CD4140,183398,0101000020110F0000B44E5406B7C961C1AAD066378D325041,183022,>1m <=5m,ATBI DATABASE,,1446922292000,DERV,CADES COVE,Great Smoky Mountains National Park,>1m <=5m,Blount,Tennessee,248438,3943416,35.602536,-83.776953,Abrams Creek Upper,Stillhouse Branch,1898.696411,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446922292000,GRSM,UNR,,6,,,Cades Cove Horse Trail,Cades Cove Residence Road A,Valid,Herpetogramma_pertextalis,Herpetogramma  pertextalis,18935,Bold-feathered Grass Moth,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,990316800000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Pyraloidea,Crambidae,Pyraustinae,~,at light, ,day,cert,ATBI Lepidoptera TWIG
0101000020E6100000DECA33AB6EF254C013496688B2CD4140,183397,0101000020110F0000330B84C050CA61C1C59DDF2226335041,183021,>1m <=5m,ATBI DATABASE,,1446922292000,DERV,CADES COVE,Great Smoky Mountains National Park,>1m <=5m,Blount,Tennessee,247451,3943940,35.607004,-83.788001,Abrams Creek Upper,Crooked Arm Branch,1824.887573,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446922292000,GRSM,UNR,,10,,,Rich Mountain Loop Trail,Cades Cove Loop Road,Valid,Herpetogramma_pertextalis,Herpetogramma  pertextalis,18935,Bold-feathered Grass Moth,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,926640000000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Pyraloidea,Crambidae,Pyraustinae,~,unspecified, ,day,cert,ATBI Lepidoptera TWIG
0101000020E6100000F3BF64FC7EF254C0148BFD4429CC4140,183396,0101000020110F000012A4349C5ECA61C1A781075C8B315041,183020,>1m <=5m,ATBI DATABASE,,1446922291000,DERV,CADES COVE,Great Smoky Mountains National Park,>1m <=5m,Blount,Tennessee,247323,3942611,35.595003,-83.788996,Abrams Creek Upper,Rowans Creek,1879.251221,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446922291000,GRSM,UNR,,6,,,Cades Cove Horse Trail,Cades Cove Loop Road,Valid,Herpetogramma_pertextalis,Herpetogramma  pertextalis,18935,Bold-feathered Grass Moth,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,964483200000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Pyraloidea,Crambidae,Pyraustinae,~,UV light, , ,cert,ATBI Lepidoptera TWiG
0101000020E61000009E1E04B2F1F254C07F7F6D7E35CE4140,183395,0101000020110F0000F7257008C0CA61C135A86FF1AE335041,183019,>1m <=5m,ATBI DATABASE,,1446922291000,DERV,CADES COVE,Great Smoky Mountains National Park,>1m <=5m,Blount,Tennessee,246739,3944404,35.611001,-83.795998,Abrams Creek Upper,Marthas Branch,1904.317505,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446922291000,GRSM,UNR,,7,,,Rich Mountain Loop Trail,John Oliver Place Parking,Valid,Herpetogramma_pertextalis,Herpetogramma  pertextalis,18935,Bold-feathered Grass Moth,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,964483200000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Pyraloidea,Crambidae,Pyraustinae,~,UV light, ,day,cert,ATBI Lepidoptera TWIG
0101000020E6100000719B8D4EE3F554C0FBFC665808CC4140,183384,0101000020110F00008ADB4E1340CD61C1E22CCDF868315041,183008,>1m <=5m,ATBI DATABASE,,1446922284000,DERV,CADES COVE,Great Smoky Mountains National Park,>1m <=5m,Blount,Tennessee,242517,3942637,35.593998,-83.841995,Abrams Creek Upper,Abrams Creek,1709.245605,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446922284000,GRSM,UNR,,7,,,Elijah Oliver Cabin Access Trail,Cades Cove Loop Road,Valid,Herpetogramma_pertextalis,Herpetogramma  pertextalis,18935,Bold-feathered Grass Moth,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1023494400000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Pyraloidea,Crambidae,Pyraustinae,~,unspecified, ,day,cert,ATBI Lepidoptera TWIG
0101000020E6100000498D92B518F454C0335DF6950ECD4140,183394,0101000020110F00004F459E96BACB61C1741A6DE17A325041,183018,>1m <=5m,ATBI DATABASE,,1446922290000,DERV,CADES COVE,Great Smoky Mountains National Park,>1m <=5m,Blount,Tennessee,245079,3943452,35.602001,-83.814004,Abrams Creek Upper,Feezell Branch,1828.03894,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446922290000,GRSM,UNR,,6,,,Lawson Cemetery Access,Primitive Baptist Church Road,Valid,Herpetogramma_pertextalis,Herpetogramma  pertextalis,18935,Bold-feathered Grass Moth,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1000944000000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Pyraloidea,Crambidae,Pyraustinae,~,UV light, , ,cert,ATBI Lepidoptera TWiG
0101000020E610000095B6651181F554C0B57083287FCA4140,183393,0101000020110F0000C6401FA4ECCC61C179626D57CE2F5041,183017,>1m <=5m,ATBI DATABASE,,1446922289000,DERV,CADES COVE,Great Smoky Mountains National Park,>1m <=5m,Blount,Tennessee,243022,3941290,35.581999,-83.835999,Abrams Creek Upper,Wildcat Branch,1804.317871,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446922289000,GRSM,UNR,,6,,,Lawson Cemetery Access,Forge Creek Road,Valid,Herpetogramma_pertextalis,Herpetogramma  pertextalis,18935,Bold-feathered Grass Moth,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1054857600000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Pyraloidea,Crambidae,Pyraustinae,~,Malaise trap (Townes), ,day,cert,ATBI Lepidoptera TWIG
0101000020E6100000A9E2E7CE92F554C0942A385976CA4140,183390,0101000020110F0000C5063AB5FBCC61C154954224C52F5041,183014,>1m <=5m,ATBI DATABASE,,1446922288000,DERV,CADES COVE,Great Smoky Mountains National Park,>1m <=5m,Blount,Tennessee,242923,3941263,35.58173,-83.837081,Abrams Creek Upper,Wildcat Branch,1796.669678,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446922288000,GRSM,UNR,,3,,,Wet Bottom Trail,Forge Creek Road,Valid,Herpetogramma_pertextalis,Herpetogramma  pertextalis,18935,Bold-feathered Grass Moth,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,991180800000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Pyraloidea,Crambidae,Pyraustinae,~,UV light, , ,cert,ATBI Lepidoptera TWiG
0101000020E6100000E98F737291F554C0D28437B53DCA4140,183392,0101000020110F000045C4488DFACC61C1E78254FE892F5041,183016,>1m <=5m,ATBI DATABASE,,1446922289000,DERV,CADES COVE,Great Smoky Mountains National Park,>1m <=5m,Blount,Tennessee,242925,3941071,35.580001,-83.836998,Abrams Creek Upper,Wildcat Branch,1806.488525,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446922289000,GRSM,UNR,,2,,,Rabbit Creek Trail,Forge Creek Road,Valid,Herpetogramma_pertextalis,Herpetogramma  pertextalis,18935,Bold-feathered Grass Moth,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1063497600000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Pyraloidea,Crambidae,Pyraustinae,~,Malaise trap (Townes), ,day,cert,ATBI Lepidoptera TWIG
0101000020E610000073A6B5DBA1F554C0050DAEA7C0CA4140,183388,0101000020110F00009A036A7D08CD61C137515BBD12305041,183012,>1m <=5m,ATBI DATABASE,,1446922286000,DERV,CADES COVE,Great Smoky Mountains National Park,>1m <=5m,Blount,Tennessee,242847,3941517,35.583998,-83.838,Abrams Creek Upper,Mill Creek,1774.178345,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446922286000,GRSM,UNR,,6,,,Wet Bottom Trail,Forge Creek Road,Valid,Herpetogramma_pertextalis,Herpetogramma  pertextalis,18935,Bold-feathered Grass Moth,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1021939200000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Pyraloidea,Crambidae,Pyraustinae,~,Malaise trap (Townes), ,day,cert,ATBI Lepidoptera TWIG
0101000020E6100000E636F341D5F554C099931F0A49CB4140,183387,0101000020110F0000E33EB62434CD61C112A8DD2BA1305041,183011,>1m <=5m,ATBI DATABASE,,1446922286000,DERV,CADES COVE,Great Smoky Mountains National Park,>1m <=5m,Blount,Tennessee,242576,3941987,35.58816,-83.841137,Abrams Creek Upper,,1758.333496,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446922286000,GRSM,UNR,,6,,,Wet Bottom Trail,Cades Cove Loop Road,Valid,Herpetogramma_pertextalis,Herpetogramma  pertextalis,18935,Bold-feathered Grass Moth,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1002844800000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Pyraloidea,Crambidae,Pyraustinae,~,UV light, , ,cert,ATBI Lepidoptera TWiG
