the_geom,cartodb_id,the_geom_webmercator,objectid,verror,mapsource,sourcedate,editdate,mapmethod,quadname,unitname,herror,county,state,x_coord,y_coord,lat,lon,watershed,streamname,elevation,year,notes,coord_units,coord_system,datum,utm_zone,managementzone,parkdistrict,editby,createby,createdate,unitcode,restriction,veg_class,landform,loc_name,loc_id,trail,road,valid_result,genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,dateretrieved,kingdom,subkingdom,phylum,subphylum,class,subclass,superdivision,division,subdivision,superorder,ordername,series,suborder,infraorder,superfamily,family,subfamily,tribe,collectionmethod,specimentype,dateprecision,identificationprecision,project
0101000020E6100000A7B7F0D038FB54C024815C9BB3BD4140,74656,0101000020110F000078368CCDC7D161C1C77094DC73225041,74008,>1m <=5m,ATBI DATABASE,,1446864967000,DERV,TAPOCO,Great Smoky Mountains National Park,>1m <=5m,Blount,Tennessee,234595,3930436,35.482037,-83.925339,Chilhowee Lake,,2108.902344,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446864967000,GRSM,UNR,,7,,,Wolf Ridge Trail,Parson Branch Road (closed Winter),Valid,Viola_sororia_variety,Viola  sororia variety,42347,Common Blue Violet,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1118016000000,Plantae,Tracheobionta, , ,Magnoliopsida,Dilleniidae,Spermatophyta,Magnoliophyta, , ,Violales, , , , ,Violaceae, ,~,observed, ,day,cert,TVA Powerline Plants
0101000020E6100000A1F09F8F6EC954C03D0C356341E14140,74725,0101000020110F0000FB6C88677EA761C1DFB4ED5C99475041,74072,>1m <=5m,ATBI DATABASE,,1446865002000,DERV,HARTFORD,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,305863,3959434,35.759801,-83.147369,Big Creek,Chestnut Branch,3246.623535,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446865002000,GRSM,UNR,,6,,,Appalachian Trail,Big Creek Campground Loop Road,Valid,Viola_sororia_variety,Viola  sororia variety,42347,Common Blue Violet,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,988934400000,Plantae,Tracheobionta, , ,Magnoliopsida,Dilleniidae,Spermatophyta,Magnoliophyta, , ,Violales, , , , ,Violaceae, ,~,by hand, , ,cert,INHS plant survey
0101000020E6100000A92FDE9EE6CC54C034ABD64DDFDF4140,74723,0101000020110F0000508438A270AA61C1739F9FCC26465041,74070,>1m <=5m,ATBI DATABASE,,1446865001000,DERV,LUFTEE KNOB,Great Smoky Mountains National Park,>1m <=5m,Cocke,Tennessee,300935,3958344,35.748995,-83.201572,Cosby Creek,Cosby Creek,2510.041504,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446865001000,GRSM,UNR,,6,,,Cosby Horse Trail,Cosby Campground Road B,Valid,Viola_sororia_variety,Viola  sororia variety,42347,Common Blue Violet,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,957139200000,Plantae,Tracheobionta, , ,Magnoliopsida,Dilleniidae,Spermatophyta,Magnoliophyta, , ,Violales, , , , ,Violaceae, ,~,by hand, , ,cert,INHS plant survey
0101000020E61000006355C96FEDCC54C096331F0DB0D24140,74722,0101000020110F00003C3E2E6C76AA61C1C471F8F85C385041,74069,>1m <=5m,ATBI DATABASE,,1446865001000,DERV,LUFTEE KNOB,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,300641,3946918,35.645991,-83.201988,Upper Cataloochee Creek,Table Rock Branch,5069.424805,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446865001000,GRSM,UNR,,6,,,Balsam Mountain Trail,Balsam Mountain Road (closed Winter),Valid,Viola_sororia_variety,Viola  sororia variety,42347,Common Blue Violet,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1369612800000,Plantae,Tracheobionta, , ,Magnoliopsida,Dilleniidae,Spermatophyta,Magnoliophyta, , ,Violales, , , , ,Violaceae, ,~,observed,No,day,cert,ATBI
0101000020E61000005D67CA8150CD54C0949AB7967BD14140,74721,0101000020110F0000AC852390CAAA61C1591B5A9C1A375041,74068,>1m <=5m,ATBI DATABASE,,1446865000000,DERV,LUFTEE KNOB,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,300070,3945886,35.636577,-83.208035,Straight Fork Raven Fork,,4352.775391,,,dd,GCS,NAD83,17,,Oconaluftee District,TPCOLSON,TPCOLSON,1446865000000,GRSM,UNR,,5,,,Beech Gap Trail,Beech Gap Trailhead Parking #2,Valid,Viola_sororia_variety,Viola  sororia variety,42347,Common Blue Violet,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1369612800000,Plantae,Tracheobionta, , ,Magnoliopsida,Dilleniidae,Spermatophyta,Magnoliophyta, , ,Violales, , , , ,Violaceae, ,~,observed,No,day,cert,ATBI
0101000020E61000003F953311DFC554C0DA67517C95CF4140,74732,0101000020110F0000924FBD4578A461C106C252AE1E355041,74077,>1m <=5m,ATBI DATABASE,,1446865005000,DERV,DELLWOOD,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,310567,3944010,35.621743,-83.091736,Upper Cataloochee Creek,Caldwell Fork,3023.883057,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446865005000,GRSM,UNR,,7,,,Caldwell Fork Trail,Cataloochee Entrance Road,Valid,Viola_sororia_variety,Viola  sororia variety,42347,Common Blue Violet,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,898128000000,Plantae,Tracheobionta, , ,Magnoliopsida,Dilleniidae,Spermatophyta,Magnoliophyta, , ,Violales, , , , ,Violaceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E610000082E80C369CC554C0C989FA4DB6CA4140,74733,0101000020110F00006818D67D3FA461C1248A3FEE07305041,74078,>1m <=5m,ATBI DATABASE,,1446865005000,DERV,DELLWOOD,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,310847,3939780,35.583682,-83.087655,Upper Cataloochee Creek,McKee Branch,3888.529053,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446865005000,GRSM,UNR,,4,,,McKee Branch Trail,The Purchase Road (closed Winter),Valid,Viola_sororia_variety,Viola  sororia variety,42347,Common Blue Violet,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,900460800000,Plantae,Tracheobionta, , ,Magnoliopsida,Dilleniidae,Spermatophyta,Magnoliophyta, , ,Violales, , , , ,Violaceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E6100000E6D27906EDC854C0760B847463CB4140,74726,0101000020110F0000A43CC26310A761C1476250C2BC305041,74073,>1m <=5m,ATBI DATABASE,,1446865003000,DERV,BUNCHES BALD,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,306165,3940467,35.588966,-83.139463,Upper Cataloochee Creek,Hurricane Creek,3686.058838,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446865003000,GRSM,UNR,,6,,,Rough Fork Trail,Heintooga Ridge Road,Valid,Viola_sororia_variety,Viola  sororia variety,42347,Common Blue Violet,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,898560000000,Plantae,Tracheobionta, , ,Magnoliopsida,Dilleniidae,Spermatophyta,Magnoliophyta, , ,Violales, , , , ,Violaceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E6100000596B51C70CC854C0338027957FCC4140,74731,0101000020110F0000E06FD7EF51A661C1DF0CDD82E5315041,74076,>1m <=5m,ATBI DATABASE,,1446865004000,DERV,BUNCHES BALD,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,307426,3941402,35.597637,-83.125776,Upper Cataloochee Creek,Jim Branch,3341.661621,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446865004000,GRSM,UNR,,4,,,Rough Fork Trail,Cataloochee Entrance Road,Valid,Viola_sororia_variety,Viola  sororia variety,42347,Common Blue Violet,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,898646400000,Plantae,Tracheobionta, , ,Magnoliopsida,Dilleniidae,Spermatophyta,Magnoliophyta, , ,Violales, , , , ,Violaceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E6100000F3954503E6C854C0413D435934CD4140,74728,0101000020110F00000064176F0AA761C1A5C27153A2325041,74074,>1m <=5m,ATBI DATABASE,,1446865003000,DERV,BUNCHES BALD,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,306238,3942040,35.603153,-83.139035,Upper Cataloochee Creek,,3728.598145,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446865003000,GRSM,UNR,,6,,,Rough Fork Trail,Cataloochee Entrance Road,Valid,Viola_sororia_variety,Viola  sororia variety,42347,Common Blue Violet,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,897955200000,Plantae,Tracheobionta, , ,Magnoliopsida,Dilleniidae,Spermatophyta,Magnoliophyta, , ,Violales, , , , ,Violaceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E6100000BFA08F763FC854C02C05D7EE34CD4140,74729,0101000020110F0000D731B8FB7CA661C1C4E3AFEFA2325041,74075,>1m <=5m,ATBI DATABASE,,1446865004000,DERV,BUNCHES BALD,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,307159,3942022,35.603171,-83.12887,Upper Cataloochee Creek,Hurricane Creek,3077.348633,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446865004000,GRSM,UNR,,6,,,Rough Fork Trail,Cataloochee Entrance Road,Valid,Viola_sororia_variety,Viola  sororia variety,42347,Common Blue Violet,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,901670400000,Plantae,Tracheobionta, , ,Magnoliopsida,Dilleniidae,Spermatophyta,Magnoliophyta, , ,Violales, , , , ,Violaceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E610000045221E30BFCB54C03AB5DF4CDFCE4140,74724,0101000020110F0000C93700B975A961C1B1BEEB5660345041,74071,>1m <=5m,ATBI DATABASE,,1446865002000,DERV,BUNCHES BALD,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,302238,3943574,35.616183,-83.18354,Straight Fork Raven Fork,Right Prong Ledge Creek,4672.271484,,,dd,GCS,NAD83,17,,Oconaluftee District,TPCOLSON,TPCOLSON,1446865002000,GRSM,UNR,,5,,,Spruce Mountain Trail,Balsam Mountain Road (closed Winter),Valid,Viola_sororia_variety,Viola  sororia variety,42347,Common Blue Violet,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,999129600000,Plantae,Tracheobionta, , ,Magnoliopsida,Dilleniidae,Spermatophyta,Magnoliophyta, , ,Violales, , , , ,Violaceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E61000000FD3DA0EAFD754C0B9422F0E74CB4140,74713,0101000020110F00005618F61299B361C12D0E9518CE305041,74062,>1m <=5m,ATBI DATABASE,,1446864996000,DERV,SMOKEMONT,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,285271,3941002,35.589472,-83.370056,Upper Oconaluftee River,Beech Flats Prong,2980.354736,,,dd,GCS,NAD83,17,,Oconaluftee District,TPCOLSON,TPCOLSON,1446864996000,GRSM,UNR,,10,,,Kanati Fork Quiet Walkway,Newfound Gap Road South,Valid,Viola_sororia_variety,Viola  sororia variety,42347,Common Blue Violet,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1027468800000,Plantae,Tracheobionta, , ,Magnoliopsida,Dilleniidae,Spermatophyta,Magnoliophyta, , ,Violales, , , , ,Violaceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E61000007AB14E9AC8D254C03C75E7B427C54140,74720,0101000020110F0000378831AA6FAF61C1BEFE09B43A2A5041,74067,>1m <=5m,ATBI DATABASE,,1446864999000,DERV,SMOKEMONT,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,292082,3935379,35.540267,-83.29349,Lower Oconaluftee River,Tow String Creek,2323.737305,,,dd,GCS,NAD83,17,,Oconaluftee District,TPCOLSON,TPCOLSON,1446864999000,GRSM,UNR,,8,,,Chambers Cemetery Access,Tow String Road,Valid,Viola_sororia_variety,Viola  sororia variety,42347,Common Blue Violet,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1027296000000,Plantae,Tracheobionta, , ,Magnoliopsida,Dilleniidae,Spermatophyta,Magnoliophyta, , ,Violales, , , , ,Violaceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E610000074DBF8F266D354C0A59412AD15C04140,74715,0101000020110F0000D1DCFE25F6AF61C1E01C833AF0245041,74064,>1m <=5m,ATBI DATABASE,,1446864997000,DERV,SMOKEMONT,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,291103,3931005,35.500655,-83.303155,Lower Oconaluftee River,,2014.681152,,,dd,GCS,NAD83,17,,Oconaluftee District,TPCOLSON,TPCOLSON,1446864997000,GRSM,UNR,,4,,,Oconaluftee River Trail,Newfound Gap Road South,Valid,Viola_sororia_variety,Viola  sororia variety,42347,Common Blue Violet,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1302739200000,Plantae,Tracheobionta, , ,Magnoliopsida,Dilleniidae,Spermatophyta,Magnoliophyta, , ,Violales, , , , ,Violaceae, ,~,observed,No,day,prob.,ATBI
0101000020E610000072B23A5D49D354C0FA68AB717AC14140,74719,0101000020110F000021089D05DDAF61C1C2A69A7164265041,74066,>1m <=5m,ATBI DATABASE,,1446864999000,DERV,SMOKEMONT,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,291295,3932209,35.511542,-83.301349,Lower Raven Fork,Raven Fork,2016.376831,,,dd,GCS,NAD83,17,,,TPCOLSON,TPCOLSON,1446864999000,GRSM,UNR,,6,,,Oconaluftee River Trail,Oconaluftee Maintenance Area,Valid,Viola_sororia_variety,Viola  sororia variety,42347,Common Blue Violet,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,969408000000,Plantae,Tracheobionta, , ,Magnoliopsida,Dilleniidae,Spermatophyta,Magnoliophyta, , ,Violales, , , , ,Violaceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E6100000B6E7EBF260D354C09B06E1EB9AC14140,74717,0101000020110F0000D3636D0DF1AF61C16A0D715486265041,74065,>1m <=5m,ATBI DATABASE,,1446864998000,DERV,SMOKEMONT,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,291167,3932322,35.512533,-83.302788,Lower Oconaluftee River,Oconaluftee River,2018.367676,,,dd,GCS,NAD83,17,,Oconaluftee District,TPCOLSON,TPCOLSON,1446864998000,GRSM,UNR,,6,,,Oconaluftee River Trail,Oconaluftee Maintenance Area,Valid,Viola_sororia_variety,Viola  sororia variety,42347,Common Blue Violet,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,969408000000,Plantae,Tracheobionta, , ,Magnoliopsida,Dilleniidae,Spermatophyta,Magnoliophyta, , ,Violales, , , , ,Violaceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E6100000E27065D79DDF54C08CBFCB1EFEC44140,74708,0101000020110F00004327ABD155BA61C1DD28564C0F2A5041,74057,>1m <=5m,ATBI DATABASE,,1446864994000,DERV,CLINGMANS DOME,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,273897,3935680,35.538998,-83.494005,Noland Creek,Keeyuga Creek,5757.082031,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446864994000,GRSM,UNR,,6,,,Forney Ridge Trail,Clingmans Dome Road Parking #3,Valid,Viola_sororia_variety,Viola  sororia variety,42347,Common Blue Violet,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-1262304000000,Plantae,Tracheobionta, , ,Magnoliopsida,Dilleniidae,Spermatophyta,Magnoliophyta, , ,Violales, , , , ,Violaceae, ,~,unspecified,No,decade,cert,GRSMNP Grassy Balds
0101000020E610000049507D99A8D954C0E6FCD48553DF4140,74710,0101000020110F00009E9A3F6E46B561C10509A88694455041,74059,>1m <=5m,ATBI DATABASE,,1446864995000,DERV,MOUNT LE CONTE,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,282896,3958294,35.74473,-83.400911,Little Pigeon River Middle,,1622.650635,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446864995000,GRSM,UNR,,7,,,Old Settlers Trail,Greenbrier Road,Valid,Viola_sororia_variety,Viola  sororia variety,42347,Common Blue Violet,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,901843200000,Plantae,Tracheobionta, , ,Magnoliopsida,Dilleniidae,Spermatophyta,Magnoliophyta, , ,Violales, , , , ,Violaceae, ,~,observed, ,day,cert,Fridley Veg Plots
