the_geom,cartodb_id,the_geom_webmercator,objectid,verror,mapsource,sourcedate,editdate,mapmethod,quadname,unitname,herror,county,state,x_coord,y_coord,lat,lon,watershed,streamname,elevation,year,notes,coord_units,coord_system,datum,utm_zone,managementzone,parkdistrict,editby,createby,createdate,unitcode,restriction,veg_class,landform,loc_name,loc_id,trail,road,valid_result,genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,dateretrieved,kingdom,subkingdom,phylum,subphylum,class,subclass,superdivision,division,subdivision,superorder,ordername,series,suborder,infraorder,superfamily,family,subfamily,tribe,collectionmethod,specimentype,dateprecision,identificationprecision,project
0101000020E6100000A7B7F0D038FB54C024815C9BB3BD4140,74656,0101000020110F000078368CCDC7D161C1C77094DC73225041,74008,>1m <=5m,ATBI DATABASE,,1446864967000,DERV,TAPOCO,Great Smoky Mountains National Park,>1m <=5m,Blount,Tennessee,234595,3930436,35.482037,-83.925339,Chilhowee Lake,,2108.902344,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446864967000,GRSM,UNR,,7,,,Wolf Ridge Trail,Parson Branch Road (closed Winter),Valid,Viola_sororia_variety,Viola  sororia variety,42347,Common Blue Violet,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1118016000000,Plantae,Tracheobionta, , ,Magnoliopsida,Dilleniidae,Spermatophyta,Magnoliophyta, , ,Violales, , , , ,Violaceae, ,~,observed, ,day,cert,TVA Powerline Plants
0101000020E6100000B3E63C6D11FB54C03CA28D264EBD4140,74657,0101000020110F0000D5C17459A6D161C1E2FFD70B0A225041,74009,>1m <=5m,ATBI DATABASE,,1446864968000,DERV,TAPOCO,Great Smoky Mountains National Park,>1m <=5m,Blount,Tennessee,234803,3930086,35.478941,-83.922934,Chilhowee Lake,,2026.297974,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446864968000,GRSM,UNR,,7,,,Wolf Ridge Trail,Parson Branch Road (closed Winter),Valid,Viola_sororia_variety,Viola  sororia variety,42347,Common Blue Violet,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1118016000000,Plantae,Tracheobionta, , ,Magnoliopsida,Dilleniidae,Spermatophyta,Magnoliophyta, , ,Violales, , , , ,Violaceae, ,~,observed, ,day,cert,TVA Powerline Plants
0101000020E6100000C17DE067F2F854C0A436616AA7BB4140,74661,0101000020110F0000286B5D29D9CF61C1754C313151205041,74013,>1m <=5m,ATBI DATABASE,,1446864969000,DERV,TAPOCO,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,237769,3928566,35.46604,-83.889791,Lake Cheoah-Little Tennessee River,,1679.457642,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446864969000,GRSM,UNR,,6,,,Twentymile Trail,Twenty Mile Ranger Station Road,Valid,Viola_sororia_variety,Viola  sororia variety,42347,Common Blue Violet,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1118016000000,Plantae,Tracheobionta, , ,Magnoliopsida,Dilleniidae,Spermatophyta,Magnoliophyta, , ,Violales, , , , ,Violaceae, ,~,observed, ,day,cert,TVA Powerline Plants
0101000020E610000045E4DF5AD2F754C05C79B2632FBB4140,74666,0101000020110F000083C31B85E4CE61C1938ED108D41F5041,74017,>1m <=5m,ATBI DATABASE,,1446864971000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,239353,3928113,35.462377,-83.87221,Lake Cheoah-Little Tennessee River,Little Tennessee River,1676.127441,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446864971000,GRSM,UNR,,8,,,Twentymile Trail,Twenty Mile Trailhead Parking,Valid,Viola_sororia_variety,Viola  sororia variety,42347,Common Blue Violet,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1118016000000,Plantae,Tracheobionta, , ,Magnoliopsida,Dilleniidae,Spermatophyta,Magnoliophyta, , ,Violales, , , , ,Violaceae, ,~,observed, ,day,cert,TVA Powerline Plants
0101000020E6100000456E3A20EEED54C0E654ABE9D9BB4140,74699,0101000020110F00007A7BA1E57DC661C1A1DB9CD985205041,74048,>1m <=5m,ATBI DATABASE,,1446864989000,DERV,TUSKEEGEE,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,253398,3928293,35.467581,-83.717655,Hazel Creek,Laurel Branch,1931.398804,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446864989000,GRSM,UNR,,4,,,Lakeshore Trail,Lakeview Drive West,Valid,Viola_sororia_variety,Viola  sororia variety,42347,Common Blue Violet,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1051660800000,Plantae,Tracheobionta, , ,Magnoliopsida,Dilleniidae,Spermatophyta,Magnoliophyta, , ,Violales, , , , ,Violaceae, ,~,by hand, , ,cert,INHS plant survey
0101000020E6100000017C9C6EBBED54C054666EB1A7BC4140,74700,0101000020110F0000A292BCD752C661C1B33F19725C215041,74049,>1m <=5m,ATBI DATABASE,,1446864989000,DERV,TUSKEEGEE,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,253698,3928982,35.473861,-83.714561,Hazel Creek,Hazel Creek,1784.646362,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446864989000,GRSM,UNR,,3,,,Hazel Creek Trail,Lakeview Drive West,Valid,Viola_sororia_variety,Viola  sororia variety,42347,Common Blue Violet,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1051574400000,Plantae,Tracheobionta, , ,Magnoliopsida,Dilleniidae,Spermatophyta,Magnoliophyta, , ,Violales, , , , ,Violaceae, ,~,by hand, , ,cert,INHS plant survey
0101000020E6100000825619F3FEED54C064EEFBF351BC4140,74698,0101000020110F0000D51B752F8CC661C1810FD90703215041,74047,>1m <=5m,ATBI DATABASE,,1446864988000,DERV,TUSKEEGEE,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,253316,3928702,35.471244,-83.718682,Hazel Creek,Hazel Creek,1738.276611,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446864988000,GRSM,UNR,,6,,,Hazel Creek Trail,Lakeview Drive West,Valid,Viola_sororia_variety,Viola  sororia variety,42347,Common Blue Violet,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1051574400000,Plantae,Tracheobionta, , ,Magnoliopsida,Dilleniidae,Spermatophyta,Magnoliophyta, , ,Violales, , , , ,Violaceae, ,~,observed, , ,cert,INHS plant survey
0101000020E6100000E1B9069C56E654C08CBD175F34B94140,74704,0101000020110F00002AB594440BC061C17D53F966C31D5041,74053,>1m <=5m,ATBI DATABASE,,1446864991000,DERV,NOLAND CREEK,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,264104,3925709,35.446904,-83.599032,Lower Fontana Lake-Little Tennessee River,Welch Branch,1889.910156,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446864991000,GRSM,UNR,,6,,,Lakeshore Trail,Lakeview Drive East Parking #4,Valid,Viola_sororia_variety,Viola  sororia variety,42347,Common Blue Violet,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1082937600000,Plantae,Tracheobionta, , ,Magnoliopsida,Dilleniidae,Spermatophyta,Magnoliophyta, , ,Violales, , , , ,Violaceae, ,~,by hand, , ,cert,INHS plant survey
0101000020E610000025E029DAD8E754C0AEC3CDC040BB4140,74703,0101000020110F0000B960D04D53C161C1FEA3E123E61F5041,74052,>1m <=5m,ATBI DATABASE,,1446864991000,DERV,NOLAND CREEK,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,262011,3927541,35.462907,-83.622607,Lower Fontana Lake-Little Tennessee River,West Fork Chambers Creek,2423.735107,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446864991000,GRSM,UNR,,4,,,Campsite 98 access,Lakeview Drive East Parking #4,Valid,Viola_sororia_variety,Viola  sororia variety,42347,Common Blue Violet,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1083024000000,Plantae,Tracheobionta, , ,Magnoliopsida,Dilleniidae,Spermatophyta,Magnoliophyta, , ,Violales, , , , ,Violaceae, ,~,observed, , ,cert,INHS plant survey
0101000020E6100000623BB7871FE354C079C26BC72FBB4140,74705,0101000020110F00007250F23950BD61C143B8CD70D41F5041,74054,>1m <=5m,ATBI DATABASE,,1446864992000,DERV,NOLAND CREEK,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,268709,3927308,35.462389,-83.548795,Fontana Lake-Tuckasegee River,,2146.059326,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446864992000,GRSM,UNR,,10,,,Lakeshore Trail,Lakeview Drive East Parking #4,Valid,Viola_sororia_variety,Viola  sororia variety,42347,Common Blue Violet,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1083196800000,Plantae,Tracheobionta, , ,Magnoliopsida,Dilleniidae,Spermatophyta,Magnoliophyta, , ,Violales, , , , ,Violaceae, ,~,by hand, , ,cert,INHS plant survey
0101000020E6100000EA9F911CD1D754C04BB0413102E04140,74714,0101000020110F00008B29EBFEB5B361C1E1D72A4F4B465041,74063,>1m <=5m,ATBI DATABASE,,1446864997000,DERV,MOUNT GUYOT,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,285513,3958822,35.75006,-83.372134,Webb Creek,,1463.951416,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446864997000,GRSM,UNR,,7,,,Old Settlers Trail,Greenbrier Unpaved Road,Valid,Viola_sororia_variety,Viola  sororia variety,42347,Common Blue Violet,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1179360000000,Plantae,Tracheobionta, , ,Magnoliopsida,Dilleniidae,Spermatophyta,Magnoliophyta, , ,Violales, , , , ,Violaceae, ,~,by hand,No,day,prob.,ATBI
