the_geom,cartodb_id,the_geom_webmercator,objectid,verror,mapsource,sourcedate,editdate,mapmethod,quadname,unitname,herror,county,state,x_coord,y_coord,lat,lon,watershed,streamname,elevation,year,notes,coord_units,coord_system,datum,utm_zone,managementzone,parkdistrict,editby,createby,createdate,unitcode,restriction,veg_class,landform,loc_name,loc_id,trail,road,valid_result,genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,dateretrieved,kingdom,subkingdom,phylum,subphylum,class,subclass,superdivision,division,subdivision,superorder,ordername,series,suborder,infraorder,superfamily,family,subfamily,tribe,collectionmethod,specimentype,dateprecision,identificationprecision,project
0101000020E6100000BBAE16DA04E154C0B97B0C98F8C74140,189812,0101000020110F0000B61F0DBA86BB61C11E97123A2B2D5041,189548,>1m <=5m,ATBI DATABASE,,1446926029000,DERV,SILERS BALD,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,271976,3938312,35.562267,-83.515917,Forney Creek,Steeltrap Creek,6183.086426,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446926029000,GRSM,UNR,,6,,,Appalachian Trail,Clingmans Dome Road Parking #3,Valid,Hypoprepia_fucosa,Hypoprepia  fucosa,20484,Painted Lichen Moth,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1087171200000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Noctuoidea,Arctiidae,Lithosiinae,~,UV light, , ,cert,ATBI Lepidoptera TWiG
0101000020E61000002B6D507F06F154C02DCB04C138CF4140,189776,0101000020110F00004680B9DB1EC961C1C880D6CBBD345041,189512,>1m <=5m,ATBI DATABASE,,1446926008000,DERV,CADES COVE,Great Smoky Mountains National Park,>1m <=5m,Blount,Tennessee,249480,3945205,35.618913,-83.766017,Abrams Creek Upper,Green Branch,3085.772949,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446926008000,GRSM,UNR,,7,,,Scott Mountain Trail,Laurel Creek Road,Valid,Hypoprepia_fucosa,Hypoprepia  fucosa,20484,Painted Lichen Moth,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1059955200000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Noctuoidea,Arctiidae,Lithosiinae,~,unspecified, ,day,cert,ATBI Lepidoptera TWIG
0101000020E61000005177CE44A8F154C074D0B87F8BCC4140,189771,0101000020110F000009783740A8C961C11A2E28F5F1315041,189507,>1m <=5m,ATBI DATABASE,,1446926005000,DERV,CADES COVE,Great Smoky Mountains National Park,>1m <=5m,Blount,Tennessee,248520,3942910,35.598,-83.775891,Abrams Creek Upper,Cooper Branch,1978.494385,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446926005000,GRSM,UNR,,7,,,Cades Cove Nature Trail,Cades Cove New Dump Station,Valid,Hypoprepia_fucosa,Hypoprepia  fucosa,20484,Painted Lichen Moth,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,584064000000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Noctuoidea,Arctiidae,Lithosiinae,~,black light trap,No, ,cert,Lepidoptera Survey
0101000020E610000052A0338FBAF154C006CBAF2B15CD4140,189770,0101000020110F000050F2F9C8B7C961C1E1F83EC281325041,189506,>1m <=5m,ATBI DATABASE,,1446926005000,DERV,CADES COVE,Great Smoky Mountains National Park,>1m <=5m,Blount,Tennessee,248432,3943379,35.602202,-83.777008,Abrams Creek Upper,Stillhouse Branch,1905.952637,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446926005000,GRSM,UNR,,6,,,Cades Cove Horse Trail,Cades Cove Campground Segment A,Valid,Hypoprepia_fucosa,Hypoprepia  fucosa,20484,Painted Lichen Moth,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,964310400000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Noctuoidea,Arctiidae,Lithosiinae,~,unspecified, ,day,cert,ATBI Lepidoptera TWIG
0101000020E61000009E8654C3F1F254C07429245CB2CD4140,189769,0101000020110F0000A2972417C0CA61C1EB08A4F425335041,189505,>1m <=5m,ATBI DATABASE,,1446926004000,DERV,CADES COVE,Great Smoky Mountains National Park,>1m <=5m,Blount,Tennessee,246726,3943960,35.606999,-83.796002,Abrams Creek Upper,Marthas Branch,1816.618652,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446926004000,GRSM,UNR,,6,,,John Oliver Cabin access ,Cades Cove Loop Road,Valid,Hypoprepia_fucosa,Hypoprepia  fucosa,20484,Painted Lichen Moth,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1059696000000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Noctuoidea,Arctiidae,Lithosiinae,~,unspecified, , ,cert,ATBI Lepidoptera TWiG
0101000020E6100000498D92B518F454C0335DF6950ECD4140,189767,0101000020110F00004F459E96BACB61C1741A6DE17A325041,189503,>1m <=5m,ATBI DATABASE,,1446926003000,DERV,CADES COVE,Great Smoky Mountains National Park,>1m <=5m,Blount,Tennessee,245079,3943452,35.602001,-83.814004,Abrams Creek Upper,Feezell Branch,1828.03894,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446926003000,GRSM,UNR,,6,,,Lawson Cemetery Access,Primitive Baptist Church Road,Valid,Hypoprepia_fucosa,Hypoprepia  fucosa,20484,Painted Lichen Moth,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,993340800000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Noctuoidea,Arctiidae,Lithosiinae,~,UV light, , ,cert,ATBI Lepidoptera TWiG
0101000020E61000003F914D101AF454C026CEDFCB97CC4140,189766,0101000020110F000049BA18BDBBCB61C1AC5B64CDFE315041,189502,>1m <=5m,ATBI DATABASE,,1446926002000,DERV,CADES COVE,Great Smoky Mountains National Park,>1m <=5m,Blount,Tennessee,245060,3943050,35.598376,-83.814087,Abrams Creek Upper,Abrams Creek,1733.033936,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446926002000,GRSM,UNR,,7,,,Lawson Cemetery Access,Primitive Baptist Church Road,Valid,Hypoprepia_fucosa,Hypoprepia  fucosa,20484,Painted Lichen Moth,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,617414400000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Noctuoidea,Arctiidae,Lithosiinae,~,black light trap,No, ,cert,Lepidoptera Survey
0101000020E6100000A9E2E7CE92F554C0942A385976CA4140,189756,0101000020110F0000C5063AB5FBCC61C154954224C52F5041,189493,>1m <=5m,ATBI DATABASE,,1446925997000,DERV,CADES COVE,Great Smoky Mountains National Park,>1m <=5m,Blount,Tennessee,242923,3941263,35.58173,-83.837081,Abrams Creek Upper,Wildcat Branch,1796.669678,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446925997000,GRSM,UNR,,3,,,Wet Bottom Trail,Forge Creek Road,Valid,Hypoprepia_fucosa,Hypoprepia  fucosa,20484,Painted Lichen Moth,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,994291200000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Noctuoidea,Arctiidae,Lithosiinae,~,UV light, , ,cert,ATBI Lepidoptera TWiG
0101000020E6100000E636F341D5F554C099931F0A49CB4140,189753,0101000020110F0000E33EB62434CD61C112A8DD2BA1305041,189489,>1m <=5m,ATBI DATABASE,,1446925995000,DERV,CADES COVE,Great Smoky Mountains National Park,>1m <=5m,Blount,Tennessee,242576,3941987,35.58816,-83.841137,Abrams Creek Upper,,1758.333496,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446925995000,GRSM,UNR,,6,,,Wet Bottom Trail,Cades Cove Loop Road,Valid,Hypoprepia_fucosa,Hypoprepia  fucosa,20484,Painted Lichen Moth,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,997833600000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Noctuoidea,Arctiidae,Lithosiinae,~,UV light, , ,cert,ATBI Lepidoptera TWiG
0101000020E61000000E83F92B04F654C0AAB5E47CE7CB4140,189748,0101000020110F00004D5ED4FC5BCD61C113AA85A746315041,189484,>1m <=5m,ATBI DATABASE,,1446925992000,DERV,CADES COVE,Great Smoky Mountains National Park,>1m <=5m,Blount,Tennessee,242332,3942531,35.592995,-83.844,Abrams Creek Upper,Abrams Creek,1709.448364,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446925992000,GRSM,UNR,,6,,,Wet Bottom Trail,Cades Cove Loop Road,Valid,Hypoprepia_fucosa,Hypoprepia  fucosa,20484,Painted Lichen Moth,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,993340800000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Noctuoidea,Arctiidae,Lithosiinae,~,UV light, , ,cert,ATBI Lepidoptera TWiG
