the_geom,cartodb_id,the_geom_webmercator,objectid,verror,mapsource,sourcedate,editdate,mapmethod,quadname,unitname,herror,county,state,x_coord,y_coord,lat,lon,watershed,streamname,elevation,year,notes,coord_units,coord_system,datum,utm_zone,managementzone,parkdistrict,editby,createby,createdate,unitcode,restriction,veg_class,landform,loc_name,loc_id,trail,road,valid_result,genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,dateretrieved,kingdom,subkingdom,phylum,subphylum,class,subclass,superdivision,division,subdivision,superorder,ordername,series,suborder,infraorder,superfamily,family,subfamily,tribe,collectionmethod,specimentype,dateprecision,identificationprecision,project
0101000020E6100000C17DE067F2F854C0A436616AA7BB4140,189114,0101000020110F0000286B5D29D9CF61C1754C313151205041,188868,>1m <=5m,ATBI DATABASE,,1446925628000,DERV,TAPOCO,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,237769,3928566,35.46604,-83.889791,Lake Cheoah-Little Tennessee River,,1679.457642,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446925628000,GRSM,UNR,,6,,,Twentymile Trail,Twenty Mile Ranger Station Road,Valid,Hypericum_hypericoides,Hypericum  hypericoides,20318,St. Johnswort,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1118016000000,Plantae,Tracheobionta, , ,Magnoliopsida,Dilleniidae,Spermatophyta,Magnoliophyta, , ,Theales, , , , ,Clusiaceae, ,~,observed, ,day,cert,TVA Powerline Plants
0101000020E610000005C92CEF28F854C06338760773BB4140,189117,0101000020110F0000BF76410D2ECF61C17D3BB9901A205041,188871,>1m <=5m,ATBI DATABASE,,1446925629000,DERV,TAPOCO,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,238880,3928356,35.464441,-83.877494,Lake Cheoah-Little Tennessee River,,1658.766846,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446925629000,GRSM,UNR,,8,,,Twentymile Trail,Twenty Mile Ranger Station Parking # 2,Valid,Hypericum_hypericoides,Hypericum  hypericoides,20318,St. Johnswort,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1118016000000,Plantae,Tracheobionta, , ,Magnoliopsida,Dilleniidae,Spermatophyta,Magnoliophyta, , ,Theales, , , , ,Clusiaceae, ,~,observed, ,day,cert,TVA Powerline Plants
0101000020E610000015CAF7C9E7F554C0557CA32D59BA4140,189121,0101000020110F0000BCC9CEE143CD61C11A80D5ADF41E5041,188875,>1m <=5m,ATBI DATABASE,,1446925632000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,242050,3927309,35.45584,-83.842268,Lake Cheoah-Little Tennessee River,,1647.449463,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446925632000,GRSM,UNR,,10,,,Twentymile Trail,Payne Cemetery Access Road,Valid,Hypericum_hypericoides,Hypericum  hypericoides,20318,St. Johnswort,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1118016000000,Plantae,Tracheobionta, , ,Magnoliopsida,Dilleniidae,Spermatophyta,Magnoliophyta, , ,Theales, , , , ,Clusiaceae, ,~,observed, ,day,cert,TVA Powerline Plants
0101000020E6100000C811FEE7FEF554C072C3A8D14FBA4140,189120,0101000020110F000069E4FC8357CD61C1D156AEEBEA1E5041,188874,>1m <=5m,ATBI DATABASE,,1446925631000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,241921,3927281,35.455554,-83.843679,Lake Cheoah-Little Tennessee River,,1575.787842,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446925631000,GRSM,UNR,,10,,,Twentymile Trail,Payne Cemetery Access Road,Valid,Hypericum_hypericoides,Hypericum  hypericoides,20318,St. Johnswort,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1118016000000,Plantae,Tracheobionta, , ,Magnoliopsida,Dilleniidae,Spermatophyta,Magnoliophyta, , ,Theales, , , , ,Clusiaceae, ,~,observed, ,day,cert,TVA Powerline Plants
0101000020E61000000D02CD1575F554C0934B115049BA4140,189123,0101000020110F000058B8CF76E2CC61C1FD441123E41E5041,188876,>1m <=5m,ATBI DATABASE,,1446925632000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,242684,3927237,35.455356,-83.835267,Lake Cheoah-Little Tennessee River,,1653.202148,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446925632000,GRSM,UNR,,4,,,Fairfax/Old Payne (Palmer) Access,Payne Cemetery Access Road,Valid,Hypericum_hypericoides,Hypericum  hypericoides,20318,St. Johnswort,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1118016000000,Plantae,Tracheobionta, , ,Magnoliopsida,Dilleniidae,Spermatophyta,Magnoliophyta, , ,Theales, , , , ,Clusiaceae, ,~,observed, ,day,cert,TVA Powerline Plants
0101000020E61000005974E3C4F4F454C01AF3D5B62ABA4140,189125,0101000020110F00002448387C75CC61C1B510E13BC41E5041,188878,>1m <=5m,ATBI DATABASE,,1446925633000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,243392,3927113,35.454422,-83.827435,Lake Cheoah-Little Tennessee River,,1842.969482,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446925633000,GRSM,UNR,,7,,,Fairfax/Old Payne (Palmer) Access,Payne Cemetery Access Road,Valid,Hypericum_hypericoides,Hypericum  hypericoides,20318,St. Johnswort,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1118016000000,Plantae,Tracheobionta, , ,Magnoliopsida,Dilleniidae,Spermatophyta,Magnoliophyta, , ,Theales, , , , ,Clusiaceae, ,~,observed, ,day,cert,TVA Powerline Plants
0101000020E6100000859DC0D925F654C0D6C9AB1062BA4140,189119,0101000020110F000099E04E9778CD61C146FDE3F1FD1E5041,188873,>1m <=5m,ATBI DATABASE,,1446925630000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,241707,3927349,35.456111,-83.846056,Lake Cheoah-Little Tennessee River,Fox Branch,1585.448364,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446925630000,GRSM,UNR,,6,,,Twentymile Trail,Payne Cemetery Access Road,Valid,Hypericum_hypericoides,Hypericum  hypericoides,20318,St. Johnswort,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1118016000000,Plantae,Tracheobionta, , ,Magnoliopsida,Dilleniidae,Spermatophyta,Magnoliophyta, , ,Theales, , , , ,Clusiaceae, ,~,observed, ,day,cert,TVA Powerline Plants
0101000020E6100000DDE42A8854F654C09BDE80014ABA4140,189118,0101000020110F00004CA9CC3CA0CD61C176AE11DCE41E5041,188872,>1m <=5m,ATBI DATABASE,,1446925630000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,241446,3927275,35.455377,-83.848905,Lake Cheoah-Little Tennessee River,Fox Branch,1623.208862,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446925630000,GRSM,UNR,,5,,,Twentymile Trail,Twenty Mile Trailhead Parking,Valid,Hypericum_hypericoides,Hypericum  hypericoides,20318,St. Johnswort,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1118016000000,Plantae,Tracheobionta, , ,Magnoliopsida,Dilleniidae,Spermatophyta,Magnoliophyta, , ,Theales, , , , ,Clusiaceae, ,~,observed, ,day,cert,TVA Powerline Plants
0101000020E610000045D412F831ED54C013C9A0B2D8BC4140,189131,0101000020110F000001E16618DEC561C1508B588D8F215041,188884,>1m <=5m,ATBI DATABASE,,1446925636000,DERV,TUSKEEGEE,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,254464,3929127,35.475356,-83.706171,Hazel Creek,Hazel Creek,1949.574463,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446925636000,GRSM,UNR,,4,,,Hazel Creek Trail,Lakeview Drive West,Valid,Hypericum_hypericoides,Hypericum  hypericoides,20318,St. Johnswort,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1096848000000,Plantae,Tracheobionta, , ,Magnoliopsida,Dilleniidae,Spermatophyta,Magnoliophyta, , ,Theales, , , , ,Clusiaceae, ,~,by hand, , ,cert,INHS plant survey
0101000020E6100000095675ECA6E754C0A5FFD29A0DB94140,189134,0101000020110F0000C1C54EE628C161C1E52EB4FC9A1D5041,188886,>1m <=5m,ATBI DATABASE,,1446925637000,DERV,NOLAND CREEK,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,262237,3925627,35.445721,-83.619559,Lower Fontana Lake-Little Tennessee River,,1718.332153,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446925637000,GRSM,UNR,,10,,,Lakeshore Trail,Lakeview Drive East Parking #4,Valid,Hypericum_hypericoides,Hypericum  hypericoides,20318,St. Johnswort,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1065398400000,Plantae,Tracheobionta, , ,Magnoliopsida,Dilleniidae,Spermatophyta,Magnoliophyta, , ,Theales, , , , ,Clusiaceae, ,~,by hand, , ,cert,INHS plant survey
0101000020E6100000C9E0CB519BE754C039DED8440AB94140,189137,0101000020110F000038D6520B1FC161C169C06B82971D5041,188888,>1m <=5m,ATBI DATABASE,,1446925638000,DERV,NOLAND CREEK,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,262301,3925614,35.445619,-83.618851,Lower Fontana Lake-Little Tennessee River,Chambers Creek,1723.25061,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446925638000,GRSM,UNR,,8,,,Lakeshore Trail,Lakeview Drive East Parking #4,Valid,Hypericum_hypericoides,Hypericum  hypericoides,20318,St. Johnswort,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1065398400000,Plantae,Tracheobionta, , ,Magnoliopsida,Dilleniidae,Spermatophyta,Magnoliophyta, , ,Theales, , , , ,Clusiaceae, ,~,by hand, , ,cert,INHS plant survey
