the_geom,cartodb_id,the_geom_webmercator,objectid,verror,mapsource,sourcedate,editdate,mapmethod,quadname,unitname,herror,county,state,x_coord,y_coord,lat,lon,watershed,streamname,elevation,year,notes,coord_units,coord_system,datum,utm_zone,managementzone,parkdistrict,editby,createby,createdate,unitcode,restriction,veg_class,landform,loc_name,loc_id,trail,road,valid_result,genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,dateretrieved,kingdom,subkingdom,phylum,subphylum,class,subclass,superdivision,division,subdivision,superorder,ordername,series,suborder,infraorder,superfamily,family,subfamily,tribe,collectionmethod,specimentype,dateprecision,identificationprecision,project
0101000020E6100000AEAB34EFF9F654C0ADD247340FBC4140,72352,0101000020110F0000454EC1B62CCE61C1ECEA3D6CBD205041,71772,>1m <=5m,ATBI DATABASE,,1446863694000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,240574,3928836,35.469207,-83.859001,Lake Cheoah-Little Tennessee River,,2031.489502,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446863694000,GRSM,UNR,,6,,,Twentymile Trail,Twenty Mile Trailhead Parking,Valid,Vanessa_virginiensis,Vanessa  virginiensis,42067,Painted Beauty,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-1024704000000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Papilionoidea,Nymphalidae,Nymphalinae,~,unspecified, , ,cert,ATBI Lepidoptera TWiG
0101000020E61000008536DD0B5CCA54C009509F59DCC74140,72380,0101000020110F00002550CC1948A861C174A057BD0D2D5041,71800,>1m <=5m,ATBI DATABASE,,1446863711000,DERV,BUNCHES BALD,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,304068,3937454,35.561405,-83.161864,Lower Raven Fork,,5061.983398,,,dd,GCS,NAD83,17,,Oconaluftee District,TPCOLSON,TPCOLSON,1446863711000,GRSM,UNR,,7,,,Hemphill Bald Trail,Heintooga Ridge Road,Valid,Vanessa_virginiensis,Vanessa  virginiensis,42067,Painted Beauty,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1209859200000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Papilionoidea,Nymphalidae,Nymphalinae,~,observed,No,day,cert,General
0101000020E61000007ECA104B33CB54C09C1B74C5E9C64140,72379,0101000020110F0000DFE4F6E8FEA861C156CBB07E102C5041,71799,>1m <=5m,ATBI DATABASE,,1446863711000,DERV,BUNCHES BALD,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,302859,3936659,35.554002,-83.175002,Lower Raven Fork,,4895.686035,,,dd,GCS,NAD83,17,,Oconaluftee District,TPCOLSON,TPCOLSON,1446863711000,GRSM,UNR,,7,,,Flat Creek Trail,Heintooga Ridge Road,Valid,Vanessa_virginiensis,Vanessa  virginiensis,42067,Painted Beauty,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-989193600000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Papilionoidea,Nymphalidae,Nymphalinae,~,unspecified, ,day,cert,ATBI Lepidoptera TWIG
0101000020E6100000DE3ACF3D03D354C05B88153B08C54140,72378,0101000020110F0000EC887777A1AF61C12FDDCDD9192A5041,71798,>1m <=5m,ATBI DATABASE,,1446863710000,DERV,SMOKEMONT,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,291755,3935280,35.539307,-83.297069,Lower Oconaluftee River,Tow String Creek,2122.173828,,,dd,GCS,NAD83,17,,Oconaluftee District,TPCOLSON,TPCOLSON,1446863710000,GRSM,UNR,,6,,,Chambers Cemetery Access,Tow String Horse Barn Road,Valid,Vanessa_virginiensis,Vanessa  virginiensis,42067,Painted Beauty,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1116720000000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Papilionoidea,Nymphalidae,Nymphalinae,~,unspecified, , ,cert,ATBI Lepidoptera TWiG
0101000020E610000057AEFEA2A0DF54C0D2F5689DBDC44140,72371,0101000020110F0000D03A6D3158BA61C14C311BF9CB295041,71791,>1m <=5m,ATBI DATABASE,,1446863705000,DERV,CLINGMANS DOME,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,273876,3935462,35.53703,-83.494175,Noland Creek,,5328.973633,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446863705000,GRSM,UNR,,7,,,Forney Ridge Trail,Clingmans Dome Road Parking #3,Valid,Vanessa_virginiensis,Vanessa  virginiensis,42067,Painted Beauty,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,991785600000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Papilionoidea,Nymphalidae,Nymphalinae,~,Malaise trap (Townes), , ,cert,ATBI Pilot Study
0101000020E6100000F5E696079DDC54C0B67067D3CFCD4140,72376,0101000020110F00002E27F1DDC8B761C1C07277BC44335041,71796,>1m <=5m,ATBI DATABASE,,1446863709000,DERV,CLINGMANS DOME,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,278342,3943217,35.607898,-83.44708,Deep Creek,Road Prong,5318.75293,,,dd,GCS,NAD83,17,,Oconaluftee District,TPCOLSON,TPCOLSON,1446863709000,GRSM,UNR,,1,,,Appalachian Trail,Clingmans Dome Access Road,Valid,Vanessa_virginiensis,Vanessa  virginiensis,42067,Painted Beauty,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-1049760000000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Papilionoidea,Nymphalidae,Nymphalinae,~,unspecified, , ,cert,ATBI Lepidoptera TWiG
0101000020E6100000CAD5D9DACCDC54C05BF2F3442FCD4140,72375,0101000020110F0000B1D6257CF1B761C1912931059D325041,71795,>1m <=5m,ATBI DATABASE,,1446863708000,DERV,CLINGMANS DOME,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,278064,3942680,35.602998,-83.449999,Deep Creek,,5325.543945,,,dd,GCS,NAD83,17,,Oconaluftee District,TPCOLSON,TPCOLSON,1446863708000,GRSM,UNR,,3,,,Appalachian Trail,Clingmans Dome Access Road,Valid,Vanessa_virginiensis,Vanessa  virginiensis,42067,Painted Beauty,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,432086400000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Papilionoidea,Nymphalidae,Nymphalinae,~,unspecified, ,day,cert,ATBI Lepidoptera TWIG
0101000020E6100000A2FBEB7588DF54C064996BC951D14140,72372,0101000020110F000033850BA943BA61C14FB09AEDEE365041,71792,>1m <=5m,ATBI DATABASE,,1446863706000,DERV,MOUNT LE CONTE,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,274286,3946361,35.635302,-83.4927,West Prong Little Pigeon River Upper,,2929.018555,,,dd,GCS,NAD83,17,,Little River District,TPCOLSON,TPCOLSON,1446863706000,GRSM,UNR,,7,,,Cove Hardwood Nature Trail,Chimney Picnic Area #1,Valid,Vanessa_virginiensis,Vanessa  virginiensis,42067,Painted Beauty,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,613180800000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Papilionoidea,Nymphalidae,Nymphalinae,~,unspecified, , ,cert,ATBI Lepidoptera TWiG
0101000020E6100000EA205907FADE54C06FA53143ABD14140,72374,0101000020110F000057A75EB1CAB961C12C1A206E4C375041,71794,>1m <=5m,ATBI DATABASE,,1446863707000,DERV,MOUNT LE CONTE,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,275081,3946644,35.638032,-83.484006,West Prong Little Pigeon River Upper,West Prong Little Pigeon River,2929.677002,,,dd,GCS,NAD83,17,,Little River District,TPCOLSON,TPCOLSON,1446863707000,GRSM,UNR,,9,,,Cove Hardwood Nature Trail,Nfg Pullout Parking At Mp 7.6,Valid,Vanessa_virginiensis,Vanessa  virginiensis,42067,Painted Beauty,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,958003200000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Papilionoidea,Nymphalidae,Nymphalinae,~,unspecified, , ,cert,ATBI Lepidoptera TWiG
0101000020E6100000557720438BE454C015BE7E9537D94140,72360,0101000020110F00002AF9E42485BE61C19AFA3D7C303F5041,71780,>1m <=5m,ATBI DATABASE,,1446863699000,DERV,GATLINBURG,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,267374,3953389,35.697002,-83.570996,West Prong Little Pigeon River Upper,,3452.494873,,,dd,GCS,NAD83,17,,Little River District,TPCOLSON,TPCOLSON,1446863699000,GRSM,UNR,,7,,,Cove Mountain Trail,Fighting Creek Gap Road,Valid,Vanessa_virginiensis,Vanessa  virginiensis,42067,Painted Beauty,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-1024704000000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Papilionoidea,Nymphalidae,Nymphalinae,~,unspecified, ,day,cert,ATBI Lepidoptera TWIG
0101000020E6100000C166197264EB54C0AC03502781D54140,72357,0101000020110F0000546F971F56C461C13A6F40B74E3B5041,71777,>1m <=5m,ATBI DATABASE,,1446863697000,DERV,WEAR COVE,Great Smoky Mountains National Park,>1m <=5m,Blount,Tennessee,257602,3950430,35.667997,-83.678002,Little River-Goshen Prong,Little River,1430.032837,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446863697000,GRSM,UNR,,8,,,Meigs Creek Trail,Little River Gorge Road,Valid,Vanessa_virginiensis,Vanessa  virginiensis,42067,Painted Beauty,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-1025136000000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Papilionoidea,Nymphalidae,Nymphalinae,~,unspecified, ,day,cert,ATBI Lepidoptera TWIG
0101000020E61000005AEB98AE18EC54C09E931ABEEBD14140,72356,0101000020110F0000FF28BB32EFC461C19A2C58D08F375041,71776,>1m <=5m,ATBI DATABASE,,1446863697000,DERV,WEAR COVE,Great Smoky Mountains National Park,>1m <=5m,Blount,Tennessee,256521,3947351,35.64,-83.689002,Little River-Crooked Creek,Middle Prong Little River,1371.385132,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446863697000,GRSM,UNR,,6,,,Lumber Ridge Trail,Tremont Environmental Education Center Road,Valid,Vanessa_virginiensis,Vanessa  virginiensis,42067,Painted Beauty,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,958262400000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Papilionoidea,Nymphalidae,Nymphalinae,~,unspecified, ,week,cert,ATBI Lepidoptera TWIG
0101000020E61000006109CC8CDCE654C043B76DD8A9D24140,72359,0101000020110F0000C26E0B067DC061C1FE56987C56385041,71779,>1m <=5m,ATBI DATABASE,,1446863698000,DERV,GATLINBURG,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,263946,3947795,35.645801,-83.607207,Little River-Goshen Prong,Kiver Branch,2606.37085,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446863698000,GRSM,UNR,,1,,,Meigs Mountain Trail,Little River Gorge Road,Valid,Vanessa_virginiensis,Vanessa  virginiensis,42067,Painted Beauty,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,926640000000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Papilionoidea,Nymphalidae,Nymphalinae,~,unspecified, , ,cert,ATBI Lepidoptera TWiG
0101000020E6100000828A12435EE254C094F8E1C2EFD74140,72362,0101000020110F0000F6F56A15ACBC61C161465BACD93D5041,71782,>1m <=5m,ATBI DATABASE,,1446863700000,DERV,GATLINBURG,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,270422,3952199,35.686998,-83.536999,West Prong Little Pigeon River Upper,Ash Hopper Branch,1461.809082,,,dd,GCS,NAD83,17,,Little River District,TPCOLSON,TPCOLSON,1446863700000,GRSM,UNR,,6,,,Fighting Creek Nature Trail,Sugarlands Headquarters Parking A,Valid,Vanessa_virginiensis,Vanessa  virginiensis,42067,Painted Beauty,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-1018051200000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Papilionoidea,Nymphalidae,Nymphalinae,~,unspecified, , ,cert,ATBI Lepidoptera TWiG
0101000020E61000002CE26C2185E354C03AA2874954C34140,72361,0101000020110F00004D450084A6BD61C1A477A0E152285041,71781,>1m <=5m,ATBI DATABASE,,1446863699000,DERV,SILERS BALD,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,268329,3934380,35.526003,-83.554997,Forney Creek,Jonas Creek,2753.42334,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446863699000,GRSM,UNR,,3,,,Jonas Creek Trail,Clingmans Dome Road Parking #3,Valid,Vanessa_virginiensis,Vanessa  virginiensis,42067,Painted Beauty,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-989193600000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Papilionoidea,Nymphalidae,Nymphalinae,~,unspecified, , ,cert,ATBI Lepidoptera TWiG
0101000020E6100000B9003903D1EA54C00EC12E20FACE4140,72358,0101000020110F0000A2FB8DE8D8C361C1C204745D7C345041,71778,>1m <=5m,ATBI DATABASE,,1446863698000,DERV,THUNDERHEAD MOUNTAIN,Great Smoky Mountains National Park,>1m <=5m,Blount,Tennessee,258263,3944750,35.617001,-83.669003,Little River-Crooked Creek,Lynn Camp Prong,1939.454956,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446863698000,GRSM,UNR,,7,,,Middle Prong Trail,Upper Tremont Road,Valid,Vanessa_virginiensis,Vanessa  virginiensis,42067,Painted Beauty,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-1049760000000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Papilionoidea,Nymphalidae,Nymphalinae,~,unspecified, ,day,cert,ATBI Lepidoptera TWIG
0101000020E61000004F9CB829F9F254C0B75BE52599CC4140,72355,0101000020110F0000EDBD0C60C6CA61C1C5BFCF3600325041,71775,>1m <=5m,ATBI DATABASE,,1446863696000,DERV,CADES COVE,Great Smoky Mountains National Park,>1m <=5m,Blount,Tennessee,246658,3943009,35.598417,-83.796454,Abrams Creek Upper,Sea Branch,1787.830078,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446863696000,GRSM,UNR,,6,,,John Oliver Cabin access ,Sparks Lane Road,Valid,Vanessa_virginiensis,Vanessa  virginiensis,42067,Painted Beauty,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1192492800000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Papilionoidea,Nymphalidae,Nymphalinae,~,aerial net,No,day,cert,Monarch Watch
